Country Name,Country Code,Topic,% of available indicators,Year
Nauru,NRU,Assets,0.000,1960
Nauru,NRU,Assets,0.000,1961
Nauru,NRU,Assets,0.000,1962
Nauru,NRU,Assets,0.000,1963
Nauru,NRU,Assets,0.000,1964
Nauru,NRU,Assets,0.000,1965
Nauru,NRU,Assets,0.000,1966
Nauru,NRU,Assets,0.000,1967
Nauru,NRU,Assets,0.000,1968
Nauru,NRU,Assets,0.000,1969
Nauru,NRU,Assets,0.000,1970
Nauru,NRU,Assets,0.000,1971
Nauru,NRU,Assets,0.000,1972
Nauru,NRU,Assets,0.000,1973
Nauru,NRU,Assets,0.000,1974
Nauru,NRU,Assets,0.000,1975
Nauru,NRU,Assets,0.000,1976
Nauru,NRU,Assets,0.000,1977
Nauru,NRU,Assets,0.000,1978
Nauru,NRU,Assets,0.000,1979
Nauru,NRU,Assets,0.000,1980
Nauru,NRU,Assets,0.000,1981
Nauru,NRU,Assets,0.000,1982
Nauru,NRU,Assets,0.000,1983
Nauru,NRU,Assets,0.000,1984
Nauru,NRU,Assets,0.000,1985
Nauru,NRU,Assets,0.000,1986
Nauru,NRU,Assets,0.000,1987
Nauru,NRU,Assets,0.000,1988
Nauru,NRU,Assets,0.000,1989
Nauru,NRU,Assets,0.000,1990
Nauru,NRU,Assets,0.000,1991
Nauru,NRU,Assets,0.000,1992
Nauru,NRU,Assets,0.000,1993
Nauru,NRU,Assets,0.000,1994
Nauru,NRU,Assets,0.000,1995
Nauru,NRU,Assets,0.000,1996
Nauru,NRU,Assets,0.000,1997
Nauru,NRU,Assets,0.000,1998
Nauru,NRU,Assets,0.000,1999
Nauru,NRU,Assets,0.000,2000
Nauru,NRU,Assets,0.000,2001
Nauru,NRU,Assets,0.000,2002
Nauru,NRU,Assets,0.000,2003
Nauru,NRU,Assets,0.000,2004
Nauru,NRU,Assets,0.000,2005
Nauru,NRU,Assets,0.000,2006
Nauru,NRU,Assets,0.000,2007
Nauru,NRU,Assets,0.000,2008
Nauru,NRU,Assets,0.000,2009
Nauru,NRU,Assets,0.000,2010
Nauru,NRU,Assets,0.000,2011
Nauru,NRU,Assets,0.000,2012
Nauru,NRU,Assets,0.000,2013
Nauru,NRU,Assets,0.000,2014
Nauru,NRU,Assets,0.000,2015
Nauru,NRU,Assets,0.000,2016
Nauru,NRU,Assets,0.000,2017
Nauru,NRU,Assets,0.000,2018
Nauru,NRU,Assets,0.000,2019
Nauru,NRU,Assets,0.000,2020
Nauru,NRU,Assets,0.000,2021
Nauru,NRU,Assets,0.000,2022
Nauru,NRU,Assets,0.000,2023
Nauru,NRU,Children 0-14,10.769,1960
Nauru,NRU,Children 0-14,10.769,1961
Nauru,NRU,Children 0-14,10.769,1962
Nauru,NRU,Children 0-14,10.769,1963
Nauru,NRU,Children 0-14,10.769,1964
Nauru,NRU,Children 0-14,10.769,1965
Nauru,NRU,Children 0-14,10.769,1966
Nauru,NRU,Children 0-14,10.769,1967
Nauru,NRU,Children 0-14,10.769,1968
Nauru,NRU,Children 0-14,10.769,1969
Nauru,NRU,Children 0-14,10.769,1970
Nauru,NRU,Children 0-14,14.615,1971
Nauru,NRU,Children 0-14,14.615,1972
Nauru,NRU,Children 0-14,14.615,1973
Nauru,NRU,Children 0-14,14.615,1974
Nauru,NRU,Children 0-14,10.769,1975
Nauru,NRU,Children 0-14,10.769,1976
Nauru,NRU,Children 0-14,10.769,1977
Nauru,NRU,Children 0-14,10.769,1978
Nauru,NRU,Children 0-14,10.769,1979
Nauru,NRU,Children 0-14,10.769,1980
Nauru,NRU,Children 0-14,10.769,1981
Nauru,NRU,Children 0-14,10.769,1982
Nauru,NRU,Children 0-14,10.769,1983
Nauru,NRU,Children 0-14,11.538,1984
Nauru,NRU,Children 0-14,23.846,1985
Nauru,NRU,Children 0-14,18.462,1986
Nauru,NRU,Children 0-14,18.462,1987
Nauru,NRU,Children 0-14,18.462,1988
Nauru,NRU,Children 0-14,18.462,1989
Nauru,NRU,Children 0-14,20.000,1990
Nauru,NRU,Children 0-14,22.308,1991
Nauru,NRU,Children 0-14,20.000,1992
Nauru,NRU,Children 0-14,20.000,1993
Nauru,NRU,Children 0-14,20.000,1994
Nauru,NRU,Children 0-14,20.000,1995
Nauru,NRU,Children 0-14,20.000,1996
Nauru,NRU,Children 0-14,20.769,1997
Nauru,NRU,Children 0-14,30.769,1998
Nauru,NRU,Children 0-14,20.769,1999
Nauru,NRU,Children 0-14,26.923,2000
Nauru,NRU,Children 0-14,32.308,2001
Nauru,NRU,Children 0-14,30.000,2002
Nauru,NRU,Children 0-14,26.923,2003
Nauru,NRU,Children 0-14,26.923,2004
Nauru,NRU,Children 0-14,26.923,2005
Nauru,NRU,Children 0-14,27.692,2006
Nauru,NRU,Children 0-14,44.615,2007
Nauru,NRU,Children 0-14,26.923,2008
Nauru,NRU,Children 0-14,20.769,2009
Nauru,NRU,Children 0-14,23.077,2010
Nauru,NRU,Children 0-14,23.077,2011
Nauru,NRU,Children 0-14,42.308,2012
Nauru,NRU,Children 0-14,28.462,2013
Nauru,NRU,Children 0-14,36.154,2014
Nauru,NRU,Children 0-14,26.154,2015
Nauru,NRU,Children 0-14,36.923,2016
Nauru,NRU,Children 0-14,20.769,2017
Nauru,NRU,Children 0-14,23.077,2018
Nauru,NRU,Children 0-14,32.308,2019
Nauru,NRU,Children 0-14,36.154,2020
Nauru,NRU,Children 0-14,25.385,2021
Nauru,NRU,Children 0-14,28.462,2022
Nauru,NRU,Children 0-14,19.231,2023
Nauru,NRU,Education,0.000,1960
Nauru,NRU,Education,0.000,1961
Nauru,NRU,Education,0.000,1962
Nauru,NRU,Education,0.000,1963
Nauru,NRU,Education,0.000,1964
Nauru,NRU,Education,0.000,1965
Nauru,NRU,Education,0.000,1966
Nauru,NRU,Education,0.000,1967
Nauru,NRU,Education,0.000,1968
Nauru,NRU,Education,0.000,1969
Nauru,NRU,Education,0.000,1970
Nauru,NRU,Education,9.816,1971
Nauru,NRU,Education,9.202,1972
Nauru,NRU,Education,9.202,1973
Nauru,NRU,Education,5.521,1974
Nauru,NRU,Education,2.454,1975
Nauru,NRU,Education,2.454,1976
Nauru,NRU,Education,3.067,1977
Nauru,NRU,Education,2.454,1978
Nauru,NRU,Education,3.067,1979
Nauru,NRU,Education,2.454,1980
Nauru,NRU,Education,2.454,1981
Nauru,NRU,Education,2.454,1982
Nauru,NRU,Education,2.454,1983
Nauru,NRU,Education,2.454,1984
Nauru,NRU,Education,15.951,1985
Nauru,NRU,Education,0.000,1986
Nauru,NRU,Education,0.000,1987
Nauru,NRU,Education,0.000,1988
Nauru,NRU,Education,0.000,1989
Nauru,NRU,Education,0.000,1990
Nauru,NRU,Education,1.840,1991
Nauru,NRU,Education,0.000,1992
Nauru,NRU,Education,0.000,1993
Nauru,NRU,Education,0.000,1994
Nauru,NRU,Education,0.000,1995
Nauru,NRU,Education,0.000,1996
Nauru,NRU,Education,0.000,1997
Nauru,NRU,Education,9.202,1998
Nauru,NRU,Education,0.613,1999
Nauru,NRU,Education,10.429,2000
Nauru,NRU,Education,14.724,2001
Nauru,NRU,Education,13.497,2002
Nauru,NRU,Education,9.816,2003
Nauru,NRU,Education,10.429,2004
Nauru,NRU,Education,9.816,2005
Nauru,NRU,Education,10.429,2006
Nauru,NRU,Education,17.178,2007
Nauru,NRU,Education,9.816,2008
Nauru,NRU,Education,0.000,2009
Nauru,NRU,Education,0.000,2010
Nauru,NRU,Education,1.840,2011
Nauru,NRU,Education,23.926,2012
Nauru,NRU,Education,13.497,2013
Nauru,NRU,Education,20.245,2014
Nauru,NRU,Education,4.908,2015
Nauru,NRU,Education,21.472,2016
Nauru,NRU,Education,0.613,2017
Nauru,NRU,Education,1.840,2018
Nauru,NRU,Education,14.724,2019
Nauru,NRU,Education,25.153,2020
Nauru,NRU,Education,17.178,2021
Nauru,NRU,Education,9.202,2022
Nauru,NRU,Education,11.656,2023
Nauru,NRU,Employment and Time Use,0.000,1960
Nauru,NRU,Employment and Time Use,0.000,1961
Nauru,NRU,Employment and Time Use,0.000,1962
Nauru,NRU,Employment and Time Use,0.000,1963
Nauru,NRU,Employment and Time Use,0.000,1964
Nauru,NRU,Employment and Time Use,0.000,1965
Nauru,NRU,Employment and Time Use,5.109,1966
Nauru,NRU,Employment and Time Use,0.000,1967
Nauru,NRU,Employment and Time Use,0.000,1968
Nauru,NRU,Employment and Time Use,0.000,1969
Nauru,NRU,Employment and Time Use,0.000,1970
Nauru,NRU,Employment and Time Use,0.000,1971
Nauru,NRU,Employment and Time Use,0.000,1972
Nauru,NRU,Employment and Time Use,0.000,1973
Nauru,NRU,Employment and Time Use,0.000,1974
Nauru,NRU,Employment and Time Use,0.000,1975
Nauru,NRU,Employment and Time Use,0.000,1976
Nauru,NRU,Employment and Time Use,0.000,1977
Nauru,NRU,Employment and Time Use,0.000,1978
Nauru,NRU,Employment and Time Use,0.000,1979
Nauru,NRU,Employment and Time Use,0.000,1980
Nauru,NRU,Employment and Time Use,0.000,1981
Nauru,NRU,Employment and Time Use,0.000,1982
Nauru,NRU,Employment and Time Use,0.000,1983
Nauru,NRU,Employment and Time Use,0.000,1984
Nauru,NRU,Employment and Time Use,0.000,1985
Nauru,NRU,Employment and Time Use,0.000,1986
Nauru,NRU,Employment and Time Use,0.000,1987
Nauru,NRU,Employment and Time Use,0.000,1988
Nauru,NRU,Employment and Time Use,0.000,1989
Nauru,NRU,Employment and Time Use,0.000,1990
Nauru,NRU,Employment and Time Use,0.000,1991
Nauru,NRU,Employment and Time Use,0.000,1992
Nauru,NRU,Employment and Time Use,0.000,1993
Nauru,NRU,Employment and Time Use,0.000,1994
Nauru,NRU,Employment and Time Use,0.000,1995
Nauru,NRU,Employment and Time Use,0.000,1996
Nauru,NRU,Employment and Time Use,0.000,1997
Nauru,NRU,Employment and Time Use,0.000,1998
Nauru,NRU,Employment and Time Use,0.000,1999
Nauru,NRU,Employment and Time Use,0.000,2000
Nauru,NRU,Employment and Time Use,0.000,2001
Nauru,NRU,Employment and Time Use,10.219,2002
Nauru,NRU,Employment and Time Use,0.000,2003
Nauru,NRU,Employment and Time Use,0.000,2004
Nauru,NRU,Employment and Time Use,0.000,2005
Nauru,NRU,Employment and Time Use,0.000,2006
Nauru,NRU,Employment and Time Use,0.000,2007
Nauru,NRU,Employment and Time Use,0.000,2008
Nauru,NRU,Employment and Time Use,0.000,2009
Nauru,NRU,Employment and Time Use,0.000,2010
Nauru,NRU,Employment and Time Use,5.109,2011
Nauru,NRU,Employment and Time Use,0.000,2012
Nauru,NRU,Employment and Time Use,30.657,2013
Nauru,NRU,Employment and Time Use,0.000,2014
Nauru,NRU,Employment and Time Use,0.000,2015
Nauru,NRU,Employment and Time Use,0.000,2016
Nauru,NRU,Employment and Time Use,0.000,2017
Nauru,NRU,Employment and Time Use,0.000,2018
Nauru,NRU,Employment and Time Use,0.000,2019
Nauru,NRU,Employment and Time Use,0.000,2020
Nauru,NRU,Employment and Time Use,32.117,2021
Nauru,NRU,Employment and Time Use,0.000,2022
Nauru,NRU,Employment and Time Use,0.000,2023
Nauru,NRU,Entrepreneurship,0.000,1960
Nauru,NRU,Entrepreneurship,0.000,1961
Nauru,NRU,Entrepreneurship,0.000,1962
Nauru,NRU,Entrepreneurship,0.000,1963
Nauru,NRU,Entrepreneurship,0.000,1964
Nauru,NRU,Entrepreneurship,0.000,1965
Nauru,NRU,Entrepreneurship,0.000,1966
Nauru,NRU,Entrepreneurship,0.000,1967
Nauru,NRU,Entrepreneurship,0.000,1968
Nauru,NRU,Entrepreneurship,0.000,1969
Nauru,NRU,Entrepreneurship,0.000,1970
Nauru,NRU,Entrepreneurship,0.000,1971
Nauru,NRU,Entrepreneurship,0.000,1972
Nauru,NRU,Entrepreneurship,0.000,1973
Nauru,NRU,Entrepreneurship,0.000,1974
Nauru,NRU,Entrepreneurship,0.000,1975
Nauru,NRU,Entrepreneurship,0.000,1976
