Country Name,Country Code,Topic,% of available indicators,Year
New Zealand,NZL,Assets,0.000,1960
New Zealand,NZL,Assets,0.000,1961
New Zealand,NZL,Assets,0.000,1962
New Zealand,NZL,Assets,0.000,1963
New Zealand,NZL,Assets,0.000,1964
New Zealand,NZL,Assets,0.000,1965
New Zealand,NZL,Assets,0.000,1966
New Zealand,NZL,Assets,0.000,1967
New Zealand,NZL,Assets,0.000,1968
New Zealand,NZL,Assets,0.000,1969
New Zealand,NZL,Assets,2.208,1970
New Zealand,NZL,Assets,2.208,1971
New Zealand,NZL,Assets,2.208,1972
New Zealand,NZL,Assets,2.208,1973
New Zealand,NZL,Assets,2.208,1974
New Zealand,NZL,Assets,2.208,1975
New Zealand,NZL,Assets,2.208,1976
New Zealand,NZL,Assets,2.208,1977
New Zealand,NZL,Assets,2.208,1978
New Zealand,NZL,Assets,2.208,1979
New Zealand,NZL,Assets,2.208,1980
New Zealand,NZL,Assets,2.208,1981
New Zealand,NZL,Assets,2.208,1982
New Zealand,NZL,Assets,2.208,1983
New Zealand,NZL,Assets,2.208,1984
New Zealand,NZL,Assets,2.208,1985
New Zealand,NZL,Assets,2.208,1986
New Zealand,NZL,Assets,2.208,1987
New Zealand,NZL,Assets,2.208,1988
New Zealand,NZL,Assets,2.208,1989
New Zealand,NZL,Assets,2.208,1990
New Zealand,NZL,Assets,2.208,1991
New Zealand,NZL,Assets,2.208,1992
New Zealand,NZL,Assets,2.208,1993
New Zealand,NZL,Assets,2.208,1994
New Zealand,NZL,Assets,2.208,1995
New Zealand,NZL,Assets,2.208,1996
New Zealand,NZL,Assets,2.208,1997
New Zealand,NZL,Assets,2.208,1998
New Zealand,NZL,Assets,2.208,1999
New Zealand,NZL,Assets,2.208,2000
New Zealand,NZL,Assets,2.208,2001
New Zealand,NZL,Assets,2.208,2002
New Zealand,NZL,Assets,2.208,2003
New Zealand,NZL,Assets,2.208,2004
New Zealand,NZL,Assets,2.208,2005
New Zealand,NZL,Assets,2.208,2006
New Zealand,NZL,Assets,2.208,2007
New Zealand,NZL,Assets,2.208,2008
New Zealand,NZL,Assets,2.208,2009
New Zealand,NZL,Assets,2.208,2010
New Zealand,NZL,Assets,10.726,2011
New Zealand,NZL,Assets,2.208,2012
New Zealand,NZL,Assets,2.208,2013
New Zealand,NZL,Assets,24.921,2014
New Zealand,NZL,Assets,2.208,2015
New Zealand,NZL,Assets,2.208,2016
New Zealand,NZL,Assets,26.814,2017
New Zealand,NZL,Assets,2.208,2018
New Zealand,NZL,Assets,2.208,2019
New Zealand,NZL,Assets,2.208,2020
New Zealand,NZL,Assets,51.104,2021
New Zealand,NZL,Assets,2.208,2022
New Zealand,NZL,Assets,2.208,2023
New Zealand,NZL,Children 0-14,19.231,1960
New Zealand,NZL,Children 0-14,19.231,1961
New Zealand,NZL,Children 0-14,19.231,1962
New Zealand,NZL,Children 0-14,19.231,1963
New Zealand,NZL,Children 0-14,19.231,1964
New Zealand,NZL,Children 0-14,19.231,1965
New Zealand,NZL,Children 0-14,19.231,1966
New Zealand,NZL,Children 0-14,19.231,1967
New Zealand,NZL,Children 0-14,19.231,1968
New Zealand,NZL,Children 0-14,19.231,1969
New Zealand,NZL,Children 0-14,30.769,1970
New Zealand,NZL,Children 0-14,30.769,1971
New Zealand,NZL,Children 0-14,30.769,1972
New Zealand,NZL,Children 0-14,33.846,1973
New Zealand,NZL,Children 0-14,32.308,1974
New Zealand,NZL,Children 0-14,32.308,1975
New Zealand,NZL,Children 0-14,30.769,1976
New Zealand,NZL,Children 0-14,32.308,1977
New Zealand,NZL,Children 0-14,30.769,1978
New Zealand,NZL,Children 0-14,29.231,1979
New Zealand,NZL,Children 0-14,30.000,1980
New Zealand,NZL,Children 0-14,32.308,1981
New Zealand,NZL,Children 0-14,31.538,1982
New Zealand,NZL,Children 0-14,32.308,1983
New Zealand,NZL,Children 0-14,30.000,1984
New Zealand,NZL,Children 0-14,30.000,1985
