Country Name,Country Code,Topic,% of available indicators,Year
Oman,OMN,Assets,0.000,1960
Oman,OMN,Assets,0.000,1961
Oman,OMN,Assets,0.000,1962
Oman,OMN,Assets,0.000,1963
Oman,OMN,Assets,0.000,1964
Oman,OMN,Assets,0.000,1965
Oman,OMN,Assets,0.000,1966
Oman,OMN,Assets,0.000,1967
Oman,OMN,Assets,0.000,1968
Oman,OMN,Assets,0.000,1969
Oman,OMN,Assets,2.208,1970
Oman,OMN,Assets,2.208,1971
Oman,OMN,Assets,2.208,1972
Oman,OMN,Assets,2.208,1973
Oman,OMN,Assets,2.208,1974
Oman,OMN,Assets,2.208,1975
Oman,OMN,Assets,2.208,1976
Oman,OMN,Assets,2.208,1977
Oman,OMN,Assets,2.208,1978
Oman,OMN,Assets,2.208,1979
Oman,OMN,Assets,2.208,1980
Oman,OMN,Assets,2.208,1981
Oman,OMN,Assets,2.208,1982
Oman,OMN,Assets,2.208,1983
Oman,OMN,Assets,2.208,1984
Oman,OMN,Assets,2.208,1985
Oman,OMN,Assets,2.208,1986
Oman,OMN,Assets,2.208,1987
Oman,OMN,Assets,2.208,1988
Oman,OMN,Assets,2.208,1989
Oman,OMN,Assets,2.208,1990
Oman,OMN,Assets,2.208,1991
Oman,OMN,Assets,2.208,1992
Oman,OMN,Assets,2.208,1993
Oman,OMN,Assets,2.208,1994
Oman,OMN,Assets,2.208,1995
Oman,OMN,Assets,2.208,1996
Oman,OMN,Assets,2.208,1997
Oman,OMN,Assets,2.208,1998
Oman,OMN,Assets,2.208,1999
Oman,OMN,Assets,2.208,2000
Oman,OMN,Assets,2.208,2001
Oman,OMN,Assets,2.208,2002
Oman,OMN,Assets,2.208,2003
Oman,OMN,Assets,2.208,2004
Oman,OMN,Assets,2.208,2005
Oman,OMN,Assets,2.208,2006
Oman,OMN,Assets,2.208,2007
Oman,OMN,Assets,2.208,2008
Oman,OMN,Assets,2.208,2009
Oman,OMN,Assets,2.208,2010
Oman,OMN,Assets,10.726,2011
Oman,OMN,Assets,2.208,2012
Oman,OMN,Assets,2.208,2013
Oman,OMN,Assets,2.208,2014
Oman,OMN,Assets,2.208,2015
Oman,OMN,Assets,2.208,2016
Oman,OMN,Assets,2.208,2017
Oman,OMN,Assets,2.208,2018
Oman,OMN,Assets,2.208,2019
Oman,OMN,Assets,2.208,2020
Oman,OMN,Assets,2.208,2021
Oman,OMN,Assets,2.208,2022
Oman,OMN,Assets,2.208,2023
Oman,OMN,Children 0-14,11.538,1960
Oman,OMN,Children 0-14,11.538,1961
Oman,OMN,Children 0-14,11.538,1962
Oman,OMN,Children 0-14,15.385,1963
Oman,OMN,Children 0-14,17.692,1964
Oman,OMN,Children 0-14,17.692,1965
Oman,OMN,Children 0-14,17.692,1966
Oman,OMN,Children 0-14,17.692,1967
Oman,OMN,Children 0-14,19.231,1968
Oman,OMN,Children 0-14,19.231,1969
Oman,OMN,Children 0-14,19.231,1970
Oman,OMN,Children 0-14,23.077,1971
Oman,OMN,Children 0-14,23.077,1972
Oman,OMN,Children 0-14,30.769,1973
Oman,OMN,Children 0-14,40.000,1974
Oman,OMN,Children 0-14,38.462,1975
Oman,OMN,Children 0-14,38.462,1976
Oman,OMN,Children 0-14,29.231,1977
Oman,OMN,Children 0-14,40.000,1978
Oman,OMN,Children 0-14,38.462,1979
Oman,OMN,Children 0-14,24.615,1980
Oman,OMN,Children 0-14,34.615,1981
Oman,OMN,Children 0-14,36.154,1982
Oman,OMN,Children 0-14,41.538,1983
Oman,OMN,Children 0-14,41.538,1984
Oman,OMN,Children 0-14,41.538,1985
Oman,OMN,Children 0-14,41.538,1986
Oman,OMN,Children 0-14,41.538,1987
Oman,OMN,Children 0-14,41.538,1988
Oman,OMN,Children 0-14,41.538,1989
Oman,OMN,Children 0-14,40.000,1990
Oman,OMN,Children 0-14,39.231,1991
Oman,OMN,Children 0-14,40.000,1992
Oman,OMN,Children 0-14,36.154,1993
Oman,OMN,Children 0-14,48.462,1994
Oman,OMN,Children 0-14,41.538,1995
Oman,OMN,Children 0-14,41.538,1996
Oman,OMN,Children 0-14,41.538,1997
Oman,OMN,Children 0-14,39.231,1998
Oman,OMN,Children 0-14,48.462,1999
Oman,OMN,Children 0-14,53.077,2000
Oman,OMN,Children 0-14,39.231,2001
Oman,OMN,Children 0-14,39.231,2002
Oman,OMN,Children 0-14,44.615,2003
Oman,OMN,Children 0-14,20.769,2004
Oman,OMN,Children 0-14,26.923,2005
Oman,OMN,Children 0-14,24.615,2006
Oman,OMN,Children 0-14,27.692,2007
Oman,OMN,Children 0-14,32.308,2008
Oman,OMN,Children 0-14,52.308,2009
Oman,OMN,Children 0-14,41.538,2010
Oman,OMN,Children 0-14,49.231,2011
Oman,OMN,Children 0-14,43.077,2012
Oman,OMN,Children 0-14,39.231,2013
Oman,OMN,Children 0-14,52.308,2014
Oman,OMN,Children 0-14,59.231,2015
Oman,OMN,Children 0-14,45.385,2016
Oman,OMN,Children 0-14,60.769,2017
Oman,OMN,Children 0-14,53.846,2018
Oman,OMN,Children 0-14,53.077,2019
Oman,OMN,Children 0-14,36.154,2020
Oman,OMN,Children 0-14,39.231,2021
Oman,OMN,Children 0-14,35.385,2022
Oman,OMN,Children 0-14,19.231,2023
Oman,OMN,Education,0.000,1960
Oman,OMN,Education,0.000,1961
Oman,OMN,Education,0.000,1962
Oman,OMN,Education,0.000,1963
Oman,OMN,Education,0.000,1964
Oman,OMN,Education,0.000,1965
Oman,OMN,Education,0.000,1966
Oman,OMN,Education,0.000,1967
Oman,OMN,Education,0.000,1968
Oman,OMN,Education,0.000,1969
Oman,OMN,Education,0.000,1970
Oman,OMN,Education,6.748,1971
Oman,OMN,Education,6.748,1972
Oman,OMN,Education,16.564,1973
Oman,OMN,Education,25.153,1974
Oman,OMN,Education,25.153,1975
Oman,OMN,Education,23.926,1976
Oman,OMN,Education,18.405,1977
Oman,OMN,Education,31.288,1978
Oman,OMN,Education,28.221,1979
Oman,OMN,Education,14.724,1980
Oman,OMN,Education,23.926,1981
Oman,OMN,Education,29.448,1982
Oman,OMN,Education,30.675,1983
Oman,OMN,Education,30.675,1984
Oman,OMN,Education,30.675,1985
Oman,OMN,Education,31.288,1986
Oman,OMN,Education,31.288,1987
Oman,OMN,Education,31.288,1988
Oman,OMN,Education,31.288,1989
Oman,OMN,Education,28.221,1990
Oman,OMN,Education,26.994,1991
Oman,OMN,Education,28.221,1992
Oman,OMN,Education,28.834,1993
Oman,OMN,Education,31.288,1994
Oman,OMN,Education,31.288,1995
Oman,OMN,Education,31.288,1996
Oman,OMN,Education,30.061,1997
Oman,OMN,Education,31.288,1998
Oman,OMN,Education,23.926,1999
Oman,OMN,Education,25.153,2000
Oman,OMN,Education,25.767,2001
Oman,OMN,Education,26.380,2002
Oman,OMN,Education,44.172,2003
Oman,OMN,Education,5.521,2004
Oman,OMN,Education,15.337,2005
Oman,OMN,Education,12.270,2006
Oman,OMN,Education,23.313,2007
Oman,OMN,Education,26.380,2008
Oman,OMN,Education,41.104,2009
Oman,OMN,Education,44.785,2010
Oman,OMN,Education,39.264,2011
Oman,OMN,Education,33.742,2012
Oman,OMN,Education,40.491,2013
Oman,OMN,Education,30.675,2014
Oman,OMN,Education,63.804,2015
Oman,OMN,Education,51.534,2016
Oman,OMN,Education,79.755,2017
Oman,OMN,Education,79.755,2018
Oman,OMN,Education,38.037,2019
Oman,OMN,Education,42.331,2020
Oman,OMN,Education,37.423,2021
Oman,OMN,Education,33.129,2022
Oman,OMN,Education,18.405,2023
Oman,OMN,Employment and Time Use,0.000,1960
Oman,OMN,Employment and Time Use,0.000,1961
Oman,OMN,Employment and Time Use,0.000,1962
Oman,OMN,Employment and Time Use,0.000,1963
Oman,OMN,Employment and Time Use,0.000,1964
Oman,OMN,Employment and Time Use,0.000,1965
Oman,OMN,Employment and Time Use,0.000,1966
Oman,OMN,Employment and Time Use,0.000,1967
Oman,OMN,Employment and Time Use,0.000,1968
Oman,OMN,Employment and Time Use,0.000,1969
Oman,OMN,Employment and Time Use,21.168,1970
Oman,OMN,Employment and Time Use,21.168,1971
Oman,OMN,Employment and Time Use,21.168,1972
