Country Name,Country Code,Topic,% of available indicators,Year
Pakistan,PAK,Assets,0.000,1960
Pakistan,PAK,Assets,0.000,1961
Pakistan,PAK,Assets,0.000,1962
Pakistan,PAK,Assets,0.000,1963
Pakistan,PAK,Assets,0.000,1964
Pakistan,PAK,Assets,0.000,1965
Pakistan,PAK,Assets,0.000,1966
Pakistan,PAK,Assets,0.000,1967
Pakistan,PAK,Assets,0.000,1968
Pakistan,PAK,Assets,0.000,1969
Pakistan,PAK,Assets,2.208,1970
Pakistan,PAK,Assets,2.208,1971
Pakistan,PAK,Assets,2.208,1972
Pakistan,PAK,Assets,2.208,1973
Pakistan,PAK,Assets,2.208,1974
Pakistan,PAK,Assets,2.208,1975
Pakistan,PAK,Assets,2.208,1976
Pakistan,PAK,Assets,2.208,1977
Pakistan,PAK,Assets,2.208,1978
Pakistan,PAK,Assets,2.208,1979
Pakistan,PAK,Assets,2.208,1980
Pakistan,PAK,Assets,2.208,1981
Pakistan,PAK,Assets,2.208,1982
Pakistan,PAK,Assets,2.208,1983
Pakistan,PAK,Assets,2.208,1984
Pakistan,PAK,Assets,2.208,1985
Pakistan,PAK,Assets,2.208,1986
Pakistan,PAK,Assets,2.208,1987
Pakistan,PAK,Assets,2.208,1988
Pakistan,PAK,Assets,2.208,1989
Pakistan,PAK,Assets,2.208,1990
Pakistan,PAK,Assets,2.208,1991
Pakistan,PAK,Assets,2.208,1992
Pakistan,PAK,Assets,2.208,1993
Pakistan,PAK,Assets,2.208,1994
Pakistan,PAK,Assets,2.208,1995
Pakistan,PAK,Assets,2.208,1996
Pakistan,PAK,Assets,2.208,1997
Pakistan,PAK,Assets,2.208,1998
Pakistan,PAK,Assets,2.208,1999
Pakistan,PAK,Assets,2.208,2000
Pakistan,PAK,Assets,2.208,2001
Pakistan,PAK,Assets,2.208,2002
Pakistan,PAK,Assets,2.208,2003
Pakistan,PAK,Assets,2.208,2004
Pakistan,PAK,Assets,2.208,2005
Pakistan,PAK,Assets,2.208,2006
Pakistan,PAK,Assets,2.208,2007
Pakistan,PAK,Assets,2.208,2008
Pakistan,PAK,Assets,2.208,2009
Pakistan,PAK,Assets,2.208,2010
Pakistan,PAK,Assets,11.672,2011
Pakistan,PAK,Assets,2.208,2012
Pakistan,PAK,Assets,32.492,2013
Pakistan,PAK,Assets,30.599,2014
Pakistan,PAK,Assets,2.208,2015
Pakistan,PAK,Assets,2.208,2016
Pakistan,PAK,Assets,34.069,2017
Pakistan,PAK,Assets,32.492,2018
Pakistan,PAK,Assets,2.208,2019
Pakistan,PAK,Assets,2.208,2020
Pakistan,PAK,Assets,63.091,2021
Pakistan,PAK,Assets,2.208,2022
Pakistan,PAK,Assets,2.208,2023
Pakistan,PAK,Children 0-14,19.231,1960
Pakistan,PAK,Children 0-14,19.231,1961
Pakistan,PAK,Children 0-14,19.231,1962
Pakistan,PAK,Children 0-14,19.231,1963
Pakistan,PAK,Children 0-14,19.231,1964
Pakistan,PAK,Children 0-14,19.231,1965
Pakistan,PAK,Children 0-14,19.231,1966
Pakistan,PAK,Children 0-14,19.231,1967
Pakistan,PAK,Children 0-14,19.231,1968
Pakistan,PAK,Children 0-14,19.231,1969
Pakistan,PAK,Children 0-14,19.231,1970
Pakistan,PAK,Children 0-14,23.077,1971
Pakistan,PAK,Children 0-14,27.692,1972
Pakistan,PAK,Children 0-14,23.077,1973
Pakistan,PAK,Children 0-14,23.077,1974
Pakistan,PAK,Children 0-14,23.077,1975
Pakistan,PAK,Children 0-14,23.077,1976
Pakistan,PAK,Children 0-14,23.077,1977
Pakistan,PAK,Children 0-14,23.077,1978
Pakistan,PAK,Children 0-14,23.077,1979
Pakistan,PAK,Children 0-14,24.615,1980
Pakistan,PAK,Children 0-14,26.923,1981
Pakistan,PAK,Children 0-14,24.615,1982
Pakistan,PAK,Children 0-14,24.615,1983
Pakistan,PAK,Children 0-14,24.615,1984
Pakistan,PAK,Children 0-14,24.615,1985
Pakistan,PAK,Children 0-14,27.692,1986
Pakistan,PAK,Children 0-14,24.615,1987
Pakistan,PAK,Children 0-14,24.615,1988
Pakistan,PAK,Children 0-14,24.615,1989
Pakistan,PAK,Children 0-14,24.615,1990
Pakistan,PAK,Children 0-14,32.308,1991
Pakistan,PAK,Children 0-14,32.308,1992
Pakistan,PAK,Children 0-14,20.769,1993
Pakistan,PAK,Children 0-14,20.769,1994
Pakistan,PAK,Children 0-14,21.538,1995
Pakistan,PAK,Children 0-14,20.769,1996
Pakistan,PAK,Children 0-14,20.769,1997
Pakistan,PAK,Children 0-14,20.769,1998
Pakistan,PAK,Children 0-14,20.769,1999
Pakistan,PAK,Children 0-14,40.769,2000
Pakistan,PAK,Children 0-14,38.462,2001
Pakistan,PAK,Children 0-14,31.538,2002
Pakistan,PAK,Children 0-14,31.538,2003
Pakistan,PAK,Children 0-14,37.692,2004
Pakistan,PAK,Children 0-14,43.846,2005
Pakistan,PAK,Children 0-14,41.538,2006
Pakistan,PAK,Children 0-14,39.231,2007
Pakistan,PAK,Children 0-14,47.692,2008
Pakistan,PAK,Children 0-14,45.385,2009
Pakistan,PAK,Children 0-14,61.538,2010
Pakistan,PAK,Children 0-14,59.231,2011
Pakistan,PAK,Children 0-14,45.385,2012
Pakistan,PAK,Children 0-14,59.231,2013
Pakistan,PAK,Children 0-14,46.923,2014
Pakistan,PAK,Children 0-14,59.231,2015
Pakistan,PAK,Children 0-14,46.154,2016
Pakistan,PAK,Children 0-14,50.000,2017
Pakistan,PAK,Children 0-14,69.231,2018
Pakistan,PAK,Children 0-14,51.538,2019
Pakistan,PAK,Children 0-14,25.385,2020
Pakistan,PAK,Children 0-14,35.385,2021
Pakistan,PAK,Children 0-14,30.769,2022
Pakistan,PAK,Children 0-14,9.231,2023
Pakistan,PAK,Education,0.000,1960
Pakistan,PAK,Education,0.000,1961
Pakistan,PAK,Education,0.000,1962
Pakistan,PAK,Education,0.000,1963
Pakistan,PAK,Education,0.000,1964
Pakistan,PAK,Education,0.000,1965
Pakistan,PAK,Education,0.000,1966
Pakistan,PAK,Education,0.000,1967
Pakistan,PAK,Education,0.000,1968
Pakistan,PAK,Education,0.000,1969
Pakistan,PAK,Education,0.000,1970
Pakistan,PAK,Education,16.564,1971
Pakistan,PAK,Education,23.313,1972
Pakistan,PAK,Education,15.337,1973
Pakistan,PAK,Education,15.337,1974
Pakistan,PAK,Education,15.951,1975
Pakistan,PAK,Education,16.564,1976
Pakistan,PAK,Education,15.951,1977
Pakistan,PAK,Education,15.951,1978
Pakistan,PAK,Education,15.951,1979
Pakistan,PAK,Education,15.951,1980
Pakistan,PAK,Education,22.086,1981
Pakistan,PAK,Education,11.656,1982
Pakistan,PAK,Education,11.656,1983
Pakistan,PAK,Education,11.656,1984
Pakistan,PAK,Education,11.656,1985
Pakistan,PAK,Education,15.951,1986
Pakistan,PAK,Education,16.564,1987
Pakistan,PAK,Education,14.724,1988
Pakistan,PAK,Education,11.656,1989
Pakistan,PAK,Education,15.951,1990
Pakistan,PAK,Education,6.748,1991
Pakistan,PAK,Education,9.816,1992
Pakistan,PAK,Education,0.613,1993
Pakistan,PAK,Education,0.613,1994
