Country Name,Country Code,Topic,% of available indicators,Year
Panama,PAN,Assets,0.000,1960
Panama,PAN,Assets,0.000,1961
Panama,PAN,Assets,0.000,1962
Panama,PAN,Assets,0.000,1963
Panama,PAN,Assets,0.000,1964
Panama,PAN,Assets,0.000,1965
Panama,PAN,Assets,0.000,1966
Panama,PAN,Assets,0.000,1967
Panama,PAN,Assets,0.000,1968
Panama,PAN,Assets,0.000,1969
Panama,PAN,Assets,2.208,1970
Panama,PAN,Assets,2.208,1971
Panama,PAN,Assets,2.208,1972
Panama,PAN,Assets,2.208,1973
Panama,PAN,Assets,2.208,1974
Panama,PAN,Assets,2.208,1975
Panama,PAN,Assets,2.208,1976
Panama,PAN,Assets,2.208,1977
Panama,PAN,Assets,2.208,1978
Panama,PAN,Assets,2.208,1979
Panama,PAN,Assets,2.208,1980
Panama,PAN,Assets,2.208,1981
Panama,PAN,Assets,2.208,1982
Panama,PAN,Assets,2.208,1983
Panama,PAN,Assets,2.208,1984
Panama,PAN,Assets,2.208,1985
Panama,PAN,Assets,2.208,1986
Panama,PAN,Assets,2.208,1987
Panama,PAN,Assets,2.208,1988
Panama,PAN,Assets,2.208,1989
Panama,PAN,Assets,2.208,1990
Panama,PAN,Assets,2.208,1991
Panama,PAN,Assets,2.208,1992
Panama,PAN,Assets,2.208,1993
Panama,PAN,Assets,2.208,1994
Panama,PAN,Assets,2.208,1995
Panama,PAN,Assets,2.208,1996
Panama,PAN,Assets,2.208,1997
Panama,PAN,Assets,2.208,1998
Panama,PAN,Assets,2.208,1999
Panama,PAN,Assets,2.208,2000
Panama,PAN,Assets,2.208,2001
Panama,PAN,Assets,2.208,2002
Panama,PAN,Assets,2.208,2003
Panama,PAN,Assets,2.208,2004
Panama,PAN,Assets,2.208,2005
Panama,PAN,Assets,2.208,2006
Panama,PAN,Assets,2.208,2007
Panama,PAN,Assets,2.208,2008
Panama,PAN,Assets,2.208,2009
Panama,PAN,Assets,2.208,2010
Panama,PAN,Assets,11.672,2011
Panama,PAN,Assets,2.208,2012
Panama,PAN,Assets,2.208,2013
Panama,PAN,Assets,31.546,2014
Panama,PAN,Assets,2.208,2015
Panama,PAN,Assets,2.208,2016
Panama,PAN,Assets,34.069,2017
Panama,PAN,Assets,2.208,2018
Panama,PAN,Assets,2.208,2019
Panama,PAN,Assets,2.208,2020
Panama,PAN,Assets,61.199,2021
Panama,PAN,Assets,2.208,2022
Panama,PAN,Assets,2.208,2023
Panama,PAN,Children 0-14,19.231,1960
Panama,PAN,Children 0-14,19.231,1961
Panama,PAN,Children 0-14,19.231,1962
Panama,PAN,Children 0-14,19.231,1963
Panama,PAN,Children 0-14,19.231,1964
Panama,PAN,Children 0-14,19.231,1965
Panama,PAN,Children 0-14,19.231,1966
Panama,PAN,Children 0-14,19.231,1967
Panama,PAN,Children 0-14,19.231,1968
Panama,PAN,Children 0-14,19.231,1969
Panama,PAN,Children 0-14,38.462,1970
Panama,PAN,Children 0-14,37.692,1971
Panama,PAN,Children 0-14,38.462,1972
Panama,PAN,Children 0-14,38.462,1973
Panama,PAN,Children 0-14,30.769,1974
Panama,PAN,Children 0-14,38.462,1975
Panama,PAN,Children 0-14,38.462,1976
Panama,PAN,Children 0-14,30.769,1977
Panama,PAN,Children 0-14,38.462,1978
Panama,PAN,Children 0-14,38.462,1979
