Country Name,Country Code,Topic,% of available indicators,Year
Peru,PER,Assets,0.000,1960
Peru,PER,Assets,0.000,1961
Peru,PER,Assets,0.000,1962
Peru,PER,Assets,0.000,1963
Peru,PER,Assets,0.000,1964
Peru,PER,Assets,0.000,1965
Peru,PER,Assets,0.000,1966
Peru,PER,Assets,0.000,1967
Peru,PER,Assets,0.000,1968
Peru,PER,Assets,0.000,1969
Peru,PER,Assets,2.208,1970
Peru,PER,Assets,2.208,1971
Peru,PER,Assets,2.208,1972
Peru,PER,Assets,2.208,1973
Peru,PER,Assets,2.208,1974
Peru,PER,Assets,2.208,1975
Peru,PER,Assets,2.208,1976
Peru,PER,Assets,2.208,1977
Peru,PER,Assets,2.208,1978
Peru,PER,Assets,2.208,1979
Peru,PER,Assets,2.208,1980
Peru,PER,Assets,2.208,1981
Peru,PER,Assets,2.208,1982
Peru,PER,Assets,2.208,1983
Peru,PER,Assets,2.208,1984
Peru,PER,Assets,2.208,1985
Peru,PER,Assets,2.208,1986
Peru,PER,Assets,2.208,1987
Peru,PER,Assets,2.208,1988
Peru,PER,Assets,2.208,1989
Peru,PER,Assets,2.208,1990
Peru,PER,Assets,2.208,1991
Peru,PER,Assets,2.208,1992
Peru,PER,Assets,2.208,1993
Peru,PER,Assets,2.208,1994
Peru,PER,Assets,2.208,1995
Peru,PER,Assets,2.208,1996
Peru,PER,Assets,2.208,1997
Peru,PER,Assets,2.208,1998
Peru,PER,Assets,2.208,1999
Peru,PER,Assets,2.208,2000
Peru,PER,Assets,2.208,2001
Peru,PER,Assets,2.208,2002
Peru,PER,Assets,2.208,2003
Peru,PER,Assets,2.208,2004
Peru,PER,Assets,2.208,2005
Peru,PER,Assets,2.208,2006
Peru,PER,Assets,2.208,2007
Peru,PER,Assets,2.208,2008
Peru,PER,Assets,2.208,2009
Peru,PER,Assets,2.208,2010
Peru,PER,Assets,11.672,2011
Peru,PER,Assets,2.208,2012
Peru,PER,Assets,2.208,2013
Peru,PER,Assets,31.546,2014
Peru,PER,Assets,2.208,2015
Peru,PER,Assets,2.208,2016
Peru,PER,Assets,34.069,2017
Peru,PER,Assets,2.208,2018
Peru,PER,Assets,2.208,2019
Peru,PER,Assets,2.208,2020
Peru,PER,Assets,63.091,2021
Peru,PER,Assets,2.208,2022
Peru,PER,Assets,2.208,2023
Peru,PER,Children 0-14,19.231,1960
Peru,PER,Children 0-14,19.231,1961
Peru,PER,Children 0-14,19.231,1962
Peru,PER,Children 0-14,19.231,1963
Peru,PER,Children 0-14,19.231,1964
Peru,PER,Children 0-14,19.231,1965
Peru,PER,Children 0-14,19.231,1966
Peru,PER,Children 0-14,19.231,1967
Peru,PER,Children 0-14,19.231,1968
Peru,PER,Children 0-14,19.231,1969
Peru,PER,Children 0-14,38.462,1970
Peru,PER,Children 0-14,22.308,1971
Peru,PER,Children 0-14,26.923,1972
Peru,PER,Children 0-14,30.000,1973
Peru,PER,Children 0-14,24.615,1974
Peru,PER,Children 0-14,24.615,1975
Peru,PER,Children 0-14,24.615,1976
Peru,PER,Children 0-14,32.308,1977
Peru,PER,Children 0-14,30.769,1978
Peru,PER,Children 0-14,32.308,1979
Peru,PER,Children 0-14,36.923,1980
Peru,PER,Children 0-14,44.615,1981
Peru,PER,Children 0-14,30.000,1982
Peru,PER,Children 0-14,22.308,1983
Peru,PER,Children 0-14,21.538,1984
Peru,PER,Children 0-14,32.308,1985
Peru,PER,Children 0-14,22.308,1986
Peru,PER,Children 0-14,22.308,1987
Peru,PER,Children 0-14,25.385,1988
Peru,PER,Children 0-14,22.308,1989
Peru,PER,Children 0-14,22.308,1990
Peru,PER,Children 0-14,38.462,1991
Peru,PER,Children 0-14,28.462,1992
Peru,PER,Children 0-14,40.000,1993
Peru,PER,Children 0-14,22.308,1994
Peru,PER,Children 0-14,40.000,1995
Peru,PER,Children 0-14,40.000,1996
Peru,PER,Children 0-14,25.385,1997
Peru,PER,Children 0-14,39.231,1998
Peru,PER,Children 0-14,39.231,1999
Peru,PER,Children 0-14,75.385,2000
Peru,PER,Children 0-14,43.077,2001
Peru,PER,Children 0-14,42.308,2002
Peru,PER,Children 0-14,46.923,2003
Peru,PER,Children 0-14,46.923,2004
Peru,PER,Children 0-14,58.462,2005
Peru,PER,Children 0-14,56.923,2006
Peru,PER,Children 0-14,59.231,2007
Peru,PER,Children 0-14,52.308,2008
Peru,PER,Children 0-14,62.308,2009
Peru,PER,Children 0-14,78.462,2010
Peru,PER,Children 0-14,65.385,2011
Peru,PER,Children 0-14,60.769,2012
Peru,PER,Children 0-14,68.462,2013
Peru,PER,Children 0-14,61.538,2014
Peru,PER,Children 0-14,76.923,2015
Peru,PER,Children 0-14,63.077,2016
Peru,PER,Children 0-14,63.846,2017
