Country Name,Country Code,Topic,% of available indicators,Year
Philippines,PHL,Assets,0.000,1960
Philippines,PHL,Assets,0.000,1961
Philippines,PHL,Assets,0.000,1962
Philippines,PHL,Assets,0.000,1963
Philippines,PHL,Assets,0.000,1964
Philippines,PHL,Assets,0.000,1965
Philippines,PHL,Assets,0.000,1966
Philippines,PHL,Assets,0.000,1967
Philippines,PHL,Assets,0.000,1968
Philippines,PHL,Assets,0.000,1969
Philippines,PHL,Assets,2.208,1970
Philippines,PHL,Assets,2.208,1971
Philippines,PHL,Assets,2.208,1972
Philippines,PHL,Assets,2.208,1973
Philippines,PHL,Assets,2.208,1974
Philippines,PHL,Assets,2.208,1975
Philippines,PHL,Assets,2.208,1976
Philippines,PHL,Assets,2.208,1977
Philippines,PHL,Assets,2.208,1978
Philippines,PHL,Assets,2.208,1979
Philippines,PHL,Assets,2.208,1980
Philippines,PHL,Assets,2.208,1981
Philippines,PHL,Assets,2.208,1982
Philippines,PHL,Assets,2.208,1983
Philippines,PHL,Assets,2.208,1984
Philippines,PHL,Assets,2.208,1985
Philippines,PHL,Assets,2.208,1986
Philippines,PHL,Assets,2.208,1987
Philippines,PHL,Assets,2.208,1988
Philippines,PHL,Assets,2.208,1989
Philippines,PHL,Assets,2.208,1990
Philippines,PHL,Assets,2.208,1991
Philippines,PHL,Assets,2.208,1992
Philippines,PHL,Assets,2.208,1993
Philippines,PHL,Assets,2.208,1994
Philippines,PHL,Assets,2.208,1995
Philippines,PHL,Assets,2.208,1996
Philippines,PHL,Assets,2.208,1997
Philippines,PHL,Assets,2.208,1998
Philippines,PHL,Assets,2.208,1999
Philippines,PHL,Assets,2.208,2000
Philippines,PHL,Assets,2.208,2001
Philippines,PHL,Assets,2.208,2002
Philippines,PHL,Assets,2.208,2003
Philippines,PHL,Assets,2.208,2004
Philippines,PHL,Assets,2.208,2005
Philippines,PHL,Assets,2.208,2006
Philippines,PHL,Assets,2.208,2007
Philippines,PHL,Assets,2.208,2008
Philippines,PHL,Assets,2.208,2009
Philippines,PHL,Assets,2.208,2010
Philippines,PHL,Assets,11.672,2011
Philippines,PHL,Assets,2.208,2012
Philippines,PHL,Assets,17.350,2013
Philippines,PHL,Assets,31.546,2014
Philippines,PHL,Assets,2.208,2015
Philippines,PHL,Assets,2.208,2016
Philippines,PHL,Assets,48.580,2017
Philippines,PHL,Assets,2.208,2018
Philippines,PHL,Assets,2.208,2019
Philippines,PHL,Assets,2.208,2020
Philippines,PHL,Assets,62.461,2021
Philippines,PHL,Assets,17.350,2022
Philippines,PHL,Assets,2.208,2023
Philippines,PHL,Children 0-14,19.231,1960
Philippines,PHL,Children 0-14,19.231,1961
Philippines,PHL,Children 0-14,19.231,1962
Philippines,PHL,Children 0-14,19.231,1963
Philippines,PHL,Children 0-14,19.231,1964
Philippines,PHL,Children 0-14,19.231,1965
Philippines,PHL,Children 0-14,19.231,1966
Philippines,PHL,Children 0-14,19.231,1967
Philippines,PHL,Children 0-14,19.231,1968
Philippines,PHL,Children 0-14,19.231,1969
Philippines,PHL,Children 0-14,23.846,1970
Philippines,PHL,Children 0-14,20.769,1971
Philippines,PHL,Children 0-14,22.308,1972
Philippines,PHL,Children 0-14,20.769,1973
Philippines,PHL,Children 0-14,20.769,1974
Philippines,PHL,Children 0-14,25.385,1975
Philippines,PHL,Children 0-14,28.462,1976
Philippines,PHL,Children 0-14,20.769,1977
Philippines,PHL,Children 0-14,20.769,1978
Philippines,PHL,Children 0-14,23.077,1979
Philippines,PHL,Children 0-14,25.385,1980
Philippines,PHL,Children 0-14,35.385,1981
Philippines,PHL,Children 0-14,36.154,1982
Philippines,PHL,Children 0-14,39.231,1983
Philippines,PHL,Children 0-14,39.231,1984
Philippines,PHL,Children 0-14,33.077,1985
Philippines,PHL,Children 0-14,39.231,1986
Philippines,PHL,Children 0-14,41.538,1987
Philippines,PHL,Children 0-14,37.692,1988
Philippines,PHL,Children 0-14,37.692,1989
Philippines,PHL,Children 0-14,35.385,1990
Philippines,PHL,Children 0-14,26.923,1991
Philippines,PHL,Children 0-14,34.615,1992
Philippines,PHL,Children 0-14,34.615,1993
Philippines,PHL,Children 0-14,30.000,1994
Philippines,PHL,Children 0-14,27.692,1995
Philippines,PHL,Children 0-14,30.000,1996
Philippines,PHL,Children 0-14,27.692,1997
Philippines,PHL,Children 0-14,46.154,1998
Philippines,PHL,Children 0-14,42.308,1999
Philippines,PHL,Children 0-14,41.538,2000
Philippines,PHL,Children 0-14,46.154,2001
Philippines,PHL,Children 0-14,43.846,2002
Philippines,PHL,Children 0-14,58.462,2003
Philippines,PHL,Children 0-14,48.462,2004
Philippines,PHL,Children 0-14,43.846,2005
Philippines,PHL,Children 0-14,43.846,2006
Philippines,PHL,Children 0-14,43.846,2007
Philippines,PHL,Children 0-14,61.538,2008
Philippines,PHL,Children 0-14,40.000,2009
Philippines,PHL,Children 0-14,44.615,2010
Philippines,PHL,Children 0-14,34.615,2011
Philippines,PHL,Children 0-14,23.077,2012
Philippines,PHL,Children 0-14,43.077,2013
Philippines,PHL,Children 0-14,42.308,2014
Philippines,PHL,Children 0-14,65.385,2015
Philippines,PHL,Children 0-14,41.538,2016
Philippines,PHL,Children 0-14,60.000,2017
Philippines,PHL,Children 0-14,51.538,2018
Philippines,PHL,Children 0-14,67.692,2019
Philippines,PHL,Children 0-14,43.077,2020
Philippines,PHL,Children 0-14,50.000,2021
Philippines,PHL,Children 0-14,39.231,2022
Philippines,PHL,Children 0-14,19.231,2023
Philippines,PHL,Education,0.000,1960
Philippines,PHL,Education,0.000,1961
Philippines,PHL,Education,0.000,1962
Philippines,PHL,Education,0.000,1963
Philippines,PHL,Education,0.000,1964
Philippines,PHL,Education,0.000,1965
Philippines,PHL,Education,0.000,1966
Philippines,PHL,Education,0.000,1967
Philippines,PHL,Education,0.000,1968
Philippines,PHL,Education,0.000,1969
Philippines,PHL,Education,7.362,1970
Philippines,PHL,Education,8.589,1971
Philippines,PHL,Education,6.748,1972
Philippines,PHL,Education,7.975,1973
Philippines,PHL,Education,5.521,1974
Philippines,PHL,Education,11.043,1975
Philippines,PHL,Education,11.656,1976
Philippines,PHL,Education,5.521,1977
Philippines,PHL,Education,5.521,1978
Philippines,PHL,Education,10.429,1979
Philippines,PHL,Education,20.859,1980
Philippines,PHL,Education,23.926,1981
Philippines,PHL,Education,23.313,1982
Philippines,PHL,Education,23.313,1983
