Country Name,Country Code,Topic,% of available indicators,Year
Palau,PLW,Assets,0.000,1960
Palau,PLW,Assets,0.000,1961
Palau,PLW,Assets,0.000,1962
Palau,PLW,Assets,0.000,1963
Palau,PLW,Assets,0.000,1964
Palau,PLW,Assets,0.000,1965
Palau,PLW,Assets,0.000,1966
Palau,PLW,Assets,0.000,1967
Palau,PLW,Assets,0.000,1968
Palau,PLW,Assets,0.000,1969
Palau,PLW,Assets,2.208,1970
Palau,PLW,Assets,2.208,1971
Palau,PLW,Assets,2.208,1972
Palau,PLW,Assets,2.208,1973
Palau,PLW,Assets,2.208,1974
Palau,PLW,Assets,2.208,1975
Palau,PLW,Assets,2.208,1976
Palau,PLW,Assets,2.208,1977
Palau,PLW,Assets,2.208,1978
Palau,PLW,Assets,2.208,1979
Palau,PLW,Assets,2.208,1980
Palau,PLW,Assets,2.208,1981
Palau,PLW,Assets,2.208,1982
Palau,PLW,Assets,2.208,1983
Palau,PLW,Assets,2.208,1984
Palau,PLW,Assets,2.208,1985
Palau,PLW,Assets,2.208,1986
Palau,PLW,Assets,2.208,1987
Palau,PLW,Assets,2.208,1988
Palau,PLW,Assets,2.208,1989
Palau,PLW,Assets,2.208,1990
Palau,PLW,Assets,2.208,1991
Palau,PLW,Assets,2.208,1992
Palau,PLW,Assets,2.208,1993
Palau,PLW,Assets,2.208,1994
Palau,PLW,Assets,2.208,1995
Palau,PLW,Assets,2.208,1996
Palau,PLW,Assets,2.208,1997
Palau,PLW,Assets,2.208,1998
Palau,PLW,Assets,2.208,1999
Palau,PLW,Assets,2.208,2000
Palau,PLW,Assets,2.208,2001
Palau,PLW,Assets,2.208,2002
Palau,PLW,Assets,2.208,2003
Palau,PLW,Assets,2.208,2004
Palau,PLW,Assets,2.208,2005
Palau,PLW,Assets,2.208,2006
Palau,PLW,Assets,2.208,2007
Palau,PLW,Assets,2.208,2008
Palau,PLW,Assets,2.208,2009
Palau,PLW,Assets,2.208,2010
Palau,PLW,Assets,2.208,2011
Palau,PLW,Assets,2.208,2012
Palau,PLW,Assets,2.208,2013
Palau,PLW,Assets,2.208,2014
Palau,PLW,Assets,2.208,2015
Palau,PLW,Assets,2.208,2016
Palau,PLW,Assets,2.208,2017
Palau,PLW,Assets,2.208,2018
Palau,PLW,Assets,2.208,2019
Palau,PLW,Assets,2.208,2020
Palau,PLW,Assets,2.208,2021
Palau,PLW,Assets,2.208,2022
Palau,PLW,Assets,2.208,2023
Palau,PLW,Children 0-14,8.462,1960
Palau,PLW,Children 0-14,8.462,1961
Palau,PLW,Children 0-14,8.462,1962
Palau,PLW,Children 0-14,8.462,1963
Palau,PLW,Children 0-14,8.462,1964
Palau,PLW,Children 0-14,9.231,1965
Palau,PLW,Children 0-14,9.231,1966
Palau,PLW,Children 0-14,9.231,1967
Palau,PLW,Children 0-14,9.231,1968
Palau,PLW,Children 0-14,9.231,1969
Palau,PLW,Children 0-14,9.231,1970
Palau,PLW,Children 0-14,9.231,1971
Palau,PLW,Children 0-14,9.231,1972
Palau,PLW,Children 0-14,9.231,1973
Palau,PLW,Children 0-14,9.231,1974
Palau,PLW,Children 0-14,9.231,1975
Palau,PLW,Children 0-14,9.231,1976
Palau,PLW,Children 0-14,9.231,1977
Palau,PLW,Children 0-14,9.231,1978
Palau,PLW,Children 0-14,9.231,1979
Palau,PLW,Children 0-14,9.231,1980
Palau,PLW,Children 0-14,9.231,1981
Palau,PLW,Children 0-14,9.231,1982
Palau,PLW,Children 0-14,9.231,1983
Palau,PLW,Children 0-14,9.231,1984
Palau,PLW,Children 0-14,13.077,1985
Palau,PLW,Children 0-14,16.923,1986
Palau,PLW,Children 0-14,16.923,1987
Palau,PLW,Children 0-14,16.923,1988
Palau,PLW,Children 0-14,16.923,1989
Palau,PLW,Children 0-14,20.769,1990
Palau,PLW,Children 0-14,18.462,1991
Palau,PLW,Children 0-14,18.462,1992
Palau,PLW,Children 0-14,18.462,1993
Palau,PLW,Children 0-14,18.462,1994
Palau,PLW,Children 0-14,20.769,1995
Palau,PLW,Children 0-14,18.462,1996
Palau,PLW,Children 0-14,18.462,1997
Palau,PLW,Children 0-14,18.462,1998
Palau,PLW,Children 0-14,24.615,1999
Palau,PLW,Children 0-14,30.000,2000
Palau,PLW,Children 0-14,18.462,2001
Palau,PLW,Children 0-14,19.231,2002
Palau,PLW,Children 0-14,21.538,2003
Palau,PLW,Children 0-14,26.923,2004
Palau,PLW,Children 0-14,21.538,2005
Palau,PLW,Children 0-14,19.231,2006
Palau,PLW,Children 0-14,19.231,2007
Palau,PLW,Children 0-14,18.462,2008
Palau,PLW,Children 0-14,18.462,2009
Palau,PLW,Children 0-14,20.769,2010
Palau,PLW,Children 0-14,18.462,2011
Palau,PLW,Children 0-14,18.462,2012
Palau,PLW,Children 0-14,35.385,2013
Palau,PLW,Children 0-14,39.231,2014
Palau,PLW,Children 0-14,18.462,2015
Palau,PLW,Children 0-14,18.462,2016
Palau,PLW,Children 0-14,18.462,2017
Palau,PLW,Children 0-14,20.769,2018
Palau,PLW,Children 0-14,18.462,2019
Palau,PLW,Children 0-14,32.308,2020
Palau,PLW,Children 0-14,29.231,2021
Palau,PLW,Children 0-14,28.462,2022
Palau,PLW,Children 0-14,19.231,2023
Palau,PLW,Education,0.000,1960
Palau,PLW,Education,0.000,1961
Palau,PLW,Education,0.000,1962
Palau,PLW,Education,0.000,1963
Palau,PLW,Education,0.000,1964
Palau,PLW,Education,0.000,1965
Palau,PLW,Education,0.000,1966
Palau,PLW,Education,0.000,1967
Palau,PLW,Education,0.000,1968
Palau,PLW,Education,0.000,1969
Palau,PLW,Education,0.000,1970
Palau,PLW,Education,0.000,1971
Palau,PLW,Education,0.000,1972
Palau,PLW,Education,0.000,1973
Palau,PLW,Education,0.000,1974
Palau,PLW,Education,0.000,1975
Palau,PLW,Education,0.000,1976
Palau,PLW,Education,0.000,1977
Palau,PLW,Education,0.000,1978
Palau,PLW,Education,0.000,1979
Palau,PLW,Education,6.748,1980
Palau,PLW,Education,0.000,1981
Palau,PLW,Education,0.000,1982
Palau,PLW,Education,0.000,1983
Palau,PLW,Education,0.000,1984
Palau,PLW,Education,0.000,1985
Palau,PLW,Education,0.000,1986
Palau,PLW,Education,0.000,1987
Palau,PLW,Education,0.000,1988
Palau,PLW,Education,0.000,1989
Palau,PLW,Education,0.000,1990
Palau,PLW,Education,0.000,1991
Palau,PLW,Education,0.000,1992
Palau,PLW,Education,0.000,1993
Palau,PLW,Education,0.000,1994
Palau,PLW,Education,0.000,1995
Palau,PLW,Education,0.000,1996
Palau,PLW,Education,0.000,1997
Palau,PLW,Education,0.000,1998
Palau,PLW,Education,9.816,1999
Palau,PLW,Education,19.632,2000
Palau,PLW,Education,3.681,2001
Palau,PLW,Education,4.294,2002
Palau,PLW,Education,3.681,2003
Palau,PLW,Education,10.429,2004
Palau,PLW,Education,1.227,2005
Palau,PLW,Education,1.227,2006
Palau,PLW,Education,1.227,2007
Palau,PLW,Education,0.000,2008
Palau,PLW,Education,0.000,2009
Palau,PLW,Education,0.000,2010
Palau,PLW,Education,0.000,2011
Palau,PLW,Education,0.000,2012
Palau,PLW,Education,38.037,2013
Palau,PLW,Education,33.129,2014
Palau,PLW,Education,6.748,2015
Palau,PLW,Education,0.000,2016
Palau,PLW,Education,0.000,2017
Palau,PLW,Education,11.043,2018
Palau,PLW,Education,0.000,2019
Palau,PLW,Education,36.810,2020
Palau,PLW,Education,11.656,2021
Palau,PLW,Education,15.951,2022
Palau,PLW,Education,15.951,2023
Palau,PLW,Employment and Time Use,0.000,1960
Palau,PLW,Employment and Time Use,0.000,1961
Palau,PLW,Employment and Time Use,0.000,1962
Palau,PLW,Employment and Time Use,0.000,1963
Palau,PLW,Employment and Time Use,0.000,1964
Palau,PLW,Employment and Time Use,0.000,1965
Palau,PLW,Employment and Time Use,0.000,1966
Palau,PLW,Employment and Time Use,0.000,1967
Palau,PLW,Employment and Time Use,0.000,1968
Palau,PLW,Employment and Time Use,0.000,1969
Palau,PLW,Employment and Time Use,21.168,1970
Palau,PLW,Employment and Time Use,21.168,1971
Palau,PLW,Employment and Time Use,21.168,1972
Palau,PLW,Employment and Time Use,21.168,1973
Palau,PLW,Employment and Time Use,21.168,1974
Palau,PLW,Employment and Time Use,21.168,1975
Palau,PLW,Employment and Time Use,21.168,1976
Palau,PLW,Employment and Time Use,21.168,1977
Palau,PLW,Employment and Time Use,21.168,1978
Palau,PLW,Employment and Time Use,21.168,1979
Palau,PLW,Employment and Time Use,21.168,1980
Palau,PLW,Employment and Time Use,21.168,1981
Palau,PLW,Employment and Time Use,21.168,1982
Palau,PLW,Employment and Time Use,21.168,1983
Palau,PLW,Employment and Time Use,21.168,1984
Palau,PLW,Employment and Time Use,21.168,1985
Palau,PLW,Employment and Time Use,21.168,1986
Palau,PLW,Employment and Time Use,21.168,1987
Palau,PLW,Employment and Time Use,21.168,1988
Palau,PLW,Employment and Time Use,21.168,1989
Palau,PLW,Employment and Time Use,23.358,1990
Palau,PLW,Employment and Time Use,21.168,1991
Palau,PLW,Employment and Time Use,21.168,1992
Palau,PLW,Employment and Time Use,21.168,1993
Palau,PLW,Employment and Time Use,21.168,1994
Palau,PLW,Employment and Time Use,31.387,1995
Palau,PLW,Employment and Time Use,21.168,1996
Palau,PLW,Employment and Time Use,21.168,1997
Palau,PLW,Employment and Time Use,21.168,1998
Palau,PLW,Employment and Time Use,21.168,1999
Palau,PLW,Employment and Time Use,51.095,2000
Palau,PLW,Employment and Time Use,21.168,2001
Palau,PLW,Employment and Time Use,21.168,2002
Palau,PLW,Employment and Time Use,21.168,2003
Palau,PLW,Employment and Time Use,21.168,2004
Palau,PLW,Employment and Time Use,30.657,2005
Palau,PLW,Employment and Time Use,21.898,2006
Palau,PLW,Employment and Time Use,21.168,2007
Palau,PLW,Employment and Time Use,21.168,2008
Palau,PLW,Employment and Time Use,21.168,2009
Palau,PLW,Employment and Time Use,21.168,2010
Palau,PLW,Employment and Time Use,21.168,2011
Palau,PLW,Employment and Time Use,21.168,2012
Palau,PLW,Employment and Time Use,21.168,2013
Palau,PLW,Employment and Time Use,48.905,2014
Palau,PLW,Employment and Time Use,21.168,2015
Palau,PLW,Employment and Time Use,21.168,2016
Palau,PLW,Employment and Time Use,21.168,2017
Palau,PLW,Employment and Time Use,21.168,2018
Palau,PLW,Employment and Time Use,21.168,2019
Palau,PLW,Employment and Time Use,54.015,2020
Palau,PLW,Employment and Time Use,21.168,2021
Palau,PLW,Employment and Time Use,21.168,2022
Palau,PLW,Employment and Time Use,24.088,2023
Palau,PLW,Entrepreneurship,0.000,1960
Palau,PLW,Entrepreneurship,0.000,1961
Palau,PLW,Entrepreneurship,0.000,1962
Palau,PLW,Entrepreneurship,0.000,1963
Palau,PLW,Entrepreneurship,0.000,1964
Palau,PLW,Entrepreneurship,0.000,1965
Palau,PLW,Entrepreneurship,0.000,1966
Palau,PLW,Entrepreneurship,0.000,1967
Palau,PLW,Entrepreneurship,0.000,1968
Palau,PLW,Entrepreneurship,0.000,1969
Palau,PLW,Entrepreneurship,9.375,1970
Palau,PLW,Entrepreneurship,9.375,1971
Palau,PLW,Entrepreneurship,9.375,1972
Palau,PLW,Entrepreneurship,9.375,1973
Palau,PLW,Entrepreneurship,9.375,1974
Palau,PLW,Entrepreneurship,9.375,1975
Palau,PLW,Entrepreneurship,9.375,1976
Palau,PLW,Entrepreneurship,9.375,1977
Palau,PLW,Entrepreneurship,9.375,1978
Palau,PLW,Entrepreneurship,9.375,1979
Palau,PLW,Entrepreneurship,9.375,1980
Palau,PLW,Entrepreneurship,9.375,1981
Palau,PLW,Entrepreneurship,9.375,1982
Palau,PLW,Entrepreneurship,9.375,1983
Palau,PLW,Entrepreneurship,9.375,1984
Palau,PLW,Entrepreneurship,9.375,1985
Palau,PLW,Entrepreneurship,9.375,1986
Palau,PLW,Entrepreneurship,9.375,1987
Palau,PLW,Entrepreneurship,9.375,1988
