Country Name,Country Code,Topic,% of available indicators,Year
Poland,POL,Assets,0.000,1960
Poland,POL,Assets,0.000,1961
Poland,POL,Assets,0.000,1962
Poland,POL,Assets,0.000,1963
Poland,POL,Assets,0.000,1964
Poland,POL,Assets,0.000,1965
Poland,POL,Assets,0.000,1966
Poland,POL,Assets,0.000,1967
Poland,POL,Assets,0.000,1968
Poland,POL,Assets,0.000,1969
Poland,POL,Assets,2.208,1970
Poland,POL,Assets,2.208,1971
Poland,POL,Assets,2.208,1972
Poland,POL,Assets,2.208,1973
Poland,POL,Assets,2.208,1974
Poland,POL,Assets,2.208,1975
Poland,POL,Assets,2.208,1976
Poland,POL,Assets,2.208,1977
Poland,POL,Assets,2.208,1978
Poland,POL,Assets,2.208,1979
Poland,POL,Assets,2.208,1980
Poland,POL,Assets,2.208,1981
Poland,POL,Assets,2.208,1982
Poland,POL,Assets,2.208,1983
Poland,POL,Assets,2.208,1984
Poland,POL,Assets,2.208,1985
Poland,POL,Assets,2.208,1986
Poland,POL,Assets,2.208,1987
Poland,POL,Assets,2.208,1988
Poland,POL,Assets,2.208,1989
Poland,POL,Assets,2.208,1990
Poland,POL,Assets,2.208,1991
Poland,POL,Assets,2.208,1992
Poland,POL,Assets,2.208,1993
Poland,POL,Assets,2.208,1994
Poland,POL,Assets,2.208,1995
Poland,POL,Assets,2.208,1996
Poland,POL,Assets,2.208,1997
Poland,POL,Assets,2.208,1998
Poland,POL,Assets,2.208,1999
Poland,POL,Assets,2.208,2000
Poland,POL,Assets,2.208,2001
Poland,POL,Assets,2.208,2002
Poland,POL,Assets,2.208,2003
Poland,POL,Assets,2.208,2004
Poland,POL,Assets,2.208,2005
Poland,POL,Assets,2.208,2006
Poland,POL,Assets,2.208,2007
Poland,POL,Assets,2.208,2008
Poland,POL,Assets,2.208,2009
Poland,POL,Assets,2.208,2010
Poland,POL,Assets,11.672,2011
Poland,POL,Assets,2.208,2012
Poland,POL,Assets,2.208,2013
Poland,POL,Assets,30.599,2014
Poland,POL,Assets,2.208,2015
Poland,POL,Assets,2.208,2016
Poland,POL,Assets,33.123,2017
Poland,POL,Assets,2.208,2018
Poland,POL,Assets,2.208,2019
Poland,POL,Assets,2.208,2020
Poland,POL,Assets,58.360,2021
Poland,POL,Assets,2.208,2022
Poland,POL,Assets,2.208,2023
Poland,POL,Children 0-14,19.231,1960
Poland,POL,Children 0-14,19.231,1961
Poland,POL,Children 0-14,19.231,1962
Poland,POL,Children 0-14,19.231,1963
Poland,POL,Children 0-14,19.231,1964
Poland,POL,Children 0-14,19.231,1965
Poland,POL,Children 0-14,19.231,1966
Poland,POL,Children 0-14,19.231,1967
Poland,POL,Children 0-14,19.231,1968
Poland,POL,Children 0-14,19.231,1969
Poland,POL,Children 0-14,23.846,1970
Poland,POL,Children 0-14,23.077,1971
Poland,POL,Children 0-14,26.154,1972
Poland,POL,Children 0-14,26.154,1973
Poland,POL,Children 0-14,26.154,1974
Poland,POL,Children 0-14,23.077,1975
Poland,POL,Children 0-14,23.077,1976
Poland,POL,Children 0-14,23.077,1977
Poland,POL,Children 0-14,26.923,1978
Poland,POL,Children 0-14,23.077,1979
Poland,POL,Children 0-14,24.615,1980
Poland,POL,Children 0-14,24.615,1981
Poland,POL,Children 0-14,24.615,1982
Poland,POL,Children 0-14,24.615,1983
Poland,POL,Children 0-14,24.615,1984
Poland,POL,Children 0-14,24.615,1985
Poland,POL,Children 0-14,24.615,1986
Poland,POL,Children 0-14,24.615,1987
Poland,POL,Children 0-14,28.462,1988
Poland,POL,Children 0-14,27.692,1989
Poland,POL,Children 0-14,27.692,1990
Poland,POL,Children 0-14,27.692,1991
Poland,POL,Children 0-14,27.692,1992
Poland,POL,Children 0-14,29.231,1993
Poland,POL,Children 0-14,29.231,1994
Poland,POL,Children 0-14,27.692,1995
Poland,POL,Children 0-14,27.692,1996
Poland,POL,Children 0-14,29.231,1997
Poland,POL,Children 0-14,29.231,1998
Poland,POL,Children 0-14,36.923,1999
Poland,POL,Children 0-14,50.000,2000
Poland,POL,Children 0-14,36.154,2001
Poland,POL,Children 0-14,39.231,2002
Poland,POL,Children 0-14,36.923,2003
Poland,POL,Children 0-14,36.923,2004
Poland,POL,Children 0-14,40.000,2005
Poland,POL,Children 0-14,45.385,2006
Poland,POL,Children 0-14,39.231,2007
Poland,POL,Children 0-14,43.846,2008
Poland,POL,Children 0-14,47.692,2009
Poland,POL,Children 0-14,63.077,2010
Poland,POL,Children 0-14,60.769,2011
Poland,POL,Children 0-14,46.154,2012
Poland,POL,Children 0-14,51.538,2013
Poland,POL,Children 0-14,53.077,2014
