Country Name,Country Code,Topic,% of available indicators,Year
Puerto Rico,PRI,Assets,0.000,1960
Puerto Rico,PRI,Assets,0.000,1961
Puerto Rico,PRI,Assets,0.000,1962
Puerto Rico,PRI,Assets,0.000,1963
Puerto Rico,PRI,Assets,0.000,1964
Puerto Rico,PRI,Assets,0.000,1965
Puerto Rico,PRI,Assets,0.000,1966
Puerto Rico,PRI,Assets,0.000,1967
Puerto Rico,PRI,Assets,0.000,1968
Puerto Rico,PRI,Assets,0.000,1969
Puerto Rico,PRI,Assets,2.208,1970
Puerto Rico,PRI,Assets,2.208,1971
Puerto Rico,PRI,Assets,2.208,1972
Puerto Rico,PRI,Assets,2.208,1973
Puerto Rico,PRI,Assets,2.208,1974
Puerto Rico,PRI,Assets,2.208,1975
Puerto Rico,PRI,Assets,2.208,1976
Puerto Rico,PRI,Assets,2.208,1977
Puerto Rico,PRI,Assets,2.208,1978
Puerto Rico,PRI,Assets,2.208,1979
Puerto Rico,PRI,Assets,2.208,1980
Puerto Rico,PRI,Assets,2.208,1981
Puerto Rico,PRI,Assets,2.208,1982
Puerto Rico,PRI,Assets,2.208,1983
Puerto Rico,PRI,Assets,2.208,1984
Puerto Rico,PRI,Assets,2.208,1985
Puerto Rico,PRI,Assets,2.208,1986
Puerto Rico,PRI,Assets,2.208,1987
Puerto Rico,PRI,Assets,2.208,1988
Puerto Rico,PRI,Assets,2.208,1989
Puerto Rico,PRI,Assets,2.208,1990
Puerto Rico,PRI,Assets,2.208,1991
Puerto Rico,PRI,Assets,2.208,1992
Puerto Rico,PRI,Assets,2.208,1993
Puerto Rico,PRI,Assets,2.208,1994
Puerto Rico,PRI,Assets,2.208,1995
Puerto Rico,PRI,Assets,2.208,1996
Puerto Rico,PRI,Assets,2.208,1997
Puerto Rico,PRI,Assets,2.208,1998
Puerto Rico,PRI,Assets,2.208,1999
Puerto Rico,PRI,Assets,2.208,2000
Puerto Rico,PRI,Assets,2.208,2001
Puerto Rico,PRI,Assets,2.208,2002
Puerto Rico,PRI,Assets,2.208,2003
Puerto Rico,PRI,Assets,2.208,2004
Puerto Rico,PRI,Assets,2.208,2005
Puerto Rico,PRI,Assets,2.208,2006
Puerto Rico,PRI,Assets,2.208,2007
Puerto Rico,PRI,Assets,2.208,2008
Puerto Rico,PRI,Assets,2.208,2009
Puerto Rico,PRI,Assets,2.208,2010
Puerto Rico,PRI,Assets,2.208,2011
Puerto Rico,PRI,Assets,2.208,2012
Puerto Rico,PRI,Assets,2.208,2013
Puerto Rico,PRI,Assets,30.599,2014
Puerto Rico,PRI,Assets,2.208,2015
Puerto Rico,PRI,Assets,2.208,2016
Puerto Rico,PRI,Assets,2.208,2017
Puerto Rico,PRI,Assets,2.208,2018
Puerto Rico,PRI,Assets,2.208,2019
Puerto Rico,PRI,Assets,2.208,2020
Puerto Rico,PRI,Assets,2.208,2021
Puerto Rico,PRI,Assets,2.208,2022
Puerto Rico,PRI,Assets,2.208,2023
Puerto Rico,PRI,Children 0-14,10.769,1960
Puerto Rico,PRI,Children 0-14,10.769,1961
Puerto Rico,PRI,Children 0-14,10.769,1962
Puerto Rico,PRI,Children 0-14,10.769,1963
Puerto Rico,PRI,Children 0-14,10.769,1964
Puerto Rico,PRI,Children 0-14,10.769,1965
Puerto Rico,PRI,Children 0-14,10.769,1966
Puerto Rico,PRI,Children 0-14,10.769,1967
Puerto Rico,PRI,Children 0-14,10.769,1968
Puerto Rico,PRI,Children 0-14,10.769,1969
Puerto Rico,PRI,Children 0-14,15.385,1970
Puerto Rico,PRI,Children 0-14,12.308,1971
Puerto Rico,PRI,Children 0-14,12.308,1972
Puerto Rico,PRI,Children 0-14,12.308,1973
Puerto Rico,PRI,Children 0-14,12.308,1974
Puerto Rico,PRI,Children 0-14,12.308,1975
Puerto Rico,PRI,Children 0-14,12.308,1976
Puerto Rico,PRI,Children 0-14,11.538,1977
Puerto Rico,PRI,Children 0-14,10.769,1978
Puerto Rico,PRI,Children 0-14,10.769,1979
Puerto Rico,PRI,Children 0-14,15.385,1980
Puerto Rico,PRI,Children 0-14,10.769,1981
Puerto Rico,PRI,Children 0-14,11.538,1982
Puerto Rico,PRI,Children 0-14,10.769,1983
Puerto Rico,PRI,Children 0-14,10.769,1984
Puerto Rico,PRI,Children 0-14,10.769,1985
Puerto Rico,PRI,Children 0-14,10.769,1986
Puerto Rico,PRI,Children 0-14,10.769,1987
Puerto Rico,PRI,Children 0-14,10.769,1988
Puerto Rico,PRI,Children 0-14,10.769,1989
Puerto Rico,PRI,Children 0-14,13.077,1990
Puerto Rico,PRI,Children 0-14,10.769,1991
Puerto Rico,PRI,Children 0-14,10.769,1992
Puerto Rico,PRI,Children 0-14,10.769,1993
Puerto Rico,PRI,Children 0-14,10.769,1994
Puerto Rico,PRI,Children 0-14,10.769,1995
Puerto Rico,PRI,Children 0-14,10.769,1996
Puerto Rico,PRI,Children 0-14,10.769,1997
Puerto Rico,PRI,Children 0-14,10.769,1998
Puerto Rico,PRI,Children 0-14,10.769,1999
Puerto Rico,PRI,Children 0-14,15.385,2000
Puerto Rico,PRI,Children 0-14,10.769,2001
Puerto Rico,PRI,Children 0-14,10.769,2002
Puerto Rico,PRI,Children 0-14,10.769,2003
Puerto Rico,PRI,Children 0-14,10.769,2004
Puerto Rico,PRI,Children 0-14,10.769,2005
Puerto Rico,PRI,Children 0-14,10.769,2006
Puerto Rico,PRI,Children 0-14,10.769,2007
Puerto Rico,PRI,Children 0-14,10.769,2008
Puerto Rico,PRI,Children 0-14,19.231,2009
Puerto Rico,PRI,Children 0-14,29.231,2010
Puerto Rico,PRI,Children 0-14,31.538,2011
Puerto Rico,PRI,Children 0-14,33.846,2012
Puerto Rico,PRI,Children 0-14,33.077,2013
Puerto Rico,PRI,Children 0-14,33.846,2014
Puerto Rico,PRI,Children 0-14,36.923,2015
Puerto Rico,PRI,Children 0-14,31.538,2016
Puerto Rico,PRI,Children 0-14,15.385,2017
Puerto Rico,PRI,Children 0-14,18.462,2018
Puerto Rico,PRI,Children 0-14,10.769,2019
Puerto Rico,PRI,Children 0-14,10.769,2020
Puerto Rico,PRI,Children 0-14,10.769,2021
Puerto Rico,PRI,Children 0-14,10.769,2022
Puerto Rico,PRI,Children 0-14,17.692,2023
Puerto Rico,PRI,Education,0.000,1960
Puerto Rico,PRI,Education,0.000,1961
Puerto Rico,PRI,Education,0.000,1962
Puerto Rico,PRI,Education,0.000,1963
Puerto Rico,PRI,Education,0.000,1964
Puerto Rico,PRI,Education,0.000,1965
Puerto Rico,PRI,Education,0.000,1966
Puerto Rico,PRI,Education,0.000,1967
Puerto Rico,PRI,Education,0.000,1968
Puerto Rico,PRI,Education,0.000,1969
Puerto Rico,PRI,Education,7.362,1970
Puerto Rico,PRI,Education,4.294,1971
Puerto Rico,PRI,Education,4.294,1972
Puerto Rico,PRI,Education,4.294,1973
Puerto Rico,PRI,Education,4.294,1974
Puerto Rico,PRI,Education,4.294,1975
Puerto Rico,PRI,Education,4.294,1976
Puerto Rico,PRI,Education,3.681,1977
Puerto Rico,PRI,Education,3.067,1978
Puerto Rico,PRI,Education,2.454,1979
Puerto Rico,PRI,Education,16.564,1980
Puerto Rico,PRI,Education,2.454,1981
Puerto Rico,PRI,Education,3.067,1982
Puerto Rico,PRI,Education,2.454,1983
Puerto Rico,PRI,Education,2.454,1984
Puerto Rico,PRI,Education,2.454,1985
Puerto Rico,PRI,Education,2.454,1986
Puerto Rico,PRI,Education,2.454,1987
Puerto Rico,PRI,Education,2.454,1988
Puerto Rico,PRI,Education,2.454,1989
Puerto Rico,PRI,Education,12.883,1990
Puerto Rico,PRI,Education,2.454,1991
Puerto Rico,PRI,Education,2.454,1992
Puerto Rico,PRI,Education,2.454,1993
Puerto Rico,PRI,Education,2.454,1994
Puerto Rico,PRI,Education,2.454,1995
Puerto Rico,PRI,Education,0.000,1996
Puerto Rico,PRI,Education,0.000,1997
Puerto Rico,PRI,Education,0.000,1998
Puerto Rico,PRI,Education,0.000,1999
Puerto Rico,PRI,Education,9.202,2000
Puerto Rico,PRI,Education,0.000,2001
Puerto Rico,PRI,Education,0.000,2002
Puerto Rico,PRI,Education,0.000,2003
Puerto Rico,PRI,Education,0.000,2004
Puerto Rico,PRI,Education,5.521,2005
Puerto Rico,PRI,Education,5.521,2006
Puerto Rico,PRI,Education,7.975,2007
Puerto Rico,PRI,Education,15.951,2008
Puerto Rico,PRI,Education,25.153,2009
Puerto Rico,PRI,Education,33.129,2010
Puerto Rico,PRI,Education,44.785,2011
Puerto Rico,PRI,Education,47.853,2012
Puerto Rico,PRI,Education,42.331,2013
Puerto Rico,PRI,Education,50.307,2014
Puerto Rico,PRI,Education,47.853,2015
Puerto Rico,PRI,Education,43.558,2016
Puerto Rico,PRI,Education,21.472,2017
Puerto Rico,PRI,Education,15.951,2018
Puerto Rico,PRI,Education,0.000,2019
Puerto Rico,PRI,Education,0.000,2020
Puerto Rico,PRI,Education,4.294,2021
Puerto Rico,PRI,Education,0.000,2022
Puerto Rico,PRI,Education,15.337,2023
Puerto Rico,PRI,Employment and Time Use,5.109,1960
Puerto Rico,PRI,Employment and Time Use,0.000,1961
Puerto Rico,PRI,Employment and Time Use,0.000,1962
Puerto Rico,PRI,Employment and Time Use,0.000,1963
Puerto Rico,PRI,Employment and Time Use,0.000,1964
Puerto Rico,PRI,Employment and Time Use,0.000,1965
Puerto Rico,PRI,Employment and Time Use,0.000,1966
Puerto Rico,PRI,Employment and Time Use,0.000,1967
Puerto Rico,PRI,Employment and Time Use,0.000,1968
Puerto Rico,PRI,Employment and Time Use,0.000,1969
Puerto Rico,PRI,Employment and Time Use,26.277,1970
Puerto Rico,PRI,Employment and Time Use,23.358,1971
Puerto Rico,PRI,Employment and Time Use,23.358,1972
Puerto Rico,PRI,Employment and Time Use,23.358,1973
Puerto Rico,PRI,Employment and Time Use,23.358,1974
Puerto Rico,PRI,Employment and Time Use,21.168,1975
Puerto Rico,PRI,Employment and Time Use,33.577,1976
Puerto Rico,PRI,Employment and Time Use,33.577,1977
Puerto Rico,PRI,Employment and Time Use,33.577,1978
Puerto Rico,PRI,Employment and Time Use,33.577,1979
Puerto Rico,PRI,Employment and Time Use,27.007,1980
Puerto Rico,PRI,Employment and Time Use,33.577,1981
Puerto Rico,PRI,Employment and Time Use,33.577,1982
Puerto Rico,PRI,Employment and Time Use,33.577,1983
Puerto Rico,PRI,Employment and Time Use,33.577,1984
Puerto Rico,PRI,Employment and Time Use,33.577,1985
Puerto Rico,PRI,Employment and Time Use,33.577,1986
Puerto Rico,PRI,Employment and Time Use,33.577,1987
Puerto Rico,PRI,Employment and Time Use,33.577,1988
Puerto Rico,PRI,Employment and Time Use,21.898,1989
Puerto Rico,PRI,Employment and Time Use,43.796,1990
Puerto Rico,PRI,Employment and Time Use,68.613,1991
Puerto Rico,PRI,Employment and Time Use,68.613,1992
Puerto Rico,PRI,Employment and Time Use,68.613,1993
Puerto Rico,PRI,Employment and Time Use,56.934,1994
Puerto Rico,PRI,Employment and Time Use,68.613,1995
Puerto Rico,PRI,Employment and Time Use,68.613,1996
Puerto Rico,PRI,Employment and Time Use,68.613,1997
Puerto Rico,PRI,Employment and Time Use,68.613,1998
Puerto Rico,PRI,Employment and Time Use,68.613,1999
