Country Name,Country Code,Topic,% of available indicators,Year
"Korea, Dem. People's Rep.",PRK,Assets,0.000,1960
"Korea, Dem. People's Rep.",PRK,Assets,0.000,1961
"Korea, Dem. People's Rep.",PRK,Assets,0.000,1962
"Korea, Dem. People's Rep.",PRK,Assets,0.000,1963
"Korea, Dem. People's Rep.",PRK,Assets,0.000,1964
"Korea, Dem. People's Rep.",PRK,Assets,0.000,1965
"Korea, Dem. People's Rep.",PRK,Assets,0.000,1966
"Korea, Dem. People's Rep.",PRK,Assets,0.000,1967
"Korea, Dem. People's Rep.",PRK,Assets,0.000,1968
"Korea, Dem. People's Rep.",PRK,Assets,0.000,1969
"Korea, Dem. People's Rep.",PRK,Assets,0.000,1970
"Korea, Dem. People's Rep.",PRK,Assets,0.000,1971
"Korea, Dem. People's Rep.",PRK,Assets,0.000,1972
"Korea, Dem. People's Rep.",PRK,Assets,0.000,1973
"Korea, Dem. People's Rep.",PRK,Assets,0.000,1974
"Korea, Dem. People's Rep.",PRK,Assets,0.000,1975
"Korea, Dem. People's Rep.",PRK,Assets,0.000,1976
"Korea, Dem. People's Rep.",PRK,Assets,0.000,1977
"Korea, Dem. People's Rep.",PRK,Assets,0.000,1978
"Korea, Dem. People's Rep.",PRK,Assets,0.000,1979
"Korea, Dem. People's Rep.",PRK,Assets,0.000,1980
"Korea, Dem. People's Rep.",PRK,Assets,0.000,1981
"Korea, Dem. People's Rep.",PRK,Assets,0.000,1982
"Korea, Dem. People's Rep.",PRK,Assets,0.000,1983
"Korea, Dem. People's Rep.",PRK,Assets,0.000,1984
"Korea, Dem. People's Rep.",PRK,Assets,0.000,1985
"Korea, Dem. People's Rep.",PRK,Assets,0.000,1986
"Korea, Dem. People's Rep.",PRK,Assets,0.000,1987
"Korea, Dem. People's Rep.",PRK,Assets,0.000,1988
"Korea, Dem. People's Rep.",PRK,Assets,0.000,1989
"Korea, Dem. People's Rep.",PRK,Assets,0.000,1990
"Korea, Dem. People's Rep.",PRK,Assets,0.000,1991
"Korea, Dem. People's Rep.",PRK,Assets,0.000,1992
"Korea, Dem. People's Rep.",PRK,Assets,0.000,1993
"Korea, Dem. People's Rep.",PRK,Assets,0.000,1994
"Korea, Dem. People's Rep.",PRK,Assets,0.000,1995
"Korea, Dem. People's Rep.",PRK,Assets,0.000,1996
"Korea, Dem. People's Rep.",PRK,Assets,0.000,1997
"Korea, Dem. People's Rep.",PRK,Assets,0.000,1998
"Korea, Dem. People's Rep.",PRK,Assets,0.000,1999
"Korea, Dem. People's Rep.",PRK,Assets,0.000,2000
"Korea, Dem. People's Rep.",PRK,Assets,0.000,2001
"Korea, Dem. People's Rep.",PRK,Assets,0.000,2002
"Korea, Dem. People's Rep.",PRK,Assets,0.000,2003
"Korea, Dem. People's Rep.",PRK,Assets,0.000,2004
"Korea, Dem. People's Rep.",PRK,Assets,0.000,2005
"Korea, Dem. People's Rep.",PRK,Assets,0.000,2006
"Korea, Dem. People's Rep.",PRK,Assets,0.000,2007
"Korea, Dem. People's Rep.",PRK,Assets,0.000,2008
"Korea, Dem. People's Rep.",PRK,Assets,0.000,2009
"Korea, Dem. People's Rep.",PRK,Assets,0.000,2010
"Korea, Dem. People's Rep.",PRK,Assets,0.000,2011
"Korea, Dem. People's Rep.",PRK,Assets,0.000,2012
"Korea, Dem. People's Rep.",PRK,Assets,0.000,2013
"Korea, Dem. People's Rep.",PRK,Assets,0.000,2014
"Korea, Dem. People's Rep.",PRK,Assets,0.000,2015
"Korea, Dem. People's Rep.",PRK,Assets,0.000,2016
"Korea, Dem. People's Rep.",PRK,Assets,0.000,2017
"Korea, Dem. People's Rep.",PRK,Assets,0.000,2018
"Korea, Dem. People's Rep.",PRK,Assets,0.000,2019
"Korea, Dem. People's Rep.",PRK,Assets,0.000,2020
"Korea, Dem. People's Rep.",PRK,Assets,0.000,2021
"Korea, Dem. People's Rep.",PRK,Assets,0.000,2022
"Korea, Dem. People's Rep.",PRK,Assets,0.000,2023
"Korea, Dem. People's Rep.",PRK,Children 0-14,19.231,1960
"Korea, Dem. People's Rep.",PRK,Children 0-14,19.231,1961
"Korea, Dem. People's Rep.",PRK,Children 0-14,19.231,1962
"Korea, Dem. People's Rep.",PRK,Children 0-14,19.231,1963
"Korea, Dem. People's Rep.",PRK,Children 0-14,19.231,1964
"Korea, Dem. People's Rep.",PRK,Children 0-14,19.231,1965
"Korea, Dem. People's Rep.",PRK,Children 0-14,19.231,1966
"Korea, Dem. People's Rep.",PRK,Children 0-14,19.231,1967
"Korea, Dem. People's Rep.",PRK,Children 0-14,19.231,1968
"Korea, Dem. People's Rep.",PRK,Children 0-14,19.231,1969
"Korea, Dem. People's Rep.",PRK,Children 0-14,19.231,1970
"Korea, Dem. People's Rep.",PRK,Children 0-14,19.231,1971
"Korea, Dem. People's Rep.",PRK,Children 0-14,19.231,1972
"Korea, Dem. People's Rep.",PRK,Children 0-14,19.231,1973
"Korea, Dem. People's Rep.",PRK,Children 0-14,19.231,1974
"Korea, Dem. People's Rep.",PRK,Children 0-14,19.231,1975
"Korea, Dem. People's Rep.",PRK,Children 0-14,19.231,1976
"Korea, Dem. People's Rep.",PRK,Children 0-14,19.231,1977
"Korea, Dem. People's Rep.",PRK,Children 0-14,19.231,1978
"Korea, Dem. People's Rep.",PRK,Children 0-14,19.231,1979
"Korea, Dem. People's Rep.",PRK,Children 0-14,20.769,1980
"Korea, Dem. People's Rep.",PRK,Children 0-14,20.769,1981
"Korea, Dem. People's Rep.",PRK,Children 0-14,20.769,1982
"Korea, Dem. People's Rep.",PRK,Children 0-14,20.769,1983
"Korea, Dem. People's Rep.",PRK,Children 0-14,20.769,1984
"Korea, Dem. People's Rep.",PRK,Children 0-14,20.769,1985
"Korea, Dem. People's Rep.",PRK,Children 0-14,20.769,1986
"Korea, Dem. People's Rep.",PRK,Children 0-14,20.769,1987
"Korea, Dem. People's Rep.",PRK,Children 0-14,20.769,1988
"Korea, Dem. People's Rep.",PRK,Children 0-14,20.769,1989
"Korea, Dem. People's Rep.",PRK,Children 0-14,20.769,1990
"Korea, Dem. People's Rep.",PRK,Children 0-14,20.769,1991
"Korea, Dem. People's Rep.",PRK,Children 0-14,20.769,1992
"Korea, Dem. People's Rep.",PRK,Children 0-14,20.769,1993
"Korea, Dem. People's Rep.",PRK,Children 0-14,20.769,1994
"Korea, Dem. People's Rep.",PRK,Children 0-14,20.769,1995
"Korea, Dem. People's Rep.",PRK,Children 0-14,20.769,1996
"Korea, Dem. People's Rep.",PRK,Children 0-14,20.769,1997
"Korea, Dem. People's Rep.",PRK,Children 0-14,23.077,1998
"Korea, Dem. People's Rep.",PRK,Children 0-14,20.769,1999
"Korea, Dem. People's Rep.",PRK,Children 0-14,37.692,2000
