Country Name,Country Code,Topic,% of available indicators,Year
Portugal,PRT,Assets,0.000,1960
Portugal,PRT,Assets,0.000,1961
Portugal,PRT,Assets,0.000,1962
Portugal,PRT,Assets,0.000,1963
Portugal,PRT,Assets,0.000,1964
Portugal,PRT,Assets,0.000,1965
Portugal,PRT,Assets,0.000,1966
Portugal,PRT,Assets,0.000,1967
Portugal,PRT,Assets,0.000,1968
Portugal,PRT,Assets,0.000,1969
Portugal,PRT,Assets,2.208,1970
Portugal,PRT,Assets,2.208,1971
Portugal,PRT,Assets,2.208,1972
Portugal,PRT,Assets,2.208,1973
Portugal,PRT,Assets,2.208,1974
Portugal,PRT,Assets,2.208,1975
Portugal,PRT,Assets,2.208,1976
Portugal,PRT,Assets,2.208,1977
Portugal,PRT,Assets,2.208,1978
Portugal,PRT,Assets,2.208,1979
Portugal,PRT,Assets,2.208,1980
Portugal,PRT,Assets,2.208,1981
Portugal,PRT,Assets,2.208,1982
Portugal,PRT,Assets,2.208,1983
Portugal,PRT,Assets,2.208,1984
Portugal,PRT,Assets,2.208,1985
Portugal,PRT,Assets,2.208,1986
Portugal,PRT,Assets,2.208,1987
Portugal,PRT,Assets,2.208,1988
Portugal,PRT,Assets,2.208,1989
Portugal,PRT,Assets,2.208,1990
Portugal,PRT,Assets,2.208,1991
Portugal,PRT,Assets,2.208,1992
Portugal,PRT,Assets,2.208,1993
Portugal,PRT,Assets,2.208,1994
Portugal,PRT,Assets,2.208,1995
Portugal,PRT,Assets,2.208,1996
Portugal,PRT,Assets,2.208,1997
Portugal,PRT,Assets,2.208,1998
Portugal,PRT,Assets,2.208,1999
Portugal,PRT,Assets,2.208,2000
Portugal,PRT,Assets,2.208,2001
Portugal,PRT,Assets,2.208,2002
Portugal,PRT,Assets,2.208,2003
Portugal,PRT,Assets,2.208,2004
Portugal,PRT,Assets,2.208,2005
Portugal,PRT,Assets,2.208,2006
Portugal,PRT,Assets,2.208,2007
Portugal,PRT,Assets,2.208,2008
Portugal,PRT,Assets,2.208,2009
Portugal,PRT,Assets,2.208,2010
Portugal,PRT,Assets,10.726,2011
Portugal,PRT,Assets,2.208,2012
Portugal,PRT,Assets,2.208,2013
