Country Name,Country Code,Topic,% of available indicators,Year
Paraguay,PRY,Assets,0.000,1960
Paraguay,PRY,Assets,0.000,1961
Paraguay,PRY,Assets,0.000,1962
Paraguay,PRY,Assets,0.000,1963
Paraguay,PRY,Assets,0.000,1964
Paraguay,PRY,Assets,0.000,1965
Paraguay,PRY,Assets,0.000,1966
Paraguay,PRY,Assets,0.000,1967
Paraguay,PRY,Assets,0.000,1968
Paraguay,PRY,Assets,0.000,1969
Paraguay,PRY,Assets,2.208,1970
Paraguay,PRY,Assets,2.208,1971
Paraguay,PRY,Assets,2.208,1972
Paraguay,PRY,Assets,2.208,1973
Paraguay,PRY,Assets,2.208,1974
Paraguay,PRY,Assets,2.208,1975
Paraguay,PRY,Assets,2.208,1976
Paraguay,PRY,Assets,2.208,1977
Paraguay,PRY,Assets,2.208,1978
Paraguay,PRY,Assets,2.208,1979
Paraguay,PRY,Assets,2.208,1980
Paraguay,PRY,Assets,2.208,1981
Paraguay,PRY,Assets,2.208,1982
Paraguay,PRY,Assets,2.208,1983
Paraguay,PRY,Assets,2.208,1984
Paraguay,PRY,Assets,2.208,1985
Paraguay,PRY,Assets,2.208,1986
Paraguay,PRY,Assets,2.208,1987
Paraguay,PRY,Assets,2.208,1988
Paraguay,PRY,Assets,2.208,1989
Paraguay,PRY,Assets,2.208,1990
Paraguay,PRY,Assets,2.208,1991
Paraguay,PRY,Assets,2.208,1992
Paraguay,PRY,Assets,2.208,1993
Paraguay,PRY,Assets,2.208,1994
Paraguay,PRY,Assets,2.208,1995
Paraguay,PRY,Assets,2.208,1996
Paraguay,PRY,Assets,2.208,1997
Paraguay,PRY,Assets,2.208,1998
Paraguay,PRY,Assets,2.208,1999
Paraguay,PRY,Assets,2.208,2000
Paraguay,PRY,Assets,2.208,2001
Paraguay,PRY,Assets,2.208,2002
Paraguay,PRY,Assets,2.208,2003
Paraguay,PRY,Assets,2.208,2004
Paraguay,PRY,Assets,2.208,2005
Paraguay,PRY,Assets,2.208,2006
Paraguay,PRY,Assets,2.208,2007
Paraguay,PRY,Assets,2.208,2008
Paraguay,PRY,Assets,2.208,2009
Paraguay,PRY,Assets,2.208,2010
Paraguay,PRY,Assets,10.726,2011
Paraguay,PRY,Assets,2.208,2012
Paraguay,PRY,Assets,2.208,2013
Paraguay,PRY,Assets,2.208,2014
Paraguay,PRY,Assets,2.208,2015
Paraguay,PRY,Assets,2.208,2016
Paraguay,PRY,Assets,34.069,2017
Paraguay,PRY,Assets,2.208,2018
Paraguay,PRY,Assets,2.208,2019
Paraguay,PRY,Assets,2.208,2020
Paraguay,PRY,Assets,63.091,2021
Paraguay,PRY,Assets,2.208,2022
Paraguay,PRY,Assets,2.208,2023
Paraguay,PRY,Children 0-14,17.692,1960
Paraguay,PRY,Children 0-14,19.231,1961
Paraguay,PRY,Children 0-14,19.231,1962
Paraguay,PRY,Children 0-14,19.231,1963
Paraguay,PRY,Children 0-14,19.231,1964
Paraguay,PRY,Children 0-14,19.231,1965
Paraguay,PRY,Children 0-14,19.231,1966
Paraguay,PRY,Children 0-14,19.231,1967
Paraguay,PRY,Children 0-14,19.231,1968
Paraguay,PRY,Children 0-14,19.231,1969
Paraguay,PRY,Children 0-14,36.154,1970
Paraguay,PRY,Children 0-14,26.923,1971
Paraguay,PRY,Children 0-14,40.000,1972
Paraguay,PRY,Children 0-14,33.077,1973
Paraguay,PRY,Children 0-14,27.692,1974
Paraguay,PRY,Children 0-14,35.385,1975
Paraguay,PRY,Children 0-14,35.385,1976
Paraguay,PRY,Children 0-14,37.692,1977
Paraguay,PRY,Children 0-14,36.154,1978
Paraguay,PRY,Children 0-14,30.769,1979
Paraguay,PRY,Children 0-14,37.692,1980
Paraguay,PRY,Children 0-14,36.923,1981
Paraguay,PRY,Children 0-14,36.154,1982
Paraguay,PRY,Children 0-14,36.923,1983
Paraguay,PRY,Children 0-14,36.923,1984
Paraguay,PRY,Children 0-14,39.231,1985
Paraguay,PRY,Children 0-14,39.231,1986
Paraguay,PRY,Children 0-14,39.231,1987
Paraguay,PRY,Children 0-14,39.231,1988
Paraguay,PRY,Children 0-14,39.231,1989
Paraguay,PRY,Children 0-14,50.769,1990
Paraguay,PRY,Children 0-14,37.692,1991
Paraguay,PRY,Children 0-14,43.846,1992
Paraguay,PRY,Children 0-14,37.692,1993
Paraguay,PRY,Children 0-14,39.231,1994
Paraguay,PRY,Children 0-14,34.615,1995
Paraguay,PRY,Children 0-14,37.692,1996
Paraguay,PRY,Children 0-14,28.462,1997
Paraguay,PRY,Children 0-14,41.538,1998
Paraguay,PRY,Children 0-14,40.769,1999
Paraguay,PRY,Children 0-14,53.077,2000
Paraguay,PRY,Children 0-14,48.462,2001
Paraguay,PRY,Children 0-14,50.000,2002
Paraguay,PRY,Children 0-14,51.538,2003
Paraguay,PRY,Children 0-14,47.692,2004
Paraguay,PRY,Children 0-14,63.846,2005
Paraguay,PRY,Children 0-14,53.846,2006
Paraguay,PRY,Children 0-14,51.538,2007
Paraguay,PRY,Children 0-14,51.538,2008
Paraguay,PRY,Children 0-14,51.538,2009
Paraguay,PRY,Children 0-14,70.000,2010
Paraguay,PRY,Children 0-14,52.308,2011
Paraguay,PRY,Children 0-14,63.846,2012
Paraguay,PRY,Children 0-14,38.462,2013
Paraguay,PRY,Children 0-14,33.077,2014
Paraguay,PRY,Children 0-14,43.846,2015
Paraguay,PRY,Children 0-14,53.077,2016
