Country Name,Country Code,Topic,% of available indicators,Year
West Bank and Gaza,PSE,Assets,0.000,1960
West Bank and Gaza,PSE,Assets,0.000,1961
West Bank and Gaza,PSE,Assets,0.000,1962
West Bank and Gaza,PSE,Assets,0.000,1963
West Bank and Gaza,PSE,Assets,0.000,1964
West Bank and Gaza,PSE,Assets,0.000,1965
West Bank and Gaza,PSE,Assets,0.000,1966
West Bank and Gaza,PSE,Assets,0.000,1967
West Bank and Gaza,PSE,Assets,0.000,1968
West Bank and Gaza,PSE,Assets,0.000,1969
West Bank and Gaza,PSE,Assets,2.208,1970
West Bank and Gaza,PSE,Assets,2.208,1971
West Bank and Gaza,PSE,Assets,2.208,1972
West Bank and Gaza,PSE,Assets,2.208,1973
West Bank and Gaza,PSE,Assets,2.208,1974
West Bank and Gaza,PSE,Assets,2.208,1975
West Bank and Gaza,PSE,Assets,2.208,1976
West Bank and Gaza,PSE,Assets,2.208,1977
West Bank and Gaza,PSE,Assets,2.208,1978
West Bank and Gaza,PSE,Assets,2.208,1979
West Bank and Gaza,PSE,Assets,2.208,1980
West Bank and Gaza,PSE,Assets,2.208,1981
West Bank and Gaza,PSE,Assets,2.208,1982
West Bank and Gaza,PSE,Assets,2.208,1983
West Bank and Gaza,PSE,Assets,2.208,1984
West Bank and Gaza,PSE,Assets,2.208,1985
West Bank and Gaza,PSE,Assets,2.208,1986
West Bank and Gaza,PSE,Assets,2.208,1987
West Bank and Gaza,PSE,Assets,2.208,1988
West Bank and Gaza,PSE,Assets,2.208,1989
West Bank and Gaza,PSE,Assets,2.208,1990
West Bank and Gaza,PSE,Assets,2.208,1991
West Bank and Gaza,PSE,Assets,2.208,1992
West Bank and Gaza,PSE,Assets,2.208,1993
West Bank and Gaza,PSE,Assets,2.208,1994
West Bank and Gaza,PSE,Assets,2.208,1995
West Bank and Gaza,PSE,Assets,2.208,1996
West Bank and Gaza,PSE,Assets,2.208,1997
West Bank and Gaza,PSE,Assets,2.208,1998
West Bank and Gaza,PSE,Assets,2.208,1999
West Bank and Gaza,PSE,Assets,2.208,2000
West Bank and Gaza,PSE,Assets,2.208,2001
West Bank and Gaza,PSE,Assets,2.208,2002
West Bank and Gaza,PSE,Assets,2.208,2003
West Bank and Gaza,PSE,Assets,2.208,2004
West Bank and Gaza,PSE,Assets,2.208,2005
West Bank and Gaza,PSE,Assets,2.208,2006
West Bank and Gaza,PSE,Assets,2.208,2007
West Bank and Gaza,PSE,Assets,2.208,2008
West Bank and Gaza,PSE,Assets,2.208,2009
West Bank and Gaza,PSE,Assets,2.208,2010
West Bank and Gaza,PSE,Assets,11.672,2011
West Bank and Gaza,PSE,Assets,2.208,2012
West Bank and Gaza,PSE,Assets,2.208,2013
West Bank and Gaza,PSE,Assets,30.599,2014
West Bank and Gaza,PSE,Assets,2.208,2015
West Bank and Gaza,PSE,Assets,2.208,2016
West Bank and Gaza,PSE,Assets,32.492,2017
West Bank and Gaza,PSE,Assets,2.208,2018
West Bank and Gaza,PSE,Assets,2.208,2019
West Bank and Gaza,PSE,Assets,2.208,2020
West Bank and Gaza,PSE,Assets,63.091,2021
West Bank and Gaza,PSE,Assets,2.208,2022
West Bank and Gaza,PSE,Assets,2.208,2023
West Bank and Gaza,PSE,Children 0-14,1.538,1960
West Bank and Gaza,PSE,Children 0-14,1.538,1961
West Bank and Gaza,PSE,Children 0-14,1.538,1962
West Bank and Gaza,PSE,Children 0-14,1.538,1963
West Bank and Gaza,PSE,Children 0-14,1.538,1964
West Bank and Gaza,PSE,Children 0-14,1.538,1965
West Bank and Gaza,PSE,Children 0-14,1.538,1966
West Bank and Gaza,PSE,Children 0-14,1.538,1967
West Bank and Gaza,PSE,Children 0-14,1.538,1968
West Bank and Gaza,PSE,Children 0-14,1.538,1969
West Bank and Gaza,PSE,Children 0-14,1.538,1970
West Bank and Gaza,PSE,Children 0-14,1.538,1971
West Bank and Gaza,PSE,Children 0-14,1.538,1972
West Bank and Gaza,PSE,Children 0-14,1.538,1973
West Bank and Gaza,PSE,Children 0-14,1.538,1974
West Bank and Gaza,PSE,Children 0-14,6.154,1975
West Bank and Gaza,PSE,Children 0-14,9.231,1976
West Bank and Gaza,PSE,Children 0-14,8.462,1977
West Bank and Gaza,PSE,Children 0-14,8.462,1978
West Bank and Gaza,PSE,Children 0-14,8.462,1979
West Bank and Gaza,PSE,Children 0-14,10.000,1980
West Bank and Gaza,PSE,Children 0-14,10.769,1981
West Bank and Gaza,PSE,Children 0-14,10.000,1982
West Bank and Gaza,PSE,Children 0-14,10.000,1983
West Bank and Gaza,PSE,Children 0-14,10.000,1984
West Bank and Gaza,PSE,Children 0-14,10.000,1985
West Bank and Gaza,PSE,Children 0-14,10.769,1986
West Bank and Gaza,PSE,Children 0-14,10.000,1987
West Bank and Gaza,PSE,Children 0-14,10.000,1988
West Bank and Gaza,PSE,Children 0-14,10.000,1989
West Bank and Gaza,PSE,Children 0-14,19.231,1990
West Bank and Gaza,PSE,Children 0-14,20.000,1991
West Bank and Gaza,PSE,Children 0-14,20.000,1992
West Bank and Gaza,PSE,Children 0-14,21.538,1993
West Bank and Gaza,PSE,Children 0-14,21.538,1994
West Bank and Gaza,PSE,Children 0-14,30.000,1995
West Bank and Gaza,PSE,Children 0-14,41.538,1996
West Bank and Gaza,PSE,Children 0-14,30.000,1997
West Bank and Gaza,PSE,Children 0-14,20.769,1998
West Bank and Gaza,PSE,Children 0-14,40.000,1999
West Bank and Gaza,PSE,Children 0-14,53.846,2000
West Bank and Gaza,PSE,Children 0-14,42.308,2001
West Bank and Gaza,PSE,Children 0-14,49.231,2002
West Bank and Gaza,PSE,Children 0-14,44.615,2003
West Bank and Gaza,PSE,Children 0-14,60.769,2004
