Country Name,Country Code,Topic,% of available indicators,Year
French Polynesia,PYF,Assets,0.000,1960
French Polynesia,PYF,Assets,0.000,1961
French Polynesia,PYF,Assets,0.000,1962
French Polynesia,PYF,Assets,0.000,1963
French Polynesia,PYF,Assets,0.000,1964
French Polynesia,PYF,Assets,0.000,1965
French Polynesia,PYF,Assets,0.000,1966
French Polynesia,PYF,Assets,0.000,1967
French Polynesia,PYF,Assets,0.000,1968
French Polynesia,PYF,Assets,0.000,1969
French Polynesia,PYF,Assets,0.000,1970
French Polynesia,PYF,Assets,0.000,1971
French Polynesia,PYF,Assets,0.000,1972
French Polynesia,PYF,Assets,0.000,1973
French Polynesia,PYF,Assets,0.000,1974
French Polynesia,PYF,Assets,0.000,1975
French Polynesia,PYF,Assets,0.000,1976
French Polynesia,PYF,Assets,0.000,1977
French Polynesia,PYF,Assets,0.000,1978
French Polynesia,PYF,Assets,0.000,1979
French Polynesia,PYF,Assets,0.000,1980
French Polynesia,PYF,Assets,0.000,1981
French Polynesia,PYF,Assets,0.000,1982
French Polynesia,PYF,Assets,0.000,1983
French Polynesia,PYF,Assets,0.000,1984
French Polynesia,PYF,Assets,0.000,1985
French Polynesia,PYF,Assets,0.000,1986
French Polynesia,PYF,Assets,0.000,1987
French Polynesia,PYF,Assets,0.000,1988
French Polynesia,PYF,Assets,0.000,1989
French Polynesia,PYF,Assets,0.000,1990
French Polynesia,PYF,Assets,0.000,1991
French Polynesia,PYF,Assets,0.000,1992
French Polynesia,PYF,Assets,0.000,1993
French Polynesia,PYF,Assets,0.000,1994
French Polynesia,PYF,Assets,0.000,1995
French Polynesia,PYF,Assets,0.000,1996
French Polynesia,PYF,Assets,0.000,1997
French Polynesia,PYF,Assets,0.000,1998
French Polynesia,PYF,Assets,0.000,1999
French Polynesia,PYF,Assets,0.000,2000
French Polynesia,PYF,Assets,0.000,2001
French Polynesia,PYF,Assets,0.000,2002
French Polynesia,PYF,Assets,0.000,2003
French Polynesia,PYF,Assets,0.000,2004
French Polynesia,PYF,Assets,0.000,2005
French Polynesia,PYF,Assets,0.000,2006
French Polynesia,PYF,Assets,0.000,2007
French Polynesia,PYF,Assets,0.000,2008
French Polynesia,PYF,Assets,0.000,2009
French Polynesia,PYF,Assets,0.000,2010
French Polynesia,PYF,Assets,0.000,2011
French Polynesia,PYF,Assets,0.000,2012
French Polynesia,PYF,Assets,0.000,2013
French Polynesia,PYF,Assets,0.000,2014
French Polynesia,PYF,Assets,0.000,2015
French Polynesia,PYF,Assets,0.000,2016
French Polynesia,PYF,Assets,0.000,2017
French Polynesia,PYF,Assets,0.000,2018
French Polynesia,PYF,Assets,0.000,2019
French Polynesia,PYF,Assets,0.000,2020
French Polynesia,PYF,Assets,0.000,2021
French Polynesia,PYF,Assets,0.000,2022
French Polynesia,PYF,Assets,0.000,2023
French Polynesia,PYF,Children 0-14,10.769,1960
French Polynesia,PYF,Children 0-14,10.769,1961
French Polynesia,PYF,Children 0-14,10.769,1962
French Polynesia,PYF,Children 0-14,10.769,1963
French Polynesia,PYF,Children 0-14,10.769,1964
French Polynesia,PYF,Children 0-14,10.769,1965
French Polynesia,PYF,Children 0-14,10.769,1966
French Polynesia,PYF,Children 0-14,10.769,1967
French Polynesia,PYF,Children 0-14,10.769,1968
French Polynesia,PYF,Children 0-14,10.769,1969
French Polynesia,PYF,Children 0-14,10.769,1970
French Polynesia,PYF,Children 0-14,11.538,1971
French Polynesia,PYF,Children 0-14,11.538,1972
French Polynesia,PYF,Children 0-14,11.538,1973
French Polynesia,PYF,Children 0-14,11.538,1974
French Polynesia,PYF,Children 0-14,11.538,1975
French Polynesia,PYF,Children 0-14,11.538,1976
French Polynesia,PYF,Children 0-14,11.538,1977
French Polynesia,PYF,Children 0-14,11.538,1978
French Polynesia,PYF,Children 0-14,11.538,1979
French Polynesia,PYF,Children 0-14,11.538,1980
French Polynesia,PYF,Children 0-14,16.923,1981
French Polynesia,PYF,Children 0-14,16.923,1982
French Polynesia,PYF,Children 0-14,27.692,1983
French Polynesia,PYF,Children 0-14,24.615,1984
French Polynesia,PYF,Children 0-14,24.615,1985
French Polynesia,PYF,Children 0-14,10.769,1986
French Polynesia,PYF,Children 0-14,10.769,1987
French Polynesia,PYF,Children 0-14,16.923,1988
French Polynesia,PYF,Children 0-14,21.538,1989
French Polynesia,PYF,Children 0-14,21.538,1990
French Polynesia,PYF,Children 0-14,16.923,1991
French Polynesia,PYF,Children 0-14,16.923,1992
French Polynesia,PYF,Children 0-14,23.846,1993
French Polynesia,PYF,Children 0-14,16.923,1994
French Polynesia,PYF,Children 0-14,21.538,1995
French Polynesia,PYF,Children 0-14,21.538,1996
French Polynesia,PYF,Children 0-14,10.769,1997
French Polynesia,PYF,Children 0-14,10.769,1998
French Polynesia,PYF,Children 0-14,10.769,1999
French Polynesia,PYF,Children 0-14,10.769,2000
French Polynesia,PYF,Children 0-14,10.769,2001
French Polynesia,PYF,Children 0-14,10.769,2002
French Polynesia,PYF,Children 0-14,10.769,2003
French Polynesia,PYF,Children 0-14,10.769,2004
French Polynesia,PYF,Children 0-14,10.769,2005
French Polynesia,PYF,Children 0-14,10.769,2006
French Polynesia,PYF,Children 0-14,15.385,2007
French Polynesia,PYF,Children 0-14,10.769,2008
French Polynesia,PYF,Children 0-14,10.769,2009
French Polynesia,PYF,Children 0-14,10.769,2010
French Polynesia,PYF,Children 0-14,10.769,2011
French Polynesia,PYF,Children 0-14,10.769,2012
French Polynesia,PYF,Children 0-14,10.769,2013
French Polynesia,PYF,Children 0-14,10.769,2014
French Polynesia,PYF,Children 0-14,10.769,2015
