Country Name,Country Code,Topic,% of available indicators,Year
Romania,ROU,Assets,0.000,1960
Romania,ROU,Assets,0.000,1961
Romania,ROU,Assets,0.000,1962
Romania,ROU,Assets,0.000,1963
Romania,ROU,Assets,0.000,1964
Romania,ROU,Assets,0.000,1965
Romania,ROU,Assets,0.000,1966
Romania,ROU,Assets,0.000,1967
Romania,ROU,Assets,0.000,1968
Romania,ROU,Assets,0.000,1969
Romania,ROU,Assets,2.208,1970
Romania,ROU,Assets,2.208,1971
Romania,ROU,Assets,2.208,1972
Romania,ROU,Assets,2.208,1973
Romania,ROU,Assets,2.208,1974
Romania,ROU,Assets,2.208,1975
Romania,ROU,Assets,2.208,1976
Romania,ROU,Assets,2.208,1977
Romania,ROU,Assets,2.208,1978
Romania,ROU,Assets,2.208,1979
Romania,ROU,Assets,2.208,1980
Romania,ROU,Assets,2.208,1981
Romania,ROU,Assets,2.208,1982
Romania,ROU,Assets,2.208,1983
Romania,ROU,Assets,2.208,1984
Romania,ROU,Assets,2.208,1985
Romania,ROU,Assets,2.208,1986
Romania,ROU,Assets,2.208,1987
Romania,ROU,Assets,2.208,1988
Romania,ROU,Assets,2.208,1989
Romania,ROU,Assets,2.208,1990
Romania,ROU,Assets,2.208,1991
Romania,ROU,Assets,2.208,1992
Romania,ROU,Assets,2.208,1993
Romania,ROU,Assets,2.208,1994
Romania,ROU,Assets,2.208,1995
Romania,ROU,Assets,2.208,1996
Romania,ROU,Assets,2.208,1997
Romania,ROU,Assets,2.208,1998
Romania,ROU,Assets,2.208,1999
Romania,ROU,Assets,2.208,2000
Romania,ROU,Assets,2.208,2001
Romania,ROU,Assets,2.208,2002
Romania,ROU,Assets,2.208,2003
Romania,ROU,Assets,2.208,2004
Romania,ROU,Assets,2.208,2005
Romania,ROU,Assets,2.208,2006
Romania,ROU,Assets,2.208,2007
Romania,ROU,Assets,2.208,2008
Romania,ROU,Assets,2.208,2009
Romania,ROU,Assets,2.208,2010
Romania,ROU,Assets,11.672,2011
Romania,ROU,Assets,2.208,2012
Romania,ROU,Assets,2.208,2013
Romania,ROU,Assets,31.546,2014
Romania,ROU,Assets,2.208,2015
Romania,ROU,Assets,2.208,2016
Romania,ROU,Assets,34.069,2017
Romania,ROU,Assets,2.208,2018
Romania,ROU,Assets,2.208,2019
Romania,ROU,Assets,2.208,2020
Romania,ROU,Assets,61.199,2021
Romania,ROU,Assets,2.208,2022
Romania,ROU,Assets,2.208,2023
Romania,ROU,Children 0-14,19.231,1960
Romania,ROU,Children 0-14,19.231,1961
Romania,ROU,Children 0-14,19.231,1962
Romania,ROU,Children 0-14,19.231,1963
Romania,ROU,Children 0-14,19.231,1964
Romania,ROU,Children 0-14,19.231,1965
Romania,ROU,Children 0-14,19.231,1966
Romania,ROU,Children 0-14,19.231,1967
Romania,ROU,Children 0-14,19.231,1968
Romania,ROU,Children 0-14,19.231,1969
Romania,ROU,Children 0-14,19.231,1970
Romania,ROU,Children 0-14,25.385,1971
Romania,ROU,Children 0-14,25.385,1972
Romania,ROU,Children 0-14,25.385,1973
Romania,ROU,Children 0-14,25.385,1974
Romania,ROU,Children 0-14,21.538,1975
Romania,ROU,Children 0-14,21.538,1976
Romania,ROU,Children 0-14,22.308,1977
Romania,ROU,Children 0-14,21.538,1978
Romania,ROU,Children 0-14,21.538,1979
Romania,ROU,Children 0-14,21.538,1980
Romania,ROU,Children 0-14,22.308,1981
Romania,ROU,Children 0-14,21.538,1982
Romania,ROU,Children 0-14,22.308,1983
Romania,ROU,Children 0-14,22.308,1984
Romania,ROU,Children 0-14,23.077,1985
Romania,ROU,Children 0-14,23.846,1986
Romania,ROU,Children 0-14,23.846,1987
Romania,ROU,Children 0-14,23.846,1988
Romania,ROU,Children 0-14,26.923,1989
Romania,ROU,Children 0-14,30.000,1990
Romania,ROU,Children 0-14,30.000,1991
Romania,ROU,Children 0-14,29.231,1992
Romania,ROU,Children 0-14,40.000,1993
Romania,ROU,Children 0-14,34.615,1994
Romania,ROU,Children 0-14,36.154,1995
Romania,ROU,Children 0-14,36.923,1996
Romania,ROU,Children 0-14,36.923,1997
Romania,ROU,Children 0-14,33.077,1998
Romania,ROU,Children 0-14,50.000,1999
Romania,ROU,Children 0-14,65.385,2000
Romania,ROU,Children 0-14,57.692,2001
Romania,ROU,Children 0-14,58.462,2002
Romania,ROU,Children 0-14,40.000,2003
Romania,ROU,Children 0-14,36.923,2004
Romania,ROU,Children 0-14,40.000,2005
Romania,ROU,Children 0-14,46.154,2006
Romania,ROU,Children 0-14,42.308,2007
Romania,ROU,Children 0-14,44.615,2008
Romania,ROU,Children 0-14,46.923,2009
Romania,ROU,Children 0-14,60.769,2010
Romania,ROU,Children 0-14,50.769,2011
Romania,ROU,Children 0-14,44.615,2012
Romania,ROU,Children 0-14,32.308,2013
Romania,ROU,Children 0-14,35.385,2014
Romania,ROU,Children 0-14,63.077,2015
Romania,ROU,Children 0-14,49.231,2016
Romania,ROU,Children 0-14,46.923,2017
Romania,ROU,Children 0-14,42.308,2018
Romania,ROU,Children 0-14,53.846,2019
Romania,ROU,Children 0-14,44.615,2020
Romania,ROU,Children 0-14,36.923,2021
Romania,ROU,Children 0-14,35.385,2022
Romania,ROU,Children 0-14,9.231,2023
Romania,ROU,Education,0.000,1960
Romania,ROU,Education,0.000,1961
Romania,ROU,Education,0.000,1962
Romania,ROU,Education,0.000,1963
Romania,ROU,Education,0.000,1964
Romania,ROU,Education,0.000,1965
Romania,ROU,Education,0.000,1966
Romania,ROU,Education,0.000,1967
Romania,ROU,Education,0.000,1968
Romania,ROU,Education,0.000,1969
Romania,ROU,Education,0.000,1970
Romania,ROU,Education,16.564,1971
Romania,ROU,Education,16.564,1972
Romania,ROU,Education,16.564,1973
Romania,ROU,Education,16.564,1974
Romania,ROU,Education,6.135,1975
Romania,ROU,Education,6.135,1976
Romania,ROU,Education,7.362,1977
Romania,ROU,Education,6.135,1978
Romania,ROU,Education,6.135,1979
Romania,ROU,Education,6.135,1980
Romania,ROU,Education,5.521,1981
Romania,ROU,Education,6.135,1982
Romania,ROU,Education,6.135,1983
Romania,ROU,Education,6.135,1984
Romania,ROU,Education,6.135,1985
Romania,ROU,Education,6.748,1986
Romania,ROU,Education,6.748,1987
Romania,ROU,Education,6.748,1988
Romania,ROU,Education,14.724,1989
Romania,ROU,Education,15.951,1990
Romania,ROU,Education,17.791,1991
Romania,ROU,Education,30.061,1992
Romania,ROU,Education,28.221,1993
Romania,ROU,Education,23.926,1994
Romania,ROU,Education,25.767,1995
Romania,ROU,Education,28.221,1996
Romania,ROU,Education,28.834,1997
Romania,ROU,Education,30.675,1998
Romania,ROU,Education,42.945,1999
Romania,ROU,Education,44.785,2000
Romania,ROU,Education,51.534,2001
Romania,ROU,Education,61.350,2002
Romania,ROU,Education,40.491,2003
Romania,ROU,Education,45.399,2004
Romania,ROU,Education,47.853,2005
Romania,ROU,Education,50.920,2006
Romania,ROU,Education,53.374,2007
Romania,ROU,Education,57.055,2008
Romania,ROU,Education,58.896,2009
Romania,ROU,Education,73.620,2010
Romania,ROU,Education,74.233,2011
Romania,ROU,Education,55.215,2012
Romania,ROU,Education,48.466,2013
Romania,ROU,Education,57.669,2014
Romania,ROU,Education,69.325,2015
Romania,ROU,Education,69.325,2016
Romania,ROU,Education,64.417,2017
Romania,ROU,Education,54.601,2018
Romania,ROU,Education,40.491,2019
Romania,ROU,Education,51.534,2020
Romania,ROU,Education,41.104,2021
Romania,ROU,Education,34.969,2022
Romania,ROU,Education,1.840,2023
Romania,ROU,Employment and Time Use,0.000,1960
Romania,ROU,Employment and Time Use,0.000,1961
Romania,ROU,Employment and Time Use,0.000,1962
Romania,ROU,Employment and Time Use,0.000,1963
Romania,ROU,Employment and Time Use,0.000,1964
Romania,ROU,Employment and Time Use,0.000,1965
Romania,ROU,Employment and Time Use,5.109,1966
Romania,ROU,Employment and Time Use,0.000,1967
Romania,ROU,Employment and Time Use,0.000,1968
Romania,ROU,Employment and Time Use,0.000,1969
Romania,ROU,Employment and Time Use,21.168,1970
Romania,ROU,Employment and Time Use,21.168,1971
Romania,ROU,Employment and Time Use,21.168,1972
Romania,ROU,Employment and Time Use,21.168,1973
Romania,ROU,Employment and Time Use,21.168,1974
Romania,ROU,Employment and Time Use,21.168,1975
Romania,ROU,Employment and Time Use,21.168,1976
Romania,ROU,Employment and Time Use,26.277,1977
Romania,ROU,Employment and Time Use,21.168,1978
Romania,ROU,Employment and Time Use,21.168,1979
Romania,ROU,Employment and Time Use,21.168,1980
Romania,ROU,Employment and Time Use,21.168,1981
Romania,ROU,Employment and Time Use,21.168,1982
Romania,ROU,Employment and Time Use,21.168,1983
Romania,ROU,Employment and Time Use,21.168,1984
Romania,ROU,Employment and Time Use,21.168,1985
Romania,ROU,Employment and Time Use,21.168,1986
Romania,ROU,Employment and Time Use,21.168,1987
Romania,ROU,Employment and Time Use,21.168,1988
Romania,ROU,Employment and Time Use,21.168,1989
Romania,ROU,Employment and Time Use,31.387,1990
Romania,ROU,Employment and Time Use,56.204,1991
Romania,ROU,Employment and Time Use,66.423,1992
Romania,ROU,Employment and Time Use,56.204,1993
Romania,ROU,Employment and Time Use,58.394,1994
Romania,ROU,Employment and Time Use,75.182,1995
Romania,ROU,Employment and Time Use,72.993,1996
Romania,ROU,Employment and Time Use,88.321,1997
Romania,ROU,Employment and Time Use,88.321,1998
Romania,ROU,Employment and Time Use,89.781,1999
Romania,ROU,Employment and Time Use,94.161,2000
Romania,ROU,Employment and Time Use,90.511,2001
Romania,ROU,Employment and Time Use,90.511,2002
Romania,ROU,Employment and Time Use,90.511,2003
Romania,ROU,Employment and Time Use,90.511,2004
Romania,ROU,Employment and Time Use,90.511,2005
Romania,ROU,Employment and Time Use,90.511,2006
Romania,ROU,Employment and Time Use,90.511,2007
Romania,ROU,Employment and Time Use,90.511,2008
Romania,ROU,Employment and Time Use,90.511,2009
Romania,ROU,Employment and Time Use,90.511,2010
Romania,ROU,Employment and Time Use,90.511,2011
Romania,ROU,Employment and Time Use,91.971,2012
Romania,ROU,Employment and Time Use,90.511,2013
Romania,ROU,Employment and Time Use,90.511,2014
Romania,ROU,Employment and Time Use,90.511,2015
Romania,ROU,Employment and Time Use,90.511,2016
Romania,ROU,Employment and Time Use,90.511,2017
Romania,ROU,Employment and Time Use,90.511,2018
Romania,ROU,Employment and Time Use,90.511,2019
Romania,ROU,Employment and Time Use,90.511,2020
Romania,ROU,Employment and Time Use,90.511,2021
Romania,ROU,Employment and Time Use,90.511,2022
Romania,ROU,Employment and Time Use,94.891,2023
Romania,ROU,Entrepreneurship,0.000,1960
Romania,ROU,Entrepreneurship,0.000,1961
Romania,ROU,Entrepreneurship,0.000,1962
Romania,ROU,Entrepreneurship,0.000,1963
Romania,ROU,Entrepreneurship,0.000,1964
Romania,ROU,Entrepreneurship,0.000,1965
Romania,ROU,Entrepreneurship,0.000,1966
Romania,ROU,Entrepreneurship,0.000,1967
Romania,ROU,Entrepreneurship,0.000,1968
Romania,ROU,Entrepreneurship,0.000,1969
Romania,ROU,Entrepreneurship,9.375,1970
Romania,ROU,Entrepreneurship,9.375,1971
Romania,ROU,Entrepreneurship,9.375,1972
Romania,ROU,Entrepreneurship,9.375,1973
Romania,ROU,Entrepreneurship,9.375,1974
Romania,ROU,Entrepreneurship,9.375,1975
Romania,ROU,Entrepreneurship,9.375,1976
Romania,ROU,Entrepreneurship,9.375,1977
Romania,ROU,Entrepreneurship,9.375,1978
Romania,ROU,Entrepreneurship,9.375,1979
Romania,ROU,Entrepreneurship,9.375,1980
Romania,ROU,Entrepreneurship,9.375,1981
Romania,ROU,Entrepreneurship,9.375,1982
Romania,ROU,Entrepreneurship,9.375,1983
Romania,ROU,Entrepreneurship,9.375,1984
Romania,ROU,Entrepreneurship,9.375,1985
Romania,ROU,Entrepreneurship,9.375,1986
Romania,ROU,Entrepreneurship,9.375,1987
Romania,ROU,Entrepreneurship,9.375,1988
Romania,ROU,Entrepreneurship,9.375,1989
Romania,ROU,Entrepreneurship,9.375,1990
Romania,ROU,Entrepreneurship,9.375,1991
Romania,ROU,Entrepreneurship,9.375,1992
Romania,ROU,Entrepreneurship,9.375,1993
Romania,ROU,Entrepreneurship,9.375,1994
Romania,ROU,Entrepreneurship,9.375,1995
Romania,ROU,Entrepreneurship,9.375,1996
Romania,ROU,Entrepreneurship,9.375,1997
Romania,ROU,Entrepreneurship,9.375,1998
Romania,ROU,Entrepreneurship,9.375,1999
Romania,ROU,Entrepreneurship,9.375,2000
Romania,ROU,Entrepreneurship,9.375,2001
Romania,ROU,Entrepreneurship,9.375,2002
Romania,ROU,Entrepreneurship,37.500,2003
Romania,ROU,Entrepreneurship,37.500,2004
Romania,ROU,Entrepreneurship,40.625,2005
Romania,ROU,Entrepreneurship,37.500,2006
Romania,ROU,Entrepreneurship,37.500,2007
Romania,ROU,Entrepreneurship,37.500,2008
Romania,ROU,Entrepreneurship,43.750,2009
Romania,ROU,Entrepreneurship,37.500,2010
Romania,ROU,Entrepreneurship,37.500,2011
Romania,ROU,Entrepreneurship,37.500,2012
Romania,ROU,Entrepreneurship,43.750,2013
Romania,ROU,Entrepreneurship,93.750,2014
Romania,ROU,Entrepreneurship,75.000,2015
Romania,ROU,Entrepreneurship,75.000,2016
Romania,ROU,Entrepreneurship,93.750,2017
Romania,ROU,Entrepreneurship,75.000,2018
Romania,ROU,Entrepreneurship,81.250,2019
Romania,ROU,Entrepreneurship,46.875,2020
Romania,ROU,Entrepreneurship,46.875,2021
Romania,ROU,Entrepreneurship,46.875,2022
Romania,ROU,Entrepreneurship,15.625,2023
Romania,ROU,Environment,0.000,1960
Romania,ROU,Environment,0.000,1961
Romania,ROU,Environment,0.000,1962
Romania,ROU,Environment,0.000,1963
Romania,ROU,Environment,0.000,1964
Romania,ROU,Environment,0.000,1965
Romania,ROU,Environment,0.000,1966
Romania,ROU,Environment,0.000,1967
Romania,ROU,Environment,0.000,1968
Romania,ROU,Environment,0.000,1969
Romania,ROU,Environment,0.000,1970
Romania,ROU,Environment,0.000,1971
Romania,ROU,Environment,0.000,1972
Romania,ROU,Environment,0.000,1973
Romania,ROU,Environment,0.000,1974
Romania,ROU,Environment,0.000,1975
Romania,ROU,Environment,0.000,1976
Romania,ROU,Environment,0.000,1977
Romania,ROU,Environment,0.000,1978
Romania,ROU,Environment,0.000,1979
Romania,ROU,Environment,0.000,1980
Romania,ROU,Environment,0.000,1981
Romania,ROU,Environment,0.000,1982
Romania,ROU,Environment,0.000,1983
Romania,ROU,Environment,0.000,1984
Romania,ROU,Environment,0.000,1985
Romania,ROU,Environment,0.000,1986
Romania,ROU,Environment,0.000,1987
Romania,ROU,Environment,0.000,1988
Romania,ROU,Environment,0.000,1989
Romania,ROU,Environment,0.000,1990
Romania,ROU,Environment,0.000,1991
Romania,ROU,Environment,0.000,1992
Romania,ROU,Environment,0.000,1993
Romania,ROU,Environment,0.000,1994
Romania,ROU,Environment,0.000,1995
Romania,ROU,Environment,0.000,1996
Romania,ROU,Environment,0.000,1997
Romania,ROU,Environment,0.000,1998
Romania,ROU,Environment,3.333,1999
Romania,ROU,Environment,3.333,2000
Romania,ROU,Environment,13.333,2001
Romania,ROU,Environment,13.333,2002
Romania,ROU,Environment,10.000,2003
Romania,ROU,Environment,13.333,2004
Romania,ROU,Environment,13.333,2005
Romania,ROU,Environment,13.333,2006
Romania,ROU,Environment,13.333,2007
Romania,ROU,Environment,13.333,2008
Romania,ROU,Environment,13.333,2009
Romania,ROU,Environment,13.333,2010
Romania,ROU,Environment,13.333,2011
Romania,ROU,Environment,13.333,2012
Romania,ROU,Environment,13.333,2013
Romania,ROU,Environment,23.333,2014
Romania,ROU,Environment,13.333,2015
Romania,ROU,Environment,13.333,2016
Romania,ROU,Environment,20.000,2017
Romania,ROU,Environment,10.000,2018
Romania,ROU,Environment,30.000,2019
Romania,ROU,Environment,10.000,2020
Romania,ROU,Environment,20.000,2021
Romania,ROU,Environment,10.000,2022
Romania,ROU,Environment,0.000,2023
Romania,ROU,Health,8.586,1960
Romania,ROU,Health,8.586,1961
Romania,ROU,Health,8.586,1962
Romania,ROU,Health,8.586,1963
Romania,ROU,Health,8.586,1964
Romania,ROU,Health,8.586,1965
Romania,ROU,Health,8.586,1966
Romania,ROU,Health,8.586,1967
Romania,ROU,Health,8.586,1968
Romania,ROU,Health,8.586,1969
Romania,ROU,Health,8.586,1970
Romania,ROU,Health,8.586,1971
Romania,ROU,Health,8.586,1972
Romania,ROU,Health,8.586,1973
Romania,ROU,Health,8.586,1974
Romania,ROU,Health,11.111,1975
Romania,ROU,Health,11.111,1976
Romania,ROU,Health,11.111,1977
Romania,ROU,Health,11.111,1978
Romania,ROU,Health,11.111,1979
Romania,ROU,Health,11.111,1980
Romania,ROU,Health,11.111,1981
Romania,ROU,Health,11.111,1982
Romania,ROU,Health,11.616,1983
Romania,ROU,Health,11.616,1984
Romania,ROU,Health,12.626,1985
Romania,ROU,Health,12.626,1986
Romania,ROU,Health,12.626,1987
Romania,ROU,Health,12.626,1988
Romania,ROU,Health,13.131,1989
Romania,ROU,Health,17.677,1990
Romania,ROU,Health,19.697,1991
Romania,ROU,Health,17.677,1992
Romania,ROU,Health,19.192,1993
Romania,ROU,Health,17.677,1994
Romania,ROU,Health,17.677,1995
Romania,ROU,Health,17.677,1996
Romania,ROU,Health,17.677,1997
Romania,ROU,Health,17.677,1998
Romania,ROU,Health,27.273,1999
Romania,ROU,Health,63.131,2000
Romania,ROU,Health,39.899,2001
Romania,ROU,Health,39.899,2002
Romania,ROU,Health,32.323,2003
Romania,ROU,Health,35.859,2004
Romania,ROU,Health,35.354,2005
Romania,ROU,Health,32.828,2006
Romania,ROU,Health,32.828,2007
Romania,ROU,Health,32.828,2008
Romania,ROU,Health,32.828,2009
Romania,ROU,Health,60.101,2010
Romania,ROU,Health,32.828,2011
Romania,ROU,Health,32.828,2012
Romania,ROU,Health,32.828,2013
Romania,ROU,Health,34.848,2014
Romania,ROU,Health,57.071,2015
Romania,ROU,Health,32.828,2016
Romania,ROU,Health,34.343,2017
Romania,ROU,Health,34.343,2018
Romania,ROU,Health,57.071,2019
Romania,ROU,Health,26.768,2020
Romania,ROU,Health,19.192,2021
Romania,ROU,Health,16.667,2022
Romania,ROU,Health,1.010,2023
Romania,ROU,Leadership,0.000,1960
Romania,ROU,Leadership,0.000,1961
Romania,ROU,Leadership,0.000,1962
Romania,ROU,Leadership,0.000,1963
Romania,ROU,Leadership,0.000,1964
Romania,ROU,Leadership,0.000,1965
Romania,ROU,Leadership,0.000,1966
Romania,ROU,Leadership,0.000,1967
Romania,ROU,Leadership,0.000,1968
Romania,ROU,Leadership,0.000,1969
Romania,ROU,Leadership,0.000,1970
Romania,ROU,Leadership,0.000,1971
Romania,ROU,Leadership,0.000,1972
Romania,ROU,Leadership,0.000,1973
Romania,ROU,Leadership,0.000,1974
Romania,ROU,Leadership,0.000,1975
Romania,ROU,Leadership,0.000,1976
Romania,ROU,Leadership,0.000,1977
Romania,ROU,Leadership,0.000,1978
Romania,ROU,Leadership,0.000,1979
Romania,ROU,Leadership,0.000,1980
Romania,ROU,Leadership,0.000,1981
Romania,ROU,Leadership,0.000,1982
Romania,ROU,Leadership,0.000,1983
Romania,ROU,Leadership,0.000,1984
Romania,ROU,Leadership,0.000,1985
Romania,ROU,Leadership,0.000,1986
Romania,ROU,Leadership,0.000,1987
Romania,ROU,Leadership,0.000,1988
Romania,ROU,Leadership,0.000,1989
Romania,ROU,Leadership,0.000,1990
