Country Name,Country Code,Topic,% of available indicators,Year
Russian Federation,RUS,Assets,0.000,1960
Russian Federation,RUS,Assets,0.000,1961
Russian Federation,RUS,Assets,0.000,1962
Russian Federation,RUS,Assets,0.000,1963
Russian Federation,RUS,Assets,0.000,1964
Russian Federation,RUS,Assets,0.000,1965
Russian Federation,RUS,Assets,0.000,1966
Russian Federation,RUS,Assets,0.000,1967
Russian Federation,RUS,Assets,0.000,1968
Russian Federation,RUS,Assets,0.000,1969
Russian Federation,RUS,Assets,2.208,1970
Russian Federation,RUS,Assets,2.208,1971
Russian Federation,RUS,Assets,2.208,1972
Russian Federation,RUS,Assets,2.208,1973
Russian Federation,RUS,Assets,2.208,1974
Russian Federation,RUS,Assets,2.208,1975
Russian Federation,RUS,Assets,2.208,1976
Russian Federation,RUS,Assets,2.208,1977
Russian Federation,RUS,Assets,2.208,1978
Russian Federation,RUS,Assets,2.208,1979
Russian Federation,RUS,Assets,2.208,1980
Russian Federation,RUS,Assets,2.208,1981
Russian Federation,RUS,Assets,2.208,1982
Russian Federation,RUS,Assets,2.208,1983
Russian Federation,RUS,Assets,2.208,1984
Russian Federation,RUS,Assets,2.208,1985
Russian Federation,RUS,Assets,2.208,1986
Russian Federation,RUS,Assets,2.208,1987
Russian Federation,RUS,Assets,2.208,1988
Russian Federation,RUS,Assets,2.208,1989
Russian Federation,RUS,Assets,2.208,1990
Russian Federation,RUS,Assets,2.208,1991
Russian Federation,RUS,Assets,2.208,1992
Russian Federation,RUS,Assets,2.208,1993
Russian Federation,RUS,Assets,2.208,1994
Russian Federation,RUS,Assets,2.208,1995
Russian Federation,RUS,Assets,2.208,1996
Russian Federation,RUS,Assets,2.208,1997
Russian Federation,RUS,Assets,2.208,1998
Russian Federation,RUS,Assets,2.208,1999
Russian Federation,RUS,Assets,2.208,2000
Russian Federation,RUS,Assets,2.208,2001
Russian Federation,RUS,Assets,2.208,2002
Russian Federation,RUS,Assets,2.208,2003
Russian Federation,RUS,Assets,2.208,2004
Russian Federation,RUS,Assets,2.208,2005
Russian Federation,RUS,Assets,2.208,2006
Russian Federation,RUS,Assets,2.208,2007
Russian Federation,RUS,Assets,2.208,2008
Russian Federation,RUS,Assets,2.208,2009
Russian Federation,RUS,Assets,2.208,2010
Russian Federation,RUS,Assets,11.672,2011
Russian Federation,RUS,Assets,2.208,2012
Russian Federation,RUS,Assets,2.208,2013
Russian Federation,RUS,Assets,30.599,2014
Russian Federation,RUS,Assets,2.208,2015
Russian Federation,RUS,Assets,2.208,2016
Russian Federation,RUS,Assets,33.123,2017
Russian Federation,RUS,Assets,2.208,2018
Russian Federation,RUS,Assets,2.208,2019
Russian Federation,RUS,Assets,2.208,2020
Russian Federation,RUS,Assets,63.091,2021
Russian Federation,RUS,Assets,2.208,2022
Russian Federation,RUS,Assets,2.208,2023
Russian Federation,RUS,Children 0-14,17.692,1960
Russian Federation,RUS,Children 0-14,17.692,1961
Russian Federation,RUS,Children 0-14,17.692,1962
Russian Federation,RUS,Children 0-14,19.231,1963
Russian Federation,RUS,Children 0-14,19.231,1964
Russian Federation,RUS,Children 0-14,19.231,1965
Russian Federation,RUS,Children 0-14,19.231,1966
Russian Federation,RUS,Children 0-14,19.231,1967
Russian Federation,RUS,Children 0-14,19.231,1968
Russian Federation,RUS,Children 0-14,19.231,1969
Russian Federation,RUS,Children 0-14,19.231,1970
Russian Federation,RUS,Children 0-14,20.000,1971
Russian Federation,RUS,Children 0-14,20.000,1972
Russian Federation,RUS,Children 0-14,20.000,1973
Russian Federation,RUS,Children 0-14,20.000,1974
Russian Federation,RUS,Children 0-14,20.000,1975
Russian Federation,RUS,Children 0-14,20.000,1976
Russian Federation,RUS,Children 0-14,20.000,1977
Russian Federation,RUS,Children 0-14,20.000,1978
Russian Federation,RUS,Children 0-14,20.000,1979
Russian Federation,RUS,Children 0-14,20.000,1980
Russian Federation,RUS,Children 0-14,23.846,1981
Russian Federation,RUS,Children 0-14,20.000,1982
Russian Federation,RUS,Children 0-14,20.000,1983
Russian Federation,RUS,Children 0-14,20.000,1984
Russian Federation,RUS,Children 0-14,20.000,1985
Russian Federation,RUS,Children 0-14,23.846,1986
Russian Federation,RUS,Children 0-14,20.000,1987
Russian Federation,RUS,Children 0-14,20.000,1988
Russian Federation,RUS,Children 0-14,26.154,1989
Russian Federation,RUS,Children 0-14,23.846,1990
Russian Federation,RUS,Children 0-14,23.846,1991
Russian Federation,RUS,Children 0-14,26.923,1992
Russian Federation,RUS,Children 0-14,25.385,1993
Russian Federation,RUS,Children 0-14,40.000,1994
Russian Federation,RUS,Children 0-14,43.077,1995
Russian Federation,RUS,Children 0-14,28.462,1996
Russian Federation,RUS,Children 0-14,21.538,1997
Russian Federation,RUS,Children 0-14,28.462,1998
Russian Federation,RUS,Children 0-14,26.923,1999
Russian Federation,RUS,Children 0-14,47.692,2000
Russian Federation,RUS,Children 0-14,38.462,2001
Russian Federation,RUS,Children 0-14,37.692,2002
Russian Federation,RUS,Children 0-14,33.846,2003
Russian Federation,RUS,Children 0-14,29.231,2004
Russian Federation,RUS,Children 0-14,33.846,2005
Russian Federation,RUS,Children 0-14,39.231,2006
Russian Federation,RUS,Children 0-14,35.385,2007
Russian Federation,RUS,Children 0-14,36.923,2008
Russian Federation,RUS,Children 0-14,36.923,2009
Russian Federation,RUS,Children 0-14,42.308,2010
Russian Federation,RUS,Children 0-14,43.077,2011
Russian Federation,RUS,Children 0-14,38.462,2012
Russian Federation,RUS,Children 0-14,38.462,2013
Russian Federation,RUS,Children 0-14,46.923,2014
Russian Federation,RUS,Children 0-14,58.462,2015
Russian Federation,RUS,Children 0-14,49.231,2016
Russian Federation,RUS,Children 0-14,44.615,2017
Russian Federation,RUS,Children 0-14,39.231,2018
Russian Federation,RUS,Children 0-14,50.769,2019
Russian Federation,RUS,Children 0-14,34.615,2020
Russian Federation,RUS,Children 0-14,31.538,2021
Russian Federation,RUS,Children 0-14,31.538,2022
Russian Federation,RUS,Children 0-14,19.231,2023
Russian Federation,RUS,Education,0.000,1960
Russian Federation,RUS,Education,0.000,1961
Russian Federation,RUS,Education,0.000,1962
Russian Federation,RUS,Education,0.000,1963
Russian Federation,RUS,Education,0.000,1964
Russian Federation,RUS,Education,0.000,1965
Russian Federation,RUS,Education,0.000,1966
Russian Federation,RUS,Education,0.000,1967
Russian Federation,RUS,Education,0.000,1968
Russian Federation,RUS,Education,0.000,1969
Russian Federation,RUS,Education,0.613,1970
Russian Federation,RUS,Education,4.294,1971
Russian Federation,RUS,Education,1.227,1972
Russian Federation,RUS,Education,1.227,1973
Russian Federation,RUS,Education,1.227,1974
Russian Federation,RUS,Education,1.227,1975
Russian Federation,RUS,Education,2.454,1976
Russian Federation,RUS,Education,1.227,1977
Russian Federation,RUS,Education,1.227,1978
Russian Federation,RUS,Education,1.227,1979
Russian Federation,RUS,Education,1.227,1980
Russian Federation,RUS,Education,9.202,1981
Russian Federation,RUS,Education,1.227,1982
Russian Federation,RUS,Education,1.227,1983
Russian Federation,RUS,Education,1.227,1984
Russian Federation,RUS,Education,1.227,1985
Russian Federation,RUS,Education,9.202,1986
Russian Federation,RUS,Education,2.454,1987
Russian Federation,RUS,Education,2.454,1988
Russian Federation,RUS,Education,17.791,1989
Russian Federation,RUS,Education,7.362,1990
Russian Federation,RUS,Education,9.202,1991
Russian Federation,RUS,Education,10.429,1992
Russian Federation,RUS,Education,9.202,1993
Russian Federation,RUS,Education,22.086,1994
Russian Federation,RUS,Education,14.110,1995
Russian Federation,RUS,Education,2.454,1996
Russian Federation,RUS,Education,2.454,1997
Russian Federation,RUS,Education,4.294,1998
Russian Federation,RUS,Education,9.816,1999
Russian Federation,RUS,Education,7.975,2000
Russian Federation,RUS,Education,13.497,2001
Russian Federation,RUS,Education,27.607,2002
Russian Federation,RUS,Education,23.313,2003
Russian Federation,RUS,Education,16.564,2004
Russian Federation,RUS,Education,23.313,2005
Russian Federation,RUS,Education,33.742,2006
Russian Federation,RUS,Education,30.675,2007
Russian Federation,RUS,Education,32.515,2008
Russian Federation,RUS,Education,33.742,2009
Russian Federation,RUS,Education,26.994,2010
Russian Federation,RUS,Education,44.785,2011
Russian Federation,RUS,Education,43.558,2012
Russian Federation,RUS,Education,46.012,2013
Russian Federation,RUS,Education,56.442,2014
Russian Federation,RUS,Education,49.693,2015
Russian Federation,RUS,Education,51.534,2016
Russian Federation,RUS,Education,57.669,2017
Russian Federation,RUS,Education,47.853,2018
Russian Federation,RUS,Education,30.675,2019
Russian Federation,RUS,Education,34.969,2020
Russian Federation,RUS,Education,32.515,2021
Russian Federation,RUS,Education,25.767,2022
Russian Federation,RUS,Education,20.859,2023
Russian Federation,RUS,Employment and Time Use,0.000,1960
Russian Federation,RUS,Employment and Time Use,0.000,1961
Russian Federation,RUS,Employment and Time Use,0.000,1962
Russian Federation,RUS,Employment and Time Use,0.000,1963
Russian Federation,RUS,Employment and Time Use,0.000,1964
Russian Federation,RUS,Employment and Time Use,0.000,1965
Russian Federation,RUS,Employment and Time Use,0.000,1966
Russian Federation,RUS,Employment and Time Use,0.000,1967
Russian Federation,RUS,Employment and Time Use,0.000,1968
Russian Federation,RUS,Employment and Time Use,0.000,1969
Russian Federation,RUS,Employment and Time Use,21.168,1970
Russian Federation,RUS,Employment and Time Use,21.168,1971
Russian Federation,RUS,Employment and Time Use,21.168,1972
Russian Federation,RUS,Employment and Time Use,21.168,1973
Russian Federation,RUS,Employment and Time Use,21.168,1974
Russian Federation,RUS,Employment and Time Use,21.168,1975
Russian Federation,RUS,Employment and Time Use,21.168,1976
Russian Federation,RUS,Employment and Time Use,21.168,1977
Russian Federation,RUS,Employment and Time Use,21.168,1978
Russian Federation,RUS,Employment and Time Use,21.168,1979
Russian Federation,RUS,Employment and Time Use,21.168,1980
Russian Federation,RUS,Employment and Time Use,21.168,1981
Russian Federation,RUS,Employment and Time Use,21.168,1982
Russian Federation,RUS,Employment and Time Use,21.168,1983
Russian Federation,RUS,Employment and Time Use,21.168,1984
Russian Federation,RUS,Employment and Time Use,21.168,1985
Russian Federation,RUS,Employment and Time Use,21.168,1986
Russian Federation,RUS,Employment and Time Use,21.168,1987
Russian Federation,RUS,Employment and Time Use,21.168,1988
Russian Federation,RUS,Employment and Time Use,26.277,1989
Russian Federation,RUS,Employment and Time Use,31.387,1990
Russian Federation,RUS,Employment and Time Use,56.204,1991
Russian Federation,RUS,Employment and Time Use,70.803,1992
Russian Federation,RUS,Employment and Time Use,70.803,1993
Russian Federation,RUS,Employment and Time Use,70.803,1994
Russian Federation,RUS,Employment and Time Use,70.803,1995
Russian Federation,RUS,Employment and Time Use,70.803,1996
Russian Federation,RUS,Employment and Time Use,70.803,1997
Russian Federation,RUS,Employment and Time Use,77.372,1998
Russian Federation,RUS,Employment and Time Use,70.803,1999
Russian Federation,RUS,Employment and Time Use,70.803,2000
Russian Federation,RUS,Employment and Time Use,70.803,2001
Russian Federation,RUS,Employment and Time Use,77.372,2002
Russian Federation,RUS,Employment and Time Use,77.372,2003
Russian Federation,RUS,Employment and Time Use,77.372,2004
Russian Federation,RUS,Employment and Time Use,70.803,2005
Russian Federation,RUS,Employment and Time Use,77.372,2006
Russian Federation,RUS,Employment and Time Use,77.372,2007
Russian Federation,RUS,Employment and Time Use,77.372,2008
Russian Federation,RUS,Employment and Time Use,83.212,2009
Russian Federation,RUS,Employment and Time Use,90.511,2010
Russian Federation,RUS,Employment and Time Use,90.511,2011
Russian Federation,RUS,Employment and Time Use,90.511,2012
Russian Federation,RUS,Employment and Time Use,90.511,2013
Russian Federation,RUS,Employment and Time Use,91.971,2014
Russian Federation,RUS,Employment and Time Use,90.511,2015
Russian Federation,RUS,Employment and Time Use,90.511,2016
Russian Federation,RUS,Employment and Time Use,86.861,2017
Russian Federation,RUS,Employment and Time Use,86.861,2018
Russian Federation,RUS,Employment and Time Use,88.321,2019
Russian Federation,RUS,Employment and Time Use,86.861,2020
Russian Federation,RUS,Employment and Time Use,86.861,2021
Russian Federation,RUS,Employment and Time Use,89.051,2022
Russian Federation,RUS,Employment and Time Use,91.971,2023
Russian Federation,RUS,Entrepreneurship,0.000,1960
Russian Federation,RUS,Entrepreneurship,0.000,1961
Russian Federation,RUS,Entrepreneurship,0.000,1962
Russian Federation,RUS,Entrepreneurship,0.000,1963
Russian Federation,RUS,Entrepreneurship,0.000,1964
Russian Federation,RUS,Entrepreneurship,0.000,1965
Russian Federation,RUS,Entrepreneurship,0.000,1966
Russian Federation,RUS,Entrepreneurship,0.000,1967
Russian Federation,RUS,Entrepreneurship,0.000,1968
Russian Federation,RUS,Entrepreneurship,0.000,1969
Russian Federation,RUS,Entrepreneurship,9.375,1970
Russian Federation,RUS,Entrepreneurship,9.375,1971
Russian Federation,RUS,Entrepreneurship,9.375,1972
Russian Federation,RUS,Entrepreneurship,9.375,1973
Russian Federation,RUS,Entrepreneurship,9.375,1974
Russian Federation,RUS,Entrepreneurship,9.375,1975
Russian Federation,RUS,Entrepreneurship,9.375,1976
Russian Federation,RUS,Entrepreneurship,9.375,1977
Russian Federation,RUS,Entrepreneurship,9.375,1978
Russian Federation,RUS,Entrepreneurship,9.375,1979
Russian Federation,RUS,Entrepreneurship,9.375,1980
Russian Federation,RUS,Entrepreneurship,9.375,1981
Russian Federation,RUS,Entrepreneurship,9.375,1982
Russian Federation,RUS,Entrepreneurship,9.375,1983
Russian Federation,RUS,Entrepreneurship,9.375,1984
Russian Federation,RUS,Entrepreneurship,9.375,1985
Russian Federation,RUS,Entrepreneurship,9.375,1986
Russian Federation,RUS,Entrepreneurship,9.375,1987
Russian Federation,RUS,Entrepreneurship,9.375,1988
Russian Federation,RUS,Entrepreneurship,9.375,1989
Russian Federation,RUS,Entrepreneurship,9.375,1990
Russian Federation,RUS,Entrepreneurship,9.375,1991
Russian Federation,RUS,Entrepreneurship,9.375,1992
Russian Federation,RUS,Entrepreneurship,9.375,1993
Russian Federation,RUS,Entrepreneurship,9.375,1994
Russian Federation,RUS,Entrepreneurship,9.375,1995
Russian Federation,RUS,Entrepreneurship,9.375,1996
Russian Federation,RUS,Entrepreneurship,9.375,1997
Russian Federation,RUS,Entrepreneurship,9.375,1998
Russian Federation,RUS,Entrepreneurship,9.375,1999
Russian Federation,RUS,Entrepreneurship,9.375,2000
Russian Federation,RUS,Entrepreneurship,9.375,2001
Russian Federation,RUS,Entrepreneurship,9.375,2002
Russian Federation,RUS,Entrepreneurship,9.375,2003
Russian Federation,RUS,Entrepreneurship,9.375,2004
Russian Federation,RUS,Entrepreneurship,12.500,2005
Russian Federation,RUS,Entrepreneurship,9.375,2006
Russian Federation,RUS,Entrepreneurship,9.375,2007
Russian Federation,RUS,Entrepreneurship,9.375,2008
Russian Federation,RUS,Entrepreneurship,15.625,2009
Russian Federation,RUS,Entrepreneurship,9.375,2010
Russian Federation,RUS,Entrepreneurship,9.375,2011
Russian Federation,RUS,Entrepreneurship,15.625,2012
Russian Federation,RUS,Entrepreneurship,37.500,2013
Russian Federation,RUS,Entrepreneurship,68.750,2014
Russian Federation,RUS,Entrepreneurship,50.000,2015
Russian Federation,RUS,Entrepreneurship,50.000,2016
Russian Federation,RUS,Entrepreneurship,68.750,2017
Russian Federation,RUS,Entrepreneurship,50.000,2018
Russian Federation,RUS,Entrepreneurship,56.250,2019
Russian Federation,RUS,Entrepreneurship,21.875,2020
Russian Federation,RUS,Entrepreneurship,21.875,2021
Russian Federation,RUS,Entrepreneurship,21.875,2022
Russian Federation,RUS,Entrepreneurship,9.375,2023
Russian Federation,RUS,Environment,0.000,1960
Russian Federation,RUS,Environment,0.000,1961
Russian Federation,RUS,Environment,0.000,1962
Russian Federation,RUS,Environment,0.000,1963
Russian Federation,RUS,Environment,0.000,1964
Russian Federation,RUS,Environment,0.000,1965
Russian Federation,RUS,Environment,0.000,1966
Russian Federation,RUS,Environment,0.000,1967
Russian Federation,RUS,Environment,0.000,1968
Russian Federation,RUS,Environment,0.000,1969
Russian Federation,RUS,Environment,0.000,1970
Russian Federation,RUS,Environment,0.000,1971
Russian Federation,RUS,Environment,0.000,1972
Russian Federation,RUS,Environment,0.000,1973
Russian Federation,RUS,Environment,0.000,1974
Russian Federation,RUS,Environment,0.000,1975
Russian Federation,RUS,Environment,0.000,1976
Russian Federation,RUS,Environment,0.000,1977
Russian Federation,RUS,Environment,0.000,1978
Russian Federation,RUS,Environment,0.000,1979
Russian Federation,RUS,Environment,0.000,1980
Russian Federation,RUS,Environment,0.000,1981
Russian Federation,RUS,Environment,0.000,1982
Russian Federation,RUS,Environment,0.000,1983
Russian Federation,RUS,Environment,0.000,1984
Russian Federation,RUS,Environment,0.000,1985
Russian Federation,RUS,Environment,0.000,1986
Russian Federation,RUS,Environment,0.000,1987
Russian Federation,RUS,Environment,0.000,1988
Russian Federation,RUS,Environment,0.000,1989
Russian Federation,RUS,Environment,0.000,1990
Russian Federation,RUS,Environment,0.000,1991
Russian Federation,RUS,Environment,0.000,1992
Russian Federation,RUS,Environment,0.000,1993
Russian Federation,RUS,Environment,0.000,1994
Russian Federation,RUS,Environment,0.000,1995
Russian Federation,RUS,Environment,0.000,1996
Russian Federation,RUS,Environment,0.000,1997
Russian Federation,RUS,Environment,0.000,1998
Russian Federation,RUS,Environment,0.000,1999
Russian Federation,RUS,Environment,10.000,2000
Russian Federation,RUS,Environment,10.000,2001
Russian Federation,RUS,Environment,10.000,2002
Russian Federation,RUS,Environment,10.000,2003
Russian Federation,RUS,Environment,10.000,2004
Russian Federation,RUS,Environment,10.000,2005
Russian Federation,RUS,Environment,10.000,2006
Russian Federation,RUS,Environment,10.000,2007
Russian Federation,RUS,Environment,10.000,2008
Russian Federation,RUS,Environment,10.000,2009
Russian Federation,RUS,Environment,10.000,2010
Russian Federation,RUS,Environment,10.000,2011
Russian Federation,RUS,Environment,10.000,2012
Russian Federation,RUS,Environment,10.000,2013
Russian Federation,RUS,Environment,20.000,2014
Russian Federation,RUS,Environment,10.000,2015
Russian Federation,RUS,Environment,10.000,2016
Russian Federation,RUS,Environment,20.000,2017
Russian Federation,RUS,Environment,10.000,2018
Russian Federation,RUS,Environment,30.000,2019
Russian Federation,RUS,Environment,10.000,2020
Russian Federation,RUS,Environment,20.000,2021
Russian Federation,RUS,Environment,10.000,2022
Russian Federation,RUS,Environment,0.000,2023
Russian Federation,RUS,Health,7.576,1960
Russian Federation,RUS,Health,7.576,1961
Russian Federation,RUS,Health,7.576,1962
Russian Federation,RUS,Health,8.586,1963
Russian Federation,RUS,Health,8.586,1964
Russian Federation,RUS,Health,8.586,1965
Russian Federation,RUS,Health,8.586,1966
Russian Federation,RUS,Health,8.586,1967
Russian Federation,RUS,Health,8.586,1968
Russian Federation,RUS,Health,8.586,1969
Russian Federation,RUS,Health,8.586,1970
Russian Federation,RUS,Health,8.586,1971
Russian Federation,RUS,Health,8.586,1972
Russian Federation,RUS,Health,8.586,1973
Russian Federation,RUS,Health,8.586,1974
Russian Federation,RUS,Health,11.111,1975
Russian Federation,RUS,Health,11.111,1976
Russian Federation,RUS,Health,11.111,1977
Russian Federation,RUS,Health,11.111,1978
Russian Federation,RUS,Health,11.111,1979
Russian Federation,RUS,Health,11.111,1980
Russian Federation,RUS,Health,11.111,1981
Russian Federation,RUS,Health,11.111,1982
Russian Federation,RUS,Health,11.111,1983
Russian Federation,RUS,Health,11.111,1984
Russian Federation,RUS,Health,11.616,1985
Russian Federation,RUS,Health,11.616,1986
Russian Federation,RUS,Health,11.616,1987
Russian Federation,RUS,Health,11.616,1988
Russian Federation,RUS,Health,12.121,1989
Russian Federation,RUS,Health,12.626,1990
Russian Federation,RUS,Health,12.626,1991
Russian Federation,RUS,Health,13.636,1992
Russian Federation,RUS,Health,14.646,1993
Russian Federation,RUS,Health,14.646,1994
Russian Federation,RUS,Health,19.192,1995
Russian Federation,RUS,Health,19.192,1996
Russian Federation,RUS,Health,13.636,1997
Russian Federation,RUS,Health,18.182,1998
Russian Federation,RUS,Health,13.636,1999
Russian Federation,RUS,Health,56.061,2000
Russian Federation,RUS,Health,31.818,2001
Russian Federation,RUS,Health,31.818,2002
Russian Federation,RUS,Health,31.818,2003
Russian Federation,RUS,Health,32.828,2004
Russian Federation,RUS,Health,33.333,2005
Russian Federation,RUS,Health,27.273,2006
Russian Federation,RUS,Health,28.283,2007
Russian Federation,RUS,Health,27.273,2008
Russian Federation,RUS,Health,27.273,2009
Russian Federation,RUS,Health,54.545,2010
Russian Federation,RUS,Health,28.788,2011
Russian Federation,RUS,Health,27.273,2012
Russian Federation,RUS,Health,27.273,2013
Russian Federation,RUS,Health,28.788,2014
Russian Federation,RUS,Health,50.505,2015
Russian Federation,RUS,Health,25.758,2016
Russian Federation,RUS,Health,27.778,2017
Russian Federation,RUS,Health,27.778,2018
Russian Federation,RUS,Health,50.505,2019
Russian Federation,RUS,Health,20.202,2020
Russian Federation,RUS,Health,13.131,2021
Russian Federation,RUS,Health,10.606,2022
Russian Federation,RUS,Health,1.010,2023
Russian Federation,RUS,Leadership,0.000,1960
Russian Federation,RUS,Leadership,0.000,1961
Russian Federation,RUS,Leadership,0.000,1962
Russian Federation,RUS,Leadership,0.000,1963
Russian Federation,RUS,Leadership,0.000,1964
Russian Federation,RUS,Leadership,0.000,1965
Russian Federation,RUS,Leadership,0.000,1966
Russian Federation,RUS,Leadership,0.000,1967
Russian Federation,RUS,Leadership,0.000,1968
Russian Federation,RUS,Leadership,0.000,1969
Russian Federation,RUS,Leadership,0.000,1970
Russian Federation,RUS,Leadership,0.000,1971
Russian Federation,RUS,Leadership,0.000,1972
Russian Federation,RUS,Leadership,0.000,1973
Russian Federation,RUS,Leadership,0.000,1974
Russian Federation,RUS,Leadership,0.000,1975
Russian Federation,RUS,Leadership,0.000,1976
Russian Federation,RUS,Leadership,0.000,1977
Russian Federation,RUS,Leadership,0.000,1978
Russian Federation,RUS,Leadership,0.000,1979
Russian Federation,RUS,Leadership,0.000,1980
Russian Federation,RUS,Leadership,0.000,1981
Russian Federation,RUS,Leadership,0.000,1982
Russian Federation,RUS,Leadership,0.000,1983
Russian Federation,RUS,Leadership,0.000,1984
Russian Federation,RUS,Leadership,0.000,1985
Russian Federation,RUS,Leadership,0.000,1986
Russian Federation,RUS,Leadership,0.000,1987
Russian Federation,RUS,Leadership,0.000,1988
Russian Federation,RUS,Leadership,0.000,1989
Russian Federation,RUS,Leadership,0.000,1990
Russian Federation,RUS,Leadership,0.000,1991
Russian Federation,RUS,Leadership,0.000,1992
Russian Federation,RUS,Leadership,0.000,1993
Russian Federation,RUS,Leadership,0.000,1994
Russian Federation,RUS,Leadership,0.000,1995
Russian Federation,RUS,Leadership,0.000,1996
Russian Federation,RUS,Leadership,25.000,1997
Russian Federation,RUS,Leadership,25.000,1998
Russian Federation,RUS,Leadership,0.000,1999
Russian Federation,RUS,Leadership,25.000,2000
Russian Federation,RUS,Leadership,25.000,2001
Russian Federation,RUS,Leadership,25.000,2002
Russian Federation,RUS,Leadership,25.000,2003
Russian Federation,RUS,Leadership,25.000,2004
Russian Federation,RUS,Leadership,50.000,2005
Russian Federation,RUS,Leadership,25.000,2006
Russian Federation,RUS,Leadership,25.000,2007
Russian Federation,RUS,Leadership,50.000,2008
Russian Federation,RUS,Leadership,50.000,2009
Russian Federation,RUS,Leadership,75.000,2010
Russian Federation,RUS,Leadership,50.000,2011
Russian Federation,RUS,Leadership,100.000,2012
Russian Federation,RUS,Leadership,50.000,2013
Russian Federation,RUS,Leadership,75.000,2014
Russian Federation,RUS,Leadership,75.000,2015
Russian Federation,RUS,Leadership,75.000,2016
Russian Federation,RUS,Leadership,50.000,2017
