Country Name,Country Code,Topic,% of available indicators,Year
Rwanda,RWA,Assets,0.000,1960
Rwanda,RWA,Assets,0.000,1961
Rwanda,RWA,Assets,0.000,1962
Rwanda,RWA,Assets,0.000,1963
Rwanda,RWA,Assets,0.000,1964
Rwanda,RWA,Assets,0.000,1965
Rwanda,RWA,Assets,0.000,1966
Rwanda,RWA,Assets,0.000,1967
Rwanda,RWA,Assets,0.000,1968
Rwanda,RWA,Assets,0.000,1969
Rwanda,RWA,Assets,2.208,1970
Rwanda,RWA,Assets,2.208,1971
Rwanda,RWA,Assets,2.208,1972
Rwanda,RWA,Assets,2.208,1973
Rwanda,RWA,Assets,2.208,1974
Rwanda,RWA,Assets,2.208,1975
Rwanda,RWA,Assets,2.208,1976
Rwanda,RWA,Assets,2.208,1977
Rwanda,RWA,Assets,2.208,1978
Rwanda,RWA,Assets,2.208,1979
Rwanda,RWA,Assets,2.208,1980
Rwanda,RWA,Assets,2.208,1981
Rwanda,RWA,Assets,2.208,1982
Rwanda,RWA,Assets,2.208,1983
Rwanda,RWA,Assets,2.208,1984
Rwanda,RWA,Assets,2.208,1985
Rwanda,RWA,Assets,2.208,1986
Rwanda,RWA,Assets,2.208,1987
Rwanda,RWA,Assets,2.208,1988
Rwanda,RWA,Assets,2.208,1989
Rwanda,RWA,Assets,2.208,1990
Rwanda,RWA,Assets,2.208,1991
Rwanda,RWA,Assets,2.208,1992
Rwanda,RWA,Assets,2.208,1993
Rwanda,RWA,Assets,2.208,1994
Rwanda,RWA,Assets,2.208,1995
Rwanda,RWA,Assets,2.208,1996
Rwanda,RWA,Assets,2.208,1997
Rwanda,RWA,Assets,2.208,1998
Rwanda,RWA,Assets,2.208,1999
Rwanda,RWA,Assets,2.208,2000
Rwanda,RWA,Assets,2.208,2001
Rwanda,RWA,Assets,2.208,2002
Rwanda,RWA,Assets,2.208,2003
Rwanda,RWA,Assets,2.208,2004
Rwanda,RWA,Assets,2.208,2005
Rwanda,RWA,Assets,2.208,2006
Rwanda,RWA,Assets,2.208,2007
Rwanda,RWA,Assets,2.208,2008
Rwanda,RWA,Assets,2.208,2009
Rwanda,RWA,Assets,32.492,2010
Rwanda,RWA,Assets,11.672,2011
Rwanda,RWA,Assets,2.208,2012
Rwanda,RWA,Assets,2.208,2013
Rwanda,RWA,Assets,31.546,2014
