Country Name,Country Code,Topic,% of available indicators,Year
Saudi Arabia,SAU,Assets,0.000,1960
Saudi Arabia,SAU,Assets,0.000,1961
Saudi Arabia,SAU,Assets,0.000,1962
Saudi Arabia,SAU,Assets,0.000,1963
Saudi Arabia,SAU,Assets,0.000,1964
Saudi Arabia,SAU,Assets,0.000,1965
Saudi Arabia,SAU,Assets,0.000,1966
Saudi Arabia,SAU,Assets,0.000,1967
Saudi Arabia,SAU,Assets,0.000,1968
Saudi Arabia,SAU,Assets,0.000,1969
Saudi Arabia,SAU,Assets,2.208,1970
Saudi Arabia,SAU,Assets,2.208,1971
Saudi Arabia,SAU,Assets,2.208,1972
Saudi Arabia,SAU,Assets,2.208,1973
Saudi Arabia,SAU,Assets,2.208,1974
Saudi Arabia,SAU,Assets,2.208,1975
Saudi Arabia,SAU,Assets,2.208,1976
Saudi Arabia,SAU,Assets,2.208,1977
Saudi Arabia,SAU,Assets,2.208,1978
Saudi Arabia,SAU,Assets,2.208,1979
Saudi Arabia,SAU,Assets,2.208,1980
Saudi Arabia,SAU,Assets,2.208,1981
Saudi Arabia,SAU,Assets,2.208,1982
Saudi Arabia,SAU,Assets,2.208,1983
Saudi Arabia,SAU,Assets,2.208,1984
Saudi Arabia,SAU,Assets,2.208,1985
Saudi Arabia,SAU,Assets,2.208,1986
Saudi Arabia,SAU,Assets,2.208,1987
Saudi Arabia,SAU,Assets,2.208,1988
Saudi Arabia,SAU,Assets,2.208,1989
Saudi Arabia,SAU,Assets,2.208,1990
Saudi Arabia,SAU,Assets,2.208,1991
Saudi Arabia,SAU,Assets,2.208,1992
Saudi Arabia,SAU,Assets,2.208,1993
Saudi Arabia,SAU,Assets,2.208,1994
Saudi Arabia,SAU,Assets,2.208,1995
Saudi Arabia,SAU,Assets,2.208,1996
Saudi Arabia,SAU,Assets,2.208,1997
Saudi Arabia,SAU,Assets,2.208,1998
Saudi Arabia,SAU,Assets,2.208,1999
Saudi Arabia,SAU,Assets,2.208,2000
Saudi Arabia,SAU,Assets,2.208,2001
Saudi Arabia,SAU,Assets,2.208,2002
Saudi Arabia,SAU,Assets,2.208,2003
Saudi Arabia,SAU,Assets,2.208,2004
Saudi Arabia,SAU,Assets,2.208,2005
Saudi Arabia,SAU,Assets,2.208,2006
Saudi Arabia,SAU,Assets,2.208,2007
Saudi Arabia,SAU,Assets,2.208,2008
Saudi Arabia,SAU,Assets,2.208,2009
Saudi Arabia,SAU,Assets,2.208,2010
Saudi Arabia,SAU,Assets,10.726,2011
Saudi Arabia,SAU,Assets,2.208,2012
Saudi Arabia,SAU,Assets,2.208,2013
Saudi Arabia,SAU,Assets,24.921,2014
Saudi Arabia,SAU,Assets,2.208,2015
Saudi Arabia,SAU,Assets,2.208,2016
Saudi Arabia,SAU,Assets,26.814,2017
Saudi Arabia,SAU,Assets,2.208,2018
Saudi Arabia,SAU,Assets,2.208,2019
Saudi Arabia,SAU,Assets,2.208,2020
Saudi Arabia,SAU,Assets,51.735,2021
Saudi Arabia,SAU,Assets,2.208,2022
Saudi Arabia,SAU,Assets,2.208,2023
Saudi Arabia,SAU,Children 0-14,10.769,1960
Saudi Arabia,SAU,Children 0-14,10.769,1961
Saudi Arabia,SAU,Children 0-14,10.769,1962
Saudi Arabia,SAU,Children 0-14,10.769,1963
Saudi Arabia,SAU,Children 0-14,10.769,1964
Saudi Arabia,SAU,Children 0-14,10.769,1965
Saudi Arabia,SAU,Children 0-14,10.769,1966
Saudi Arabia,SAU,Children 0-14,10.769,1967
Saudi Arabia,SAU,Children 0-14,10.769,1968
Saudi Arabia,SAU,Children 0-14,10.769,1969
Saudi Arabia,SAU,Children 0-14,10.769,1970
Saudi Arabia,SAU,Children 0-14,10.769,1971
Saudi Arabia,SAU,Children 0-14,15.385,1972
Saudi Arabia,SAU,Children 0-14,17.692,1973
Saudi Arabia,SAU,Children 0-14,17.692,1974
Saudi Arabia,SAU,Children 0-14,17.692,1975
Saudi Arabia,SAU,Children 0-14,17.692,1976
Saudi Arabia,SAU,Children 0-14,19.231,1977
Saudi Arabia,SAU,Children 0-14,19.231,1978
Saudi Arabia,SAU,Children 0-14,38.462,1979
Saudi Arabia,SAU,Children 0-14,20.769,1980
Saudi Arabia,SAU,Children 0-14,20.769,1981
Saudi Arabia,SAU,Children 0-14,20.769,1982
Saudi Arabia,SAU,Children 0-14,20.769,1983
Saudi Arabia,SAU,Children 0-14,20.769,1984
Saudi Arabia,SAU,Children 0-14,20.769,1985
Saudi Arabia,SAU,Children 0-14,20.769,1986
Saudi Arabia,SAU,Children 0-14,20.769,1987
Saudi Arabia,SAU,Children 0-14,20.769,1988
Saudi Arabia,SAU,Children 0-14,20.769,1989
Saudi Arabia,SAU,Children 0-14,20.769,1990
Saudi Arabia,SAU,Children 0-14,20.769,1991
Saudi Arabia,SAU,Children 0-14,20.769,1992
Saudi Arabia,SAU,Children 0-14,20.769,1993
Saudi Arabia,SAU,Children 0-14,23.846,1994
