Country Name,Country Code,Topic,% of available indicators,Year
Sudan,SDN,Assets,0.000,1960
Sudan,SDN,Assets,0.000,1961
Sudan,SDN,Assets,0.000,1962
Sudan,SDN,Assets,0.000,1963
Sudan,SDN,Assets,0.000,1964
Sudan,SDN,Assets,0.000,1965
Sudan,SDN,Assets,0.000,1966
Sudan,SDN,Assets,0.000,1967
Sudan,SDN,Assets,0.000,1968
Sudan,SDN,Assets,0.000,1969
Sudan,SDN,Assets,2.208,1970
Sudan,SDN,Assets,2.208,1971
Sudan,SDN,Assets,2.208,1972
Sudan,SDN,Assets,2.208,1973
Sudan,SDN,Assets,2.208,1974
Sudan,SDN,Assets,2.208,1975
Sudan,SDN,Assets,2.208,1976
Sudan,SDN,Assets,2.208,1977
Sudan,SDN,Assets,2.208,1978
Sudan,SDN,Assets,2.208,1979
Sudan,SDN,Assets,2.208,1980
Sudan,SDN,Assets,2.208,1981
Sudan,SDN,Assets,2.208,1982
Sudan,SDN,Assets,2.208,1983
Sudan,SDN,Assets,2.208,1984
Sudan,SDN,Assets,2.208,1985
Sudan,SDN,Assets,2.208,1986
Sudan,SDN,Assets,2.208,1987
Sudan,SDN,Assets,2.208,1988
Sudan,SDN,Assets,2.208,1989
Sudan,SDN,Assets,2.208,1990
Sudan,SDN,Assets,2.208,1991
Sudan,SDN,Assets,2.208,1992
Sudan,SDN,Assets,2.208,1993
Sudan,SDN,Assets,2.208,1994
Sudan,SDN,Assets,2.208,1995
Sudan,SDN,Assets,2.208,1996
Sudan,SDN,Assets,2.208,1997
Sudan,SDN,Assets,2.208,1998
Sudan,SDN,Assets,2.208,1999
Sudan,SDN,Assets,2.208,2000
Sudan,SDN,Assets,2.208,2001
Sudan,SDN,Assets,2.208,2002
Sudan,SDN,Assets,2.208,2003
Sudan,SDN,Assets,2.208,2004
Sudan,SDN,Assets,2.208,2005
Sudan,SDN,Assets,2.208,2006
Sudan,SDN,Assets,2.208,2007
Sudan,SDN,Assets,2.208,2008
Sudan,SDN,Assets,2.208,2009
Sudan,SDN,Assets,2.208,2010
Sudan,SDN,Assets,11.672,2011
Sudan,SDN,Assets,2.208,2012
Sudan,SDN,Assets,2.208,2013
Sudan,SDN,Assets,30.599,2014
Sudan,SDN,Assets,2.208,2015
Sudan,SDN,Assets,2.208,2016
Sudan,SDN,Assets,2.208,2017
Sudan,SDN,Assets,2.208,2018
Sudan,SDN,Assets,2.208,2019
Sudan,SDN,Assets,2.208,2020
Sudan,SDN,Assets,2.208,2021
Sudan,SDN,Assets,2.208,2022
Sudan,SDN,Assets,2.208,2023
Sudan,SDN,Children 0-14,19.231,1960
Sudan,SDN,Children 0-14,19.231,1961
Sudan,SDN,Children 0-14,19.231,1962
Sudan,SDN,Children 0-14,19.231,1963
Sudan,SDN,Children 0-14,19.231,1964
Sudan,SDN,Children 0-14,19.231,1965
Sudan,SDN,Children 0-14,19.231,1966
Sudan,SDN,Children 0-14,19.231,1967
Sudan,SDN,Children 0-14,19.231,1968
Sudan,SDN,Children 0-14,19.231,1969
Sudan,SDN,Children 0-14,19.231,1970
Sudan,SDN,Children 0-14,19.231,1971
Sudan,SDN,Children 0-14,19.231,1972
Sudan,SDN,Children 0-14,19.231,1973
Sudan,SDN,Children 0-14,19.231,1974
Sudan,SDN,Children 0-14,19.231,1975
Sudan,SDN,Children 0-14,19.231,1976
Sudan,SDN,Children 0-14,19.231,1977
Sudan,SDN,Children 0-14,19.231,1978
Sudan,SDN,Children 0-14,19.231,1979
Sudan,SDN,Children 0-14,20.000,1980
Sudan,SDN,Children 0-14,20.769,1981
Sudan,SDN,Children 0-14,20.769,1982
Sudan,SDN,Children 0-14,23.077,1983
Sudan,SDN,Children 0-14,20.769,1984
Sudan,SDN,Children 0-14,20.769,1985
Sudan,SDN,Children 0-14,20.769,1986
Sudan,SDN,Children 0-14,20.769,1987
Sudan,SDN,Children 0-14,20.769,1988
Sudan,SDN,Children 0-14,20.769,1989
Sudan,SDN,Children 0-14,20.769,1990
