Country Name,Country Code,Topic,% of available indicators,Year
Senegal,SEN,Assets,0.000,1960
Senegal,SEN,Assets,0.000,1961
Senegal,SEN,Assets,0.000,1962
Senegal,SEN,Assets,0.000,1963
Senegal,SEN,Assets,0.000,1964
Senegal,SEN,Assets,0.000,1965
Senegal,SEN,Assets,0.000,1966
Senegal,SEN,Assets,0.000,1967
Senegal,SEN,Assets,0.000,1968
Senegal,SEN,Assets,0.000,1969
Senegal,SEN,Assets,2.208,1970
Senegal,SEN,Assets,2.208,1971
Senegal,SEN,Assets,2.208,1972
Senegal,SEN,Assets,2.208,1973
Senegal,SEN,Assets,2.208,1974
Senegal,SEN,Assets,2.208,1975
Senegal,SEN,Assets,2.208,1976
Senegal,SEN,Assets,2.208,1977
Senegal,SEN,Assets,2.208,1978
Senegal,SEN,Assets,2.208,1979
Senegal,SEN,Assets,2.208,1980
Senegal,SEN,Assets,2.208,1981
Senegal,SEN,Assets,2.208,1982
Senegal,SEN,Assets,2.208,1983
Senegal,SEN,Assets,2.208,1984
Senegal,SEN,Assets,2.208,1985
Senegal,SEN,Assets,2.208,1986
Senegal,SEN,Assets,2.208,1987
Senegal,SEN,Assets,2.208,1988
Senegal,SEN,Assets,2.208,1989
Senegal,SEN,Assets,2.208,1990
Senegal,SEN,Assets,2.208,1991
Senegal,SEN,Assets,2.208,1992
Senegal,SEN,Assets,2.208,1993
Senegal,SEN,Assets,2.208,1994
Senegal,SEN,Assets,2.208,1995
Senegal,SEN,Assets,2.208,1996
Senegal,SEN,Assets,2.208,1997
Senegal,SEN,Assets,2.208,1998
Senegal,SEN,Assets,2.208,1999
Senegal,SEN,Assets,2.208,2000
Senegal,SEN,Assets,2.208,2001
Senegal,SEN,Assets,2.208,2002
Senegal,SEN,Assets,2.208,2003
Senegal,SEN,Assets,2.208,2004
Senegal,SEN,Assets,2.208,2005
Senegal,SEN,Assets,2.208,2006
Senegal,SEN,Assets,2.208,2007
Senegal,SEN,Assets,2.208,2008
Senegal,SEN,Assets,2.208,2009
Senegal,SEN,Assets,2.208,2010
Senegal,SEN,Assets,41.956,2011
Senegal,SEN,Assets,2.208,2012
Senegal,SEN,Assets,17.350,2013
Senegal,SEN,Assets,61.830,2014
Senegal,SEN,Assets,32.492,2015
Senegal,SEN,Assets,32.492,2016
Senegal,SEN,Assets,64.353,2017
Senegal,SEN,Assets,32.492,2018
Senegal,SEN,Assets,32.492,2019
Senegal,SEN,Assets,2.208,2020
Senegal,SEN,Assets,63.091,2021
Senegal,SEN,Assets,2.208,2022
Senegal,SEN,Assets,2.208,2023
Senegal,SEN,Children 0-14,19.231,1960
Senegal,SEN,Children 0-14,19.231,1961
Senegal,SEN,Children 0-14,19.231,1962
Senegal,SEN,Children 0-14,19.231,1963
Senegal,SEN,Children 0-14,19.231,1964
Senegal,SEN,Children 0-14,19.231,1965
Senegal,SEN,Children 0-14,19.231,1966
Senegal,SEN,Children 0-14,19.231,1967
Senegal,SEN,Children 0-14,19.231,1968
Senegal,SEN,Children 0-14,19.231,1969
Senegal,SEN,Children 0-14,19.231,1970
Senegal,SEN,Children 0-14,28.462,1971
Senegal,SEN,Children 0-14,26.923,1972
Senegal,SEN,Children 0-14,26.923,1973
Senegal,SEN,Children 0-14,23.077,1974
Senegal,SEN,Children 0-14,23.077,1975
Senegal,SEN,Children 0-14,23.077,1976
Senegal,SEN,Children 0-14,23.846,1977
Senegal,SEN,Children 0-14,35.385,1978
Senegal,SEN,Children 0-14,36.923,1979
Senegal,SEN,Children 0-14,38.462,1980
Senegal,SEN,Children 0-14,38.462,1981
Senegal,SEN,Children 0-14,38.462,1982
Senegal,SEN,Children 0-14,38.462,1983
Senegal,SEN,Children 0-14,36.923,1984
Senegal,SEN,Children 0-14,36.154,1985
Senegal,SEN,Children 0-14,45.385,1986
Senegal,SEN,Children 0-14,28.462,1987
Senegal,SEN,Children 0-14,40.000,1988
Senegal,SEN,Children 0-14,35.385,1989
Senegal,SEN,Children 0-14,40.000,1990
Senegal,SEN,Children 0-14,30.000,1991
Senegal,SEN,Children 0-14,40.000,1992
Senegal,SEN,Children 0-14,40.000,1993
Senegal,SEN,Children 0-14,33.077,1994
Senegal,SEN,Children 0-14,26.154,1995
Senegal,SEN,Children 0-14,53.077,1996
Senegal,SEN,Children 0-14,43.846,1997
Senegal,SEN,Children 0-14,37.692,1998
Senegal,SEN,Children 0-14,36.923,1999
Senegal,SEN,Children 0-14,66.923,2000
Senegal,SEN,Children 0-14,33.846,2001
Senegal,SEN,Children 0-14,33.846,2002
Senegal,SEN,Children 0-14,41.538,2003
Senegal,SEN,Children 0-14,46.154,2004
Senegal,SEN,Children 0-14,65.385,2005
Senegal,SEN,Children 0-14,46.923,2006
Senegal,SEN,Children 0-14,46.154,2007
Senegal,SEN,Children 0-14,45.385,2008
Senegal,SEN,Children 0-14,41.538,2009
Senegal,SEN,Children 0-14,60.769,2010
Senegal,SEN,Children 0-14,70.769,2011
Senegal,SEN,Children 0-14,60.769,2012
Senegal,SEN,Children 0-14,69.231,2013
Senegal,SEN,Children 0-14,72.308,2014
Senegal,SEN,Children 0-14,83.077,2015
Senegal,SEN,Children 0-14,58.462,2016
Senegal,SEN,Children 0-14,67.692,2017
Senegal,SEN,Children 0-14,60.769,2018
Senegal,SEN,Children 0-14,76.154,2019
Senegal,SEN,Children 0-14,37.692,2020
Senegal,SEN,Children 0-14,35.385,2021
Senegal,SEN,Children 0-14,36.923,2022
Senegal,SEN,Children 0-14,19.231,2023
Senegal,SEN,Education,0.000,1960
Senegal,SEN,Education,0.000,1961
Senegal,SEN,Education,0.000,1962
Senegal,SEN,Education,0.000,1963
Senegal,SEN,Education,0.000,1964
Senegal,SEN,Education,0.000,1965
Senegal,SEN,Education,0.000,1966
Senegal,SEN,Education,0.000,1967
Senegal,SEN,Education,0.000,1968
Senegal,SEN,Education,0.000,1969
Senegal,SEN,Education,0.000,1970
Senegal,SEN,Education,19.018,1971
Senegal,SEN,Education,18.405,1972
Senegal,SEN,Education,6.135,1973
Senegal,SEN,Education,3.067,1974
Senegal,SEN,Education,3.067,1975
Senegal,SEN,Education,3.067,1976
Senegal,SEN,Education,6.135,1977
Senegal,SEN,Education,25.767,1978
Senegal,SEN,Education,22.086,1979
Senegal,SEN,Education,27.607,1980
Senegal,SEN,Education,27.607,1981
Senegal,SEN,Education,27.607,1982
Senegal,SEN,Education,24.540,1983
Senegal,SEN,Education,26.380,1984
Senegal,SEN,Education,26.380,1985
Senegal,SEN,Education,22.699,1986
Senegal,SEN,Education,9.202,1987
Senegal,SEN,Education,30.061,1988
Senegal,SEN,Education,20.245,1989
Senegal,SEN,Education,22.699,1990
Senegal,SEN,Education,5.521,1991
Senegal,SEN,Education,27.607,1992
Senegal,SEN,Education,5.521,1993
Senegal,SEN,Education,10.429,1994
Senegal,SEN,Education,6.748,1995
Senegal,SEN,Education,26.380,1996
Senegal,SEN,Education,24.540,1997
Senegal,SEN,Education,25.767,1998
Senegal,SEN,Education,25.153,1999
Senegal,SEN,Education,29.448,2000
Senegal,SEN,Education,23.313,2001
Senegal,SEN,Education,30.061,2002
Senegal,SEN,Education,19.632,2003
Senegal,SEN,Education,37.423,2004
Senegal,SEN,Education,41.104,2005
Senegal,SEN,Education,47.853,2006
Senegal,SEN,Education,25.153,2007
Senegal,SEN,Education,37.423,2008
Senegal,SEN,Education,29.448,2009
Senegal,SEN,Education,43.558,2010
Senegal,SEN,Education,63.190,2011
Senegal,SEN,Education,42.331,2012
Senegal,SEN,Education,63.804,2013
Senegal,SEN,Education,53.374,2014
Senegal,SEN,Education,46.012,2015
Senegal,SEN,Education,33.742,2016
Senegal,SEN,Education,60.736,2017
Senegal,SEN,Education,41.718,2018
Senegal,SEN,Education,38.037,2019
Senegal,SEN,Education,31.288,2020
Senegal,SEN,Education,22.086,2021
Senegal,SEN,Education,39.264,2022
Senegal,SEN,Education,15.951,2023
Senegal,SEN,Employment and Time Use,0.000,1960
Senegal,SEN,Employment and Time Use,0.000,1961
Senegal,SEN,Employment and Time Use,0.000,1962
Senegal,SEN,Employment and Time Use,0.000,1963
Senegal,SEN,Employment and Time Use,0.000,1964
Senegal,SEN,Employment and Time Use,0.000,1965
Senegal,SEN,Employment and Time Use,0.000,1966
Senegal,SEN,Employment and Time Use,0.000,1967
Senegal,SEN,Employment and Time Use,0.000,1968
Senegal,SEN,Employment and Time Use,0.000,1969
Senegal,SEN,Employment and Time Use,21.168,1970
Senegal,SEN,Employment and Time Use,21.168,1971
Senegal,SEN,Employment and Time Use,21.168,1972
Senegal,SEN,Employment and Time Use,21.168,1973
Senegal,SEN,Employment and Time Use,21.168,1974
Senegal,SEN,Employment and Time Use,21.168,1975
