Country Name,Country Code,Topic,% of available indicators,Year
Singapore,SGP,Assets,0.000,1960
Singapore,SGP,Assets,0.000,1961
Singapore,SGP,Assets,0.000,1962
Singapore,SGP,Assets,0.000,1963
Singapore,SGP,Assets,0.000,1964
Singapore,SGP,Assets,0.000,1965
Singapore,SGP,Assets,0.000,1966
Singapore,SGP,Assets,0.000,1967
Singapore,SGP,Assets,0.000,1968
Singapore,SGP,Assets,0.000,1969
Singapore,SGP,Assets,2.208,1970
Singapore,SGP,Assets,2.208,1971
Singapore,SGP,Assets,2.208,1972
Singapore,SGP,Assets,2.208,1973
Singapore,SGP,Assets,2.208,1974
Singapore,SGP,Assets,2.208,1975
Singapore,SGP,Assets,2.208,1976
Singapore,SGP,Assets,2.208,1977
Singapore,SGP,Assets,2.208,1978
Singapore,SGP,Assets,2.208,1979
Singapore,SGP,Assets,2.208,1980
Singapore,SGP,Assets,2.208,1981
Singapore,SGP,Assets,2.208,1982
Singapore,SGP,Assets,2.208,1983
Singapore,SGP,Assets,2.208,1984
Singapore,SGP,Assets,2.208,1985
Singapore,SGP,Assets,2.208,1986
Singapore,SGP,Assets,2.208,1987
Singapore,SGP,Assets,2.208,1988
Singapore,SGP,Assets,2.208,1989
Singapore,SGP,Assets,2.208,1990
Singapore,SGP,Assets,2.208,1991
Singapore,SGP,Assets,2.208,1992
Singapore,SGP,Assets,2.208,1993
Singapore,SGP,Assets,2.208,1994
Singapore,SGP,Assets,2.208,1995
Singapore,SGP,Assets,2.208,1996
Singapore,SGP,Assets,2.208,1997
Singapore,SGP,Assets,2.208,1998
Singapore,SGP,Assets,2.208,1999
Singapore,SGP,Assets,2.208,2000
Singapore,SGP,Assets,2.208,2001
Singapore,SGP,Assets,2.208,2002
Singapore,SGP,Assets,2.208,2003
Singapore,SGP,Assets,2.208,2004
Singapore,SGP,Assets,2.208,2005
Singapore,SGP,Assets,2.208,2006
Singapore,SGP,Assets,2.208,2007
Singapore,SGP,Assets,2.208,2008
Singapore,SGP,Assets,2.208,2009
Singapore,SGP,Assets,2.208,2010
Singapore,SGP,Assets,11.672,2011
Singapore,SGP,Assets,2.208,2012
Singapore,SGP,Assets,2.208,2013
Singapore,SGP,Assets,31.546,2014
Singapore,SGP,Assets,2.208,2015
Singapore,SGP,Assets,2.208,2016
Singapore,SGP,Assets,34.069,2017
Singapore,SGP,Assets,2.208,2018
Singapore,SGP,Assets,2.208,2019
Singapore,SGP,Assets,2.208,2020
Singapore,SGP,Assets,60.252,2021
Singapore,SGP,Assets,2.208,2022
Singapore,SGP,Assets,2.208,2023
Singapore,SGP,Children 0-14,19.231,1960
Singapore,SGP,Children 0-14,19.231,1961
Singapore,SGP,Children 0-14,19.231,1962
Singapore,SGP,Children 0-14,19.231,1963
Singapore,SGP,Children 0-14,19.231,1964
Singapore,SGP,Children 0-14,19.231,1965
Singapore,SGP,Children 0-14,19.231,1966
Singapore,SGP,Children 0-14,19.231,1967
Singapore,SGP,Children 0-14,19.231,1968
Singapore,SGP,Children 0-14,19.231,1969
Singapore,SGP,Children 0-14,20.000,1970
Singapore,SGP,Children 0-14,20.000,1971
Singapore,SGP,Children 0-14,21.538,1972
Singapore,SGP,Children 0-14,21.538,1973
Singapore,SGP,Children 0-14,21.538,1974
Singapore,SGP,Children 0-14,21.538,1975
Singapore,SGP,Children 0-14,21.538,1976
Singapore,SGP,Children 0-14,21.538,1977
Singapore,SGP,Children 0-14,21.538,1978
Singapore,SGP,Children 0-14,21.538,1979
Singapore,SGP,Children 0-14,26.154,1980
