Country Name,Country Code,Topic,% of available indicators,Year
Solomon Islands,SLB,Assets,0.000,1960
Solomon Islands,SLB,Assets,0.000,1961
Solomon Islands,SLB,Assets,0.000,1962
Solomon Islands,SLB,Assets,0.000,1963
Solomon Islands,SLB,Assets,0.000,1964
Solomon Islands,SLB,Assets,0.000,1965
Solomon Islands,SLB,Assets,0.000,1966
Solomon Islands,SLB,Assets,0.000,1967
Solomon Islands,SLB,Assets,0.000,1968
Solomon Islands,SLB,Assets,0.000,1969
Solomon Islands,SLB,Assets,2.208,1970
Solomon Islands,SLB,Assets,2.208,1971
Solomon Islands,SLB,Assets,2.208,1972
Solomon Islands,SLB,Assets,2.208,1973
Solomon Islands,SLB,Assets,2.208,1974
Solomon Islands,SLB,Assets,2.208,1975
Solomon Islands,SLB,Assets,2.208,1976
Solomon Islands,SLB,Assets,2.208,1977
Solomon Islands,SLB,Assets,2.208,1978
Solomon Islands,SLB,Assets,2.208,1979
Solomon Islands,SLB,Assets,2.208,1980
Solomon Islands,SLB,Assets,2.208,1981
Solomon Islands,SLB,Assets,2.208,1982
Solomon Islands,SLB,Assets,2.208,1983
Solomon Islands,SLB,Assets,2.208,1984
Solomon Islands,SLB,Assets,2.208,1985
Solomon Islands,SLB,Assets,2.208,1986
Solomon Islands,SLB,Assets,2.208,1987
Solomon Islands,SLB,Assets,2.208,1988
Solomon Islands,SLB,Assets,2.208,1989
Solomon Islands,SLB,Assets,2.208,1990
Solomon Islands,SLB,Assets,2.208,1991
Solomon Islands,SLB,Assets,2.208,1992
Solomon Islands,SLB,Assets,2.208,1993
Solomon Islands,SLB,Assets,2.208,1994
Solomon Islands,SLB,Assets,2.208,1995
Solomon Islands,SLB,Assets,2.208,1996
Solomon Islands,SLB,Assets,2.208,1997
Solomon Islands,SLB,Assets,2.208,1998
Solomon Islands,SLB,Assets,2.208,1999
Solomon Islands,SLB,Assets,2.208,2000
Solomon Islands,SLB,Assets,2.208,2001
Solomon Islands,SLB,Assets,2.208,2002
Solomon Islands,SLB,Assets,2.208,2003
Solomon Islands,SLB,Assets,2.208,2004
Solomon Islands,SLB,Assets,2.208,2005
Solomon Islands,SLB,Assets,2.208,2006
Solomon Islands,SLB,Assets,2.208,2007
Solomon Islands,SLB,Assets,2.208,2008
Solomon Islands,SLB,Assets,2.208,2009
Solomon Islands,SLB,Assets,2.208,2010
Solomon Islands,SLB,Assets,2.208,2011
Solomon Islands,SLB,Assets,2.208,2012
Solomon Islands,SLB,Assets,2.208,2013
Solomon Islands,SLB,Assets,2.208,2014
Solomon Islands,SLB,Assets,2.208,2015
Solomon Islands,SLB,Assets,2.208,2016
Solomon Islands,SLB,Assets,2.208,2017
Solomon Islands,SLB,Assets,2.208,2018
Solomon Islands,SLB,Assets,2.208,2019
Solomon Islands,SLB,Assets,2.208,2020
Solomon Islands,SLB,Assets,2.208,2021
Solomon Islands,SLB,Assets,2.208,2022
Solomon Islands,SLB,Assets,2.208,2023
Solomon Islands,SLB,Children 0-14,19.231,1960
Solomon Islands,SLB,Children 0-14,19.231,1961
Solomon Islands,SLB,Children 0-14,19.231,1962
Solomon Islands,SLB,Children 0-14,19.231,1963
Solomon Islands,SLB,Children 0-14,19.231,1964
Solomon Islands,SLB,Children 0-14,19.231,1965
Solomon Islands,SLB,Children 0-14,19.231,1966
Solomon Islands,SLB,Children 0-14,19.231,1967
Solomon Islands,SLB,Children 0-14,19.231,1968
Solomon Islands,SLB,Children 0-14,19.231,1969
Solomon Islands,SLB,Children 0-14,25.385,1970
Solomon Islands,SLB,Children 0-14,23.077,1971
Solomon Islands,SLB,Children 0-14,23.077,1972
Solomon Islands,SLB,Children 0-14,23.077,1973
Solomon Islands,SLB,Children 0-14,24.615,1974
Solomon Islands,SLB,Children 0-14,26.154,1975
Solomon Islands,SLB,Children 0-14,23.077,1976
Solomon Islands,SLB,Children 0-14,23.077,1977
Solomon Islands,SLB,Children 0-14,23.077,1978
Solomon Islands,SLB,Children 0-14,23.077,1979
Solomon Islands,SLB,Children 0-14,30.769,1980
Solomon Islands,SLB,Children 0-14,28.462,1981
Solomon Islands,SLB,Children 0-14,26.923,1982
Solomon Islands,SLB,Children 0-14,26.923,1983
Solomon Islands,SLB,Children 0-14,22.308,1984
Solomon Islands,SLB,Children 0-14,20.769,1985
Solomon Islands,SLB,Children 0-14,27.692,1986
Solomon Islands,SLB,Children 0-14,21.538,1987
Solomon Islands,SLB,Children 0-14,20.769,1988
Solomon Islands,SLB,Children 0-14,32.308,1989
Solomon Islands,SLB,Children 0-14,28.462,1990
Solomon Islands,SLB,Children 0-14,28.462,1991
Solomon Islands,SLB,Children 0-14,28.462,1992
Solomon Islands,SLB,Children 0-14,28.462,1993
Solomon Islands,SLB,Children 0-14,28.462,1994
Solomon Islands,SLB,Children 0-14,22.308,1995
Solomon Islands,SLB,Children 0-14,22.308,1996
Solomon Islands,SLB,Children 0-14,22.308,1997
Solomon Islands,SLB,Children 0-14,20.769,1998
Solomon Islands,SLB,Children 0-14,24.615,1999
Solomon Islands,SLB,Children 0-14,43.077,2000
Solomon Islands,SLB,Children 0-14,20.769,2001
Solomon Islands,SLB,Children 0-14,29.231,2002
Solomon Islands,SLB,Children 0-14,20.769,2003
Solomon Islands,SLB,Children 0-14,20.769,2004
Solomon Islands,SLB,Children 0-14,32.308,2005
Solomon Islands,SLB,Children 0-14,32.308,2006
Solomon Islands,SLB,Children 0-14,44.615,2007
Solomon Islands,SLB,Children 0-14,20.769,2008
Solomon Islands,SLB,Children 0-14,20.769,2009
Solomon Islands,SLB,Children 0-14,48.462,2010
Solomon Islands,SLB,Children 0-14,33.846,2011
Solomon Islands,SLB,Children 0-14,33.846,2012
Solomon Islands,SLB,Children 0-14,39.231,2013
Solomon Islands,SLB,Children 0-14,33.846,2014
Solomon Islands,SLB,Children 0-14,63.846,2015
Solomon Islands,SLB,Children 0-14,36.154,2016
Solomon Islands,SLB,Children 0-14,46.154,2017
Solomon Islands,SLB,Children 0-14,50.769,2018
Solomon Islands,SLB,Children 0-14,47.692,2019
Solomon Islands,SLB,Children 0-14,32.308,2020
Solomon Islands,SLB,Children 0-14,20.769,2021
Solomon Islands,SLB,Children 0-14,20.769,2022
Solomon Islands,SLB,Children 0-14,19.231,2023
Solomon Islands,SLB,Education,0.000,1960
Solomon Islands,SLB,Education,0.000,1961
Solomon Islands,SLB,Education,0.000,1962
Solomon Islands,SLB,Education,0.000,1963
Solomon Islands,SLB,Education,0.000,1964
Solomon Islands,SLB,Education,0.000,1965
Solomon Islands,SLB,Education,0.000,1966
Solomon Islands,SLB,Education,0.000,1967
Solomon Islands,SLB,Education,0.000,1968
Solomon Islands,SLB,Education,0.000,1969
Solomon Islands,SLB,Education,12.883,1970
Solomon Islands,SLB,Education,11.656,1971
Solomon Islands,SLB,Education,6.135,1972
Solomon Islands,SLB,Education,6.135,1973
Solomon Islands,SLB,Education,4.908,1974
Solomon Islands,SLB,Education,13.497,1975
Solomon Islands,SLB,Education,4.908,1976
Solomon Islands,SLB,Education,4.908,1977
Solomon Islands,SLB,Education,4.908,1978
Solomon Islands,SLB,Education,5.521,1979
Solomon Islands,SLB,Education,11.656,1980
Solomon Islands,SLB,Education,9.202,1981
Solomon Islands,SLB,Education,7.975,1982
Solomon Islands,SLB,Education,7.975,1983
Solomon Islands,SLB,Education,1.840,1984
Solomon Islands,SLB,Education,0.613,1985
Solomon Islands,SLB,Education,12.883,1986
Solomon Islands,SLB,Education,0.613,1987
Solomon Islands,SLB,Education,0.000,1988
Solomon Islands,SLB,Education,0.000,1989
Solomon Islands,SLB,Education,12.270,1990
Solomon Islands,SLB,Education,12.883,1991
Solomon Islands,SLB,Education,12.270,1992
Solomon Islands,SLB,Education,12.270,1993
Solomon Islands,SLB,Education,12.270,1994
Solomon Islands,SLB,Education,1.227,1995
Solomon Islands,SLB,Education,1.227,1996
Solomon Islands,SLB,Education,1.227,1997
Solomon Islands,SLB,Education,0.613,1998
Solomon Islands,SLB,Education,13.497,1999
Solomon Islands,SLB,Education,12.883,2000
Solomon Islands,SLB,Education,4.908,2001
Solomon Islands,SLB,Education,12.270,2002
Solomon Islands,SLB,Education,0.000,2003
Solomon Islands,SLB,Education,0.000,2004
Solomon Islands,SLB,Education,12.883,2005
Solomon Islands,SLB,Education,15.951,2006
Solomon Islands,SLB,Education,16.564,2007
Solomon Islands,SLB,Education,1.227,2008
Solomon Islands,SLB,Education,0.613,2009
Solomon Islands,SLB,Education,14.724,2010
Solomon Islands,SLB,Education,17.178,2011
Solomon Islands,SLB,Education,15.337,2012
Solomon Islands,SLB,Education,28.221,2013
Solomon Islands,SLB,Education,11.043,2014
Solomon Islands,SLB,Education,13.497,2015
Solomon Islands,SLB,Education,14.724,2016
Solomon Islands,SLB,Education,30.061,2017
Solomon Islands,SLB,Education,31.902,2018
Solomon Islands,SLB,Education,11.043,2019
Solomon Islands,SLB,Education,17.178,2020
Solomon Islands,SLB,Education,0.613,2021
Solomon Islands,SLB,Education,0.613,2022
Solomon Islands,SLB,Education,8.589,2023
Solomon Islands,SLB,Employment and Time Use,0.000,1960
Solomon Islands,SLB,Employment and Time Use,0.000,1961
Solomon Islands,SLB,Employment and Time Use,0.000,1962
Solomon Islands,SLB,Employment and Time Use,0.000,1963
Solomon Islands,SLB,Employment and Time Use,0.000,1964
Solomon Islands,SLB,Employment and Time Use,0.000,1965
Solomon Islands,SLB,Employment and Time Use,0.000,1966
Solomon Islands,SLB,Employment and Time Use,0.000,1967
Solomon Islands,SLB,Employment and Time Use,0.000,1968
Solomon Islands,SLB,Employment and Time Use,0.000,1969
Solomon Islands,SLB,Employment and Time Use,21.168,1970
Solomon Islands,SLB,Employment and Time Use,21.168,1971
Solomon Islands,SLB,Employment and Time Use,21.168,1972
Solomon Islands,SLB,Employment and Time Use,21.168,1973
Solomon Islands,SLB,Employment and Time Use,21.168,1974
Solomon Islands,SLB,Employment and Time Use,21.168,1975
Solomon Islands,SLB,Employment and Time Use,21.168,1976
Solomon Islands,SLB,Employment and Time Use,21.168,1977
Solomon Islands,SLB,Employment and Time Use,21.168,1978
Solomon Islands,SLB,Employment and Time Use,21.168,1979
Solomon Islands,SLB,Employment and Time Use,21.168,1980
Solomon Islands,SLB,Employment and Time Use,21.168,1981
Solomon Islands,SLB,Employment and Time Use,21.168,1982
Solomon Islands,SLB,Employment and Time Use,21.168,1983
Solomon Islands,SLB,Employment and Time Use,21.168,1984
Solomon Islands,SLB,Employment and Time Use,21.168,1985
Solomon Islands,SLB,Employment and Time Use,21.168,1986
Solomon Islands,SLB,Employment and Time Use,21.168,1987
Solomon Islands,SLB,Employment and Time Use,21.168,1988
Solomon Islands,SLB,Employment and Time Use,21.168,1989
Solomon Islands,SLB,Employment and Time Use,31.387,1990
Solomon Islands,SLB,Employment and Time Use,56.204,1991
Solomon Islands,SLB,Employment and Time Use,56.204,1992
Solomon Islands,SLB,Employment and Time Use,56.204,1993
Solomon Islands,SLB,Employment and Time Use,56.204,1994
Solomon Islands,SLB,Employment and Time Use,56.204,1995
Solomon Islands,SLB,Employment and Time Use,56.204,1996
Solomon Islands,SLB,Employment and Time Use,56.204,1997
Solomon Islands,SLB,Employment and Time Use,56.204,1998
Solomon Islands,SLB,Employment and Time Use,74.453,1999
Solomon Islands,SLB,Employment and Time Use,56.204,2000
Solomon Islands,SLB,Employment and Time Use,56.204,2001
Solomon Islands,SLB,Employment and Time Use,56.204,2002
Solomon Islands,SLB,Employment and Time Use,56.204,2003
Solomon Islands,SLB,Employment and Time Use,56.204,2004
Solomon Islands,SLB,Employment and Time Use,70.073,2005
Solomon Islands,SLB,Employment and Time Use,56.204,2006
Solomon Islands,SLB,Employment and Time Use,56.204,2007
Solomon Islands,SLB,Employment and Time Use,56.204,2008
Solomon Islands,SLB,Employment and Time Use,63.504,2009
Solomon Islands,SLB,Employment and Time Use,56.204,2010
Solomon Islands,SLB,Employment and Time Use,56.204,2011
Solomon Islands,SLB,Employment and Time Use,56.204,2012
Solomon Islands,SLB,Employment and Time Use,88.321,2013
Solomon Islands,SLB,Employment and Time Use,56.204,2014
Solomon Islands,SLB,Employment and Time Use,56.204,2015
Solomon Islands,SLB,Employment and Time Use,56.204,2016
Solomon Islands,SLB,Employment and Time Use,56.204,2017
Solomon Islands,SLB,Employment and Time Use,56.204,2018
Solomon Islands,SLB,Employment and Time Use,56.204,2019
Solomon Islands,SLB,Employment and Time Use,56.204,2020
Solomon Islands,SLB,Employment and Time Use,56.204,2021
Solomon Islands,SLB,Employment and Time Use,56.204,2022
Solomon Islands,SLB,Employment and Time Use,57.664,2023
Solomon Islands,SLB,Entrepreneurship,0.000,1960
Solomon Islands,SLB,Entrepreneurship,0.000,1961
Solomon Islands,SLB,Entrepreneurship,0.000,1962
Solomon Islands,SLB,Entrepreneurship,0.000,1963
Solomon Islands,SLB,Entrepreneurship,0.000,1964
Solomon Islands,SLB,Entrepreneurship,0.000,1965
Solomon Islands,SLB,Entrepreneurship,0.000,1966
Solomon Islands,SLB,Entrepreneurship,0.000,1967
Solomon Islands,SLB,Entrepreneurship,0.000,1968
Solomon Islands,SLB,Entrepreneurship,0.000,1969
Solomon Islands,SLB,Entrepreneurship,9.375,1970
Solomon Islands,SLB,Entrepreneurship,9.375,1971
Solomon Islands,SLB,Entrepreneurship,9.375,1972
Solomon Islands,SLB,Entrepreneurship,9.375,1973
Solomon Islands,SLB,Entrepreneurship,9.375,1974
Solomon Islands,SLB,Entrepreneurship,9.375,1975
Solomon Islands,SLB,Entrepreneurship,9.375,1976
Solomon Islands,SLB,Entrepreneurship,9.375,1977
Solomon Islands,SLB,Entrepreneurship,9.375,1978
Solomon Islands,SLB,Entrepreneurship,9.375,1979
Solomon Islands,SLB,Entrepreneurship,9.375,1980
Solomon Islands,SLB,Entrepreneurship,9.375,1981
Solomon Islands,SLB,Entrepreneurship,9.375,1982
Solomon Islands,SLB,Entrepreneurship,9.375,1983
Solomon Islands,SLB,Entrepreneurship,9.375,1984
Solomon Islands,SLB,Entrepreneurship,9.375,1985
Solomon Islands,SLB,Entrepreneurship,9.375,1986
Solomon Islands,SLB,Entrepreneurship,9.375,1987
Solomon Islands,SLB,Entrepreneurship,9.375,1988
Solomon Islands,SLB,Entrepreneurship,9.375,1989
Solomon Islands,SLB,Entrepreneurship,9.375,1990
Solomon Islands,SLB,Entrepreneurship,9.375,1991
Solomon Islands,SLB,Entrepreneurship,9.375,1992
Solomon Islands,SLB,Entrepreneurship,9.375,1993
Solomon Islands,SLB,Entrepreneurship,9.375,1994
Solomon Islands,SLB,Entrepreneurship,9.375,1995
Solomon Islands,SLB,Entrepreneurship,9.375,1996
Solomon Islands,SLB,Entrepreneurship,9.375,1997
Solomon Islands,SLB,Entrepreneurship,9.375,1998
Solomon Islands,SLB,Entrepreneurship,9.375,1999
Solomon Islands,SLB,Entrepreneurship,9.375,2000
Solomon Islands,SLB,Entrepreneurship,9.375,2001
Solomon Islands,SLB,Entrepreneurship,9.375,2002
Solomon Islands,SLB,Entrepreneurship,37.500,2003
Solomon Islands,SLB,Entrepreneurship,37.500,2004
Solomon Islands,SLB,Entrepreneurship,37.500,2005
Solomon Islands,SLB,Entrepreneurship,37.500,2006
Solomon Islands,SLB,Entrepreneurship,37.500,2007
Solomon Islands,SLB,Entrepreneurship,37.500,2008
Solomon Islands,SLB,Entrepreneurship,37.500,2009
Solomon Islands,SLB,Entrepreneurship,37.500,2010
Solomon Islands,SLB,Entrepreneurship,37.500,2011
Solomon Islands,SLB,Entrepreneurship,37.500,2012
Solomon Islands,SLB,Entrepreneurship,37.500,2013
Solomon Islands,SLB,Entrepreneurship,37.500,2014
Solomon Islands,SLB,Entrepreneurship,43.750,2015
Solomon Islands,SLB,Entrepreneurship,37.500,2016
Solomon Islands,SLB,Entrepreneurship,37.500,2017
Solomon Islands,SLB,Entrepreneurship,37.500,2018
Solomon Islands,SLB,Entrepreneurship,37.500,2019
Solomon Islands,SLB,Entrepreneurship,9.375,2020
Solomon Islands,SLB,Entrepreneurship,9.375,2021
Solomon Islands,SLB,Entrepreneurship,9.375,2022
Solomon Islands,SLB,Entrepreneurship,9.375,2023
Solomon Islands,SLB,Environment,0.000,1960
Solomon Islands,SLB,Environment,0.000,1961
Solomon Islands,SLB,Environment,0.000,1962
Solomon Islands,SLB,Environment,0.000,1963
Solomon Islands,SLB,Environment,0.000,1964
Solomon Islands,SLB,Environment,0.000,1965
Solomon Islands,SLB,Environment,0.000,1966
Solomon Islands,SLB,Environment,0.000,1967
Solomon Islands,SLB,Environment,0.000,1968
Solomon Islands,SLB,Environment,0.000,1969
Solomon Islands,SLB,Environment,0.000,1970
Solomon Islands,SLB,Environment,0.000,1971
Solomon Islands,SLB,Environment,0.000,1972
Solomon Islands,SLB,Environment,0.000,1973
Solomon Islands,SLB,Environment,0.000,1974
Solomon Islands,SLB,Environment,0.000,1975
Solomon Islands,SLB,Environment,0.000,1976
Solomon Islands,SLB,Environment,0.000,1977
Solomon Islands,SLB,Environment,0.000,1978
Solomon Islands,SLB,Environment,0.000,1979
Solomon Islands,SLB,Environment,0.000,1980
Solomon Islands,SLB,Environment,0.000,1981
Solomon Islands,SLB,Environment,0.000,1982
Solomon Islands,SLB,Environment,0.000,1983
Solomon Islands,SLB,Environment,0.000,1984
Solomon Islands,SLB,Environment,0.000,1985
