Country Name,Country Code,Topic,% of available indicators,Year
Sierra Leone,SLE,Assets,0.000,1960
Sierra Leone,SLE,Assets,0.000,1961
Sierra Leone,SLE,Assets,0.000,1962
Sierra Leone,SLE,Assets,0.000,1963
Sierra Leone,SLE,Assets,0.000,1964
Sierra Leone,SLE,Assets,0.000,1965
Sierra Leone,SLE,Assets,0.000,1966
Sierra Leone,SLE,Assets,0.000,1967
Sierra Leone,SLE,Assets,0.000,1968
Sierra Leone,SLE,Assets,0.000,1969
Sierra Leone,SLE,Assets,2.208,1970
Sierra Leone,SLE,Assets,2.208,1971
Sierra Leone,SLE,Assets,2.208,1972
Sierra Leone,SLE,Assets,2.208,1973
Sierra Leone,SLE,Assets,2.208,1974
Sierra Leone,SLE,Assets,2.208,1975
Sierra Leone,SLE,Assets,2.208,1976
Sierra Leone,SLE,Assets,2.208,1977
Sierra Leone,SLE,Assets,2.208,1978
Sierra Leone,SLE,Assets,2.208,1979
Sierra Leone,SLE,Assets,2.208,1980
Sierra Leone,SLE,Assets,2.208,1981
Sierra Leone,SLE,Assets,2.208,1982
Sierra Leone,SLE,Assets,2.208,1983
Sierra Leone,SLE,Assets,2.208,1984
Sierra Leone,SLE,Assets,2.208,1985
Sierra Leone,SLE,Assets,2.208,1986
Sierra Leone,SLE,Assets,2.208,1987
Sierra Leone,SLE,Assets,2.208,1988
Sierra Leone,SLE,Assets,2.208,1989
Sierra Leone,SLE,Assets,2.208,1990
Sierra Leone,SLE,Assets,2.208,1991
Sierra Leone,SLE,Assets,2.208,1992
Sierra Leone,SLE,Assets,2.208,1993
Sierra Leone,SLE,Assets,2.208,1994
Sierra Leone,SLE,Assets,2.208,1995
Sierra Leone,SLE,Assets,2.208,1996
Sierra Leone,SLE,Assets,2.208,1997
Sierra Leone,SLE,Assets,2.208,1998
Sierra Leone,SLE,Assets,2.208,1999
Sierra Leone,SLE,Assets,2.208,2000
Sierra Leone,SLE,Assets,2.208,2001
Sierra Leone,SLE,Assets,2.208,2002
Sierra Leone,SLE,Assets,2.208,2003
Sierra Leone,SLE,Assets,2.208,2004
Sierra Leone,SLE,Assets,2.208,2005
Sierra Leone,SLE,Assets,2.208,2006
Sierra Leone,SLE,Assets,2.208,2007
Sierra Leone,SLE,Assets,2.208,2008
Sierra Leone,SLE,Assets,2.208,2009
Sierra Leone,SLE,Assets,2.208,2010
Sierra Leone,SLE,Assets,11.672,2011
Sierra Leone,SLE,Assets,2.208,2012
Sierra Leone,SLE,Assets,32.492,2013
Sierra Leone,SLE,Assets,31.546,2014
Sierra Leone,SLE,Assets,2.208,2015
Sierra Leone,SLE,Assets,2.208,2016
Sierra Leone,SLE,Assets,33.438,2017
Sierra Leone,SLE,Assets,2.208,2018
Sierra Leone,SLE,Assets,32.492,2019
Sierra Leone,SLE,Assets,2.208,2020
Sierra Leone,SLE,Assets,63.091,2021
Sierra Leone,SLE,Assets,2.208,2022
Sierra Leone,SLE,Assets,2.208,2023
Sierra Leone,SLE,Children 0-14,15.385,1960
Sierra Leone,SLE,Children 0-14,17.692,1961
Sierra Leone,SLE,Children 0-14,17.692,1962
Sierra Leone,SLE,Children 0-14,17.692,1963
Sierra Leone,SLE,Children 0-14,17.692,1964
Sierra Leone,SLE,Children 0-14,19.231,1965
Sierra Leone,SLE,Children 0-14,19.231,1966
Sierra Leone,SLE,Children 0-14,19.231,1967
Sierra Leone,SLE,Children 0-14,19.231,1968
Sierra Leone,SLE,Children 0-14,19.231,1969
Sierra Leone,SLE,Children 0-14,19.231,1970
Sierra Leone,SLE,Children 0-14,25.385,1971
Sierra Leone,SLE,Children 0-14,25.385,1972
Sierra Leone,SLE,Children 0-14,25.385,1973
Sierra Leone,SLE,Children 0-14,25.385,1974
Sierra Leone,SLE,Children 0-14,23.077,1975
Sierra Leone,SLE,Children 0-14,23.077,1976
Sierra Leone,SLE,Children 0-14,23.077,1977
Sierra Leone,SLE,Children 0-14,28.462,1978
Sierra Leone,SLE,Children 0-14,21.538,1979
Sierra Leone,SLE,Children 0-14,23.077,1980
Sierra Leone,SLE,Children 0-14,23.077,1981
Sierra Leone,SLE,Children 0-14,24.615,1982
Sierra Leone,SLE,Children 0-14,32.308,1983
Sierra Leone,SLE,Children 0-14,23.077,1984
Sierra Leone,SLE,Children 0-14,23.077,1985
Sierra Leone,SLE,Children 0-14,20.000,1986
Sierra Leone,SLE,Children 0-14,19.231,1987
Sierra Leone,SLE,Children 0-14,23.077,1988
Sierra Leone,SLE,Children 0-14,25.385,1989
Sierra Leone,SLE,Children 0-14,25.385,1990
Sierra Leone,SLE,Children 0-14,23.077,1991
Sierra Leone,SLE,Children 0-14,19.231,1992
Sierra Leone,SLE,Children 0-14,19.231,1993
Sierra Leone,SLE,Children 0-14,19.231,1994
Sierra Leone,SLE,Children 0-14,19.231,1995
Sierra Leone,SLE,Children 0-14,19.231,1996
Sierra Leone,SLE,Children 0-14,19.231,1997
Sierra Leone,SLE,Children 0-14,19.231,1998
Sierra Leone,SLE,Children 0-14,20.769,1999
Sierra Leone,SLE,Children 0-14,53.077,2000
Sierra Leone,SLE,Children 0-14,27.692,2001
Sierra Leone,SLE,Children 0-14,20.769,2002
Sierra Leone,SLE,Children 0-14,20.769,2003
Sierra Leone,SLE,Children 0-14,25.385,2004
Sierra Leone,SLE,Children 0-14,35.385,2005
Sierra Leone,SLE,Children 0-14,20.769,2006
Sierra Leone,SLE,Children 0-14,25.385,2007
Sierra Leone,SLE,Children 0-14,28.462,2008
Sierra Leone,SLE,Children 0-14,20.769,2009
Sierra Leone,SLE,Children 0-14,56.154,2010
Sierra Leone,SLE,Children 0-14,35.385,2011
Sierra Leone,SLE,Children 0-14,43.846,2012
Sierra Leone,SLE,Children 0-14,44.615,2013
Sierra Leone,SLE,Children 0-14,36.923,2014
Sierra Leone,SLE,Children 0-14,60.000,2015
Sierra Leone,SLE,Children 0-14,39.231,2016
Sierra Leone,SLE,Children 0-14,57.692,2017
Sierra Leone,SLE,Children 0-14,41.538,2018
Sierra Leone,SLE,Children 0-14,67.692,2019
Sierra Leone,SLE,Children 0-14,33.077,2020
Sierra Leone,SLE,Children 0-14,42.308,2021
Sierra Leone,SLE,Children 0-14,25.385,2022
Sierra Leone,SLE,Children 0-14,13.846,2023
Sierra Leone,SLE,Education,0.000,1960
Sierra Leone,SLE,Education,0.000,1961
Sierra Leone,SLE,Education,0.000,1962
Sierra Leone,SLE,Education,0.000,1963
Sierra Leone,SLE,Education,0.000,1964
Sierra Leone,SLE,Education,0.000,1965
Sierra Leone,SLE,Education,0.000,1966
Sierra Leone,SLE,Education,0.000,1967
Sierra Leone,SLE,Education,0.000,1968
Sierra Leone,SLE,Education,0.000,1969
