Country Name,Country Code,Topic,% of available indicators,Year
El Salvador,SLV,Assets,0.000,1960
El Salvador,SLV,Assets,0.000,1961
El Salvador,SLV,Assets,0.000,1962
El Salvador,SLV,Assets,0.000,1963
El Salvador,SLV,Assets,0.000,1964
El Salvador,SLV,Assets,0.000,1965
El Salvador,SLV,Assets,0.000,1966
El Salvador,SLV,Assets,0.000,1967
El Salvador,SLV,Assets,0.000,1968
El Salvador,SLV,Assets,0.000,1969
El Salvador,SLV,Assets,2.208,1970
El Salvador,SLV,Assets,2.208,1971
El Salvador,SLV,Assets,2.208,1972
El Salvador,SLV,Assets,2.208,1973
El Salvador,SLV,Assets,2.208,1974
El Salvador,SLV,Assets,2.208,1975
El Salvador,SLV,Assets,2.208,1976
El Salvador,SLV,Assets,2.208,1977
El Salvador,SLV,Assets,2.208,1978
El Salvador,SLV,Assets,2.208,1979
El Salvador,SLV,Assets,2.208,1980
El Salvador,SLV,Assets,2.208,1981
El Salvador,SLV,Assets,2.208,1982
El Salvador,SLV,Assets,2.208,1983
El Salvador,SLV,Assets,2.208,1984
El Salvador,SLV,Assets,2.208,1985
El Salvador,SLV,Assets,2.208,1986
El Salvador,SLV,Assets,2.208,1987
El Salvador,SLV,Assets,2.208,1988
El Salvador,SLV,Assets,2.208,1989
El Salvador,SLV,Assets,2.208,1990
El Salvador,SLV,Assets,2.208,1991
El Salvador,SLV,Assets,2.208,1992
El Salvador,SLV,Assets,2.208,1993
El Salvador,SLV,Assets,2.208,1994
El Salvador,SLV,Assets,2.208,1995
El Salvador,SLV,Assets,2.208,1996
El Salvador,SLV,Assets,2.208,1997
El Salvador,SLV,Assets,2.208,1998
El Salvador,SLV,Assets,2.208,1999
El Salvador,SLV,Assets,2.208,2000
El Salvador,SLV,Assets,2.208,2001
El Salvador,SLV,Assets,2.208,2002
El Salvador,SLV,Assets,2.208,2003
El Salvador,SLV,Assets,2.208,2004
El Salvador,SLV,Assets,2.208,2005
El Salvador,SLV,Assets,2.208,2006
El Salvador,SLV,Assets,2.208,2007
El Salvador,SLV,Assets,2.208,2008
El Salvador,SLV,Assets,2.208,2009
El Salvador,SLV,Assets,2.208,2010
El Salvador,SLV,Assets,11.672,2011
El Salvador,SLV,Assets,2.208,2012
El Salvador,SLV,Assets,2.208,2013
El Salvador,SLV,Assets,31.546,2014
El Salvador,SLV,Assets,2.208,2015
El Salvador,SLV,Assets,2.208,2016
El Salvador,SLV,Assets,34.069,2017
El Salvador,SLV,Assets,2.208,2018
El Salvador,SLV,Assets,2.208,2019
El Salvador,SLV,Assets,2.208,2020
El Salvador,SLV,Assets,63.091,2021
El Salvador,SLV,Assets,2.208,2022
El Salvador,SLV,Assets,2.208,2023
El Salvador,SLV,Children 0-14,19.231,1960
El Salvador,SLV,Children 0-14,19.231,1961
El Salvador,SLV,Children 0-14,19.231,1962
El Salvador,SLV,Children 0-14,19.231,1963
El Salvador,SLV,Children 0-14,19.231,1964
El Salvador,SLV,Children 0-14,19.231,1965
El Salvador,SLV,Children 0-14,19.231,1966
El Salvador,SLV,Children 0-14,19.231,1967
El Salvador,SLV,Children 0-14,19.231,1968
El Salvador,SLV,Children 0-14,19.231,1969
El Salvador,SLV,Children 0-14,36.923,1970
El Salvador,SLV,Children 0-14,31.538,1971
El Salvador,SLV,Children 0-14,32.308,1972
El Salvador,SLV,Children 0-14,30.769,1973
El Salvador,SLV,Children 0-14,30.769,1974
El Salvador,SLV,Children 0-14,29.231,1975
El Salvador,SLV,Children 0-14,32.308,1976
El Salvador,SLV,Children 0-14,28.462,1977
El Salvador,SLV,Children 0-14,25.385,1978
El Salvador,SLV,Children 0-14,23.077,1979
El Salvador,SLV,Children 0-14,28.462,1980
