Country Name,Country Code,Topic,% of available indicators,Year
San Marino,SMR,Assets,0.000,1960
San Marino,SMR,Assets,0.000,1961
San Marino,SMR,Assets,0.000,1962
San Marino,SMR,Assets,0.000,1963
San Marino,SMR,Assets,0.000,1964
San Marino,SMR,Assets,0.000,1965
San Marino,SMR,Assets,0.000,1966
San Marino,SMR,Assets,0.000,1967
San Marino,SMR,Assets,0.000,1968
San Marino,SMR,Assets,0.000,1969
San Marino,SMR,Assets,2.208,1970
San Marino,SMR,Assets,2.208,1971
San Marino,SMR,Assets,2.208,1972
San Marino,SMR,Assets,2.208,1973
San Marino,SMR,Assets,2.208,1974
San Marino,SMR,Assets,2.208,1975
San Marino,SMR,Assets,2.208,1976
San Marino,SMR,Assets,2.208,1977
San Marino,SMR,Assets,2.208,1978
San Marino,SMR,Assets,2.208,1979
San Marino,SMR,Assets,2.208,1980
San Marino,SMR,Assets,2.208,1981
San Marino,SMR,Assets,2.208,1982
San Marino,SMR,Assets,2.208,1983
San Marino,SMR,Assets,2.208,1984
San Marino,SMR,Assets,2.208,1985
San Marino,SMR,Assets,2.208,1986
San Marino,SMR,Assets,2.208,1987
San Marino,SMR,Assets,2.208,1988
San Marino,SMR,Assets,2.208,1989
San Marino,SMR,Assets,2.208,1990
San Marino,SMR,Assets,2.208,1991
San Marino,SMR,Assets,2.208,1992
San Marino,SMR,Assets,2.208,1993
San Marino,SMR,Assets,2.208,1994
San Marino,SMR,Assets,2.208,1995
San Marino,SMR,Assets,2.208,1996
San Marino,SMR,Assets,2.208,1997
San Marino,SMR,Assets,2.208,1998
San Marino,SMR,Assets,2.208,1999
San Marino,SMR,Assets,2.208,2000
San Marino,SMR,Assets,2.208,2001
San Marino,SMR,Assets,2.208,2002
San Marino,SMR,Assets,2.208,2003
San Marino,SMR,Assets,2.208,2004
San Marino,SMR,Assets,2.208,2005
San Marino,SMR,Assets,2.208,2006
San Marino,SMR,Assets,2.208,2007
San Marino,SMR,Assets,2.208,2008
San Marino,SMR,Assets,2.208,2009
San Marino,SMR,Assets,2.208,2010
San Marino,SMR,Assets,2.208,2011
San Marino,SMR,Assets,2.208,2012
San Marino,SMR,Assets,2.208,2013
San Marino,SMR,Assets,2.208,2014
San Marino,SMR,Assets,2.208,2015
San Marino,SMR,Assets,2.208,2016
San Marino,SMR,Assets,2.208,2017
San Marino,SMR,Assets,2.208,2018
San Marino,SMR,Assets,2.208,2019
San Marino,SMR,Assets,2.208,2020
San Marino,SMR,Assets,2.208,2021
San Marino,SMR,Assets,2.208,2022
San Marino,SMR,Assets,2.208,2023
San Marino,SMR,Children 0-14,8.462,1960
San Marino,SMR,Children 0-14,8.462,1961
San Marino,SMR,Children 0-14,8.462,1962
San Marino,SMR,Children 0-14,8.462,1963
San Marino,SMR,Children 0-14,8.462,1964
San Marino,SMR,Children 0-14,8.462,1965
San Marino,SMR,Children 0-14,8.462,1966
San Marino,SMR,Children 0-14,8.462,1967
San Marino,SMR,Children 0-14,8.462,1968
San Marino,SMR,Children 0-14,8.462,1969
San Marino,SMR,Children 0-14,8.462,1970
San Marino,SMR,Children 0-14,13.846,1971
San Marino,SMR,Children 0-14,13.846,1972
San Marino,SMR,Children 0-14,13.846,1973
San Marino,SMR,Children 0-14,12.308,1974
San Marino,SMR,Children 0-14,12.308,1975
San Marino,SMR,Children 0-14,12.308,1976
San Marino,SMR,Children 0-14,11.538,1977
San Marino,SMR,Children 0-14,11.538,1978
San Marino,SMR,Children 0-14,16.154,1979
San Marino,SMR,Children 0-14,16.154,1980
San Marino,SMR,Children 0-14,14.615,1981
San Marino,SMR,Children 0-14,13.077,1982
San Marino,SMR,Children 0-14,15.385,1983
San Marino,SMR,Children 0-14,18.462,1984
San Marino,SMR,Children 0-14,23.846,1985
San Marino,SMR,Children 0-14,29.231,1986
San Marino,SMR,Children 0-14,26.923,1987
San Marino,SMR,Children 0-14,26.923,1988
San Marino,SMR,Children 0-14,26.923,1989
San Marino,SMR,Children 0-14,28.462,1990
San Marino,SMR,Children 0-14,29.231,1991
San Marino,SMR,Children 0-14,30.769,1992
San Marino,SMR,Children 0-14,30.769,1993
San Marino,SMR,Children 0-14,30.000,1994
San Marino,SMR,Children 0-14,18.462,1995
San Marino,SMR,Children 0-14,30.769,1996
San Marino,SMR,Children 0-14,30.000,1997
San Marino,SMR,Children 0-14,18.462,1998
San Marino,SMR,Children 0-14,18.462,1999
San Marino,SMR,Children 0-14,34.615,2000
San Marino,SMR,Children 0-14,18.462,2001
San Marino,SMR,Children 0-14,18.462,2002
San Marino,SMR,Children 0-14,18.462,2003
San Marino,SMR,Children 0-14,26.154,2004
San Marino,SMR,Children 0-14,18.462,2005
San Marino,SMR,Children 0-14,18.462,2006
San Marino,SMR,Children 0-14,18.462,2007
San Marino,SMR,Children 0-14,30.000,2008
San Marino,SMR,Children 0-14,30.769,2009
San Marino,SMR,Children 0-14,30.769,2010
San Marino,SMR,Children 0-14,28.462,2011
San Marino,SMR,Children 0-14,30.000,2012
San Marino,SMR,Children 0-14,20.769,2013
San Marino,SMR,Children 0-14,21.538,2014
San Marino,SMR,Children 0-14,20.769,2015
San Marino,SMR,Children 0-14,18.462,2016
San Marino,SMR,Children 0-14,19.231,2017
San Marino,SMR,Children 0-14,38.462,2018
San Marino,SMR,Children 0-14,33.077,2019
San Marino,SMR,Children 0-14,39.231,2020
San Marino,SMR,Children 0-14,31.538,2021
San Marino,SMR,Children 0-14,33.846,2022
San Marino,SMR,Children 0-14,19.231,2023
San Marino,SMR,Education,0.000,1960
San Marino,SMR,Education,0.000,1961
San Marino,SMR,Education,0.000,1962
San Marino,SMR,Education,0.000,1963
San Marino,SMR,Education,0.000,1964
San Marino,SMR,Education,0.000,1965
San Marino,SMR,Education,0.000,1966
San Marino,SMR,Education,0.000,1967
San Marino,SMR,Education,0.000,1968
San Marino,SMR,Education,0.000,1969
San Marino,SMR,Education,0.000,1970
San Marino,SMR,Education,11.043,1971
San Marino,SMR,Education,11.043,1972
San Marino,SMR,Education,10.429,1973
San Marino,SMR,Education,9.202,1974
San Marino,SMR,Education,9.202,1975
San Marino,SMR,Education,9.202,1976
San Marino,SMR,Education,7.975,1977
San Marino,SMR,Education,7.975,1978
San Marino,SMR,Education,12.270,1979
