Country Name,Country Code,Topic,% of available indicators,Year
Somalia,SOM,Assets,0.000,1960
Somalia,SOM,Assets,0.000,1961
Somalia,SOM,Assets,0.000,1962
Somalia,SOM,Assets,0.000,1963
Somalia,SOM,Assets,0.000,1964
Somalia,SOM,Assets,0.000,1965
Somalia,SOM,Assets,0.000,1966
Somalia,SOM,Assets,0.000,1967
Somalia,SOM,Assets,0.000,1968
Somalia,SOM,Assets,0.000,1969
Somalia,SOM,Assets,2.208,1970
Somalia,SOM,Assets,2.208,1971
Somalia,SOM,Assets,2.208,1972
Somalia,SOM,Assets,2.208,1973
Somalia,SOM,Assets,2.208,1974
Somalia,SOM,Assets,2.208,1975
Somalia,SOM,Assets,2.208,1976
Somalia,SOM,Assets,2.208,1977
Somalia,SOM,Assets,2.208,1978
Somalia,SOM,Assets,2.208,1979
Somalia,SOM,Assets,2.208,1980
Somalia,SOM,Assets,2.208,1981
Somalia,SOM,Assets,2.208,1982
Somalia,SOM,Assets,2.208,1983
Somalia,SOM,Assets,2.208,1984
Somalia,SOM,Assets,2.208,1985
Somalia,SOM,Assets,2.208,1986
Somalia,SOM,Assets,2.208,1987
Somalia,SOM,Assets,2.208,1988
Somalia,SOM,Assets,2.208,1989
Somalia,SOM,Assets,2.208,1990
Somalia,SOM,Assets,2.208,1991
Somalia,SOM,Assets,2.208,1992
Somalia,SOM,Assets,2.208,1993
Somalia,SOM,Assets,2.208,1994
Somalia,SOM,Assets,2.208,1995
Somalia,SOM,Assets,2.208,1996
Somalia,SOM,Assets,2.208,1997
Somalia,SOM,Assets,2.208,1998
Somalia,SOM,Assets,2.208,1999
Somalia,SOM,Assets,2.208,2000
Somalia,SOM,Assets,2.208,2001
Somalia,SOM,Assets,2.208,2002
Somalia,SOM,Assets,2.208,2003
Somalia,SOM,Assets,2.208,2004
Somalia,SOM,Assets,2.208,2005
Somalia,SOM,Assets,2.208,2006
Somalia,SOM,Assets,2.208,2007
Somalia,SOM,Assets,2.208,2008
Somalia,SOM,Assets,2.208,2009
Somalia,SOM,Assets,2.208,2010
Somalia,SOM,Assets,2.208,2011
Somalia,SOM,Assets,2.208,2012
Somalia,SOM,Assets,2.208,2013
Somalia,SOM,Assets,30.599,2014
Somalia,SOM,Assets,2.208,2015
Somalia,SOM,Assets,2.208,2016
Somalia,SOM,Assets,2.208,2017
Somalia,SOM,Assets,2.208,2018
Somalia,SOM,Assets,2.208,2019
Somalia,SOM,Assets,2.208,2020
Somalia,SOM,Assets,2.208,2021
Somalia,SOM,Assets,2.208,2022
Somalia,SOM,Assets,2.208,2023
Somalia,SOM,Children 0-14,10.769,1960
Somalia,SOM,Children 0-14,10.769,1961
Somalia,SOM,Children 0-14,10.769,1962
Somalia,SOM,Children 0-14,10.769,1963
Somalia,SOM,Children 0-14,10.769,1964
Somalia,SOM,Children 0-14,10.769,1965
Somalia,SOM,Children 0-14,10.769,1966
Somalia,SOM,Children 0-14,10.769,1967
Somalia,SOM,Children 0-14,10.769,1968
Somalia,SOM,Children 0-14,10.769,1969
Somalia,SOM,Children 0-14,10.769,1970
Somalia,SOM,Children 0-14,16.923,1971
Somalia,SOM,Children 0-14,16.923,1972
Somalia,SOM,Children 0-14,16.923,1973
Somalia,SOM,Children 0-14,16.923,1974
Somalia,SOM,Children 0-14,10.769,1975
Somalia,SOM,Children 0-14,24.615,1976
Somalia,SOM,Children 0-14,24.615,1977
Somalia,SOM,Children 0-14,24.615,1978
Somalia,SOM,Children 0-14,24.615,1979
Somalia,SOM,Children 0-14,25.385,1980
Somalia,SOM,Children 0-14,18.462,1981
Somalia,SOM,Children 0-14,23.077,1982
Somalia,SOM,Children 0-14,25.385,1983
Somalia,SOM,Children 0-14,25.385,1984
Somalia,SOM,Children 0-14,25.385,1985
Somalia,SOM,Children 0-14,25.385,1986
Somalia,SOM,Children 0-14,20.769,1987
Somalia,SOM,Children 0-14,20.769,1988
Somalia,SOM,Children 0-14,20.769,1989
Somalia,SOM,Children 0-14,20.769,1990
Somalia,SOM,Children 0-14,20.769,1991
Somalia,SOM,Children 0-14,20.769,1992
Somalia,SOM,Children 0-14,20.769,1993
Somalia,SOM,Children 0-14,20.769,1994
Somalia,SOM,Children 0-14,20.769,1995
Somalia,SOM,Children 0-14,20.769,1996
Somalia,SOM,Children 0-14,20.769,1997
Somalia,SOM,Children 0-14,20.769,1998
Somalia,SOM,Children 0-14,23.077,1999
Somalia,SOM,Children 0-14,34.615,2000
Somalia,SOM,Children 0-14,20.769,2001
Somalia,SOM,Children 0-14,20.769,2002
Somalia,SOM,Children 0-14,20.769,2003
Somalia,SOM,Children 0-14,20.769,2004
Somalia,SOM,Children 0-14,20.769,2005
Somalia,SOM,Children 0-14,36.923,2006
Somalia,SOM,Children 0-14,26.923,2007
Somalia,SOM,Children 0-14,20.769,2008
Somalia,SOM,Children 0-14,32.308,2009
Somalia,SOM,Children 0-14,34.615,2010
Somalia,SOM,Children 0-14,20.769,2011
Somalia,SOM,Children 0-14,20.769,2012
Somalia,SOM,Children 0-14,20.769,2013
Somalia,SOM,Children 0-14,23.077,2014
Somalia,SOM,Children 0-14,34.615,2015
Somalia,SOM,Children 0-14,20.769,2016
Somalia,SOM,Children 0-14,20.769,2017
Somalia,SOM,Children 0-14,20.769,2018
