Country Name,Country Code,Topic,% of available indicators,Year
Serbia,SRB,Assets,0.000,1960
Serbia,SRB,Assets,0.000,1961
Serbia,SRB,Assets,0.000,1962
Serbia,SRB,Assets,0.000,1963
Serbia,SRB,Assets,0.000,1964
Serbia,SRB,Assets,0.000,1965
Serbia,SRB,Assets,0.000,1966
Serbia,SRB,Assets,0.000,1967
Serbia,SRB,Assets,0.000,1968
Serbia,SRB,Assets,0.000,1969
Serbia,SRB,Assets,2.208,1970
Serbia,SRB,Assets,2.208,1971
Serbia,SRB,Assets,2.208,1972
Serbia,SRB,Assets,2.208,1973
Serbia,SRB,Assets,2.208,1974
Serbia,SRB,Assets,2.208,1975
Serbia,SRB,Assets,2.208,1976
Serbia,SRB,Assets,2.208,1977
Serbia,SRB,Assets,2.208,1978
Serbia,SRB,Assets,2.208,1979
Serbia,SRB,Assets,2.208,1980
Serbia,SRB,Assets,2.208,1981
Serbia,SRB,Assets,2.208,1982
Serbia,SRB,Assets,2.208,1983
Serbia,SRB,Assets,2.208,1984
Serbia,SRB,Assets,2.208,1985
Serbia,SRB,Assets,2.208,1986
Serbia,SRB,Assets,2.208,1987
Serbia,SRB,Assets,2.208,1988
Serbia,SRB,Assets,2.208,1989
Serbia,SRB,Assets,2.208,1990
Serbia,SRB,Assets,2.208,1991
Serbia,SRB,Assets,2.208,1992
Serbia,SRB,Assets,2.208,1993
Serbia,SRB,Assets,2.208,1994
Serbia,SRB,Assets,2.208,1995
Serbia,SRB,Assets,2.208,1996
Serbia,SRB,Assets,2.208,1997
Serbia,SRB,Assets,2.208,1998
Serbia,SRB,Assets,2.208,1999
Serbia,SRB,Assets,2.208,2000
Serbia,SRB,Assets,2.208,2001
Serbia,SRB,Assets,2.208,2002
Serbia,SRB,Assets,2.208,2003
Serbia,SRB,Assets,2.208,2004
Serbia,SRB,Assets,2.208,2005
Serbia,SRB,Assets,2.208,2006
Serbia,SRB,Assets,2.208,2007
Serbia,SRB,Assets,2.208,2008
Serbia,SRB,Assets,2.208,2009
Serbia,SRB,Assets,2.208,2010
Serbia,SRB,Assets,11.672,2011
Serbia,SRB,Assets,2.208,2012
Serbia,SRB,Assets,2.208,2013
Serbia,SRB,Assets,30.599,2014
Serbia,SRB,Assets,2.208,2015
Serbia,SRB,Assets,2.208,2016
Serbia,SRB,Assets,33.123,2017
Serbia,SRB,Assets,2.208,2018
Serbia,SRB,Assets,2.208,2019
Serbia,SRB,Assets,2.208,2020
Serbia,SRB,Assets,61.199,2021
Serbia,SRB,Assets,2.208,2022
Serbia,SRB,Assets,2.208,2023
Serbia,SRB,Children 0-14,10.769,1960
Serbia,SRB,Children 0-14,10.769,1961
Serbia,SRB,Children 0-14,10.769,1962
Serbia,SRB,Children 0-14,10.769,1963
Serbia,SRB,Children 0-14,10.769,1964
Serbia,SRB,Children 0-14,10.769,1965
Serbia,SRB,Children 0-14,10.769,1966
