Country Name,Country Code,Topic,% of available indicators,Year
South Sudan,SSD,Assets,0.000,1960
South Sudan,SSD,Assets,0.000,1961
South Sudan,SSD,Assets,0.000,1962
South Sudan,SSD,Assets,0.000,1963
South Sudan,SSD,Assets,0.000,1964
South Sudan,SSD,Assets,0.000,1965
South Sudan,SSD,Assets,0.000,1966
South Sudan,SSD,Assets,0.000,1967
South Sudan,SSD,Assets,0.000,1968
South Sudan,SSD,Assets,0.000,1969
South Sudan,SSD,Assets,2.208,1970
South Sudan,SSD,Assets,2.208,1971
South Sudan,SSD,Assets,2.208,1972
South Sudan,SSD,Assets,2.208,1973
South Sudan,SSD,Assets,2.208,1974
South Sudan,SSD,Assets,2.208,1975
South Sudan,SSD,Assets,2.208,1976
South Sudan,SSD,Assets,2.208,1977
South Sudan,SSD,Assets,2.208,1978
South Sudan,SSD,Assets,2.208,1979
South Sudan,SSD,Assets,2.208,1980
South Sudan,SSD,Assets,2.208,1981
South Sudan,SSD,Assets,2.208,1982
South Sudan,SSD,Assets,2.208,1983
South Sudan,SSD,Assets,2.208,1984
South Sudan,SSD,Assets,2.208,1985
South Sudan,SSD,Assets,2.208,1986
South Sudan,SSD,Assets,2.208,1987
South Sudan,SSD,Assets,2.208,1988
South Sudan,SSD,Assets,2.208,1989
South Sudan,SSD,Assets,2.208,1990
South Sudan,SSD,Assets,2.208,1991
South Sudan,SSD,Assets,2.208,1992
South Sudan,SSD,Assets,2.208,1993
South Sudan,SSD,Assets,2.208,1994
South Sudan,SSD,Assets,2.208,1995
South Sudan,SSD,Assets,2.208,1996
South Sudan,SSD,Assets,2.208,1997
South Sudan,SSD,Assets,2.208,1998
South Sudan,SSD,Assets,2.208,1999
South Sudan,SSD,Assets,2.208,2000
South Sudan,SSD,Assets,2.208,2001
South Sudan,SSD,Assets,2.208,2002
South Sudan,SSD,Assets,2.208,2003
South Sudan,SSD,Assets,2.208,2004
South Sudan,SSD,Assets,2.208,2005
South Sudan,SSD,Assets,2.208,2006
South Sudan,SSD,Assets,2.208,2007
South Sudan,SSD,Assets,2.208,2008
South Sudan,SSD,Assets,2.208,2009
South Sudan,SSD,Assets,2.208,2010
South Sudan,SSD,Assets,2.208,2011
South Sudan,SSD,Assets,2.208,2012
South Sudan,SSD,Assets,2.208,2013
