Country Name,Country Code,Topic,% of available indicators,Year
Sao Tome and Principe,STP,Assets,0.000,1960
Sao Tome and Principe,STP,Assets,0.000,1961
Sao Tome and Principe,STP,Assets,0.000,1962
Sao Tome and Principe,STP,Assets,0.000,1963
Sao Tome and Principe,STP,Assets,0.000,1964
Sao Tome and Principe,STP,Assets,0.000,1965
Sao Tome and Principe,STP,Assets,0.000,1966
Sao Tome and Principe,STP,Assets,0.000,1967
Sao Tome and Principe,STP,Assets,0.000,1968
Sao Tome and Principe,STP,Assets,0.000,1969
Sao Tome and Principe,STP,Assets,2.208,1970
Sao Tome and Principe,STP,Assets,2.208,1971
Sao Tome and Principe,STP,Assets,2.208,1972
Sao Tome and Principe,STP,Assets,2.208,1973
Sao Tome and Principe,STP,Assets,2.208,1974
Sao Tome and Principe,STP,Assets,2.208,1975
Sao Tome and Principe,STP,Assets,2.208,1976
Sao Tome and Principe,STP,Assets,2.208,1977
Sao Tome and Principe,STP,Assets,2.208,1978
Sao Tome and Principe,STP,Assets,2.208,1979
Sao Tome and Principe,STP,Assets,2.208,1980
Sao Tome and Principe,STP,Assets,2.208,1981
Sao Tome and Principe,STP,Assets,2.208,1982
Sao Tome and Principe,STP,Assets,2.208,1983
Sao Tome and Principe,STP,Assets,2.208,1984
Sao Tome and Principe,STP,Assets,2.208,1985
Sao Tome and Principe,STP,Assets,2.208,1986
Sao Tome and Principe,STP,Assets,2.208,1987
Sao Tome and Principe,STP,Assets,2.208,1988
Sao Tome and Principe,STP,Assets,2.208,1989
Sao Tome and Principe,STP,Assets,2.208,1990
Sao Tome and Principe,STP,Assets,2.208,1991
Sao Tome and Principe,STP,Assets,2.208,1992
Sao Tome and Principe,STP,Assets,2.208,1993
Sao Tome and Principe,STP,Assets,2.208,1994
Sao Tome and Principe,STP,Assets,2.208,1995
Sao Tome and Principe,STP,Assets,2.208,1996
Sao Tome and Principe,STP,Assets,2.208,1997
Sao Tome and Principe,STP,Assets,2.208,1998
Sao Tome and Principe,STP,Assets,2.208,1999
Sao Tome and Principe,STP,Assets,2.208,2000
Sao Tome and Principe,STP,Assets,2.208,2001
Sao Tome and Principe,STP,Assets,2.208,2002
Sao Tome and Principe,STP,Assets,2.208,2003
Sao Tome and Principe,STP,Assets,2.208,2004
Sao Tome and Principe,STP,Assets,2.208,2005
Sao Tome and Principe,STP,Assets,2.208,2006
Sao Tome and Principe,STP,Assets,2.208,2007
Sao Tome and Principe,STP,Assets,2.208,2008
Sao Tome and Principe,STP,Assets,2.208,2009
Sao Tome and Principe,STP,Assets,2.208,2010
Sao Tome and Principe,STP,Assets,2.208,2011
Sao Tome and Principe,STP,Assets,2.208,2012
Sao Tome and Principe,STP,Assets,2.208,2013
Sao Tome and Principe,STP,Assets,2.208,2014
Sao Tome and Principe,STP,Assets,2.208,2015
Sao Tome and Principe,STP,Assets,2.208,2016
Sao Tome and Principe,STP,Assets,2.208,2017
Sao Tome and Principe,STP,Assets,2.208,2018
Sao Tome and Principe,STP,Assets,2.208,2019
Sao Tome and Principe,STP,Assets,2.208,2020
Sao Tome and Principe,STP,Assets,2.208,2021
Sao Tome and Principe,STP,Assets,2.208,2022
Sao Tome and Principe,STP,Assets,2.208,2023
Sao Tome and Principe,STP,Children 0-14,10.769,1960
Sao Tome and Principe,STP,Children 0-14,10.769,1961
Sao Tome and Principe,STP,Children 0-14,10.769,1962
Sao Tome and Principe,STP,Children 0-14,10.769,1963
Sao Tome and Principe,STP,Children 0-14,10.769,1964
Sao Tome and Principe,STP,Children 0-14,15.385,1965
Sao Tome and Principe,STP,Children 0-14,17.692,1966
Sao Tome and Principe,STP,Children 0-14,17.692,1967
Sao Tome and Principe,STP,Children 0-14,17.692,1968
Sao Tome and Principe,STP,Children 0-14,17.692,1969
Sao Tome and Principe,STP,Children 0-14,19.231,1970
Sao Tome and Principe,STP,Children 0-14,25.385,1971
Sao Tome and Principe,STP,Children 0-14,25.385,1972
Sao Tome and Principe,STP,Children 0-14,23.077,1973
Sao Tome and Principe,STP,Children 0-14,20.000,1974
Sao Tome and Principe,STP,Children 0-14,20.000,1975
Sao Tome and Principe,STP,Children 0-14,20.000,1976
Sao Tome and Principe,STP,Children 0-14,30.769,1977
Sao Tome and Principe,STP,Children 0-14,27.692,1978
Sao Tome and Principe,STP,Children 0-14,19.231,1979
Sao Tome and Principe,STP,Children 0-14,22.308,1980
Sao Tome and Principe,STP,Children 0-14,28.462,1981
Sao Tome and Principe,STP,Children 0-14,23.846,1982
Sao Tome and Principe,STP,Children 0-14,36.154,1983
Sao Tome and Principe,STP,Children 0-14,37.692,1984
Sao Tome and Principe,STP,Children 0-14,23.846,1985
Sao Tome and Principe,STP,Children 0-14,23.077,1986
Sao Tome and Principe,STP,Children 0-14,31.538,1987
Sao Tome and Principe,STP,Children 0-14,40.000,1988
Sao Tome and Principe,STP,Children 0-14,20.769,1989
Sao Tome and Principe,STP,Children 0-14,34.615,1990
Sao Tome and Principe,STP,Children 0-14,24.615,1991
Sao Tome and Principe,STP,Children 0-14,24.615,1992
Sao Tome and Principe,STP,Children 0-14,20.769,1993
Sao Tome and Principe,STP,Children 0-14,20.769,1994
Sao Tome and Principe,STP,Children 0-14,20.769,1995
Sao Tome and Principe,STP,Children 0-14,25.385,1996
Sao Tome and Principe,STP,Children 0-14,20.769,1997
Sao Tome and Principe,STP,Children 0-14,24.615,1998
Sao Tome and Principe,STP,Children 0-14,37.692,1999
Sao Tome and Principe,STP,Children 0-14,34.615,2000
Sao Tome and Principe,STP,Children 0-14,25.385,2001
Sao Tome and Principe,STP,Children 0-14,39.231,2002
Sao Tome and Principe,STP,Children 0-14,41.538,2003
Sao Tome and Principe,STP,Children 0-14,43.846,2004
Sao Tome and Principe,STP,Children 0-14,40.000,2005
Sao Tome and Principe,STP,Children 0-14,21.538,2006
Sao Tome and Principe,STP,Children 0-14,43.846,2007
Sao Tome and Principe,STP,Children 0-14,43.846,2008
Sao Tome and Principe,STP,Children 0-14,44.615,2009
Sao Tome and Principe,STP,Children 0-14,56.923,2010
Sao Tome and Principe,STP,Children 0-14,35.385,2011
Sao Tome and Principe,STP,Children 0-14,40.000,2012
Sao Tome and Principe,STP,Children 0-14,42.308,2013
Sao Tome and Principe,STP,Children 0-14,56.923,2014
Sao Tome and Principe,STP,Children 0-14,58.462,2015
Sao Tome and Principe,STP,Children 0-14,32.308,2016
Sao Tome and Principe,STP,Children 0-14,44.615,2017
Sao Tome and Principe,STP,Children 0-14,30.769,2018
Sao Tome and Principe,STP,Children 0-14,58.462,2019
Sao Tome and Principe,STP,Children 0-14,20.769,2020
Sao Tome and Principe,STP,Children 0-14,26.154,2021
Sao Tome and Principe,STP,Children 0-14,20.769,2022
Sao Tome and Principe,STP,Children 0-14,9.231,2023
Sao Tome and Principe,STP,Education,0.000,1960
Sao Tome and Principe,STP,Education,0.000,1961
Sao Tome and Principe,STP,Education,0.000,1962
Sao Tome and Principe,STP,Education,0.000,1963
Sao Tome and Principe,STP,Education,0.000,1964
Sao Tome and Principe,STP,Education,0.000,1965
Sao Tome and Principe,STP,Education,0.000,1966
Sao Tome and Principe,STP,Education,0.000,1967
Sao Tome and Principe,STP,Education,0.000,1968
Sao Tome and Principe,STP,Education,0.000,1969
Sao Tome and Principe,STP,Education,0.000,1970
Sao Tome and Principe,STP,Education,11.656,1971
Sao Tome and Principe,STP,Education,11.656,1972
Sao Tome and Principe,STP,Education,3.067,1973
Sao Tome and Principe,STP,Education,0.613,1974
Sao Tome and Principe,STP,Education,0.613,1975
Sao Tome and Principe,STP,Education,2.454,1976
Sao Tome and Principe,STP,Education,15.951,1977
Sao Tome and Principe,STP,Education,7.362,1978
Sao Tome and Principe,STP,Education,0.000,1979
Sao Tome and Principe,STP,Education,2.454,1980
Sao Tome and Principe,STP,Education,18.405,1981
Sao Tome and Principe,STP,Education,4.294,1982
Sao Tome and Principe,STP,Education,14.724,1983
Sao Tome and Principe,STP,Education,15.951,1984
Sao Tome and Principe,STP,Education,3.067,1985
Sao Tome and Principe,STP,Education,0.000,1986
Sao Tome and Principe,STP,Education,11.043,1987
Sao Tome and Principe,STP,Education,24.540,1988
Sao Tome and Principe,STP,Education,0.000,1989
Sao Tome and Principe,STP,Education,11.656,1990
Sao Tome and Principe,STP,Education,9.816,1991
Sao Tome and Principe,STP,Education,3.067,1992
Sao Tome and Principe,STP,Education,0.000,1993
Sao Tome and Principe,STP,Education,0.000,1994
Sao Tome and Principe,STP,Education,0.000,1995
Sao Tome and Principe,STP,Education,3.681,1996
Sao Tome and Principe,STP,Education,0.000,1997
Sao Tome and Principe,STP,Education,3.067,1998
Sao Tome and Principe,STP,Education,14.110,1999
Sao Tome and Principe,STP,Education,0.613,2000
Sao Tome and Principe,STP,Education,11.043,2001
Sao Tome and Principe,STP,Education,17.791,2002
Sao Tome and Principe,STP,Education,31.902,2003
Sao Tome and Principe,STP,Education,34.356,2004
Sao Tome and Principe,STP,Education,30.061,2005
Sao Tome and Principe,STP,Education,1.227,2006
Sao Tome and Principe,STP,Education,33.742,2007
Sao Tome and Principe,STP,Education,35.583,2008
Sao Tome and Principe,STP,Education,32.515,2009
Sao Tome and Principe,STP,Education,38.037,2010
Sao Tome and Principe,STP,Education,26.380,2011
Sao Tome and Principe,STP,Education,47.239,2012
Sao Tome and Principe,STP,Education,33.742,2013
