Country Name,Country Code,Topic,% of available indicators,Year
Suriname,SUR,Assets,0.000,1960
Suriname,SUR,Assets,0.000,1961
Suriname,SUR,Assets,0.000,1962
Suriname,SUR,Assets,0.000,1963
Suriname,SUR,Assets,0.000,1964
Suriname,SUR,Assets,0.000,1965
Suriname,SUR,Assets,0.000,1966
Suriname,SUR,Assets,0.000,1967
Suriname,SUR,Assets,0.000,1968
Suriname,SUR,Assets,0.000,1969
Suriname,SUR,Assets,2.208,1970
Suriname,SUR,Assets,2.208,1971
Suriname,SUR,Assets,2.208,1972
Suriname,SUR,Assets,2.208,1973
Suriname,SUR,Assets,2.208,1974
Suriname,SUR,Assets,2.208,1975
Suriname,SUR,Assets,2.208,1976
Suriname,SUR,Assets,2.208,1977
Suriname,SUR,Assets,2.208,1978
Suriname,SUR,Assets,2.208,1979
Suriname,SUR,Assets,2.208,1980
Suriname,SUR,Assets,2.208,1981
Suriname,SUR,Assets,2.208,1982
Suriname,SUR,Assets,2.208,1983
Suriname,SUR,Assets,2.208,1984
Suriname,SUR,Assets,2.208,1985
Suriname,SUR,Assets,2.208,1986
Suriname,SUR,Assets,2.208,1987
Suriname,SUR,Assets,2.208,1988
Suriname,SUR,Assets,2.208,1989
Suriname,SUR,Assets,2.208,1990
Suriname,SUR,Assets,2.208,1991
Suriname,SUR,Assets,2.208,1992
Suriname,SUR,Assets,2.208,1993
Suriname,SUR,Assets,2.208,1994
Suriname,SUR,Assets,2.208,1995
Suriname,SUR,Assets,2.208,1996
Suriname,SUR,Assets,2.208,1997
Suriname,SUR,Assets,2.208,1998
Suriname,SUR,Assets,2.208,1999
Suriname,SUR,Assets,2.208,2000
Suriname,SUR,Assets,2.208,2001
Suriname,SUR,Assets,2.208,2002
Suriname,SUR,Assets,2.208,2003
Suriname,SUR,Assets,2.208,2004
Suriname,SUR,Assets,2.208,2005
Suriname,SUR,Assets,2.208,2006
Suriname,SUR,Assets,2.208,2007
Suriname,SUR,Assets,2.208,2008
Suriname,SUR,Assets,2.208,2009
Suriname,SUR,Assets,2.208,2010
Suriname,SUR,Assets,2.208,2011
