Country Name,Country Code,Topic,% of available indicators,Year
Slovak Republic,SVK,Assets,0.000,1960
Slovak Republic,SVK,Assets,0.000,1961
Slovak Republic,SVK,Assets,0.000,1962
Slovak Republic,SVK,Assets,0.000,1963
Slovak Republic,SVK,Assets,0.000,1964
Slovak Republic,SVK,Assets,0.000,1965
Slovak Republic,SVK,Assets,0.000,1966
Slovak Republic,SVK,Assets,0.000,1967
Slovak Republic,SVK,Assets,0.000,1968
Slovak Republic,SVK,Assets,0.000,1969
Slovak Republic,SVK,Assets,2.208,1970
Slovak Republic,SVK,Assets,2.208,1971
Slovak Republic,SVK,Assets,2.208,1972
Slovak Republic,SVK,Assets,2.208,1973
Slovak Republic,SVK,Assets,2.208,1974
Slovak Republic,SVK,Assets,2.208,1975
Slovak Republic,SVK,Assets,2.208,1976
Slovak Republic,SVK,Assets,2.208,1977
Slovak Republic,SVK,Assets,2.208,1978
Slovak Republic,SVK,Assets,2.208,1979
Slovak Republic,SVK,Assets,2.208,1980
Slovak Republic,SVK,Assets,2.208,1981
Slovak Republic,SVK,Assets,2.208,1982
Slovak Republic,SVK,Assets,2.208,1983
Slovak Republic,SVK,Assets,2.208,1984
Slovak Republic,SVK,Assets,2.208,1985
Slovak Republic,SVK,Assets,2.208,1986
Slovak Republic,SVK,Assets,2.208,1987
Slovak Republic,SVK,Assets,2.208,1988
Slovak Republic,SVK,Assets,2.208,1989
Slovak Republic,SVK,Assets,2.208,1990
Slovak Republic,SVK,Assets,2.208,1991
Slovak Republic,SVK,Assets,2.208,1992
Slovak Republic,SVK,Assets,2.208,1993
Slovak Republic,SVK,Assets,2.208,1994
Slovak Republic,SVK,Assets,2.208,1995
Slovak Republic,SVK,Assets,2.208,1996
Slovak Republic,SVK,Assets,2.208,1997
Slovak Republic,SVK,Assets,2.208,1998
Slovak Republic,SVK,Assets,2.208,1999
Slovak Republic,SVK,Assets,2.208,2000
Slovak Republic,SVK,Assets,2.208,2001
Slovak Republic,SVK,Assets,2.208,2002
Slovak Republic,SVK,Assets,2.208,2003
Slovak Republic,SVK,Assets,2.208,2004
Slovak Republic,SVK,Assets,2.208,2005
Slovak Republic,SVK,Assets,2.208,2006
Slovak Republic,SVK,Assets,2.208,2007
Slovak Republic,SVK,Assets,2.208,2008
Slovak Republic,SVK,Assets,2.208,2009
Slovak Republic,SVK,Assets,2.208,2010
Slovak Republic,SVK,Assets,11.672,2011
Slovak Republic,SVK,Assets,2.208,2012
Slovak Republic,SVK,Assets,2.208,2013
Slovak Republic,SVK,Assets,30.599,2014
Slovak Republic,SVK,Assets,2.208,2015
Slovak Republic,SVK,Assets,2.208,2016
Slovak Republic,SVK,Assets,33.123,2017
Slovak Republic,SVK,Assets,2.208,2018
Slovak Republic,SVK,Assets,2.208,2019
Slovak Republic,SVK,Assets,2.208,2020
Slovak Republic,SVK,Assets,58.360,2021
Slovak Republic,SVK,Assets,2.208,2022
Slovak Republic,SVK,Assets,2.208,2023
Slovak Republic,SVK,Children 0-14,19.231,1960
