Country Name,Country Code,Topic,% of available indicators,Year
Slovenia,SVN,Assets,0.000,1960
Slovenia,SVN,Assets,0.000,1961
Slovenia,SVN,Assets,0.000,1962
Slovenia,SVN,Assets,0.000,1963
Slovenia,SVN,Assets,0.000,1964
Slovenia,SVN,Assets,0.000,1965
Slovenia,SVN,Assets,0.000,1966
Slovenia,SVN,Assets,0.000,1967
Slovenia,SVN,Assets,0.000,1968
Slovenia,SVN,Assets,0.000,1969
Slovenia,SVN,Assets,2.208,1970
Slovenia,SVN,Assets,2.208,1971
Slovenia,SVN,Assets,2.208,1972
Slovenia,SVN,Assets,2.208,1973
Slovenia,SVN,Assets,2.208,1974
Slovenia,SVN,Assets,2.208,1975
Slovenia,SVN,Assets,2.208,1976
Slovenia,SVN,Assets,2.208,1977
Slovenia,SVN,Assets,2.208,1978
Slovenia,SVN,Assets,2.208,1979
Slovenia,SVN,Assets,2.208,1980
Slovenia,SVN,Assets,2.208,1981
Slovenia,SVN,Assets,2.208,1982
Slovenia,SVN,Assets,2.208,1983
Slovenia,SVN,Assets,2.208,1984
Slovenia,SVN,Assets,2.208,1985
Slovenia,SVN,Assets,2.208,1986
Slovenia,SVN,Assets,2.208,1987
Slovenia,SVN,Assets,2.208,1988
Slovenia,SVN,Assets,2.208,1989
Slovenia,SVN,Assets,2.208,1990
Slovenia,SVN,Assets,2.208,1991
Slovenia,SVN,Assets,2.208,1992
Slovenia,SVN,Assets,2.208,1993
Slovenia,SVN,Assets,2.208,1994
Slovenia,SVN,Assets,2.208,1995
Slovenia,SVN,Assets,2.208,1996
Slovenia,SVN,Assets,2.208,1997
Slovenia,SVN,Assets,2.208,1998
Slovenia,SVN,Assets,2.208,1999
Slovenia,SVN,Assets,2.208,2000
Slovenia,SVN,Assets,2.208,2001
Slovenia,SVN,Assets,2.208,2002
Slovenia,SVN,Assets,2.208,2003
Slovenia,SVN,Assets,2.208,2004
Slovenia,SVN,Assets,2.208,2005
Slovenia,SVN,Assets,2.208,2006
Slovenia,SVN,Assets,2.208,2007
Slovenia,SVN,Assets,2.208,2008
Slovenia,SVN,Assets,2.208,2009
Slovenia,SVN,Assets,2.208,2010
Slovenia,SVN,Assets,10.726,2011
Slovenia,SVN,Assets,2.208,2012
Slovenia,SVN,Assets,2.208,2013
Slovenia,SVN,Assets,24.921,2014
Slovenia,SVN,Assets,2.208,2015
Slovenia,SVN,Assets,2.208,2016
Slovenia,SVN,Assets,26.814,2017
Slovenia,SVN,Assets,2.208,2018
Slovenia,SVN,Assets,2.208,2019
Slovenia,SVN,Assets,2.208,2020
Slovenia,SVN,Assets,51.735,2021
Slovenia,SVN,Assets,2.208,2022
Slovenia,SVN,Assets,2.208,2023
Slovenia,SVN,Children 0-14,10.769,1960
Slovenia,SVN,Children 0-14,10.769,1961
Slovenia,SVN,Children 0-14,10.769,1962
Slovenia,SVN,Children 0-14,10.769,1963
Slovenia,SVN,Children 0-14,10.769,1964
Slovenia,SVN,Children 0-14,10.769,1965
Slovenia,SVN,Children 0-14,10.769,1966
Slovenia,SVN,Children 0-14,10.769,1967
Slovenia,SVN,Children 0-14,10.769,1968
Slovenia,SVN,Children 0-14,10.769,1969
