Country Name,Country Code,Topic,% of available indicators,Year
Sweden,SWE,Assets,0.000,1960
Sweden,SWE,Assets,0.000,1961
Sweden,SWE,Assets,0.000,1962
Sweden,SWE,Assets,0.000,1963
Sweden,SWE,Assets,0.000,1964
Sweden,SWE,Assets,0.000,1965
Sweden,SWE,Assets,0.000,1966
Sweden,SWE,Assets,0.000,1967
Sweden,SWE,Assets,0.000,1968
Sweden,SWE,Assets,0.000,1969
Sweden,SWE,Assets,2.208,1970
Sweden,SWE,Assets,2.208,1971
Sweden,SWE,Assets,2.208,1972
Sweden,SWE,Assets,2.208,1973
Sweden,SWE,Assets,2.208,1974
Sweden,SWE,Assets,2.208,1975
Sweden,SWE,Assets,2.208,1976
Sweden,SWE,Assets,2.208,1977
Sweden,SWE,Assets,2.208,1978
Sweden,SWE,Assets,2.208,1979
Sweden,SWE,Assets,2.208,1980
Sweden,SWE,Assets,2.208,1981
Sweden,SWE,Assets,2.208,1982
Sweden,SWE,Assets,2.208,1983
Sweden,SWE,Assets,2.208,1984
Sweden,SWE,Assets,2.208,1985
Sweden,SWE,Assets,2.208,1986
Sweden,SWE,Assets,2.208,1987
Sweden,SWE,Assets,2.208,1988
Sweden,SWE,Assets,2.208,1989
Sweden,SWE,Assets,2.208,1990
Sweden,SWE,Assets,2.208,1991
Sweden,SWE,Assets,2.208,1992
Sweden,SWE,Assets,2.208,1993
Sweden,SWE,Assets,2.208,1994
Sweden,SWE,Assets,2.208,1995
Sweden,SWE,Assets,2.208,1996
Sweden,SWE,Assets,2.208,1997
Sweden,SWE,Assets,2.208,1998
Sweden,SWE,Assets,2.208,1999
Sweden,SWE,Assets,2.208,2000
Sweden,SWE,Assets,2.208,2001
Sweden,SWE,Assets,2.208,2002
Sweden,SWE,Assets,2.208,2003
Sweden,SWE,Assets,2.208,2004
Sweden,SWE,Assets,2.208,2005
Sweden,SWE,Assets,2.208,2006
Sweden,SWE,Assets,2.208,2007
Sweden,SWE,Assets,2.208,2008
Sweden,SWE,Assets,2.208,2009
Sweden,SWE,Assets,2.208,2010
Sweden,SWE,Assets,10.726,2011
Sweden,SWE,Assets,2.208,2012
Sweden,SWE,Assets,2.208,2013
Sweden,SWE,Assets,24.921,2014
Sweden,SWE,Assets,2.208,2015
Sweden,SWE,Assets,2.208,2016
Sweden,SWE,Assets,26.814,2017
Sweden,SWE,Assets,2.208,2018
Sweden,SWE,Assets,2.208,2019
Sweden,SWE,Assets,2.208,2020
Sweden,SWE,Assets,51.735,2021
Sweden,SWE,Assets,2.208,2022
Sweden,SWE,Assets,2.208,2023
Sweden,SWE,Children 0-14,19.231,1960
Sweden,SWE,Children 0-14,19.231,1961
Sweden,SWE,Children 0-14,19.231,1962
Sweden,SWE,Children 0-14,19.231,1963
Sweden,SWE,Children 0-14,19.231,1964
Sweden,SWE,Children 0-14,19.231,1965
Sweden,SWE,Children 0-14,19.231,1966
Sweden,SWE,Children 0-14,19.231,1967
Sweden,SWE,Children 0-14,19.231,1968
Sweden,SWE,Children 0-14,19.231,1969
Sweden,SWE,Children 0-14,21.538,1970
Sweden,SWE,Children 0-14,27.692,1971
Sweden,SWE,Children 0-14,27.692,1972
Sweden,SWE,Children 0-14,28.462,1973
Sweden,SWE,Children 0-14,30.000,1974
Sweden,SWE,Children 0-14,28.462,1975
Sweden,SWE,Children 0-14,33.077,1976
Sweden,SWE,Children 0-14,27.692,1977
Sweden,SWE,Children 0-14,28.462,1978
Sweden,SWE,Children 0-14,30.769,1979
Sweden,SWE,Children 0-14,30.000,1980
Sweden,SWE,Children 0-14,30.000,1981
Sweden,SWE,Children 0-14,37.692,1982
Sweden,SWE,Children 0-14,30.000,1983
Sweden,SWE,Children 0-14,28.462,1984
Sweden,SWE,Children 0-14,25.385,1985
Sweden,SWE,Children 0-14,27.692,1986
Sweden,SWE,Children 0-14,40.000,1987
Sweden,SWE,Children 0-14,40.000,1988
Sweden,SWE,Children 0-14,40.000,1989
Sweden,SWE,Children 0-14,40.000,1990
Sweden,SWE,Children 0-14,40.000,1991
Sweden,SWE,Children 0-14,33.846,1992
Sweden,SWE,Children 0-14,33.846,1993
Sweden,SWE,Children 0-14,35.385,1994
Sweden,SWE,Children 0-14,32.308,1995
Sweden,SWE,Children 0-14,30.000,1996
Sweden,SWE,Children 0-14,30.000,1997
Sweden,SWE,Children 0-14,26.923,1998
Sweden,SWE,Children 0-14,34.615,1999
Sweden,SWE,Children 0-14,48.462,2000
Sweden,SWE,Children 0-14,42.308,2001
Sweden,SWE,Children 0-14,38.462,2002
Sweden,SWE,Children 0-14,40.000,2003
Sweden,SWE,Children 0-14,44.615,2004
Sweden,SWE,Children 0-14,44.615,2005
Sweden,SWE,Children 0-14,50.769,2006
Sweden,SWE,Children 0-14,44.615,2007
Sweden,SWE,Children 0-14,44.615,2008
Sweden,SWE,Children 0-14,45.385,2009
Sweden,SWE,Children 0-14,58.462,2010
Sweden,SWE,Children 0-14,50.000,2011
Sweden,SWE,Children 0-14,43.077,2012
Sweden,SWE,Children 0-14,48.462,2013
Sweden,SWE,Children 0-14,47.692,2014
Sweden,SWE,Children 0-14,60.769,2015
Sweden,SWE,Children 0-14,46.923,2016
Sweden,SWE,Children 0-14,43.846,2017
Sweden,SWE,Children 0-14,41.538,2018
Sweden,SWE,Children 0-14,55.385,2019
Sweden,SWE,Children 0-14,42.308,2020
Sweden,SWE,Children 0-14,39.231,2021
Sweden,SWE,Children 0-14,36.154,2022
Sweden,SWE,Children 0-14,9.231,2023
Sweden,SWE,Education,0.000,1960
Sweden,SWE,Education,0.000,1961
Sweden,SWE,Education,0.000,1962
Sweden,SWE,Education,0.000,1963
Sweden,SWE,Education,0.000,1964
Sweden,SWE,Education,0.000,1965
Sweden,SWE,Education,0.000,1966
Sweden,SWE,Education,0.000,1967
Sweden,SWE,Education,0.000,1968
Sweden,SWE,Education,0.000,1969
Sweden,SWE,Education,5.521,1970
Sweden,SWE,Education,18.405,1971
Sweden,SWE,Education,14.724,1972
Sweden,SWE,Education,16.564,1973
Sweden,SWE,Education,21.472,1974
Sweden,SWE,Education,16.564,1975
Sweden,SWE,Education,23.313,1976
Sweden,SWE,Education,17.791,1977
Sweden,SWE,Education,18.405,1978
Sweden,SWE,Education,24.540,1979
Sweden,SWE,Education,19.018,1980
Sweden,SWE,Education,15.951,1981
Sweden,SWE,Education,21.472,1982
Sweden,SWE,Education,15.337,1983
Sweden,SWE,Education,14.110,1984
Sweden,SWE,Education,14.724,1985
Sweden,SWE,Education,12.883,1986
Sweden,SWE,Education,30.061,1987
Sweden,SWE,Education,30.061,1988
Sweden,SWE,Education,31.902,1989
Sweden,SWE,Education,32.515,1990
Sweden,SWE,Education,32.515,1991
Sweden,SWE,Education,27.607,1992
Sweden,SWE,Education,30.675,1993
Sweden,SWE,Education,31.288,1994
Sweden,SWE,Education,31.288,1995
Sweden,SWE,Education,24.540,1996
Sweden,SWE,Education,25.153,1997
Sweden,SWE,Education,23.313,1998
Sweden,SWE,Education,47.239,1999
Sweden,SWE,Education,46.626,2000
Sweden,SWE,Education,52.761,2001
Sweden,SWE,Education,46.626,2002
Sweden,SWE,Education,51.534,2003
Sweden,SWE,Education,58.896,2004
Sweden,SWE,Education,60.123,2005
Sweden,SWE,Education,65.031,2006
Sweden,SWE,Education,59.509,2007
Sweden,SWE,Education,59.509,2008
Sweden,SWE,Education,61.350,2009
Sweden,SWE,Education,75.460,2010
Sweden,SWE,Education,69.939,2011
Sweden,SWE,Education,65.031,2012
Sweden,SWE,Education,66.871,2013
Sweden,SWE,Education,60.123,2014
Sweden,SWE,Education,68.098,2015
Sweden,SWE,Education,65.644,2016
Sweden,SWE,Education,68.098,2017
Sweden,SWE,Education,52.147,2018
Sweden,SWE,Education,40.491,2019
Sweden,SWE,Education,51.534,2020
Sweden,SWE,Education,38.650,2021
Sweden,SWE,Education,34.969,2022
Sweden,SWE,Education,1.840,2023
Sweden,SWE,Employment and Time Use,0.000,1960
Sweden,SWE,Employment and Time Use,0.000,1961
Sweden,SWE,Employment and Time Use,0.000,1962
Sweden,SWE,Employment and Time Use,0.000,1963
Sweden,SWE,Employment and Time Use,0.000,1964
