Country Name,Country Code,Topic,% of available indicators,Year
Eswatini,SWZ,Assets,0.000,1960
Eswatini,SWZ,Assets,0.000,1961
Eswatini,SWZ,Assets,0.000,1962
Eswatini,SWZ,Assets,0.000,1963
Eswatini,SWZ,Assets,0.000,1964
Eswatini,SWZ,Assets,0.000,1965
Eswatini,SWZ,Assets,0.000,1966
Eswatini,SWZ,Assets,0.000,1967
Eswatini,SWZ,Assets,0.000,1968
Eswatini,SWZ,Assets,0.000,1969
Eswatini,SWZ,Assets,2.208,1970
Eswatini,SWZ,Assets,2.208,1971
Eswatini,SWZ,Assets,2.208,1972
Eswatini,SWZ,Assets,2.208,1973
Eswatini,SWZ,Assets,2.208,1974
Eswatini,SWZ,Assets,2.208,1975
Eswatini,SWZ,Assets,2.208,1976
Eswatini,SWZ,Assets,2.208,1977
Eswatini,SWZ,Assets,2.208,1978
Eswatini,SWZ,Assets,2.208,1979
Eswatini,SWZ,Assets,2.208,1980
Eswatini,SWZ,Assets,2.208,1981
Eswatini,SWZ,Assets,2.208,1982
Eswatini,SWZ,Assets,2.208,1983
Eswatini,SWZ,Assets,2.208,1984
Eswatini,SWZ,Assets,2.208,1985
Eswatini,SWZ,Assets,2.208,1986
Eswatini,SWZ,Assets,2.208,1987
Eswatini,SWZ,Assets,2.208,1988
Eswatini,SWZ,Assets,2.208,1989
Eswatini,SWZ,Assets,2.208,1990
Eswatini,SWZ,Assets,2.208,1991
Eswatini,SWZ,Assets,2.208,1992
Eswatini,SWZ,Assets,2.208,1993
Eswatini,SWZ,Assets,2.208,1994
Eswatini,SWZ,Assets,2.208,1995
Eswatini,SWZ,Assets,2.208,1996
Eswatini,SWZ,Assets,2.208,1997
Eswatini,SWZ,Assets,2.208,1998
Eswatini,SWZ,Assets,2.208,1999
Eswatini,SWZ,Assets,2.208,2000
Eswatini,SWZ,Assets,2.208,2001
Eswatini,SWZ,Assets,2.208,2002
Eswatini,SWZ,Assets,2.208,2003
Eswatini,SWZ,Assets,2.208,2004
Eswatini,SWZ,Assets,2.208,2005
Eswatini,SWZ,Assets,2.208,2006
Eswatini,SWZ,Assets,2.208,2007
Eswatini,SWZ,Assets,2.208,2008
Eswatini,SWZ,Assets,2.208,2009
Eswatini,SWZ,Assets,2.208,2010
Eswatini,SWZ,Assets,10.726,2011
Eswatini,SWZ,Assets,2.208,2012
Eswatini,SWZ,Assets,2.208,2013
Eswatini,SWZ,Assets,2.208,2014
Eswatini,SWZ,Assets,2.208,2015
Eswatini,SWZ,Assets,2.208,2016
Eswatini,SWZ,Assets,2.208,2017
Eswatini,SWZ,Assets,2.208,2018
Eswatini,SWZ,Assets,2.208,2019
Eswatini,SWZ,Assets,2.208,2020
Eswatini,SWZ,Assets,2.208,2021
Eswatini,SWZ,Assets,62.461,2022
Eswatini,SWZ,Assets,2.208,2023
Eswatini,SWZ,Children 0-14,19.231,1960
Eswatini,SWZ,Children 0-14,19.231,1961
Eswatini,SWZ,Children 0-14,19.231,1962
Eswatini,SWZ,Children 0-14,19.231,1963
Eswatini,SWZ,Children 0-14,19.231,1964
Eswatini,SWZ,Children 0-14,19.231,1965
Eswatini,SWZ,Children 0-14,19.231,1966
Eswatini,SWZ,Children 0-14,19.231,1967
Eswatini,SWZ,Children 0-14,19.231,1968
Eswatini,SWZ,Children 0-14,19.231,1969
Eswatini,SWZ,Children 0-14,37.692,1970
Eswatini,SWZ,Children 0-14,37.692,1971
Eswatini,SWZ,Children 0-14,37.692,1972
Eswatini,SWZ,Children 0-14,37.692,1973
Eswatini,SWZ,Children 0-14,37.692,1974
Eswatini,SWZ,Children 0-14,37.692,1975
Eswatini,SWZ,Children 0-14,44.615,1976
Eswatini,SWZ,Children 0-14,37.692,1977
Eswatini,SWZ,Children 0-14,38.462,1978
Eswatini,SWZ,Children 0-14,37.692,1979
Eswatini,SWZ,Children 0-14,33.077,1980
Eswatini,SWZ,Children 0-14,39.231,1981
Eswatini,SWZ,Children 0-14,39.231,1982
Eswatini,SWZ,Children 0-14,39.231,1983
Eswatini,SWZ,Children 0-14,39.231,1984
Eswatini,SWZ,Children 0-14,39.231,1985
Eswatini,SWZ,Children 0-14,43.846,1986
Eswatini,SWZ,Children 0-14,39.231,1987
Eswatini,SWZ,Children 0-14,39.231,1988
Eswatini,SWZ,Children 0-14,39.231,1989
Eswatini,SWZ,Children 0-14,41.538,1990
