Country Name,Country Code,Topic,% of available indicators,Year
Sint Maarten (Dutch part),SXM,Assets,0.000,1960
Sint Maarten (Dutch part),SXM,Assets,0.000,1961
Sint Maarten (Dutch part),SXM,Assets,0.000,1962
Sint Maarten (Dutch part),SXM,Assets,0.000,1963
Sint Maarten (Dutch part),SXM,Assets,0.000,1964
Sint Maarten (Dutch part),SXM,Assets,0.000,1965
Sint Maarten (Dutch part),SXM,Assets,0.000,1966
Sint Maarten (Dutch part),SXM,Assets,0.000,1967
Sint Maarten (Dutch part),SXM,Assets,0.000,1968
Sint Maarten (Dutch part),SXM,Assets,0.000,1969
Sint Maarten (Dutch part),SXM,Assets,0.000,1970
Sint Maarten (Dutch part),SXM,Assets,0.000,1971
Sint Maarten (Dutch part),SXM,Assets,0.000,1972
Sint Maarten (Dutch part),SXM,Assets,0.000,1973
Sint Maarten (Dutch part),SXM,Assets,0.000,1974
Sint Maarten (Dutch part),SXM,Assets,0.000,1975
Sint Maarten (Dutch part),SXM,Assets,0.000,1976
Sint Maarten (Dutch part),SXM,Assets,0.000,1977
Sint Maarten (Dutch part),SXM,Assets,0.000,1978
Sint Maarten (Dutch part),SXM,Assets,0.000,1979
Sint Maarten (Dutch part),SXM,Assets,0.000,1980
Sint Maarten (Dutch part),SXM,Assets,0.000,1981
Sint Maarten (Dutch part),SXM,Assets,0.000,1982
Sint Maarten (Dutch part),SXM,Assets,0.000,1983
Sint Maarten (Dutch part),SXM,Assets,0.000,1984
Sint Maarten (Dutch part),SXM,Assets,0.000,1985
Sint Maarten (Dutch part),SXM,Assets,0.000,1986
Sint Maarten (Dutch part),SXM,Assets,0.000,1987
Sint Maarten (Dutch part),SXM,Assets,0.000,1988
Sint Maarten (Dutch part),SXM,Assets,0.000,1989
Sint Maarten (Dutch part),SXM,Assets,0.000,1990
Sint Maarten (Dutch part),SXM,Assets,0.000,1991
Sint Maarten (Dutch part),SXM,Assets,0.000,1992
Sint Maarten (Dutch part),SXM,Assets,0.000,1993
Sint Maarten (Dutch part),SXM,Assets,0.000,1994
Sint Maarten (Dutch part),SXM,Assets,0.000,1995
Sint Maarten (Dutch part),SXM,Assets,0.000,1996
Sint Maarten (Dutch part),SXM,Assets,0.000,1997
Sint Maarten (Dutch part),SXM,Assets,0.000,1998
Sint Maarten (Dutch part),SXM,Assets,0.000,1999
Sint Maarten (Dutch part),SXM,Assets,0.000,2000
Sint Maarten (Dutch part),SXM,Assets,0.000,2001
