Country Name,Country Code,Topic,% of available indicators,Year
Seychelles,SYC,Assets,0.000,1960
Seychelles,SYC,Assets,0.000,1961
Seychelles,SYC,Assets,0.000,1962
Seychelles,SYC,Assets,0.000,1963
Seychelles,SYC,Assets,0.000,1964
Seychelles,SYC,Assets,0.000,1965
Seychelles,SYC,Assets,0.000,1966
Seychelles,SYC,Assets,0.000,1967
Seychelles,SYC,Assets,0.000,1968
Seychelles,SYC,Assets,0.000,1969
Seychelles,SYC,Assets,2.208,1970
Seychelles,SYC,Assets,2.208,1971
Seychelles,SYC,Assets,2.208,1972
Seychelles,SYC,Assets,2.208,1973
Seychelles,SYC,Assets,2.208,1974
Seychelles,SYC,Assets,2.208,1975
Seychelles,SYC,Assets,2.208,1976
Seychelles,SYC,Assets,2.208,1977
Seychelles,SYC,Assets,2.208,1978
Seychelles,SYC,Assets,2.208,1979
Seychelles,SYC,Assets,2.208,1980
Seychelles,SYC,Assets,2.208,1981
Seychelles,SYC,Assets,2.208,1982
Seychelles,SYC,Assets,2.208,1983
Seychelles,SYC,Assets,2.208,1984
Seychelles,SYC,Assets,2.208,1985
Seychelles,SYC,Assets,2.208,1986
Seychelles,SYC,Assets,2.208,1987
Seychelles,SYC,Assets,2.208,1988
Seychelles,SYC,Assets,2.208,1989
Seychelles,SYC,Assets,2.208,1990
Seychelles,SYC,Assets,2.208,1991
Seychelles,SYC,Assets,2.208,1992
Seychelles,SYC,Assets,2.208,1993
Seychelles,SYC,Assets,2.208,1994
Seychelles,SYC,Assets,2.208,1995
Seychelles,SYC,Assets,2.208,1996
Seychelles,SYC,Assets,2.208,1997
Seychelles,SYC,Assets,2.208,1998
Seychelles,SYC,Assets,2.208,1999
Seychelles,SYC,Assets,2.208,2000
Seychelles,SYC,Assets,2.208,2001
Seychelles,SYC,Assets,2.208,2002
Seychelles,SYC,Assets,2.208,2003
Seychelles,SYC,Assets,2.208,2004
Seychelles,SYC,Assets,2.208,2005
Seychelles,SYC,Assets,2.208,2006
Seychelles,SYC,Assets,2.208,2007
Seychelles,SYC,Assets,2.208,2008
Seychelles,SYC,Assets,2.208,2009
Seychelles,SYC,Assets,2.208,2010
Seychelles,SYC,Assets,2.208,2011
Seychelles,SYC,Assets,2.208,2012
Seychelles,SYC,Assets,2.208,2013
Seychelles,SYC,Assets,2.208,2014
Seychelles,SYC,Assets,2.208,2015
Seychelles,SYC,Assets,2.208,2016
Seychelles,SYC,Assets,2.208,2017
Seychelles,SYC,Assets,2.208,2018
Seychelles,SYC,Assets,2.208,2019
Seychelles,SYC,Assets,2.208,2020
Seychelles,SYC,Assets,2.208,2021
Seychelles,SYC,Assets,2.208,2022
Seychelles,SYC,Assets,2.208,2023
