Country Name,Country Code,Topic,% of available indicators,Year
Syrian Arab Republic,SYR,Assets,0.000,1960
Syrian Arab Republic,SYR,Assets,0.000,1961
Syrian Arab Republic,SYR,Assets,0.000,1962
Syrian Arab Republic,SYR,Assets,0.000,1963
Syrian Arab Republic,SYR,Assets,0.000,1964
Syrian Arab Republic,SYR,Assets,0.000,1965
Syrian Arab Republic,SYR,Assets,0.000,1966
Syrian Arab Republic,SYR,Assets,0.000,1967
Syrian Arab Republic,SYR,Assets,0.000,1968
Syrian Arab Republic,SYR,Assets,0.000,1969
Syrian Arab Republic,SYR,Assets,2.208,1970
Syrian Arab Republic,SYR,Assets,2.208,1971
Syrian Arab Republic,SYR,Assets,2.208,1972
Syrian Arab Republic,SYR,Assets,2.208,1973
Syrian Arab Republic,SYR,Assets,2.208,1974
Syrian Arab Republic,SYR,Assets,2.208,1975
Syrian Arab Republic,SYR,Assets,2.208,1976
Syrian Arab Republic,SYR,Assets,2.208,1977
Syrian Arab Republic,SYR,Assets,2.208,1978
Syrian Arab Republic,SYR,Assets,2.208,1979
Syrian Arab Republic,SYR,Assets,2.208,1980
Syrian Arab Republic,SYR,Assets,2.208,1981
Syrian Arab Republic,SYR,Assets,2.208,1982
Syrian Arab Republic,SYR,Assets,2.208,1983
Syrian Arab Republic,SYR,Assets,2.208,1984
Syrian Arab Republic,SYR,Assets,2.208,1985
Syrian Arab Republic,SYR,Assets,2.208,1986
Syrian Arab Republic,SYR,Assets,2.208,1987
Syrian Arab Republic,SYR,Assets,2.208,1988
Syrian Arab Republic,SYR,Assets,2.208,1989
Syrian Arab Republic,SYR,Assets,2.208,1990
Syrian Arab Republic,SYR,Assets,2.208,1991
Syrian Arab Republic,SYR,Assets,2.208,1992
Syrian Arab Republic,SYR,Assets,2.208,1993
Syrian Arab Republic,SYR,Assets,2.208,1994
Syrian Arab Republic,SYR,Assets,2.208,1995
Syrian Arab Republic,SYR,Assets,2.208,1996
Syrian Arab Republic,SYR,Assets,2.208,1997
Syrian Arab Republic,SYR,Assets,2.208,1998
Syrian Arab Republic,SYR,Assets,2.208,1999
Syrian Arab Republic,SYR,Assets,2.208,2000
Syrian Arab Republic,SYR,Assets,2.208,2001
Syrian Arab Republic,SYR,Assets,2.208,2002
Syrian Arab Republic,SYR,Assets,2.208,2003
Syrian Arab Republic,SYR,Assets,2.208,2004
Syrian Arab Republic,SYR,Assets,2.208,2005
Syrian Arab Republic,SYR,Assets,2.208,2006
Syrian Arab Republic,SYR,Assets,2.208,2007
Syrian Arab Republic,SYR,Assets,2.208,2008
Syrian Arab Republic,SYR,Assets,2.208,2009
Syrian Arab Republic,SYR,Assets,2.208,2010
Syrian Arab Republic,SYR,Assets,10.726,2011
Syrian Arab Republic,SYR,Assets,2.208,2012
Syrian Arab Republic,SYR,Assets,2.208,2013
Syrian Arab Republic,SYR,Assets,2.208,2014
Syrian Arab Republic,SYR,Assets,2.208,2015
Syrian Arab Republic,SYR,Assets,2.208,2016
Syrian Arab Republic,SYR,Assets,2.208,2017
Syrian Arab Republic,SYR,Assets,2.208,2018
Syrian Arab Republic,SYR,Assets,2.208,2019
Syrian Arab Republic,SYR,Assets,2.208,2020
Syrian Arab Republic,SYR,Assets,2.208,2021
Syrian Arab Republic,SYR,Assets,2.208,2022
Syrian Arab Republic,SYR,Assets,2.208,2023
Syrian Arab Republic,SYR,Children 0-14,19.231,1960
