Country Name,Country Code,Topic,% of available indicators,Year
Turks and Caicos Islands,TCA,Assets,0.000,1960
Turks and Caicos Islands,TCA,Assets,0.000,1961
Turks and Caicos Islands,TCA,Assets,0.000,1962
Turks and Caicos Islands,TCA,Assets,0.000,1963
Turks and Caicos Islands,TCA,Assets,0.000,1964
Turks and Caicos Islands,TCA,Assets,0.000,1965
Turks and Caicos Islands,TCA,Assets,0.000,1966
Turks and Caicos Islands,TCA,Assets,0.000,1967
Turks and Caicos Islands,TCA,Assets,0.000,1968
Turks and Caicos Islands,TCA,Assets,0.000,1969
Turks and Caicos Islands,TCA,Assets,0.000,1970
Turks and Caicos Islands,TCA,Assets,0.000,1971
Turks and Caicos Islands,TCA,Assets,0.000,1972
Turks and Caicos Islands,TCA,Assets,0.000,1973
Turks and Caicos Islands,TCA,Assets,0.000,1974
Turks and Caicos Islands,TCA,Assets,0.000,1975
Turks and Caicos Islands,TCA,Assets,0.000,1976
Turks and Caicos Islands,TCA,Assets,0.000,1977
Turks and Caicos Islands,TCA,Assets,0.000,1978
Turks and Caicos Islands,TCA,Assets,0.000,1979
Turks and Caicos Islands,TCA,Assets,0.000,1980
Turks and Caicos Islands,TCA,Assets,0.000,1981
Turks and Caicos Islands,TCA,Assets,0.000,1982
Turks and Caicos Islands,TCA,Assets,0.000,1983
Turks and Caicos Islands,TCA,Assets,0.000,1984
Turks and Caicos Islands,TCA,Assets,0.000,1985
Turks and Caicos Islands,TCA,Assets,0.000,1986
Turks and Caicos Islands,TCA,Assets,0.000,1987
Turks and Caicos Islands,TCA,Assets,0.000,1988
Turks and Caicos Islands,TCA,Assets,0.000,1989
Turks and Caicos Islands,TCA,Assets,0.000,1990
Turks and Caicos Islands,TCA,Assets,0.000,1991
Turks and Caicos Islands,TCA,Assets,0.000,1992
Turks and Caicos Islands,TCA,Assets,0.000,1993
Turks and Caicos Islands,TCA,Assets,0.000,1994
Turks and Caicos Islands,TCA,Assets,0.000,1995
Turks and Caicos Islands,TCA,Assets,0.000,1996
Turks and Caicos Islands,TCA,Assets,0.000,1997
Turks and Caicos Islands,TCA,Assets,0.000,1998
Turks and Caicos Islands,TCA,Assets,0.000,1999
Turks and Caicos Islands,TCA,Assets,0.000,2000
