Country Name,Country Code,Topic,% of available indicators,Year
Chad,TCD,Assets,0.000,1960
Chad,TCD,Assets,0.000,1961
Chad,TCD,Assets,0.000,1962
Chad,TCD,Assets,0.000,1963
Chad,TCD,Assets,0.000,1964
Chad,TCD,Assets,0.000,1965
Chad,TCD,Assets,0.000,1966
Chad,TCD,Assets,0.000,1967
Chad,TCD,Assets,0.000,1968
Chad,TCD,Assets,0.000,1969
Chad,TCD,Assets,2.208,1970
Chad,TCD,Assets,2.208,1971
Chad,TCD,Assets,2.208,1972
Chad,TCD,Assets,2.208,1973
Chad,TCD,Assets,2.208,1974
Chad,TCD,Assets,2.208,1975
Chad,TCD,Assets,2.208,1976
Chad,TCD,Assets,2.208,1977
Chad,TCD,Assets,2.208,1978
Chad,TCD,Assets,2.208,1979
Chad,TCD,Assets,2.208,1980
Chad,TCD,Assets,2.208,1981
Chad,TCD,Assets,2.208,1982
Chad,TCD,Assets,2.208,1983
Chad,TCD,Assets,2.208,1984
Chad,TCD,Assets,2.208,1985
Chad,TCD,Assets,2.208,1986
Chad,TCD,Assets,2.208,1987
Chad,TCD,Assets,2.208,1988
Chad,TCD,Assets,2.208,1989
Chad,TCD,Assets,2.208,1990
Chad,TCD,Assets,2.208,1991
Chad,TCD,Assets,2.208,1992
Chad,TCD,Assets,2.208,1993
Chad,TCD,Assets,2.208,1994
Chad,TCD,Assets,2.208,1995
Chad,TCD,Assets,2.208,1996
Chad,TCD,Assets,2.208,1997
Chad,TCD,Assets,2.208,1998
Chad,TCD,Assets,2.208,1999
Chad,TCD,Assets,2.208,2000
Chad,TCD,Assets,2.208,2001
Chad,TCD,Assets,2.208,2002
Chad,TCD,Assets,2.208,2003
Chad,TCD,Assets,2.208,2004
Chad,TCD,Assets,2.208,2005
Chad,TCD,Assets,2.208,2006
Chad,TCD,Assets,2.208,2007
Chad,TCD,Assets,2.208,2008
Chad,TCD,Assets,2.208,2009
Chad,TCD,Assets,2.208,2010
Chad,TCD,Assets,11.672,2011
Chad,TCD,Assets,2.208,2012
Chad,TCD,Assets,2.208,2013
Chad,TCD,Assets,30.599,2014
Chad,TCD,Assets,32.492,2015
Chad,TCD,Assets,2.208,2016
Chad,TCD,Assets,33.123,2017
Chad,TCD,Assets,2.208,2018
Chad,TCD,Assets,2.208,2019
Chad,TCD,Assets,2.208,2020
Chad,TCD,Assets,2.208,2021
Chad,TCD,Assets,62.461,2022
Chad,TCD,Assets,2.208,2023
Chad,TCD,Children 0-14,10.769,1960
Chad,TCD,Children 0-14,10.769,1961
Chad,TCD,Children 0-14,10.769,1962
Chad,TCD,Children 0-14,10.769,1963
Chad,TCD,Children 0-14,10.769,1964
Chad,TCD,Children 0-14,10.769,1965
Chad,TCD,Children 0-14,10.769,1966
Chad,TCD,Children 0-14,10.769,1967
Chad,TCD,Children 0-14,10.769,1968
Chad,TCD,Children 0-14,10.769,1969
Chad,TCD,Children 0-14,10.769,1970
Chad,TCD,Children 0-14,16.923,1971
Chad,TCD,Children 0-14,20.000,1972
Chad,TCD,Children 0-14,21.538,1973
Chad,TCD,Children 0-14,23.846,1974
Chad,TCD,Children 0-14,30.000,1975
Chad,TCD,Children 0-14,26.154,1976
Chad,TCD,Children 0-14,33.846,1977
Chad,TCD,Children 0-14,19.231,1978
Chad,TCD,Children 0-14,19.231,1979
Chad,TCD,Children 0-14,19.231,1980
Chad,TCD,Children 0-14,19.231,1981
Chad,TCD,Children 0-14,19.231,1982
Chad,TCD,Children 0-14,20.000,1983
Chad,TCD,Children 0-14,20.769,1984
Chad,TCD,Children 0-14,24.615,1985
Chad,TCD,Children 0-14,24.615,1986
Chad,TCD,Children 0-14,24.615,1987
Chad,TCD,Children 0-14,39.231,1988
Chad,TCD,Children 0-14,30.000,1989
Chad,TCD,Children 0-14,31.538,1990
Chad,TCD,Children 0-14,30.000,1991
Chad,TCD,Children 0-14,24.615,1992
Chad,TCD,Children 0-14,24.615,1993
Chad,TCD,Children 0-14,31.538,1994
Chad,TCD,Children 0-14,33.846,1995
Chad,TCD,Children 0-14,34.615,1996
Chad,TCD,Children 0-14,50.000,1997
Chad,TCD,Children 0-14,37.692,1998
Chad,TCD,Children 0-14,42.308,1999
Chad,TCD,Children 0-14,70.000,2000
Chad,TCD,Children 0-14,42.308,2001
Chad,TCD,Children 0-14,44.615,2002
Chad,TCD,Children 0-14,40.769,2003
Chad,TCD,Children 0-14,56.154,2004
Chad,TCD,Children 0-14,32.308,2005
Chad,TCD,Children 0-14,35.385,2006
Chad,TCD,Children 0-14,27.692,2007
Chad,TCD,Children 0-14,27.692,2008
Chad,TCD,Children 0-14,39.231,2009
Chad,TCD,Children 0-14,72.308,2010
Chad,TCD,Children 0-14,49.231,2011
Chad,TCD,Children 0-14,39.231,2012
Chad,TCD,Children 0-14,43.077,2013
Chad,TCD,Children 0-14,30.769,2014
Chad,TCD,Children 0-14,80.000,2015
Chad,TCD,Children 0-14,44.615,2016
Chad,TCD,Children 0-14,52.308,2017
Chad,TCD,Children 0-14,50.000,2018
Chad,TCD,Children 0-14,64.615,2019
Chad,TCD,Children 0-14,36.923,2020
Chad,TCD,Children 0-14,45.385,2021
Chad,TCD,Children 0-14,37.692,2022
Chad,TCD,Children 0-14,14.615,2023
Chad,TCD,Education,0.000,1960
Chad,TCD,Education,0.000,1961
Chad,TCD,Education,0.000,1962
Chad,TCD,Education,0.000,1963
Chad,TCD,Education,0.000,1964
Chad,TCD,Education,0.000,1965
Chad,TCD,Education,0.000,1966
Chad,TCD,Education,0.000,1967
Chad,TCD,Education,0.000,1968
Chad,TCD,Education,0.000,1969
Chad,TCD,Education,0.000,1970
Chad,TCD,Education,15.951,1971
Chad,TCD,Education,15.337,1972
Chad,TCD,Education,6.135,1973
Chad,TCD,Education,16.564,1974
Chad,TCD,Education,15.337,1975
Chad,TCD,Education,12.270,1976
Chad,TCD,Education,17.178,1977
Chad,TCD,Education,0.000,1978
Chad,TCD,Education,0.000,1979
Chad,TCD,Education,0.000,1980
