Country Name,Country Code,Topic,% of available indicators,Year
Togo,TGO,Assets,0.000,1960
Togo,TGO,Assets,0.000,1961
Togo,TGO,Assets,0.000,1962
Togo,TGO,Assets,0.000,1963
Togo,TGO,Assets,0.000,1964
Togo,TGO,Assets,0.000,1965
Togo,TGO,Assets,0.000,1966
Togo,TGO,Assets,0.000,1967
Togo,TGO,Assets,0.000,1968
Togo,TGO,Assets,0.000,1969
Togo,TGO,Assets,2.208,1970
Togo,TGO,Assets,2.208,1971
Togo,TGO,Assets,2.208,1972
Togo,TGO,Assets,2.208,1973
Togo,TGO,Assets,2.208,1974
Togo,TGO,Assets,2.208,1975
Togo,TGO,Assets,2.208,1976
Togo,TGO,Assets,2.208,1977
Togo,TGO,Assets,2.208,1978
Togo,TGO,Assets,2.208,1979
Togo,TGO,Assets,2.208,1980
Togo,TGO,Assets,2.208,1981
Togo,TGO,Assets,2.208,1982
Togo,TGO,Assets,2.208,1983
Togo,TGO,Assets,2.208,1984
Togo,TGO,Assets,2.208,1985
Togo,TGO,Assets,2.208,1986
Togo,TGO,Assets,2.208,1987
Togo,TGO,Assets,2.208,1988
Togo,TGO,Assets,2.208,1989
Togo,TGO,Assets,2.208,1990
Togo,TGO,Assets,2.208,1991
Togo,TGO,Assets,2.208,1992
Togo,TGO,Assets,2.208,1993
Togo,TGO,Assets,2.208,1994
Togo,TGO,Assets,2.208,1995
Togo,TGO,Assets,2.208,1996
Togo,TGO,Assets,2.208,1997
Togo,TGO,Assets,2.208,1998
Togo,TGO,Assets,2.208,1999
Togo,TGO,Assets,2.208,2000
Togo,TGO,Assets,2.208,2001
Togo,TGO,Assets,2.208,2002
Togo,TGO,Assets,2.208,2003
Togo,TGO,Assets,2.208,2004
Togo,TGO,Assets,2.208,2005
Togo,TGO,Assets,2.208,2006
Togo,TGO,Assets,2.208,2007
Togo,TGO,Assets,2.208,2008
Togo,TGO,Assets,2.208,2009
Togo,TGO,Assets,2.208,2010
Togo,TGO,Assets,11.672,2011
Togo,TGO,Assets,2.208,2012
Togo,TGO,Assets,2.208,2013
Togo,TGO,Assets,61.830,2014
Togo,TGO,Assets,2.208,2015
Togo,TGO,Assets,2.208,2016
Togo,TGO,Assets,34.069,2017
Togo,TGO,Assets,2.208,2018
Togo,TGO,Assets,2.208,2019
Togo,TGO,Assets,2.208,2020
Togo,TGO,Assets,63.091,2021
Togo,TGO,Assets,2.208,2022
Togo,TGO,Assets,2.208,2023
Togo,TGO,Children 0-14,19.231,1960
Togo,TGO,Children 0-14,19.231,1961
Togo,TGO,Children 0-14,19.231,1962
Togo,TGO,Children 0-14,19.231,1963
Togo,TGO,Children 0-14,19.231,1964
Togo,TGO,Children 0-14,19.231,1965
Togo,TGO,Children 0-14,19.231,1966
Togo,TGO,Children 0-14,19.231,1967
Togo,TGO,Children 0-14,19.231,1968
Togo,TGO,Children 0-14,19.231,1969
Togo,TGO,Children 0-14,23.846,1970
Togo,TGO,Children 0-14,38.462,1971
Togo,TGO,Children 0-14,36.923,1972
Togo,TGO,Children 0-14,26.154,1973
Togo,TGO,Children 0-14,27.692,1974
Togo,TGO,Children 0-14,27.692,1975
Togo,TGO,Children 0-14,30.769,1976
Togo,TGO,Children 0-14,27.692,1977
Togo,TGO,Children 0-14,40.000,1978
Togo,TGO,Children 0-14,40.000,1979
Togo,TGO,Children 0-14,40.000,1980
Togo,TGO,Children 0-14,33.077,1981
Togo,TGO,Children 0-14,40.769,1982
Togo,TGO,Children 0-14,40.769,1983
Togo,TGO,Children 0-14,41.538,1984
Togo,TGO,Children 0-14,41.538,1985
Togo,TGO,Children 0-14,41.538,1986
Togo,TGO,Children 0-14,41.538,1987
Togo,TGO,Children 0-14,48.462,1988
Togo,TGO,Children 0-14,41.538,1989
Togo,TGO,Children 0-14,41.538,1990
Togo,TGO,Children 0-14,41.538,1991
Togo,TGO,Children 0-14,30.000,1992
Togo,TGO,Children 0-14,20.769,1993
Togo,TGO,Children 0-14,40.000,1994
Togo,TGO,Children 0-14,41.538,1995
Togo,TGO,Children 0-14,41.538,1996
Togo,TGO,Children 0-14,34.615,1997
Togo,TGO,Children 0-14,36.154,1998
Togo,TGO,Children 0-14,42.308,1999
Togo,TGO,Children 0-14,56.154,2000
Togo,TGO,Children 0-14,42.308,2001
Togo,TGO,Children 0-14,40.769,2002
Togo,TGO,Children 0-14,49.231,2003
Togo,TGO,Children 0-14,46.154,2004
Togo,TGO,Children 0-14,44.615,2005
Togo,TGO,Children 0-14,50.000,2006
Togo,TGO,Children 0-14,46.923,2007
Togo,TGO,Children 0-14,49.231,2008
Togo,TGO,Children 0-14,47.692,2009
Togo,TGO,Children 0-14,71.538,2010
Togo,TGO,Children 0-14,43.846,2011
Togo,TGO,Children 0-14,47.692,2012
Togo,TGO,Children 0-14,36.154,2013
Togo,TGO,Children 0-14,68.462,2014
Togo,TGO,Children 0-14,60.769,2015
Togo,TGO,Children 0-14,38.462,2016
Togo,TGO,Children 0-14,70.769,2017
Togo,TGO,Children 0-14,46.923,2018
Togo,TGO,Children 0-14,54.615,2019
Togo,TGO,Children 0-14,40.000,2020
Togo,TGO,Children 0-14,33.846,2021
Togo,TGO,Children 0-14,35.385,2022
Togo,TGO,Children 0-14,17.692,2023
Togo,TGO,Education,0.000,1960
Togo,TGO,Education,0.000,1961
Togo,TGO,Education,0.000,1962
Togo,TGO,Education,0.000,1963
Togo,TGO,Education,0.000,1964
Togo,TGO,Education,0.000,1965
Togo,TGO,Education,0.000,1966
Togo,TGO,Education,0.000,1967
Togo,TGO,Education,0.000,1968
Togo,TGO,Education,0.000,1969
Togo,TGO,Education,7.975,1970
Togo,TGO,Education,25.153,1971
Togo,TGO,Education,26.994,1972
Togo,TGO,Education,18.405,1973
Togo,TGO,Education,19.632,1974
Togo,TGO,Education,19.632,1975
Togo,TGO,Education,21.472,1976
Togo,TGO,Education,19.018,1977
Togo,TGO,Education,31.288,1978
Togo,TGO,Education,31.902,1979
Togo,TGO,Education,31.288,1980
Togo,TGO,Education,16.564,1981
Togo,TGO,Education,31.288,1982
Togo,TGO,Education,30.675,1983
Togo,TGO,Education,31.288,1984
Togo,TGO,Education,25.767,1985
Togo,TGO,Education,26.380,1986
Togo,TGO,Education,31.288,1987
Togo,TGO,Education,30.675,1988
Togo,TGO,Education,27.607,1989
Togo,TGO,Education,30.675,1990
Togo,TGO,Education,33.129,1991
Togo,TGO,Education,20.245,1992
Togo,TGO,Education,3.067,1993
Togo,TGO,Education,29.448,1994
Togo,TGO,Education,31.288,1995
Togo,TGO,Education,28.221,1996
Togo,TGO,Education,19.018,1997
Togo,TGO,Education,9.202,1998
Togo,TGO,Education,34.969,1999
Togo,TGO,Education,42.331,2000
Togo,TGO,Education,28.221,2001
Togo,TGO,Education,26.994,2002
Togo,TGO,Education,38.650,2003
Togo,TGO,Education,36.196,2004
Togo,TGO,Education,34.969,2005
Togo,TGO,Education,42.331,2006
Togo,TGO,Education,38.037,2007
Togo,TGO,Education,17.178,2008
Togo,TGO,Education,28.221,2009
Togo,TGO,Education,30.061,2010
Togo,TGO,Education,46.626,2011
Togo,TGO,Education,19.018,2012
Togo,TGO,Education,19.018,2013
Togo,TGO,Education,34.969,2014
Togo,TGO,Education,45.399,2015
Togo,TGO,Education,20.859,2016
Togo,TGO,Education,71.779,2017
Togo,TGO,Education,32.515,2018
Togo,TGO,Education,37.423,2019
Togo,TGO,Education,27.607,2020
Togo,TGO,Education,16.564,2021
Togo,TGO,Education,25.153,2022
Togo,TGO,Education,10.429,2023
Togo,TGO,Employment and Time Use,2.920,1960
Togo,TGO,Employment and Time Use,0.000,1961
Togo,TGO,Employment and Time Use,0.000,1962
Togo,TGO,Employment and Time Use,0.000,1963
Togo,TGO,Employment and Time Use,0.000,1964
Togo,TGO,Employment and Time Use,0.000,1965
Togo,TGO,Employment and Time Use,0.000,1966
Togo,TGO,Employment and Time Use,0.000,1967
Togo,TGO,Employment and Time Use,0.000,1968
Togo,TGO,Employment and Time Use,0.000,1969
Togo,TGO,Employment and Time Use,24.088,1970
Togo,TGO,Employment and Time Use,21.168,1971
Togo,TGO,Employment and Time Use,21.168,1972
Togo,TGO,Employment and Time Use,21.168,1973
Togo,TGO,Employment and Time Use,21.168,1974
Togo,TGO,Employment and Time Use,21.168,1975
Togo,TGO,Employment and Time Use,21.168,1976
Togo,TGO,Employment and Time Use,21.168,1977
Togo,TGO,Employment and Time Use,21.168,1978
Togo,TGO,Employment and Time Use,21.168,1979
Togo,TGO,Employment and Time Use,26.277,1980
Togo,TGO,Employment and Time Use,26.277,1981
Togo,TGO,Employment and Time Use,21.168,1982
Togo,TGO,Employment and Time Use,21.168,1983
Togo,TGO,Employment and Time Use,21.168,1984
Togo,TGO,Employment and Time Use,21.168,1985
Togo,TGO,Employment and Time Use,21.168,1986
Togo,TGO,Employment and Time Use,21.168,1987
Togo,TGO,Employment and Time Use,21.168,1988
Togo,TGO,Employment and Time Use,21.168,1989
Togo,TGO,Employment and Time Use,31.387,1990
Togo,TGO,Employment and Time Use,56.204,1991
Togo,TGO,Employment and Time Use,56.204,1992
Togo,TGO,Employment and Time Use,56.204,1993
Togo,TGO,Employment and Time Use,56.204,1994
Togo,TGO,Employment and Time Use,56.204,1995
Togo,TGO,Employment and Time Use,56.204,1996
Togo,TGO,Employment and Time Use,56.204,1997
Togo,TGO,Employment and Time Use,56.934,1998
Togo,TGO,Employment and Time Use,56.204,1999
Togo,TGO,Employment and Time Use,56.204,2000
Togo,TGO,Employment and Time Use,56.204,2001
Togo,TGO,Employment and Time Use,56.204,2002
Togo,TGO,Employment and Time Use,56.204,2003
Togo,TGO,Employment and Time Use,56.204,2004
Togo,TGO,Employment and Time Use,56.204,2005
Togo,TGO,Employment and Time Use,88.321,2006
Togo,TGO,Employment and Time Use,56.204,2007
Togo,TGO,Employment and Time Use,56.204,2008
Togo,TGO,Employment and Time Use,56.204,2009
Togo,TGO,Employment and Time Use,58.394,2010
Togo,TGO,Employment and Time Use,86.861,2011
Togo,TGO,Employment and Time Use,56.204,2012
Togo,TGO,Employment and Time Use,56.204,2013
Togo,TGO,Employment and Time Use,59.854,2014
Togo,TGO,Employment and Time Use,85.401,2015
Togo,TGO,Employment and Time Use,56.204,2016
Togo,TGO,Employment and Time Use,89.781,2017
Togo,TGO,Employment and Time Use,56.204,2018
Togo,TGO,Employment and Time Use,86.131,2019
Togo,TGO,Employment and Time Use,56.204,2020
Togo,TGO,Employment and Time Use,56.204,2021
Togo,TGO,Employment and Time Use,86.131,2022
Togo,TGO,Employment and Time Use,59.124,2023
Togo,TGO,Entrepreneurship,0.000,1960
Togo,TGO,Entrepreneurship,0.000,1961
Togo,TGO,Entrepreneurship,0.000,1962
Togo,TGO,Entrepreneurship,0.000,1963
Togo,TGO,Entrepreneurship,0.000,1964
Togo,TGO,Entrepreneurship,0.000,1965
Togo,TGO,Entrepreneurship,0.000,1966
Togo,TGO,Entrepreneurship,0.000,1967
Togo,TGO,Entrepreneurship,0.000,1968
Togo,TGO,Entrepreneurship,0.000,1969
Togo,TGO,Entrepreneurship,9.375,1970
Togo,TGO,Entrepreneurship,9.375,1971
Togo,TGO,Entrepreneurship,9.375,1972
Togo,TGO,Entrepreneurship,9.375,1973
Togo,TGO,Entrepreneurship,9.375,1974
Togo,TGO,Entrepreneurship,9.375,1975
Togo,TGO,Entrepreneurship,9.375,1976
Togo,TGO,Entrepreneurship,9.375,1977
Togo,TGO,Entrepreneurship,9.375,1978
Togo,TGO,Entrepreneurship,9.375,1979
Togo,TGO,Entrepreneurship,9.375,1980
Togo,TGO,Entrepreneurship,9.375,1981
Togo,TGO,Entrepreneurship,9.375,1982
Togo,TGO,Entrepreneurship,9.375,1983
Togo,TGO,Entrepreneurship,9.375,1984
Togo,TGO,Entrepreneurship,9.375,1985
Togo,TGO,Entrepreneurship,9.375,1986
Togo,TGO,Entrepreneurship,9.375,1987
Togo,TGO,Entrepreneurship,9.375,1988
Togo,TGO,Entrepreneurship,9.375,1989
Togo,TGO,Entrepreneurship,9.375,1990
Togo,TGO,Entrepreneurship,9.375,1991
Togo,TGO,Entrepreneurship,9.375,1992
Togo,TGO,Entrepreneurship,9.375,1993
Togo,TGO,Entrepreneurship,9.375,1994
Togo,TGO,Entrepreneurship,9.375,1995
Togo,TGO,Entrepreneurship,9.375,1996
Togo,TGO,Entrepreneurship,9.375,1997
Togo,TGO,Entrepreneurship,9.375,1998
Togo,TGO,Entrepreneurship,9.375,1999
Togo,TGO,Entrepreneurship,9.375,2000
Togo,TGO,Entrepreneurship,9.375,2001
Togo,TGO,Entrepreneurship,9.375,2002
Togo,TGO,Entrepreneurship,37.500,2003
Togo,TGO,Entrepreneurship,37.500,2004
Togo,TGO,Entrepreneurship,37.500,2005
Togo,TGO,Entrepreneurship,37.500,2006
Togo,TGO,Entrepreneurship,37.500,2007
Togo,TGO,Entrepreneurship,37.500,2008
Togo,TGO,Entrepreneurship,43.750,2009
Togo,TGO,Entrepreneurship,37.500,2010
Togo,TGO,Entrepreneurship,37.500,2011
Togo,TGO,Entrepreneurship,37.500,2012
Togo,TGO,Entrepreneurship,37.500,2013
Togo,TGO,Entrepreneurship,93.750,2014
Togo,TGO,Entrepreneurship,75.000,2015
Togo,TGO,Entrepreneurship,81.250,2016
Togo,TGO,Entrepreneurship,93.750,2017
Togo,TGO,Entrepreneurship,75.000,2018
Togo,TGO,Entrepreneurship,75.000,2019
