Country Name,Country Code,Topic,% of available indicators,Year
Tajikistan,TJK,Assets,0.000,1960
Tajikistan,TJK,Assets,0.000,1961
Tajikistan,TJK,Assets,0.000,1962
Tajikistan,TJK,Assets,0.000,1963
Tajikistan,TJK,Assets,0.000,1964
Tajikistan,TJK,Assets,0.000,1965
Tajikistan,TJK,Assets,0.000,1966
Tajikistan,TJK,Assets,0.000,1967
Tajikistan,TJK,Assets,0.000,1968
Tajikistan,TJK,Assets,0.000,1969
Tajikistan,TJK,Assets,2.208,1970
Tajikistan,TJK,Assets,2.208,1971
Tajikistan,TJK,Assets,2.208,1972
Tajikistan,TJK,Assets,2.208,1973
Tajikistan,TJK,Assets,2.208,1974
Tajikistan,TJK,Assets,2.208,1975
Tajikistan,TJK,Assets,2.208,1976
Tajikistan,TJK,Assets,2.208,1977
Tajikistan,TJK,Assets,2.208,1978
Tajikistan,TJK,Assets,2.208,1979
Tajikistan,TJK,Assets,2.208,1980
Tajikistan,TJK,Assets,2.208,1981
Tajikistan,TJK,Assets,2.208,1982
Tajikistan,TJK,Assets,2.208,1983
Tajikistan,TJK,Assets,2.208,1984
Tajikistan,TJK,Assets,2.208,1985
Tajikistan,TJK,Assets,2.208,1986
Tajikistan,TJK,Assets,2.208,1987
Tajikistan,TJK,Assets,2.208,1988
Tajikistan,TJK,Assets,2.208,1989
Tajikistan,TJK,Assets,2.208,1990
Tajikistan,TJK,Assets,2.208,1991
Tajikistan,TJK,Assets,2.208,1992
Tajikistan,TJK,Assets,2.208,1993
Tajikistan,TJK,Assets,2.208,1994
Tajikistan,TJK,Assets,2.208,1995
Tajikistan,TJK,Assets,2.208,1996
Tajikistan,TJK,Assets,2.208,1997
Tajikistan,TJK,Assets,2.208,1998
Tajikistan,TJK,Assets,2.208,1999
Tajikistan,TJK,Assets,2.208,2000
Tajikistan,TJK,Assets,2.208,2001
Tajikistan,TJK,Assets,2.208,2002
Tajikistan,TJK,Assets,2.208,2003
Tajikistan,TJK,Assets,2.208,2004
Tajikistan,TJK,Assets,2.208,2005
Tajikistan,TJK,Assets,2.208,2006
Tajikistan,TJK,Assets,2.208,2007
Tajikistan,TJK,Assets,2.208,2008
Tajikistan,TJK,Assets,2.208,2009
Tajikistan,TJK,Assets,2.208,2010
Tajikistan,TJK,Assets,11.672,2011
Tajikistan,TJK,Assets,17.350,2012
Tajikistan,TJK,Assets,2.208,2013
Tajikistan,TJK,Assets,31.546,2014
Tajikistan,TJK,Assets,2.208,2015
Tajikistan,TJK,Assets,2.208,2016
Tajikistan,TJK,Assets,40.063,2017
Tajikistan,TJK,Assets,2.208,2018
Tajikistan,TJK,Assets,2.208,2019
Tajikistan,TJK,Assets,2.208,2020
Tajikistan,TJK,Assets,63.091,2021
Tajikistan,TJK,Assets,2.208,2022
Tajikistan,TJK,Assets,2.208,2023
Tajikistan,TJK,Children 0-14,10.769,1960
Tajikistan,TJK,Children 0-14,10.769,1961
Tajikistan,TJK,Children 0-14,10.769,1962
Tajikistan,TJK,Children 0-14,10.769,1963
Tajikistan,TJK,Children 0-14,10.769,1964
Tajikistan,TJK,Children 0-14,10.769,1965
Tajikistan,TJK,Children 0-14,10.769,1966
Tajikistan,TJK,Children 0-14,10.769,1967
Tajikistan,TJK,Children 0-14,10.769,1968
Tajikistan,TJK,Children 0-14,10.769,1969
Tajikistan,TJK,Children 0-14,10.769,1970
Tajikistan,TJK,Children 0-14,10.769,1971
Tajikistan,TJK,Children 0-14,15.385,1972
Tajikistan,TJK,Children 0-14,17.692,1973
Tajikistan,TJK,Children 0-14,17.692,1974
Tajikistan,TJK,Children 0-14,17.692,1975
Tajikistan,TJK,Children 0-14,17.692,1976
Tajikistan,TJK,Children 0-14,19.231,1977
Tajikistan,TJK,Children 0-14,19.231,1978
Tajikistan,TJK,Children 0-14,19.231,1979
Tajikistan,TJK,Children 0-14,19.231,1980
Tajikistan,TJK,Children 0-14,20.000,1981
Tajikistan,TJK,Children 0-14,19.231,1982
Tajikistan,TJK,Children 0-14,19.231,1983
Tajikistan,TJK,Children 0-14,19.231,1984
Tajikistan,TJK,Children 0-14,19.231,1985
Tajikistan,TJK,Children 0-14,19.231,1986
Tajikistan,TJK,Children 0-14,19.231,1987
Tajikistan,TJK,Children 0-14,19.231,1988
Tajikistan,TJK,Children 0-14,23.846,1989
Tajikistan,TJK,Children 0-14,19.231,1990
Tajikistan,TJK,Children 0-14,25.385,1991
Tajikistan,TJK,Children 0-14,26.923,1992
Tajikistan,TJK,Children 0-14,26.923,1993
Tajikistan,TJK,Children 0-14,26.923,1994
Tajikistan,TJK,Children 0-14,29.231,1995
Tajikistan,TJK,Children 0-14,26.923,1996
Tajikistan,TJK,Children 0-14,29.231,1997
Tajikistan,TJK,Children 0-14,26.923,1998
Tajikistan,TJK,Children 0-14,35.385,1999
Tajikistan,TJK,Children 0-14,55.385,2000
Tajikistan,TJK,Children 0-14,36.923,2001
Tajikistan,TJK,Children 0-14,39.231,2002
Tajikistan,TJK,Children 0-14,36.154,2003
Tajikistan,TJK,Children 0-14,34.615,2004
Tajikistan,TJK,Children 0-14,46.923,2005
Tajikistan,TJK,Children 0-14,33.077,2006
Tajikistan,TJK,Children 0-14,46.154,2007
Tajikistan,TJK,Children 0-14,35.385,2008
Tajikistan,TJK,Children 0-14,46.154,2009
Tajikistan,TJK,Children 0-14,57.692,2010
Tajikistan,TJK,Children 0-14,39.231,2011
Tajikistan,TJK,Children 0-14,54.615,2012
Tajikistan,TJK,Children 0-14,34.615,2013
Tajikistan,TJK,Children 0-14,44.615,2014
Tajikistan,TJK,Children 0-14,58.462,2015
Tajikistan,TJK,Children 0-14,58.462,2016
Tajikistan,TJK,Children 0-14,68.462,2017
Tajikistan,TJK,Children 0-14,25.385,2018
Tajikistan,TJK,Children 0-14,34.615,2019
Tajikistan,TJK,Children 0-14,27.692,2020
Tajikistan,TJK,Children 0-14,23.077,2021
Tajikistan,TJK,Children 0-14,23.077,2022
Tajikistan,TJK,Children 0-14,11.538,2023
Tajikistan,TJK,Education,0.000,1960
Tajikistan,TJK,Education,0.000,1961
Tajikistan,TJK,Education,0.000,1962
Tajikistan,TJK,Education,0.000,1963
Tajikistan,TJK,Education,0.000,1964
Tajikistan,TJK,Education,0.000,1965
Tajikistan,TJK,Education,0.000,1966
Tajikistan,TJK,Education,0.000,1967
Tajikistan,TJK,Education,0.000,1968
Tajikistan,TJK,Education,0.000,1969
Tajikistan,TJK,Education,0.000,1970
Tajikistan,TJK,Education,0.000,1971
Tajikistan,TJK,Education,0.000,1972
Tajikistan,TJK,Education,0.000,1973
Tajikistan,TJK,Education,0.000,1974
Tajikistan,TJK,Education,0.000,1975
Tajikistan,TJK,Education,0.000,1976
Tajikistan,TJK,Education,0.000,1977
Tajikistan,TJK,Education,0.000,1978
Tajikistan,TJK,Education,0.000,1979
Tajikistan,TJK,Education,0.000,1980
