Country Name,Country Code,Topic,% of available indicators,Year
Turkmenistan,TKM,Assets,0.000,1960
Turkmenistan,TKM,Assets,0.000,1961
Turkmenistan,TKM,Assets,0.000,1962
Turkmenistan,TKM,Assets,0.000,1963
Turkmenistan,TKM,Assets,0.000,1964
Turkmenistan,TKM,Assets,0.000,1965
Turkmenistan,TKM,Assets,0.000,1966
Turkmenistan,TKM,Assets,0.000,1967
Turkmenistan,TKM,Assets,0.000,1968
Turkmenistan,TKM,Assets,0.000,1969
Turkmenistan,TKM,Assets,0.000,1970
Turkmenistan,TKM,Assets,0.000,1971
Turkmenistan,TKM,Assets,0.000,1972
Turkmenistan,TKM,Assets,0.000,1973
Turkmenistan,TKM,Assets,0.000,1974
Turkmenistan,TKM,Assets,0.000,1975
Turkmenistan,TKM,Assets,0.000,1976
Turkmenistan,TKM,Assets,0.000,1977
Turkmenistan,TKM,Assets,0.000,1978
Turkmenistan,TKM,Assets,0.000,1979
Turkmenistan,TKM,Assets,0.000,1980
Turkmenistan,TKM,Assets,0.000,1981
Turkmenistan,TKM,Assets,0.000,1982
Turkmenistan,TKM,Assets,0.000,1983
Turkmenistan,TKM,Assets,0.000,1984
Turkmenistan,TKM,Assets,0.000,1985
Turkmenistan,TKM,Assets,0.000,1986
Turkmenistan,TKM,Assets,0.000,1987
Turkmenistan,TKM,Assets,0.000,1988
Turkmenistan,TKM,Assets,0.000,1989
Turkmenistan,TKM,Assets,0.000,1990
Turkmenistan,TKM,Assets,0.000,1991
Turkmenistan,TKM,Assets,0.000,1992
Turkmenistan,TKM,Assets,0.000,1993
Turkmenistan,TKM,Assets,0.000,1994
Turkmenistan,TKM,Assets,0.000,1995
Turkmenistan,TKM,Assets,0.000,1996
Turkmenistan,TKM,Assets,0.000,1997
Turkmenistan,TKM,Assets,0.000,1998
Turkmenistan,TKM,Assets,0.000,1999
Turkmenistan,TKM,Assets,0.000,2000
Turkmenistan,TKM,Assets,0.000,2001
Turkmenistan,TKM,Assets,0.000,2002
Turkmenistan,TKM,Assets,0.000,2003
Turkmenistan,TKM,Assets,0.000,2004
Turkmenistan,TKM,Assets,0.000,2005
Turkmenistan,TKM,Assets,0.000,2006
Turkmenistan,TKM,Assets,0.000,2007
Turkmenistan,TKM,Assets,0.000,2008
Turkmenistan,TKM,Assets,0.000,2009
Turkmenistan,TKM,Assets,0.000,2010
Turkmenistan,TKM,Assets,8.517,2011
Turkmenistan,TKM,Assets,0.000,2012
Turkmenistan,TKM,Assets,0.000,2013
Turkmenistan,TKM,Assets,0.000,2014
Turkmenistan,TKM,Assets,0.000,2015
Turkmenistan,TKM,Assets,0.000,2016
Turkmenistan,TKM,Assets,30.915,2017
Turkmenistan,TKM,Assets,0.000,2018
Turkmenistan,TKM,Assets,0.000,2019
Turkmenistan,TKM,Assets,0.000,2020
Turkmenistan,TKM,Assets,0.000,2021
Turkmenistan,TKM,Assets,0.000,2022
Turkmenistan,TKM,Assets,0.000,2023
Turkmenistan,TKM,Children 0-14,10.769,1960
Turkmenistan,TKM,Children 0-14,10.769,1961
Turkmenistan,TKM,Children 0-14,10.769,1962
Turkmenistan,TKM,Children 0-14,10.769,1963
Turkmenistan,TKM,Children 0-14,10.769,1964
Turkmenistan,TKM,Children 0-14,10.769,1965
Turkmenistan,TKM,Children 0-14,10.769,1966
Turkmenistan,TKM,Children 0-14,10.769,1967
Turkmenistan,TKM,Children 0-14,10.769,1968
Turkmenistan,TKM,Children 0-14,10.769,1969
Turkmenistan,TKM,Children 0-14,10.769,1970
Turkmenistan,TKM,Children 0-14,10.769,1971
Turkmenistan,TKM,Children 0-14,10.769,1972
Turkmenistan,TKM,Children 0-14,10.769,1973
Turkmenistan,TKM,Children 0-14,10.769,1974
Turkmenistan,TKM,Children 0-14,10.769,1975
Turkmenistan,TKM,Children 0-14,10.769,1976
Turkmenistan,TKM,Children 0-14,15.385,1977
Turkmenistan,TKM,Children 0-14,17.692,1978
Turkmenistan,TKM,Children 0-14,17.692,1979
Turkmenistan,TKM,Children 0-14,17.692,1980
Turkmenistan,TKM,Children 0-14,17.692,1981
Turkmenistan,TKM,Children 0-14,19.231,1982
Turkmenistan,TKM,Children 0-14,19.231,1983
Turkmenistan,TKM,Children 0-14,19.231,1984
Turkmenistan,TKM,Children 0-14,19.231,1985
