Country Name,Country Code,Topic,% of available indicators,Year
Timor-Leste,TLS,Assets,0.000,1960
Timor-Leste,TLS,Assets,0.000,1961
Timor-Leste,TLS,Assets,0.000,1962
Timor-Leste,TLS,Assets,0.000,1963
Timor-Leste,TLS,Assets,0.000,1964
Timor-Leste,TLS,Assets,0.000,1965
Timor-Leste,TLS,Assets,0.000,1966
Timor-Leste,TLS,Assets,0.000,1967
Timor-Leste,TLS,Assets,0.000,1968
Timor-Leste,TLS,Assets,0.000,1969
Timor-Leste,TLS,Assets,2.208,1970
Timor-Leste,TLS,Assets,2.208,1971
Timor-Leste,TLS,Assets,2.208,1972
Timor-Leste,TLS,Assets,2.208,1973
Timor-Leste,TLS,Assets,2.208,1974
Timor-Leste,TLS,Assets,2.208,1975
Timor-Leste,TLS,Assets,2.208,1976
Timor-Leste,TLS,Assets,2.208,1977
Timor-Leste,TLS,Assets,2.208,1978
Timor-Leste,TLS,Assets,2.208,1979
Timor-Leste,TLS,Assets,2.208,1980
Timor-Leste,TLS,Assets,2.208,1981
Timor-Leste,TLS,Assets,2.208,1982
Timor-Leste,TLS,Assets,2.208,1983
Timor-Leste,TLS,Assets,2.208,1984
Timor-Leste,TLS,Assets,2.208,1985
Timor-Leste,TLS,Assets,2.208,1986
Timor-Leste,TLS,Assets,2.208,1987
Timor-Leste,TLS,Assets,2.208,1988
Timor-Leste,TLS,Assets,2.208,1989
Timor-Leste,TLS,Assets,2.208,1990
Timor-Leste,TLS,Assets,2.208,1991
Timor-Leste,TLS,Assets,2.208,1992
Timor-Leste,TLS,Assets,2.208,1993
Timor-Leste,TLS,Assets,2.208,1994
Timor-Leste,TLS,Assets,2.208,1995
Timor-Leste,TLS,Assets,2.208,1996
Timor-Leste,TLS,Assets,2.208,1997
Timor-Leste,TLS,Assets,2.208,1998
Timor-Leste,TLS,Assets,2.208,1999
Timor-Leste,TLS,Assets,2.208,2000
Timor-Leste,TLS,Assets,2.208,2001
Timor-Leste,TLS,Assets,2.208,2002
Timor-Leste,TLS,Assets,2.208,2003
Timor-Leste,TLS,Assets,2.208,2004
Timor-Leste,TLS,Assets,2.208,2005
Timor-Leste,TLS,Assets,2.208,2006
Timor-Leste,TLS,Assets,2.208,2007
Timor-Leste,TLS,Assets,2.208,2008
Timor-Leste,TLS,Assets,2.208,2009
Timor-Leste,TLS,Assets,2.208,2010
Timor-Leste,TLS,Assets,2.208,2011
Timor-Leste,TLS,Assets,2.208,2012
Timor-Leste,TLS,Assets,2.208,2013
Timor-Leste,TLS,Assets,2.208,2014
Timor-Leste,TLS,Assets,2.208,2015
Timor-Leste,TLS,Assets,32.492,2016
Timor-Leste,TLS,Assets,2.208,2017
Timor-Leste,TLS,Assets,2.208,2018
Timor-Leste,TLS,Assets,2.208,2019
Timor-Leste,TLS,Assets,2.208,2020
Timor-Leste,TLS,Assets,2.208,2021
Timor-Leste,TLS,Assets,2.208,2022
Timor-Leste,TLS,Assets,2.208,2023
Timor-Leste,TLS,Children 0-14,10.769,1960
Timor-Leste,TLS,Children 0-14,10.769,1961
Timor-Leste,TLS,Children 0-14,10.769,1962
Timor-Leste,TLS,Children 0-14,10.769,1963
Timor-Leste,TLS,Children 0-14,10.769,1964
Timor-Leste,TLS,Children 0-14,10.769,1965
Timor-Leste,TLS,Children 0-14,10.769,1966
Timor-Leste,TLS,Children 0-14,10.769,1967
Timor-Leste,TLS,Children 0-14,10.769,1968
Timor-Leste,TLS,Children 0-14,10.769,1969
Timor-Leste,TLS,Children 0-14,10.769,1970
Timor-Leste,TLS,Children 0-14,10.769,1971
Timor-Leste,TLS,Children 0-14,10.769,1972
Timor-Leste,TLS,Children 0-14,10.769,1973
Timor-Leste,TLS,Children 0-14,10.769,1974
Timor-Leste,TLS,Children 0-14,10.769,1975
Timor-Leste,TLS,Children 0-14,10.769,1976
Timor-Leste,TLS,Children 0-14,10.769,1977
Timor-Leste,TLS,Children 0-14,10.769,1978
Timor-Leste,TLS,Children 0-14,10.769,1979
Timor-Leste,TLS,Children 0-14,10.769,1980
Timor-Leste,TLS,Children 0-14,10.769,1981
Timor-Leste,TLS,Children 0-14,10.769,1982
Timor-Leste,TLS,Children 0-14,10.769,1983
Timor-Leste,TLS,Children 0-14,10.769,1984
Timor-Leste,TLS,Children 0-14,15.385,1985
Timor-Leste,TLS,Children 0-14,17.692,1986
Timor-Leste,TLS,Children 0-14,17.692,1987
Timor-Leste,TLS,Children 0-14,17.692,1988
Timor-Leste,TLS,Children 0-14,17.692,1989
Timor-Leste,TLS,Children 0-14,19.231,1990
Timor-Leste,TLS,Children 0-14,19.231,1991
Timor-Leste,TLS,Children 0-14,19.231,1992
Timor-Leste,TLS,Children 0-14,19.231,1993
Timor-Leste,TLS,Children 0-14,19.231,1994
Timor-Leste,TLS,Children 0-14,19.231,1995
Timor-Leste,TLS,Children 0-14,19.231,1996
Timor-Leste,TLS,Children 0-14,19.231,1997
Timor-Leste,TLS,Children 0-14,19.231,1998
Timor-Leste,TLS,Children 0-14,19.231,1999
Timor-Leste,TLS,Children 0-14,33.077,2000
Timor-Leste,TLS,Children 0-14,22.308,2001
Timor-Leste,TLS,Children 0-14,33.846,2002
Timor-Leste,TLS,Children 0-14,24.615,2003
Timor-Leste,TLS,Children 0-14,24.615,2004
Timor-Leste,TLS,Children 0-14,30.000,2005
Timor-Leste,TLS,Children 0-14,20.769,2006
Timor-Leste,TLS,Children 0-14,34.615,2007
Timor-Leste,TLS,Children 0-14,43.846,2008
Timor-Leste,TLS,Children 0-14,56.154,2009
Timor-Leste,TLS,Children 0-14,74.615,2010
Timor-Leste,TLS,Children 0-14,41.538,2011
Timor-Leste,TLS,Children 0-14,41.538,2012
Timor-Leste,TLS,Children 0-14,60.000,2013
Timor-Leste,TLS,Children 0-14,50.769,2014
Timor-Leste,TLS,Children 0-14,57.692,2015
Timor-Leste,TLS,Children 0-14,56.154,2016
Timor-Leste,TLS,Children 0-14,42.308,2017
Timor-Leste,TLS,Children 0-14,48.462,2018
Timor-Leste,TLS,Children 0-14,47.692,2019
Timor-Leste,TLS,Children 0-14,50.000,2020
Timor-Leste,TLS,Children 0-14,30.000,2021
Timor-Leste,TLS,Children 0-14,30.000,2022
Timor-Leste,TLS,Children 0-14,13.846,2023
Timor-Leste,TLS,Education,0.000,1960
Timor-Leste,TLS,Education,0.000,1961
Timor-Leste,TLS,Education,0.000,1962
Timor-Leste,TLS,Education,0.000,1963
Timor-Leste,TLS,Education,0.000,1964
Timor-Leste,TLS,Education,0.000,1965
Timor-Leste,TLS,Education,0.000,1966
Timor-Leste,TLS,Education,0.000,1967
Timor-Leste,TLS,Education,0.000,1968
Timor-Leste,TLS,Education,0.000,1969
Timor-Leste,TLS,Education,0.000,1970
Timor-Leste,TLS,Education,0.000,1971
Timor-Leste,TLS,Education,0.000,1972
Timor-Leste,TLS,Education,0.000,1973
Timor-Leste,TLS,Education,0.000,1974
Timor-Leste,TLS,Education,0.000,1975
Timor-Leste,TLS,Education,0.000,1976
Timor-Leste,TLS,Education,0.000,1977
Timor-Leste,TLS,Education,0.000,1978
Timor-Leste,TLS,Education,0.000,1979
Timor-Leste,TLS,Education,0.000,1980
Timor-Leste,TLS,Education,0.000,1981
Timor-Leste,TLS,Education,0.000,1982
Timor-Leste,TLS,Education,0.000,1983
Timor-Leste,TLS,Education,0.000,1984
Timor-Leste,TLS,Education,0.000,1985
Timor-Leste,TLS,Education,0.000,1986
Timor-Leste,TLS,Education,0.000,1987
Timor-Leste,TLS,Education,0.000,1988
Timor-Leste,TLS,Education,0.000,1989
Timor-Leste,TLS,Education,0.000,1990
Timor-Leste,TLS,Education,0.000,1991
Timor-Leste,TLS,Education,0.000,1992
Timor-Leste,TLS,Education,0.000,1993
Timor-Leste,TLS,Education,0.000,1994
Timor-Leste,TLS,Education,0.000,1995
Timor-Leste,TLS,Education,0.000,1996
Timor-Leste,TLS,Education,0.000,1997
Timor-Leste,TLS,Education,0.000,1998
Timor-Leste,TLS,Education,0.000,1999
Timor-Leste,TLS,Education,0.000,2000
Timor-Leste,TLS,Education,5.521,2001
Timor-Leste,TLS,Education,7.975,2002
Timor-Leste,TLS,Education,3.067,2003
Timor-Leste,TLS,Education,11.043,2004
Timor-Leste,TLS,Education,14.724,2005
Timor-Leste,TLS,Education,0.000,2006
Timor-Leste,TLS,Education,3.681,2007
Timor-Leste,TLS,Education,32.515,2008
Timor-Leste,TLS,Education,42.945,2009
Timor-Leste,TLS,Education,65.644,2010
Timor-Leste,TLS,Education,33.742,2011
Timor-Leste,TLS,Education,32.515,2012
Timor-Leste,TLS,Education,43.558,2013
Timor-Leste,TLS,Education,32.515,2014
Timor-Leste,TLS,Education,38.650,2015
Timor-Leste,TLS,Education,53.988,2016
Timor-Leste,TLS,Education,41.718,2017
Timor-Leste,TLS,Education,46.012,2018
Timor-Leste,TLS,Education,17.791,2019
Timor-Leste,TLS,Education,31.288,2020
Timor-Leste,TLS,Education,20.859,2021
Timor-Leste,TLS,Education,18.405,2022
Timor-Leste,TLS,Education,7.362,2023
Timor-Leste,TLS,Employment and Time Use,0.000,1960
Timor-Leste,TLS,Employment and Time Use,0.000,1961
Timor-Leste,TLS,Employment and Time Use,0.000,1962
Timor-Leste,TLS,Employment and Time Use,0.000,1963
Timor-Leste,TLS,Employment and Time Use,0.000,1964
Timor-Leste,TLS,Employment and Time Use,0.000,1965
Timor-Leste,TLS,Employment and Time Use,0.000,1966
Timor-Leste,TLS,Employment and Time Use,0.000,1967
Timor-Leste,TLS,Employment and Time Use,0.000,1968
Timor-Leste,TLS,Employment and Time Use,0.000,1969
Timor-Leste,TLS,Employment and Time Use,21.168,1970
Timor-Leste,TLS,Employment and Time Use,21.168,1971
Timor-Leste,TLS,Employment and Time Use,21.168,1972
Timor-Leste,TLS,Employment and Time Use,21.168,1973
Timor-Leste,TLS,Employment and Time Use,21.168,1974
Timor-Leste,TLS,Employment and Time Use,21.168,1975
Timor-Leste,TLS,Employment and Time Use,21.168,1976
Timor-Leste,TLS,Employment and Time Use,21.168,1977
Timor-Leste,TLS,Employment and Time Use,21.168,1978
Timor-Leste,TLS,Employment and Time Use,21.168,1979
Timor-Leste,TLS,Employment and Time Use,21.168,1980
Timor-Leste,TLS,Employment and Time Use,21.168,1981
Timor-Leste,TLS,Employment and Time Use,21.168,1982
Timor-Leste,TLS,Employment and Time Use,21.168,1983
Timor-Leste,TLS,Employment and Time Use,21.168,1984
Timor-Leste,TLS,Employment and Time Use,21.168,1985
Timor-Leste,TLS,Employment and Time Use,21.168,1986
Timor-Leste,TLS,Employment and Time Use,21.168,1987
Timor-Leste,TLS,Employment and Time Use,21.168,1988
Timor-Leste,TLS,Employment and Time Use,21.168,1989
Timor-Leste,TLS,Employment and Time Use,31.387,1990
Timor-Leste,TLS,Employment and Time Use,56.204,1991
Timor-Leste,TLS,Employment and Time Use,56.204,1992
Timor-Leste,TLS,Employment and Time Use,56.204,1993
Timor-Leste,TLS,Employment and Time Use,56.204,1994
Timor-Leste,TLS,Employment and Time Use,56.204,1995
Timor-Leste,TLS,Employment and Time Use,56.204,1996
Timor-Leste,TLS,Employment and Time Use,56.204,1997
Timor-Leste,TLS,Employment and Time Use,56.204,1998
Timor-Leste,TLS,Employment and Time Use,56.204,1999
Timor-Leste,TLS,Employment and Time Use,56.204,2000
Timor-Leste,TLS,Employment and Time Use,87.591,2001
Timor-Leste,TLS,Employment and Time Use,56.204,2002
Timor-Leste,TLS,Employment and Time Use,56.204,2003
Timor-Leste,TLS,Employment and Time Use,59.124,2004
Timor-Leste,TLS,Employment and Time Use,56.204,2005
Timor-Leste,TLS,Employment and Time Use,56.204,2006
Timor-Leste,TLS,Employment and Time Use,89.781,2007
Timor-Leste,TLS,Employment and Time Use,56.204,2008
Timor-Leste,TLS,Employment and Time Use,56.204,2009
Timor-Leste,TLS,Employment and Time Use,89.781,2010
Timor-Leste,TLS,Employment and Time Use,56.204,2011
Timor-Leste,TLS,Employment and Time Use,56.204,2012
Timor-Leste,TLS,Employment and Time Use,91.241,2013
Timor-Leste,TLS,Employment and Time Use,56.204,2014
Timor-Leste,TLS,Employment and Time Use,86.861,2015
Timor-Leste,TLS,Employment and Time Use,89.051,2016
Timor-Leste,TLS,Employment and Time Use,56.204,2017
Timor-Leste,TLS,Employment and Time Use,56.204,2018
Timor-Leste,TLS,Employment and Time Use,56.204,2019
Timor-Leste,TLS,Employment and Time Use,56.204,2020
Timor-Leste,TLS,Employment and Time Use,90.511,2021
Timor-Leste,TLS,Employment and Time Use,86.861,2022
Timor-Leste,TLS,Employment and Time Use,59.124,2023
Timor-Leste,TLS,Entrepreneurship,0.000,1960
Timor-Leste,TLS,Entrepreneurship,0.000,1961
Timor-Leste,TLS,Entrepreneurship,0.000,1962
Timor-Leste,TLS,Entrepreneurship,0.000,1963
Timor-Leste,TLS,Entrepreneurship,0.000,1964
Timor-Leste,TLS,Entrepreneurship,0.000,1965
Timor-Leste,TLS,Entrepreneurship,0.000,1966
Timor-Leste,TLS,Entrepreneurship,0.000,1967
Timor-Leste,TLS,Entrepreneurship,0.000,1968
Timor-Leste,TLS,Entrepreneurship,0.000,1969
Timor-Leste,TLS,Entrepreneurship,9.375,1970
Timor-Leste,TLS,Entrepreneurship,9.375,1971
Timor-Leste,TLS,Entrepreneurship,9.375,1972
Timor-Leste,TLS,Entrepreneurship,9.375,1973
Timor-Leste,TLS,Entrepreneurship,9.375,1974
Timor-Leste,TLS,Entrepreneurship,9.375,1975
Timor-Leste,TLS,Entrepreneurship,9.375,1976
Timor-Leste,TLS,Entrepreneurship,9.375,1977
Timor-Leste,TLS,Entrepreneurship,9.375,1978
Timor-Leste,TLS,Entrepreneurship,9.375,1979
Timor-Leste,TLS,Entrepreneurship,9.375,1980
Timor-Leste,TLS,Entrepreneurship,9.375,1981
Timor-Leste,TLS,Entrepreneurship,9.375,1982
Timor-Leste,TLS,Entrepreneurship,9.375,1983
Timor-Leste,TLS,Entrepreneurship,9.375,1984
Timor-Leste,TLS,Entrepreneurship,9.375,1985
Timor-Leste,TLS,Entrepreneurship,9.375,1986
Timor-Leste,TLS,Entrepreneurship,9.375,1987
Timor-Leste,TLS,Entrepreneurship,9.375,1988
Timor-Leste,TLS,Entrepreneurship,9.375,1989
Timor-Leste,TLS,Entrepreneurship,9.375,1990
Timor-Leste,TLS,Entrepreneurship,9.375,1991
Timor-Leste,TLS,Entrepreneurship,9.375,1992
Timor-Leste,TLS,Entrepreneurship,9.375,1993
Timor-Leste,TLS,Entrepreneurship,9.375,1994
Timor-Leste,TLS,Entrepreneurship,9.375,1995
Timor-Leste,TLS,Entrepreneurship,9.375,1996
Timor-Leste,TLS,Entrepreneurship,9.375,1997
Timor-Leste,TLS,Entrepreneurship,9.375,1998
Timor-Leste,TLS,Entrepreneurship,9.375,1999
Timor-Leste,TLS,Entrepreneurship,9.375,2000
Timor-Leste,TLS,Entrepreneurship,9.375,2001
Timor-Leste,TLS,Entrepreneurship,9.375,2002
Timor-Leste,TLS,Entrepreneurship,9.375,2003
Timor-Leste,TLS,Entrepreneurship,37.500,2004
Timor-Leste,TLS,Entrepreneurship,37.500,2005
Timor-Leste,TLS,Entrepreneurship,37.500,2006
Timor-Leste,TLS,Entrepreneurship,37.500,2007
Timor-Leste,TLS,Entrepreneurship,37.500,2008
Timor-Leste,TLS,Entrepreneurship,40.625,2009
Timor-Leste,TLS,Entrepreneurship,37.500,2010
Timor-Leste,TLS,Entrepreneurship,37.500,2011
Timor-Leste,TLS,Entrepreneurship,37.500,2012
Timor-Leste,TLS,Entrepreneurship,37.500,2013
Timor-Leste,TLS,Entrepreneurship,37.500,2014
Timor-Leste,TLS,Entrepreneurship,43.750,2015
Timor-Leste,TLS,Entrepreneurship,37.500,2016
Timor-Leste,TLS,Entrepreneurship,37.500,2017
Timor-Leste,TLS,Entrepreneurship,62.500,2018
Timor-Leste,TLS,Entrepreneurship,62.500,2019
Timor-Leste,TLS,Entrepreneurship,34.375,2020
Timor-Leste,TLS,Entrepreneurship,40.625,2021
Timor-Leste,TLS,Entrepreneurship,46.875,2022
Timor-Leste,TLS,Entrepreneurship,9.375,2023
Timor-Leste,TLS,Environment,0.000,1960
Timor-Leste,TLS,Environment,0.000,1961
Timor-Leste,TLS,Environment,0.000,1962
Timor-Leste,TLS,Environment,0.000,1963
Timor-Leste,TLS,Environment,0.000,1964
Timor-Leste,TLS,Environment,0.000,1965
Timor-Leste,TLS,Environment,0.000,1966
Timor-Leste,TLS,Environment,0.000,1967
Timor-Leste,TLS,Environment,0.000,1968
Timor-Leste,TLS,Environment,0.000,1969
Timor-Leste,TLS,Environment,0.000,1970
Timor-Leste,TLS,Environment,0.000,1971
Timor-Leste,TLS,Environment,0.000,1972
Timor-Leste,TLS,Environment,0.000,1973
Timor-Leste,TLS,Environment,0.000,1974
Timor-Leste,TLS,Environment,0.000,1975
Timor-Leste,TLS,Environment,0.000,1976
Timor-Leste,TLS,Environment,0.000,1977
Timor-Leste,TLS,Environment,0.000,1978
Timor-Leste,TLS,Environment,0.000,1979
Timor-Leste,TLS,Environment,0.000,1980
Timor-Leste,TLS,Environment,0.000,1981
Timor-Leste,TLS,Environment,0.000,1982
Timor-Leste,TLS,Environment,0.000,1983
Timor-Leste,TLS,Environment,0.000,1984
Timor-Leste,TLS,Environment,0.000,1985
Timor-Leste,TLS,Environment,0.000,1986
Timor-Leste,TLS,Environment,0.000,1987
Timor-Leste,TLS,Environment,0.000,1988
Timor-Leste,TLS,Environment,0.000,1989
Timor-Leste,TLS,Environment,0.000,1990
Timor-Leste,TLS,Environment,0.000,1991
Timor-Leste,TLS,Environment,0.000,1992
Timor-Leste,TLS,Environment,0.000,1993
Timor-Leste,TLS,Environment,0.000,1994
Timor-Leste,TLS,Environment,0.000,1995
Timor-Leste,TLS,Environment,0.000,1996
