Country Name,Country Code,Topic,% of available indicators,Year
Tonga,TON,Assets,0.000,1960
Tonga,TON,Assets,0.000,1961
Tonga,TON,Assets,0.000,1962
Tonga,TON,Assets,0.000,1963
Tonga,TON,Assets,0.000,1964
Tonga,TON,Assets,0.000,1965
Tonga,TON,Assets,0.000,1966
Tonga,TON,Assets,0.000,1967
Tonga,TON,Assets,0.000,1968
Tonga,TON,Assets,0.000,1969
Tonga,TON,Assets,2.208,1970
Tonga,TON,Assets,2.208,1971
Tonga,TON,Assets,2.208,1972
Tonga,TON,Assets,2.208,1973
Tonga,TON,Assets,2.208,1974
Tonga,TON,Assets,2.208,1975
Tonga,TON,Assets,2.208,1976
Tonga,TON,Assets,2.208,1977
Tonga,TON,Assets,2.208,1978
Tonga,TON,Assets,2.208,1979
Tonga,TON,Assets,2.208,1980
Tonga,TON,Assets,2.208,1981
Tonga,TON,Assets,2.208,1982
Tonga,TON,Assets,2.208,1983
Tonga,TON,Assets,2.208,1984
Tonga,TON,Assets,2.208,1985
Tonga,TON,Assets,2.208,1986
Tonga,TON,Assets,2.208,1987
Tonga,TON,Assets,2.208,1988
Tonga,TON,Assets,2.208,1989
Tonga,TON,Assets,2.208,1990
Tonga,TON,Assets,2.208,1991
Tonga,TON,Assets,2.208,1992
Tonga,TON,Assets,2.208,1993
Tonga,TON,Assets,2.208,1994
Tonga,TON,Assets,2.208,1995
Tonga,TON,Assets,2.208,1996
Tonga,TON,Assets,2.208,1997
Tonga,TON,Assets,2.208,1998
Tonga,TON,Assets,2.208,1999
Tonga,TON,Assets,2.208,2000
Tonga,TON,Assets,2.208,2001
Tonga,TON,Assets,2.208,2002
Tonga,TON,Assets,2.208,2003
Tonga,TON,Assets,2.208,2004
Tonga,TON,Assets,2.208,2005
Tonga,TON,Assets,2.208,2006
Tonga,TON,Assets,2.208,2007
Tonga,TON,Assets,2.208,2008
Tonga,TON,Assets,2.208,2009
Tonga,TON,Assets,2.208,2010
Tonga,TON,Assets,2.208,2011
Tonga,TON,Assets,2.208,2012
Tonga,TON,Assets,2.208,2013
Tonga,TON,Assets,2.208,2014
Tonga,TON,Assets,2.208,2015
Tonga,TON,Assets,2.208,2016
Tonga,TON,Assets,2.208,2017
Tonga,TON,Assets,2.208,2018
Tonga,TON,Assets,2.208,2019
Tonga,TON,Assets,2.208,2020
Tonga,TON,Assets,2.208,2021
Tonga,TON,Assets,2.208,2022
Tonga,TON,Assets,2.208,2023
Tonga,TON,Children 0-14,10.769,1960
Tonga,TON,Children 0-14,10.769,1961
Tonga,TON,Children 0-14,10.769,1962
Tonga,TON,Children 0-14,15.385,1963
Tonga,TON,Children 0-14,17.692,1964
Tonga,TON,Children 0-14,17.692,1965
Tonga,TON,Children 0-14,17.692,1966
Tonga,TON,Children 0-14,17.692,1967
Tonga,TON,Children 0-14,19.231,1968
Tonga,TON,Children 0-14,19.231,1969
Tonga,TON,Children 0-14,30.769,1970
Tonga,TON,Children 0-14,30.769,1971
Tonga,TON,Children 0-14,30.769,1972
Tonga,TON,Children 0-14,23.077,1973
Tonga,TON,Children 0-14,30.769,1974
Tonga,TON,Children 0-14,33.077,1975
Tonga,TON,Children 0-14,23.077,1976
Tonga,TON,Children 0-14,27.692,1977
Tonga,TON,Children 0-14,30.769,1978
Tonga,TON,Children 0-14,26.154,1979
Tonga,TON,Children 0-14,20.769,1980
Tonga,TON,Children 0-14,27.692,1981
Tonga,TON,Children 0-14,34.615,1982
Tonga,TON,Children 0-14,36.154,1983
Tonga,TON,Children 0-14,34.615,1984
Tonga,TON,Children 0-14,39.231,1985
Tonga,TON,Children 0-14,39.231,1986
Tonga,TON,Children 0-14,21.538,1987
Tonga,TON,Children 0-14,20.769,1988
Tonga,TON,Children 0-14,20.769,1989
Tonga,TON,Children 0-14,35.385,1990
Tonga,TON,Children 0-14,27.692,1991
Tonga,TON,Children 0-14,24.615,1992
Tonga,TON,Children 0-14,37.692,1993
Tonga,TON,Children 0-14,24.615,1994
Tonga,TON,Children 0-14,24.615,1995
Tonga,TON,Children 0-14,26.923,1996
Tonga,TON,Children 0-14,24.615,1997
Tonga,TON,Children 0-14,43.077,1998
Tonga,TON,Children 0-14,45.385,1999
Tonga,TON,Children 0-14,40.769,2000
Tonga,TON,Children 0-14,36.923,2001
