Country Name,Country Code,Topic,% of available indicators,Year
Trinidad and Tobago,TTO,Assets,0.000,1960
Trinidad and Tobago,TTO,Assets,0.000,1961
Trinidad and Tobago,TTO,Assets,0.000,1962
Trinidad and Tobago,TTO,Assets,0.000,1963
Trinidad and Tobago,TTO,Assets,0.000,1964
Trinidad and Tobago,TTO,Assets,0.000,1965
Trinidad and Tobago,TTO,Assets,0.000,1966
Trinidad and Tobago,TTO,Assets,0.000,1967
Trinidad and Tobago,TTO,Assets,0.000,1968
Trinidad and Tobago,TTO,Assets,0.000,1969
Trinidad and Tobago,TTO,Assets,2.208,1970
Trinidad and Tobago,TTO,Assets,2.208,1971
Trinidad and Tobago,TTO,Assets,2.208,1972
Trinidad and Tobago,TTO,Assets,2.208,1973
Trinidad and Tobago,TTO,Assets,2.208,1974
Trinidad and Tobago,TTO,Assets,2.208,1975
Trinidad and Tobago,TTO,Assets,2.208,1976
Trinidad and Tobago,TTO,Assets,2.208,1977
Trinidad and Tobago,TTO,Assets,2.208,1978
Trinidad and Tobago,TTO,Assets,2.208,1979
Trinidad and Tobago,TTO,Assets,2.208,1980
Trinidad and Tobago,TTO,Assets,2.208,1981
Trinidad and Tobago,TTO,Assets,2.208,1982
Trinidad and Tobago,TTO,Assets,2.208,1983
Trinidad and Tobago,TTO,Assets,2.208,1984
Trinidad and Tobago,TTO,Assets,2.208,1985
Trinidad and Tobago,TTO,Assets,2.208,1986
Trinidad and Tobago,TTO,Assets,2.208,1987
Trinidad and Tobago,TTO,Assets,2.208,1988
Trinidad and Tobago,TTO,Assets,2.208,1989
Trinidad and Tobago,TTO,Assets,2.208,1990
Trinidad and Tobago,TTO,Assets,2.208,1991
Trinidad and Tobago,TTO,Assets,2.208,1992
Trinidad and Tobago,TTO,Assets,2.208,1993
Trinidad and Tobago,TTO,Assets,2.208,1994
Trinidad and Tobago,TTO,Assets,2.208,1995
Trinidad and Tobago,TTO,Assets,2.208,1996
Trinidad and Tobago,TTO,Assets,2.208,1997
Trinidad and Tobago,TTO,Assets,2.208,1998
Trinidad and Tobago,TTO,Assets,2.208,1999
Trinidad and Tobago,TTO,Assets,2.208,2000
Trinidad and Tobago,TTO,Assets,2.208,2001
Trinidad and Tobago,TTO,Assets,2.208,2002
Trinidad and Tobago,TTO,Assets,2.208,2003
Trinidad and Tobago,TTO,Assets,2.208,2004
Trinidad and Tobago,TTO,Assets,2.208,2005
Trinidad and Tobago,TTO,Assets,2.208,2006
Trinidad and Tobago,TTO,Assets,2.208,2007
Trinidad and Tobago,TTO,Assets,2.208,2008
Trinidad and Tobago,TTO,Assets,2.208,2009
Trinidad and Tobago,TTO,Assets,2.208,2010
Trinidad and Tobago,TTO,Assets,10.726,2011
Trinidad and Tobago,TTO,Assets,2.208,2012
Trinidad and Tobago,TTO,Assets,2.208,2013
Trinidad and Tobago,TTO,Assets,2.208,2014
Trinidad and Tobago,TTO,Assets,2.208,2015
Trinidad and Tobago,TTO,Assets,2.208,2016
Trinidad and Tobago,TTO,Assets,33.123,2017
Trinidad and Tobago,TTO,Assets,2.208,2018
Trinidad and Tobago,TTO,Assets,2.208,2019
Trinidad and Tobago,TTO,Assets,2.208,2020
Trinidad and Tobago,TTO,Assets,2.208,2021
Trinidad and Tobago,TTO,Assets,2.208,2022
Trinidad and Tobago,TTO,Assets,2.208,2023
Trinidad and Tobago,TTO,Children 0-14,19.231,1960
Trinidad and Tobago,TTO,Children 0-14,19.231,1961
Trinidad and Tobago,TTO,Children 0-14,19.231,1962
Trinidad and Tobago,TTO,Children 0-14,19.231,1963
Trinidad and Tobago,TTO,Children 0-14,19.231,1964
Trinidad and Tobago,TTO,Children 0-14,19.231,1965
Trinidad and Tobago,TTO,Children 0-14,19.231,1966
Trinidad and Tobago,TTO,Children 0-14,19.231,1967
Trinidad and Tobago,TTO,Children 0-14,19.231,1968
Trinidad and Tobago,TTO,Children 0-14,19.231,1969
Trinidad and Tobago,TTO,Children 0-14,21.538,1970
Trinidad and Tobago,TTO,Children 0-14,33.077,1971
Trinidad and Tobago,TTO,Children 0-14,33.077,1972
Trinidad and Tobago,TTO,Children 0-14,30.769,1973
Trinidad and Tobago,TTO,Children 0-14,30.769,1974
Trinidad and Tobago,TTO,Children 0-14,30.769,1975
Trinidad and Tobago,TTO,Children 0-14,30.769,1976
Trinidad and Tobago,TTO,Children 0-14,30.769,1977
Trinidad and Tobago,TTO,Children 0-14,30.769,1978
Trinidad and Tobago,TTO,Children 0-14,30.769,1979
Trinidad and Tobago,TTO,Children 0-14,33.846,1980
