Country Name,Country Code,Topic,% of available indicators,Year
Tunisia,TUN,Assets,0.000,1960
Tunisia,TUN,Assets,0.000,1961
Tunisia,TUN,Assets,0.000,1962
Tunisia,TUN,Assets,0.000,1963
Tunisia,TUN,Assets,0.000,1964
Tunisia,TUN,Assets,0.000,1965
Tunisia,TUN,Assets,0.000,1966
Tunisia,TUN,Assets,0.000,1967
Tunisia,TUN,Assets,0.000,1968
Tunisia,TUN,Assets,0.000,1969
Tunisia,TUN,Assets,2.208,1970
Tunisia,TUN,Assets,2.208,1971
Tunisia,TUN,Assets,2.208,1972
Tunisia,TUN,Assets,2.208,1973
Tunisia,TUN,Assets,2.208,1974
Tunisia,TUN,Assets,2.208,1975
Tunisia,TUN,Assets,2.208,1976
Tunisia,TUN,Assets,2.208,1977
Tunisia,TUN,Assets,2.208,1978
Tunisia,TUN,Assets,2.208,1979
Tunisia,TUN,Assets,2.208,1980
Tunisia,TUN,Assets,2.208,1981
Tunisia,TUN,Assets,2.208,1982
Tunisia,TUN,Assets,2.208,1983
Tunisia,TUN,Assets,2.208,1984
Tunisia,TUN,Assets,2.208,1985
Tunisia,TUN,Assets,2.208,1986
Tunisia,TUN,Assets,2.208,1987
Tunisia,TUN,Assets,2.208,1988
Tunisia,TUN,Assets,2.208,1989
Tunisia,TUN,Assets,2.208,1990
Tunisia,TUN,Assets,2.208,1991
Tunisia,TUN,Assets,2.208,1992
Tunisia,TUN,Assets,2.208,1993
Tunisia,TUN,Assets,2.208,1994
Tunisia,TUN,Assets,2.208,1995
Tunisia,TUN,Assets,2.208,1996
Tunisia,TUN,Assets,2.208,1997
Tunisia,TUN,Assets,2.208,1998
Tunisia,TUN,Assets,2.208,1999
Tunisia,TUN,Assets,2.208,2000
Tunisia,TUN,Assets,2.208,2001
Tunisia,TUN,Assets,2.208,2002
Tunisia,TUN,Assets,2.208,2003
Tunisia,TUN,Assets,2.208,2004
Tunisia,TUN,Assets,2.208,2005
Tunisia,TUN,Assets,2.208,2006
Tunisia,TUN,Assets,2.208,2007
Tunisia,TUN,Assets,2.208,2008
Tunisia,TUN,Assets,2.208,2009
Tunisia,TUN,Assets,2.208,2010
Tunisia,TUN,Assets,2.208,2011
Tunisia,TUN,Assets,2.208,2012
Tunisia,TUN,Assets,2.208,2013
Tunisia,TUN,Assets,31.546,2014
Tunisia,TUN,Assets,2.208,2015
Tunisia,TUN,Assets,2.208,2016
Tunisia,TUN,Assets,34.069,2017
Tunisia,TUN,Assets,2.208,2018
Tunisia,TUN,Assets,2.208,2019
Tunisia,TUN,Assets,2.208,2020
Tunisia,TUN,Assets,63.091,2021
Tunisia,TUN,Assets,2.208,2022
Tunisia,TUN,Assets,2.208,2023
Tunisia,TUN,Children 0-14,10.769,1960
Tunisia,TUN,Children 0-14,10.769,1961
Tunisia,TUN,Children 0-14,15.385,1962
Tunisia,TUN,Children 0-14,17.692,1963
Tunisia,TUN,Children 0-14,17.692,1964
Tunisia,TUN,Children 0-14,17.692,1965
Tunisia,TUN,Children 0-14,17.692,1966
Tunisia,TUN,Children 0-14,19.231,1967
Tunisia,TUN,Children 0-14,19.231,1968
Tunisia,TUN,Children 0-14,19.231,1969
Tunisia,TUN,Children 0-14,19.231,1970
Tunisia,TUN,Children 0-14,32.308,1971
Tunisia,TUN,Children 0-14,24.615,1972
Tunisia,TUN,Children 0-14,26.154,1973
Tunisia,TUN,Children 0-14,24.615,1974
Tunisia,TUN,Children 0-14,34.615,1975
Tunisia,TUN,Children 0-14,27.692,1976
Tunisia,TUN,Children 0-14,27.692,1977
Tunisia,TUN,Children 0-14,35.385,1978
Tunisia,TUN,Children 0-14,37.692,1979
Tunisia,TUN,Children 0-14,40.000,1980
Tunisia,TUN,Children 0-14,37.692,1981
Tunisia,TUN,Children 0-14,38.462,1982
Tunisia,TUN,Children 0-14,39.231,1983
Tunisia,TUN,Children 0-14,41.538,1984
Tunisia,TUN,Children 0-14,39.231,1985
Tunisia,TUN,Children 0-14,34.615,1986
Tunisia,TUN,Children 0-14,33.846,1987
Tunisia,TUN,Children 0-14,43.846,1988
Tunisia,TUN,Children 0-14,36.923,1989
Tunisia,TUN,Children 0-14,40.000,1990
Tunisia,TUN,Children 0-14,37.692,1991
Tunisia,TUN,Children 0-14,38.462,1992
Tunisia,TUN,Children 0-14,39.231,1993
Tunisia,TUN,Children 0-14,39.231,1994
Tunisia,TUN,Children 0-14,39.231,1995
Tunisia,TUN,Children 0-14,41.538,1996
Tunisia,TUN,Children 0-14,40.769,1997
Tunisia,TUN,Children 0-14,32.308,1998
Tunisia,TUN,Children 0-14,39.231,1999
Tunisia,TUN,Children 0-14,58.462,2000
Tunisia,TUN,Children 0-14,44.615,2001
Tunisia,TUN,Children 0-14,41.538,2002
Tunisia,TUN,Children 0-14,40.000,2003
Tunisia,TUN,Children 0-14,39.231,2004
Tunisia,TUN,Children 0-14,42.308,2005
Tunisia,TUN,Children 0-14,53.846,2006
Tunisia,TUN,Children 0-14,48.462,2007
Tunisia,TUN,Children 0-14,49.231,2008
Tunisia,TUN,Children 0-14,46.923,2009
Tunisia,TUN,Children 0-14,63.077,2010
Tunisia,TUN,Children 0-14,46.154,2011
Tunisia,TUN,Children 0-14,53.846,2012
Tunisia,TUN,Children 0-14,44.615,2013
Tunisia,TUN,Children 0-14,45.385,2014
Tunisia,TUN,Children 0-14,56.923,2015
Tunisia,TUN,Children 0-14,43.077,2016
Tunisia,TUN,Children 0-14,46.154,2017
Tunisia,TUN,Children 0-14,60.000,2018
Tunisia,TUN,Children 0-14,39.231,2019
Tunisia,TUN,Children 0-14,33.846,2020
Tunisia,TUN,Children 0-14,31.538,2021
Tunisia,TUN,Children 0-14,30.769,2022
Tunisia,TUN,Children 0-14,16.923,2023
Tunisia,TUN,Education,0.000,1960
Tunisia,TUN,Education,0.000,1961
Tunisia,TUN,Education,0.000,1962
Tunisia,TUN,Education,0.000,1963
Tunisia,TUN,Education,0.000,1964
Tunisia,TUN,Education,0.000,1965
Tunisia,TUN,Education,0.000,1966
Tunisia,TUN,Education,0.000,1967
