Country Name,Country Code,Topic,% of available indicators,Year
Turkiye,TUR,Assets,0.000,1960
Turkiye,TUR,Assets,0.000,1961
Turkiye,TUR,Assets,0.000,1962
Turkiye,TUR,Assets,0.000,1963
Turkiye,TUR,Assets,0.000,1964
Turkiye,TUR,Assets,0.000,1965
Turkiye,TUR,Assets,0.000,1966
Turkiye,TUR,Assets,0.000,1967
Turkiye,TUR,Assets,0.000,1968
Turkiye,TUR,Assets,0.000,1969
Turkiye,TUR,Assets,2.208,1970
Turkiye,TUR,Assets,2.208,1971
Turkiye,TUR,Assets,2.208,1972
Turkiye,TUR,Assets,2.208,1973
Turkiye,TUR,Assets,2.208,1974
Turkiye,TUR,Assets,2.208,1975
Turkiye,TUR,Assets,2.208,1976
Turkiye,TUR,Assets,2.208,1977
Turkiye,TUR,Assets,2.208,1978
Turkiye,TUR,Assets,2.208,1979
Turkiye,TUR,Assets,2.208,1980
Turkiye,TUR,Assets,2.208,1981
Turkiye,TUR,Assets,2.208,1982
Turkiye,TUR,Assets,2.208,1983
Turkiye,TUR,Assets,2.208,1984
Turkiye,TUR,Assets,2.208,1985
Turkiye,TUR,Assets,2.208,1986
Turkiye,TUR,Assets,2.208,1987
Turkiye,TUR,Assets,2.208,1988
Turkiye,TUR,Assets,2.208,1989
Turkiye,TUR,Assets,2.208,1990
Turkiye,TUR,Assets,2.208,1991
Turkiye,TUR,Assets,2.208,1992
Turkiye,TUR,Assets,2.208,1993
Turkiye,TUR,Assets,2.208,1994
Turkiye,TUR,Assets,2.208,1995
Turkiye,TUR,Assets,2.208,1996
Turkiye,TUR,Assets,2.208,1997
Turkiye,TUR,Assets,2.208,1998
Turkiye,TUR,Assets,2.208,1999
Turkiye,TUR,Assets,2.208,2000
Turkiye,TUR,Assets,2.208,2001
Turkiye,TUR,Assets,2.208,2002
Turkiye,TUR,Assets,2.208,2003
Turkiye,TUR,Assets,2.208,2004
Turkiye,TUR,Assets,2.208,2005
Turkiye,TUR,Assets,2.208,2006
Turkiye,TUR,Assets,2.208,2007
Turkiye,TUR,Assets,2.208,2008
Turkiye,TUR,Assets,2.208,2009
Turkiye,TUR,Assets,2.208,2010
Turkiye,TUR,Assets,11.672,2011
Turkiye,TUR,Assets,2.208,2012
Turkiye,TUR,Assets,13.565,2013
Turkiye,TUR,Assets,31.546,2014
Turkiye,TUR,Assets,2.208,2015
Turkiye,TUR,Assets,2.208,2016
Turkiye,TUR,Assets,34.069,2017
Turkiye,TUR,Assets,2.208,2018
Turkiye,TUR,Assets,2.208,2019
Turkiye,TUR,Assets,2.208,2020
Turkiye,TUR,Assets,63.091,2021
Turkiye,TUR,Assets,2.208,2022
Turkiye,TUR,Assets,2.208,2023
Turkiye,TUR,Children 0-14,19.231,1960
Turkiye,TUR,Children 0-14,19.231,1961
Turkiye,TUR,Children 0-14,19.231,1962
Turkiye,TUR,Children 0-14,19.231,1963
Turkiye,TUR,Children 0-14,19.231,1964
Turkiye,TUR,Children 0-14,19.231,1965
Turkiye,TUR,Children 0-14,19.231,1966
Turkiye,TUR,Children 0-14,19.231,1967
Turkiye,TUR,Children 0-14,19.231,1968
Turkiye,TUR,Children 0-14,19.231,1969
Turkiye,TUR,Children 0-14,19.231,1970
Turkiye,TUR,Children 0-14,25.385,1971
Turkiye,TUR,Children 0-14,25.385,1972
Turkiye,TUR,Children 0-14,25.385,1973
Turkiye,TUR,Children 0-14,33.077,1974
Turkiye,TUR,Children 0-14,27.692,1975
Turkiye,TUR,Children 0-14,25.385,1976
Turkiye,TUR,Children 0-14,25.385,1977
Turkiye,TUR,Children 0-14,25.385,1978
Turkiye,TUR,Children 0-14,25.385,1979
Turkiye,TUR,Children 0-14,23.077,1980
Turkiye,TUR,Children 0-14,26.923,1981
Turkiye,TUR,Children 0-14,29.231,1982
Turkiye,TUR,Children 0-14,26.154,1983
Turkiye,TUR,Children 0-14,33.846,1984
Turkiye,TUR,Children 0-14,36.923,1985
Turkiye,TUR,Children 0-14,36.923,1986
Turkiye,TUR,Children 0-14,36.923,1987
Turkiye,TUR,Children 0-14,36.923,1988
Turkiye,TUR,Children 0-14,36.923,1989
Turkiye,TUR,Children 0-14,36.923,1990
Turkiye,TUR,Children 0-14,36.923,1991
Turkiye,TUR,Children 0-14,36.923,1992
Turkiye,TUR,Children 0-14,46.154,1993
Turkiye,TUR,Children 0-14,37.692,1994
Turkiye,TUR,Children 0-14,38.462,1995
Turkiye,TUR,Children 0-14,20.769,1996
Turkiye,TUR,Children 0-14,34.615,1997
Turkiye,TUR,Children 0-14,34.615,1998
Turkiye,TUR,Children 0-14,33.846,1999
Turkiye,TUR,Children 0-14,42.308,2000
Turkiye,TUR,Children 0-14,30.769,2001
Turkiye,TUR,Children 0-14,28.462,2002
Turkiye,TUR,Children 0-14,29.231,2003
Turkiye,TUR,Children 0-14,49.231,2004
Turkiye,TUR,Children 0-14,37.692,2005
Turkiye,TUR,Children 0-14,43.077,2006
Turkiye,TUR,Children 0-14,40.769,2007
Turkiye,TUR,Children 0-14,53.077,2008
Turkiye,TUR,Children 0-14,40.769,2009
