Country Name,Country Code,Topic,% of available indicators,Year
Tuvalu,TUV,Assets,0.000,1960
Tuvalu,TUV,Assets,0.000,1961
Tuvalu,TUV,Assets,0.000,1962
Tuvalu,TUV,Assets,0.000,1963
Tuvalu,TUV,Assets,0.000,1964
Tuvalu,TUV,Assets,0.000,1965
Tuvalu,TUV,Assets,0.000,1966
Tuvalu,TUV,Assets,0.000,1967
Tuvalu,TUV,Assets,0.000,1968
Tuvalu,TUV,Assets,0.000,1969
Tuvalu,TUV,Assets,0.000,1970
Tuvalu,TUV,Assets,0.000,1971
Tuvalu,TUV,Assets,0.000,1972
Tuvalu,TUV,Assets,0.000,1973
Tuvalu,TUV,Assets,0.000,1974
Tuvalu,TUV,Assets,0.000,1975
Tuvalu,TUV,Assets,0.000,1976
Tuvalu,TUV,Assets,0.000,1977
Tuvalu,TUV,Assets,0.000,1978
Tuvalu,TUV,Assets,0.000,1979
Tuvalu,TUV,Assets,0.000,1980
Tuvalu,TUV,Assets,0.000,1981
Tuvalu,TUV,Assets,0.000,1982
Tuvalu,TUV,Assets,0.000,1983
Tuvalu,TUV,Assets,0.000,1984
Tuvalu,TUV,Assets,0.000,1985
Tuvalu,TUV,Assets,0.000,1986
Tuvalu,TUV,Assets,0.000,1987
Tuvalu,TUV,Assets,0.000,1988
Tuvalu,TUV,Assets,0.000,1989
Tuvalu,TUV,Assets,0.000,1990
Tuvalu,TUV,Assets,0.000,1991
Tuvalu,TUV,Assets,0.000,1992
Tuvalu,TUV,Assets,0.000,1993
Tuvalu,TUV,Assets,0.000,1994
Tuvalu,TUV,Assets,0.000,1995
Tuvalu,TUV,Assets,0.000,1996
Tuvalu,TUV,Assets,0.000,1997
Tuvalu,TUV,Assets,0.000,1998
Tuvalu,TUV,Assets,0.000,1999
Tuvalu,TUV,Assets,0.000,2000
Tuvalu,TUV,Assets,0.000,2001
Tuvalu,TUV,Assets,0.000,2002
Tuvalu,TUV,Assets,0.000,2003
Tuvalu,TUV,Assets,0.000,2004
Tuvalu,TUV,Assets,0.000,2005
Tuvalu,TUV,Assets,0.000,2006
