Country Name,Country Code,Topic,% of available indicators,Year
Uganda,UGA,Assets,0.000,1960
Uganda,UGA,Assets,0.000,1961
Uganda,UGA,Assets,0.000,1962
Uganda,UGA,Assets,0.000,1963
Uganda,UGA,Assets,0.000,1964
Uganda,UGA,Assets,0.000,1965
Uganda,UGA,Assets,0.000,1966
Uganda,UGA,Assets,0.000,1967
Uganda,UGA,Assets,0.000,1968
Uganda,UGA,Assets,0.000,1969
Uganda,UGA,Assets,2.208,1970
Uganda,UGA,Assets,2.208,1971
Uganda,UGA,Assets,2.208,1972
Uganda,UGA,Assets,2.208,1973
Uganda,UGA,Assets,2.208,1974
Uganda,UGA,Assets,2.208,1975
Uganda,UGA,Assets,2.208,1976
Uganda,UGA,Assets,2.208,1977
Uganda,UGA,Assets,2.208,1978
Uganda,UGA,Assets,2.208,1979
Uganda,UGA,Assets,2.208,1980
Uganda,UGA,Assets,2.208,1981
Uganda,UGA,Assets,2.208,1982
Uganda,UGA,Assets,2.208,1983
Uganda,UGA,Assets,2.208,1984
Uganda,UGA,Assets,2.208,1985
Uganda,UGA,Assets,2.208,1986
Uganda,UGA,Assets,2.208,1987
Uganda,UGA,Assets,2.208,1988
Uganda,UGA,Assets,2.208,1989
Uganda,UGA,Assets,2.208,1990
Uganda,UGA,Assets,2.208,1991
Uganda,UGA,Assets,2.208,1992
Uganda,UGA,Assets,2.208,1993
Uganda,UGA,Assets,2.208,1994
Uganda,UGA,Assets,2.208,1995
Uganda,UGA,Assets,2.208,1996
Uganda,UGA,Assets,2.208,1997
Uganda,UGA,Assets,2.208,1998
Uganda,UGA,Assets,2.208,1999
Uganda,UGA,Assets,2.208,2000
Uganda,UGA,Assets,2.208,2001
Uganda,UGA,Assets,2.208,2002
Uganda,UGA,Assets,2.208,2003
Uganda,UGA,Assets,2.208,2004
Uganda,UGA,Assets,2.208,2005
Uganda,UGA,Assets,2.208,2006
Uganda,UGA,Assets,2.208,2007
Uganda,UGA,Assets,2.208,2008
Uganda,UGA,Assets,2.208,2009
Uganda,UGA,Assets,2.208,2010
Uganda,UGA,Assets,41.956,2011
Uganda,UGA,Assets,2.208,2012
Uganda,UGA,Assets,2.208,2013
Uganda,UGA,Assets,31.546,2014
Uganda,UGA,Assets,2.208,2015
Uganda,UGA,Assets,32.492,2016
Uganda,UGA,Assets,34.069,2017
Uganda,UGA,Assets,2.208,2018
Uganda,UGA,Assets,2.208,2019
Uganda,UGA,Assets,2.208,2020
Uganda,UGA,Assets,63.091,2021
Uganda,UGA,Assets,2.208,2022
Uganda,UGA,Assets,2.208,2023
Uganda,UGA,Children 0-14,19.231,1960
Uganda,UGA,Children 0-14,19.231,1961
Uganda,UGA,Children 0-14,19.231,1962
Uganda,UGA,Children 0-14,19.231,1963
Uganda,UGA,Children 0-14,19.231,1964
Uganda,UGA,Children 0-14,19.231,1965
Uganda,UGA,Children 0-14,19.231,1966
Uganda,UGA,Children 0-14,19.231,1967
Uganda,UGA,Children 0-14,19.231,1968
Uganda,UGA,Children 0-14,19.231,1969
Uganda,UGA,Children 0-14,23.077,1970
Uganda,UGA,Children 0-14,23.077,1971
Uganda,UGA,Children 0-14,23.077,1972
Uganda,UGA,Children 0-14,20.000,1973
Uganda,UGA,Children 0-14,23.077,1974
Uganda,UGA,Children 0-14,24.615,1975
Uganda,UGA,Children 0-14,25.385,1976
Uganda,UGA,Children 0-14,23.846,1977
Uganda,UGA,Children 0-14,23.077,1978
Uganda,UGA,Children 0-14,32.308,1979
Uganda,UGA,Children 0-14,23.077,1980
Uganda,UGA,Children 0-14,33.846,1981
Uganda,UGA,Children 0-14,35.385,1982
Uganda,UGA,Children 0-14,24.615,1983
Uganda,UGA,Children 0-14,24.615,1984
Uganda,UGA,Children 0-14,26.154,1985
Uganda,UGA,Children 0-14,35.385,1986
Uganda,UGA,Children 0-14,24.615,1987
Uganda,UGA,Children 0-14,36.154,1988
Uganda,UGA,Children 0-14,24.615,1989
Uganda,UGA,Children 0-14,24.615,1990
Uganda,UGA,Children 0-14,26.923,1991
Uganda,UGA,Children 0-14,24.615,1992
Uganda,UGA,Children 0-14,24.615,1993
Uganda,UGA,Children 0-14,24.615,1994
Uganda,UGA,Children 0-14,36.923,1995
Uganda,UGA,Children 0-14,24.615,1996
Uganda,UGA,Children 0-14,24.615,1997
Uganda,UGA,Children 0-14,26.154,1998
Uganda,UGA,Children 0-14,25.385,1999
Uganda,UGA,Children 0-14,54.615,2000
Uganda,UGA,Children 0-14,34.615,2001
Uganda,UGA,Children 0-14,38.462,2002
Uganda,UGA,Children 0-14,31.538,2003
Uganda,UGA,Children 0-14,36.923,2004
Uganda,UGA,Children 0-14,30.000,2005
Uganda,UGA,Children 0-14,51.538,2006
Uganda,UGA,Children 0-14,34.615,2007
Uganda,UGA,Children 0-14,43.077,2008
Uganda,UGA,Children 0-14,49.231,2009
Uganda,UGA,Children 0-14,69.231,2010
Uganda,UGA,Children 0-14,70.000,2011
Uganda,UGA,Children 0-14,55.385,2012
Uganda,UGA,Children 0-14,40.000,2013
Uganda,UGA,Children 0-14,52.308,2014
Uganda,UGA,Children 0-14,60.769,2015
Uganda,UGA,Children 0-14,65.385,2016
Uganda,UGA,Children 0-14,49.231,2017
Uganda,UGA,Children 0-14,36.923,2018
Uganda,UGA,Children 0-14,39.231,2019
Uganda,UGA,Children 0-14,36.923,2020
Uganda,UGA,Children 0-14,25.385,2021
Uganda,UGA,Children 0-14,20.769,2022
Uganda,UGA,Children 0-14,9.231,2023
Uganda,UGA,Education,0.000,1960
Uganda,UGA,Education,0.000,1961
Uganda,UGA,Education,0.000,1962
Uganda,UGA,Education,0.000,1963
Uganda,UGA,Education,0.000,1964
Uganda,UGA,Education,0.000,1965
Uganda,UGA,Education,0.000,1966
Uganda,UGA,Education,0.000,1967
Uganda,UGA,Education,0.000,1968
Uganda,UGA,Education,0.000,1969
Uganda,UGA,Education,7.975,1970
Uganda,UGA,Education,6.135,1971
Uganda,UGA,Education,5.521,1972
Uganda,UGA,Education,3.067,1973
Uganda,UGA,Education,8.589,1974
Uganda,UGA,Education,17.791,1975
Uganda,UGA,Education,17.791,1976
Uganda,UGA,Education,15.337,1977
Uganda,UGA,Education,11.656,1978
Uganda,UGA,Education,22.086,1979
Uganda,UGA,Education,7.975,1980
Uganda,UGA,Education,22.086,1981
Uganda,UGA,Education,24.540,1982
Uganda,UGA,Education,5.521,1983
Uganda,UGA,Education,5.521,1984
Uganda,UGA,Education,9.816,1985
Uganda,UGA,Education,23.313,1986
Uganda,UGA,Education,6.135,1987
Uganda,UGA,Education,8.589,1988
Uganda,UGA,Education,5.521,1989
Uganda,UGA,Education,14.724,1990
Uganda,UGA,Education,20.859,1991
Uganda,UGA,Education,14.724,1992
Uganda,UGA,Education,9.202,1993
Uganda,UGA,Education,15.337,1994
Uganda,UGA,Education,10.429,1995
Uganda,UGA,Education,6.135,1996
Uganda,UGA,Education,9.816,1997
Uganda,UGA,Education,6.135,1998
Uganda,UGA,Education,19.018,1999
Uganda,UGA,Education,22.086,2000
Uganda,UGA,Education,14.110,2001
Uganda,UGA,Education,33.129,2002
Uganda,UGA,Education,14.110,2003
Uganda,UGA,Education,44.172,2004
Uganda,UGA,Education,8.589,2005
Uganda,UGA,Education,20.245,2006
Uganda,UGA,Education,23.926,2007
Uganda,UGA,Education,34.356,2008
Uganda,UGA,Education,20.859,2009
Uganda,UGA,Education,53.988,2010
Uganda,UGA,Education,42.331,2011
Uganda,UGA,Education,44.785,2012
Uganda,UGA,Education,27.607,2013
Uganda,UGA,Education,37.423,2014
Uganda,UGA,Education,19.018,2015
Uganda,UGA,Education,38.037,2016
Uganda,UGA,Education,42.331,2017
Uganda,UGA,Education,6.748,2018
Uganda,UGA,Education,11.656,2019
Uganda,UGA,Education,4.294,2020
Uganda,UGA,Education,17.178,2021
Uganda,UGA,Education,4.908,2022
Uganda,UGA,Education,0.613,2023
Uganda,UGA,Employment and Time Use,0.000,1960
Uganda,UGA,Employment and Time Use,0.000,1961
Uganda,UGA,Employment and Time Use,0.000,1962
Uganda,UGA,Employment and Time Use,0.000,1963
Uganda,UGA,Employment and Time Use,0.000,1964
Uganda,UGA,Employment and Time Use,0.000,1965
Uganda,UGA,Employment and Time Use,0.000,1966
Uganda,UGA,Employment and Time Use,0.000,1967
Uganda,UGA,Employment and Time Use,0.000,1968
Uganda,UGA,Employment and Time Use,0.000,1969
Uganda,UGA,Employment and Time Use,21.168,1970
Uganda,UGA,Employment and Time Use,21.168,1971
Uganda,UGA,Employment and Time Use,21.168,1972
Uganda,UGA,Employment and Time Use,21.168,1973
Uganda,UGA,Employment and Time Use,21.168,1974
Uganda,UGA,Employment and Time Use,21.168,1975
Uganda,UGA,Employment and Time Use,21.168,1976
Uganda,UGA,Employment and Time Use,21.168,1977
Uganda,UGA,Employment and Time Use,21.168,1978
Uganda,UGA,Employment and Time Use,21.168,1979
Uganda,UGA,Employment and Time Use,21.168,1980
Uganda,UGA,Employment and Time Use,21.168,1981
Uganda,UGA,Employment and Time Use,21.168,1982
Uganda,UGA,Employment and Time Use,21.168,1983
Uganda,UGA,Employment and Time Use,21.168,1984
Uganda,UGA,Employment and Time Use,21.168,1985
Uganda,UGA,Employment and Time Use,21.168,1986
Uganda,UGA,Employment and Time Use,21.168,1987
Uganda,UGA,Employment and Time Use,21.168,1988
Uganda,UGA,Employment and Time Use,21.168,1989
Uganda,UGA,Employment and Time Use,31.387,1990
Uganda,UGA,Employment and Time Use,56.204,1991
Uganda,UGA,Employment and Time Use,56.204,1992
Uganda,UGA,Employment and Time Use,56.204,1993
Uganda,UGA,Employment and Time Use,56.204,1994
Uganda,UGA,Employment and Time Use,56.204,1995
Uganda,UGA,Employment and Time Use,56.204,1996
Uganda,UGA,Employment and Time Use,56.204,1997
Uganda,UGA,Employment and Time Use,56.204,1998
Uganda,UGA,Employment and Time Use,56.204,1999
Uganda,UGA,Employment and Time Use,56.204,2000
Uganda,UGA,Employment and Time Use,56.204,2001
Uganda,UGA,Employment and Time Use,63.504,2002
Uganda,UGA,Employment and Time Use,63.504,2003
Uganda,UGA,Employment and Time Use,56.204,2004
Uganda,UGA,Employment and Time Use,60.584,2005
Uganda,UGA,Employment and Time Use,58.394,2006
Uganda,UGA,Employment and Time Use,56.204,2007
Uganda,UGA,Employment and Time Use,56.204,2008
Uganda,UGA,Employment and Time Use,62.044,2009
Uganda,UGA,Employment and Time Use,89.051,2010
Uganda,UGA,Employment and Time Use,89.051,2011
Uganda,UGA,Employment and Time Use,94.161,2012
Uganda,UGA,Employment and Time Use,79.562,2013
Uganda,UGA,Employment and Time Use,90.511,2014
Uganda,UGA,Employment and Time Use,56.204,2015
Uganda,UGA,Employment and Time Use,56.204,2016
Uganda,UGA,Employment and Time Use,91.971,2017
Uganda,UGA,Employment and Time Use,57.664,2018
Uganda,UGA,Employment and Time Use,89.781,2019
Uganda,UGA,Employment and Time Use,56.204,2020
Uganda,UGA,Employment and Time Use,90.511,2021
Uganda,UGA,Employment and Time Use,56.204,2022
Uganda,UGA,Employment and Time Use,59.124,2023
Uganda,UGA,Entrepreneurship,0.000,1960
Uganda,UGA,Entrepreneurship,0.000,1961
Uganda,UGA,Entrepreneurship,0.000,1962
Uganda,UGA,Entrepreneurship,0.000,1963
Uganda,UGA,Entrepreneurship,0.000,1964
Uganda,UGA,Entrepreneurship,0.000,1965
Uganda,UGA,Entrepreneurship,0.000,1966
Uganda,UGA,Entrepreneurship,0.000,1967
Uganda,UGA,Entrepreneurship,0.000,1968
Uganda,UGA,Entrepreneurship,0.000,1969
Uganda,UGA,Entrepreneurship,9.375,1970
Uganda,UGA,Entrepreneurship,9.375,1971
Uganda,UGA,Entrepreneurship,9.375,1972
Uganda,UGA,Entrepreneurship,9.375,1973
Uganda,UGA,Entrepreneurship,9.375,1974
Uganda,UGA,Entrepreneurship,9.375,1975
Uganda,UGA,Entrepreneurship,9.375,1976
Uganda,UGA,Entrepreneurship,9.375,1977
Uganda,UGA,Entrepreneurship,9.375,1978
Uganda,UGA,Entrepreneurship,9.375,1979
Uganda,UGA,Entrepreneurship,9.375,1980
Uganda,UGA,Entrepreneurship,9.375,1981
Uganda,UGA,Entrepreneurship,9.375,1982
Uganda,UGA,Entrepreneurship,9.375,1983
Uganda,UGA,Entrepreneurship,9.375,1984
Uganda,UGA,Entrepreneurship,9.375,1985
Uganda,UGA,Entrepreneurship,9.375,1986
Uganda,UGA,Entrepreneurship,9.375,1987
Uganda,UGA,Entrepreneurship,9.375,1988
Uganda,UGA,Entrepreneurship,9.375,1989
Uganda,UGA,Entrepreneurship,9.375,1990
Uganda,UGA,Entrepreneurship,9.375,1991
Uganda,UGA,Entrepreneurship,9.375,1992
Uganda,UGA,Entrepreneurship,9.375,1993
Uganda,UGA,Entrepreneurship,9.375,1994
Uganda,UGA,Entrepreneurship,9.375,1995
Uganda,UGA,Entrepreneurship,9.375,1996
Uganda,UGA,Entrepreneurship,9.375,1997
Uganda,UGA,Entrepreneurship,9.375,1998
Uganda,UGA,Entrepreneurship,9.375,1999
Uganda,UGA,Entrepreneurship,9.375,2000
Uganda,UGA,Entrepreneurship,9.375,2001
Uganda,UGA,Entrepreneurship,9.375,2002
Uganda,UGA,Entrepreneurship,37.500,2003
Uganda,UGA,Entrepreneurship,37.500,2004
Uganda,UGA,Entrepreneurship,37.500,2005
Uganda,UGA,Entrepreneurship,40.625,2006
Uganda,UGA,Entrepreneurship,37.500,2007
Uganda,UGA,Entrepreneurship,37.500,2008
Uganda,UGA,Entrepreneurship,37.500,2009
Uganda,UGA,Entrepreneurship,37.500,2010
Uganda,UGA,Entrepreneurship,37.500,2011
Uganda,UGA,Entrepreneurship,37.500,2012
Uganda,UGA,Entrepreneurship,43.750,2013
Uganda,UGA,Entrepreneurship,56.250,2014
Uganda,UGA,Entrepreneurship,37.500,2015
Uganda,UGA,Entrepreneurship,37.500,2016
Uganda,UGA,Entrepreneurship,56.250,2017
Uganda,UGA,Entrepreneurship,37.500,2018
Uganda,UGA,Entrepreneurship,37.500,2019
Uganda,UGA,Entrepreneurship,9.375,2020
Uganda,UGA,Entrepreneurship,9.375,2021
Uganda,UGA,Entrepreneurship,9.375,2022
Uganda,UGA,Entrepreneurship,9.375,2023
Uganda,UGA,Environment,0.000,1960
Uganda,UGA,Environment,0.000,1961
Uganda,UGA,Environment,0.000,1962
Uganda,UGA,Environment,0.000,1963
Uganda,UGA,Environment,0.000,1964
Uganda,UGA,Environment,0.000,1965
Uganda,UGA,Environment,0.000,1966
Uganda,UGA,Environment,0.000,1967
Uganda,UGA,Environment,0.000,1968
Uganda,UGA,Environment,0.000,1969
Uganda,UGA,Environment,0.000,1970
Uganda,UGA,Environment,0.000,1971
Uganda,UGA,Environment,0.000,1972
Uganda,UGA,Environment,0.000,1973
Uganda,UGA,Environment,0.000,1974
Uganda,UGA,Environment,0.000,1975
Uganda,UGA,Environment,0.000,1976
Uganda,UGA,Environment,0.000,1977
Uganda,UGA,Environment,0.000,1978
Uganda,UGA,Environment,0.000,1979
Uganda,UGA,Environment,0.000,1980
Uganda,UGA,Environment,0.000,1981
Uganda,UGA,Environment,0.000,1982
Uganda,UGA,Environment,0.000,1983
Uganda,UGA,Environment,0.000,1984
Uganda,UGA,Environment,0.000,1985
Uganda,UGA,Environment,0.000,1986
Uganda,UGA,Environment,0.000,1987
Uganda,UGA,Environment,0.000,1988
Uganda,UGA,Environment,0.000,1989
Uganda,UGA,Environment,0.000,1990
Uganda,UGA,Environment,0.000,1991
Uganda,UGA,Environment,0.000,1992
Uganda,UGA,Environment,0.000,1993
Uganda,UGA,Environment,0.000,1994
Uganda,UGA,Environment,10.000,1995
Uganda,UGA,Environment,0.000,1996
Uganda,UGA,Environment,0.000,1997
Uganda,UGA,Environment,0.000,1998
Uganda,UGA,Environment,3.333,1999
Uganda,UGA,Environment,13.333,2000
Uganda,UGA,Environment,36.667,2001
Uganda,UGA,Environment,10.000,2002
Uganda,UGA,Environment,10.000,2003
Uganda,UGA,Environment,13.333,2004
Uganda,UGA,Environment,10.000,2005
Uganda,UGA,Environment,53.333,2006
Uganda,UGA,Environment,10.000,2007
Uganda,UGA,Environment,10.000,2008
Uganda,UGA,Environment,26.667,2009
Uganda,UGA,Environment,10.000,2010
Uganda,UGA,Environment,50.000,2011
Uganda,UGA,Environment,10.000,2012
Uganda,UGA,Environment,10.000,2013
Uganda,UGA,Environment,20.000,2014
Uganda,UGA,Environment,40.000,2015
Uganda,UGA,Environment,53.333,2016
Uganda,UGA,Environment,30.000,2017
Uganda,UGA,Environment,10.000,2018
Uganda,UGA,Environment,60.000,2019
Uganda,UGA,Environment,10.000,2020
Uganda,UGA,Environment,20.000,2021
Uganda,UGA,Environment,10.000,2022
Uganda,UGA,Environment,0.000,2023
Uganda,UGA,Health,8.586,1960
Uganda,UGA,Health,8.586,1961
Uganda,UGA,Health,8.586,1962
Uganda,UGA,Health,8.586,1963
Uganda,UGA,Health,8.586,1964
Uganda,UGA,Health,8.586,1965
Uganda,UGA,Health,8.586,1966
Uganda,UGA,Health,8.586,1967
Uganda,UGA,Health,8.586,1968
Uganda,UGA,Health,8.586,1969
Uganda,UGA,Health,8.586,1970
Uganda,UGA,Health,8.586,1971
Uganda,UGA,Health,8.586,1972
Uganda,UGA,Health,8.586,1973
Uganda,UGA,Health,8.586,1974
Uganda,UGA,Health,11.111,1975
Uganda,UGA,Health,11.111,1976
Uganda,UGA,Health,11.111,1977
Uganda,UGA,Health,11.111,1978
Uganda,UGA,Health,11.111,1979
Uganda,UGA,Health,11.111,1980
Uganda,UGA,Health,12.121,1981
Uganda,UGA,Health,12.121,1982
Uganda,UGA,Health,12.121,1983
Uganda,UGA,Health,12.121,1984
Uganda,UGA,Health,12.121,1985
Uganda,UGA,Health,12.121,1986
Uganda,UGA,Health,12.121,1987
Uganda,UGA,Health,19.697,1988
Uganda,UGA,Health,17.172,1989
Uganda,UGA,Health,16.667,1990
Uganda,UGA,Health,16.667,1991
Uganda,UGA,Health,16.667,1992
Uganda,UGA,Health,16.667,1993
Uganda,UGA,Health,16.667,1994
Uganda,UGA,Health,31.818,1995
Uganda,UGA,Health,16.667,1996
Uganda,UGA,Health,16.667,1997
Uganda,UGA,Health,16.667,1998
Uganda,UGA,Health,16.667,1999
Uganda,UGA,Health,64.646,2000
Uganda,UGA,Health,49.495,2001
Uganda,UGA,Health,31.818,2002
Uganda,UGA,Health,31.818,2003
Uganda,UGA,Health,31.818,2004
Uganda,UGA,Health,37.374,2005
Uganda,UGA,Health,61.616,2006
Uganda,UGA,Health,31.818,2007
Uganda,UGA,Health,31.818,2008
Uganda,UGA,Health,40.909,2009
Uganda,UGA,Health,60.606,2010
Uganda,UGA,Health,61.616,2011
Uganda,UGA,Health,39.394,2012
Uganda,UGA,Health,32.323,2013
Uganda,UGA,Health,42.929,2014
Uganda,UGA,Health,64.141,2015
Uganda,UGA,Health,62.121,2016
Uganda,UGA,Health,40.909,2017
Uganda,UGA,Health,46.465,2018
Uganda,UGA,Health,59.091,2019
Uganda,UGA,Health,37.374,2020
Uganda,UGA,Health,21.717,2021
Uganda,UGA,Health,17.677,2022
Uganda,UGA,Health,1.010,2023
Uganda,UGA,Leadership,0.000,1960
Uganda,UGA,Leadership,0.000,1961
Uganda,UGA,Leadership,0.000,1962
Uganda,UGA,Leadership,0.000,1963
Uganda,UGA,Leadership,0.000,1964
Uganda,UGA,Leadership,0.000,1965
Uganda,UGA,Leadership,0.000,1966
Uganda,UGA,Leadership,0.000,1967
Uganda,UGA,Leadership,0.000,1968
Uganda,UGA,Leadership,0.000,1969
Uganda,UGA,Leadership,0.000,1970
Uganda,UGA,Leadership,0.000,1971
Uganda,UGA,Leadership,0.000,1972
Uganda,UGA,Leadership,0.000,1973
Uganda,UGA,Leadership,0.000,1974
Uganda,UGA,Leadership,0.000,1975
Uganda,UGA,Leadership,0.000,1976
Uganda,UGA,Leadership,0.000,1977
Uganda,UGA,Leadership,0.000,1978
Uganda,UGA,Leadership,0.000,1979
Uganda,UGA,Leadership,0.000,1980
Uganda,UGA,Leadership,0.000,1981
Uganda,UGA,Leadership,0.000,1982
Uganda,UGA,Leadership,0.000,1983
Uganda,UGA,Leadership,0.000,1984
Uganda,UGA,Leadership,0.000,1985
Uganda,UGA,Leadership,0.000,1986
Uganda,UGA,Leadership,0.000,1987
Uganda,UGA,Leadership,0.000,1988
Uganda,UGA,Leadership,0.000,1989
Uganda,UGA,Leadership,0.000,1990
Uganda,UGA,Leadership,0.000,1991
Uganda,UGA,Leadership,0.000,1992
Uganda,UGA,Leadership,0.000,1993
Uganda,UGA,Leadership,0.000,1994
Uganda,UGA,Leadership,0.000,1995
Uganda,UGA,Leadership,0.000,1996
Uganda,UGA,Leadership,25.000,1997
Uganda,UGA,Leadership,25.000,1998
Uganda,UGA,Leadership,25.000,1999
Uganda,UGA,Leadership,25.000,2000
Uganda,UGA,Leadership,25.000,2001
Uganda,UGA,Leadership,25.000,2002
Uganda,UGA,Leadership,25.000,2003
Uganda,UGA,Leadership,25.000,2004
Uganda,UGA,Leadership,50.000,2005
Uganda,UGA,Leadership,25.000,2006
Uganda,UGA,Leadership,25.000,2007
Uganda,UGA,Leadership,50.000,2008
Uganda,UGA,Leadership,25.000,2009
Uganda,UGA,Leadership,50.000,2010
Uganda,UGA,Leadership,25.000,2011
Uganda,UGA,Leadership,75.000,2012
Uganda,UGA,Leadership,50.000,2013
Uganda,UGA,Leadership,75.000,2014
Uganda,UGA,Leadership,50.000,2015
Uganda,UGA,Leadership,50.000,2016
Uganda,UGA,Leadership,50.000,2017
Uganda,UGA,Leadership,50.000,2018
Uganda,UGA,Leadership,75.000,2019
Uganda,UGA,Leadership,50.000,2020
Uganda,UGA,Leadership,50.000,2021
Uganda,UGA,Leadership,50.000,2022
Uganda,UGA,Leadership,25.000,2023
Uganda,UGA,Norms and Decision-making,0.000,1960
Uganda,UGA,Norms and Decision-making,0.000,1961
Uganda,UGA,Norms and Decision-making,0.000,1962
Uganda,UGA,Norms and Decision-making,0.000,1963
Uganda,UGA,Norms and Decision-making,0.000,1964
Uganda,UGA,Norms and Decision-making,0.000,1965
Uganda,UGA,Norms and Decision-making,0.000,1966
Uganda,UGA,Norms and Decision-making,0.000,1967
Uganda,UGA,Norms and Decision-making,0.000,1968
Uganda,UGA,Norms and Decision-making,0.000,1969
Uganda,UGA,Norms and Decision-making,12.593,1970
Uganda,UGA,Norms and Decision-making,12.593,1971
Uganda,UGA,Norms and Decision-making,12.593,1972
Uganda,UGA,Norms and Decision-making,12.593,1973
Uganda,UGA,Norms and Decision-making,12.593,1974
Uganda,UGA,Norms and Decision-making,12.593,1975
Uganda,UGA,Norms and Decision-making,12.593,1976
Uganda,UGA,Norms and Decision-making,12.593,1977
Uganda,UGA,Norms and Decision-making,12.593,1978
Uganda,UGA,Norms and Decision-making,12.593,1979
Uganda,UGA,Norms and Decision-making,12.593,1980
Uganda,UGA,Norms and Decision-making,12.593,1981
Uganda,UGA,Norms and Decision-making,12.593,1982
Uganda,UGA,Norms and Decision-making,12.593,1983
Uganda,UGA,Norms and Decision-making,12.593,1984
Uganda,UGA,Norms and Decision-making,12.593,1985
Uganda,UGA,Norms and Decision-making,12.593,1986
Uganda,UGA,Norms and Decision-making,12.593,1987
Uganda,UGA,Norms and Decision-making,12.593,1988
Uganda,UGA,Norms and Decision-making,17.778,1989
Uganda,UGA,Norms and Decision-making,12.593,1990
Uganda,UGA,Norms and Decision-making,14.074,1991
Uganda,UGA,Norms and Decision-making,12.593,1992
Uganda,UGA,Norms and Decision-making,12.593,1993
Uganda,UGA,Norms and Decision-making,12.593,1994
Uganda,UGA,Norms and Decision-making,22.963,1995
Uganda,UGA,Norms and Decision-making,12.593,1996
Uganda,UGA,Norms and Decision-making,12.593,1997
Uganda,UGA,Norms and Decision-making,12.593,1998
Uganda,UGA,Norms and Decision-making,12.593,1999
Uganda,UGA,Norms and Decision-making,12.593,2000
Uganda,UGA,Norms and Decision-making,95.556,2001
Uganda,UGA,Norms and Decision-making,14.074,2002
Uganda,UGA,Norms and Decision-making,12.593,2003
Uganda,UGA,Norms and Decision-making,12.593,2004
Uganda,UGA,Norms and Decision-making,20.000,2005
Uganda,UGA,Norms and Decision-making,82.963,2006
Uganda,UGA,Norms and Decision-making,12.593,2007
Uganda,UGA,Norms and Decision-making,12.593,2008
Uganda,UGA,Norms and Decision-making,12.593,2009
Uganda,UGA,Norms and Decision-making,12.593,2010
Uganda,UGA,Norms and Decision-making,74.074,2011
Uganda,UGA,Norms and Decision-making,12.593,2012
Uganda,UGA,Norms and Decision-making,12.593,2013
Uganda,UGA,Norms and Decision-making,12.593,2014
Uganda,UGA,Norms and Decision-making,12.593,2015
Uganda,UGA,Norms and Decision-making,73.333,2016
Uganda,UGA,Norms and Decision-making,14.074,2017
Uganda,UGA,Norms and Decision-making,12.593,2018
Uganda,UGA,Norms and Decision-making,12.593,2019
Uganda,UGA,Norms and Decision-making,12.593,2020
Uganda,UGA,Norms and Decision-making,12.593,2021
Uganda,UGA,Norms and Decision-making,12.593,2022
Uganda,UGA,Norms and Decision-making,12.593,2023
Uganda,UGA,Population,86.905,1960
Uganda,UGA,Population,86.905,1961
Uganda,UGA,Population,86.905,1962
Uganda,UGA,Population,86.905,1963
Uganda,UGA,Population,86.905,1964
Uganda,UGA,Population,86.905,1965
Uganda,UGA,Population,86.905,1966
Uganda,UGA,Population,86.905,1967
Uganda,UGA,Population,86.905,1968
Uganda,UGA,Population,86.905,1969
Uganda,UGA,Population,86.905,1970
Uganda,UGA,Population,86.905,1971
Uganda,UGA,Population,86.905,1972
Uganda,UGA,Population,86.905,1973
Uganda,UGA,Population,86.905,1974
Uganda,UGA,Population,86.905,1975
Uganda,UGA,Population,86.905,1976
Uganda,UGA,Population,86.905,1977
Uganda,UGA,Population,86.905,1978
Uganda,UGA,Population,86.905,1979
Uganda,UGA,Population,91.667,1980
Uganda,UGA,Population,86.905,1981
Uganda,UGA,Population,86.905,1982
Uganda,UGA,Population,86.905,1983
Uganda,UGA,Population,86.905,1984
Uganda,UGA,Population,91.667,1985
Uganda,UGA,Population,86.905,1986
Uganda,UGA,Population,86.905,1987
Uganda,UGA,Population,86.905,1988
Uganda,UGA,Population,88.095,1989
Uganda,UGA,Population,92.857,1990
Uganda,UGA,Population,89.286,1991
Uganda,UGA,Population,86.905,1992
Uganda,UGA,Population,86.905,1993
Uganda,UGA,Population,86.905,1994
Uganda,UGA,Population,96.429,1995
Uganda,UGA,Population,86.905,1996
Uganda,UGA,Population,86.905,1997
Uganda,UGA,Population,86.905,1998
Uganda,UGA,Population,86.905,1999
Uganda,UGA,Population,92.857,2000
Uganda,UGA,Population,90.476,2001
Uganda,UGA,Population,89.286,2002
Uganda,UGA,Population,86.905,2003
Uganda,UGA,Population,86.905,2004
Uganda,UGA,Population,96.429,2005
Uganda,UGA,Population,94.048,2006
Uganda,UGA,Population,86.905,2007
Uganda,UGA,Population,86.905,2008
Uganda,UGA,Population,88.095,2009
Uganda,UGA,Population,92.857,2010
Uganda,UGA,Population,94.048,2011
Uganda,UGA,Population,86.905,2012
Uganda,UGA,Population,86.905,2013
Uganda,UGA,Population,86.905,2014
Uganda,UGA,Population,94.048,2015
Uganda,UGA,Population,94.048,2016
Uganda,UGA,Population,86.905,2017
Uganda,UGA,Population,86.905,2018
Uganda,UGA,Population,88.095,2019
