Country Name,Country Code,Topic,% of available indicators,Year
Ukraine,UKR,Assets,0.000,1960
Ukraine,UKR,Assets,0.000,1961
Ukraine,UKR,Assets,0.000,1962
Ukraine,UKR,Assets,0.000,1963
Ukraine,UKR,Assets,0.000,1964
Ukraine,UKR,Assets,0.000,1965
Ukraine,UKR,Assets,0.000,1966
Ukraine,UKR,Assets,0.000,1967
Ukraine,UKR,Assets,0.000,1968
Ukraine,UKR,Assets,0.000,1969
Ukraine,UKR,Assets,2.208,1970
Ukraine,UKR,Assets,2.208,1971
Ukraine,UKR,Assets,2.208,1972
Ukraine,UKR,Assets,2.208,1973
Ukraine,UKR,Assets,2.208,1974
Ukraine,UKR,Assets,2.208,1975
Ukraine,UKR,Assets,2.208,1976
Ukraine,UKR,Assets,2.208,1977
Ukraine,UKR,Assets,2.208,1978
Ukraine,UKR,Assets,2.208,1979
Ukraine,UKR,Assets,2.208,1980
Ukraine,UKR,Assets,2.208,1981
Ukraine,UKR,Assets,2.208,1982
Ukraine,UKR,Assets,2.208,1983
Ukraine,UKR,Assets,2.208,1984
Ukraine,UKR,Assets,2.208,1985
Ukraine,UKR,Assets,2.208,1986
Ukraine,UKR,Assets,2.208,1987
Ukraine,UKR,Assets,2.208,1988
Ukraine,UKR,Assets,2.208,1989
Ukraine,UKR,Assets,2.208,1990
Ukraine,UKR,Assets,2.208,1991
Ukraine,UKR,Assets,2.208,1992
Ukraine,UKR,Assets,2.208,1993
Ukraine,UKR,Assets,2.208,1994
Ukraine,UKR,Assets,2.208,1995
Ukraine,UKR,Assets,2.208,1996
Ukraine,UKR,Assets,2.208,1997
Ukraine,UKR,Assets,2.208,1998
Ukraine,UKR,Assets,2.208,1999
Ukraine,UKR,Assets,2.208,2000
Ukraine,UKR,Assets,2.208,2001
Ukraine,UKR,Assets,2.208,2002
Ukraine,UKR,Assets,2.208,2003
Ukraine,UKR,Assets,2.208,2004
Ukraine,UKR,Assets,2.208,2005
Ukraine,UKR,Assets,2.208,2006
Ukraine,UKR,Assets,2.208,2007
Ukraine,UKR,Assets,2.208,2008
Ukraine,UKR,Assets,2.208,2009
Ukraine,UKR,Assets,2.208,2010
Ukraine,UKR,Assets,11.672,2011
Ukraine,UKR,Assets,2.208,2012
Ukraine,UKR,Assets,2.208,2013
Ukraine,UKR,Assets,30.599,2014
Ukraine,UKR,Assets,2.208,2015
Ukraine,UKR,Assets,2.208,2016
Ukraine,UKR,Assets,33.123,2017
Ukraine,UKR,Assets,2.208,2018
Ukraine,UKR,Assets,2.208,2019
Ukraine,UKR,Assets,2.208,2020
Ukraine,UKR,Assets,61.199,2021
Ukraine,UKR,Assets,2.208,2022
Ukraine,UKR,Assets,2.208,2023
Ukraine,UKR,Children 0-14,10.769,1960
Ukraine,UKR,Children 0-14,10.769,1961
Ukraine,UKR,Children 0-14,10.769,1962
Ukraine,UKR,Children 0-14,10.769,1963
Ukraine,UKR,Children 0-14,10.769,1964
Ukraine,UKR,Children 0-14,10.769,1965
Ukraine,UKR,Children 0-14,10.769,1966
Ukraine,UKR,Children 0-14,10.769,1967
Ukraine,UKR,Children 0-14,10.769,1968
Ukraine,UKR,Children 0-14,10.769,1969
Ukraine,UKR,Children 0-14,13.077,1970
Ukraine,UKR,Children 0-14,19.231,1971
Ukraine,UKR,Children 0-14,21.538,1972
Ukraine,UKR,Children 0-14,21.538,1973
Ukraine,UKR,Children 0-14,21.538,1974
Ukraine,UKR,Children 0-14,18.462,1975
Ukraine,UKR,Children 0-14,23.077,1976
Ukraine,UKR,Children 0-14,23.077,1977
Ukraine,UKR,Children 0-14,23.077,1978
Ukraine,UKR,Children 0-14,23.077,1979
Ukraine,UKR,Children 0-14,23.077,1980
Ukraine,UKR,Children 0-14,21.538,1981
Ukraine,UKR,Children 0-14,23.077,1982
Ukraine,UKR,Children 0-14,23.077,1983
Ukraine,UKR,Children 0-14,23.077,1984
Ukraine,UKR,Children 0-14,23.077,1985
Ukraine,UKR,Children 0-14,23.077,1986
Ukraine,UKR,Children 0-14,20.000,1987
Ukraine,UKR,Children 0-14,23.077,1988
Ukraine,UKR,Children 0-14,21.538,1989
Ukraine,UKR,Children 0-14,24.615,1990
Ukraine,UKR,Children 0-14,24.615,1991
