Country Name,Country Code,Topic,% of available indicators,Year
Uruguay,URY,Assets,0.000,1960
Uruguay,URY,Assets,0.000,1961
Uruguay,URY,Assets,0.000,1962
Uruguay,URY,Assets,0.000,1963
Uruguay,URY,Assets,0.000,1964
Uruguay,URY,Assets,0.000,1965
Uruguay,URY,Assets,0.000,1966
Uruguay,URY,Assets,0.000,1967
Uruguay,URY,Assets,0.000,1968
Uruguay,URY,Assets,0.000,1969
Uruguay,URY,Assets,2.208,1970
Uruguay,URY,Assets,2.208,1971
Uruguay,URY,Assets,2.208,1972
Uruguay,URY,Assets,2.208,1973
Uruguay,URY,Assets,2.208,1974
Uruguay,URY,Assets,2.208,1975
Uruguay,URY,Assets,2.208,1976
Uruguay,URY,Assets,2.208,1977
Uruguay,URY,Assets,2.208,1978
Uruguay,URY,Assets,2.208,1979
Uruguay,URY,Assets,2.208,1980
Uruguay,URY,Assets,2.208,1981
Uruguay,URY,Assets,2.208,1982
Uruguay,URY,Assets,2.208,1983
Uruguay,URY,Assets,2.208,1984
Uruguay,URY,Assets,2.208,1985
Uruguay,URY,Assets,2.208,1986
Uruguay,URY,Assets,2.208,1987
Uruguay,URY,Assets,2.208,1988
Uruguay,URY,Assets,2.208,1989
Uruguay,URY,Assets,2.208,1990
Uruguay,URY,Assets,2.208,1991
Uruguay,URY,Assets,2.208,1992
Uruguay,URY,Assets,2.208,1993
Uruguay,URY,Assets,2.208,1994
Uruguay,URY,Assets,2.208,1995
Uruguay,URY,Assets,2.208,1996
Uruguay,URY,Assets,2.208,1997
Uruguay,URY,Assets,2.208,1998
Uruguay,URY,Assets,2.208,1999
Uruguay,URY,Assets,2.208,2000
Uruguay,URY,Assets,2.208,2001
Uruguay,URY,Assets,2.208,2002
Uruguay,URY,Assets,2.208,2003
Uruguay,URY,Assets,2.208,2004
Uruguay,URY,Assets,2.208,2005
Uruguay,URY,Assets,2.208,2006
Uruguay,URY,Assets,2.208,2007
Uruguay,URY,Assets,2.208,2008
Uruguay,URY,Assets,2.208,2009
Uruguay,URY,Assets,2.208,2010
Uruguay,URY,Assets,11.672,2011
Uruguay,URY,Assets,2.208,2012
Uruguay,URY,Assets,2.208,2013
Uruguay,URY,Assets,31.546,2014
Uruguay,URY,Assets,2.208,2015
Uruguay,URY,Assets,2.208,2016
Uruguay,URY,Assets,33.123,2017
Uruguay,URY,Assets,2.208,2018
Uruguay,URY,Assets,2.208,2019
Uruguay,URY,Assets,2.208,2020
Uruguay,URY,Assets,58.360,2021
Uruguay,URY,Assets,2.208,2022
Uruguay,URY,Assets,2.208,2023
Uruguay,URY,Children 0-14,19.231,1960
Uruguay,URY,Children 0-14,19.231,1961
Uruguay,URY,Children 0-14,19.231,1962
Uruguay,URY,Children 0-14,19.231,1963
Uruguay,URY,Children 0-14,19.231,1964
Uruguay,URY,Children 0-14,19.231,1965
Uruguay,URY,Children 0-14,19.231,1966
Uruguay,URY,Children 0-14,19.231,1967
Uruguay,URY,Children 0-14,19.231,1968
Uruguay,URY,Children 0-14,19.231,1969
Uruguay,URY,Children 0-14,24.615,1970
Uruguay,URY,Children 0-14,24.615,1971
Uruguay,URY,Children 0-14,24.615,1972
Uruguay,URY,Children 0-14,24.615,1973
Uruguay,URY,Children 0-14,28.462,1974
Uruguay,URY,Children 0-14,28.462,1975
Uruguay,URY,Children 0-14,26.923,1976
Uruguay,URY,Children 0-14,28.462,1977
Uruguay,URY,Children 0-14,28.462,1978
Uruguay,URY,Children 0-14,28.462,1979
Uruguay,URY,Children 0-14,28.462,1980
Uruguay,URY,Children 0-14,25.385,1981
Uruguay,URY,Children 0-14,22.308,1982
Uruguay,URY,Children 0-14,28.462,1983
Uruguay,URY,Children 0-14,34.615,1984
Uruguay,URY,Children 0-14,36.923,1985
Uruguay,URY,Children 0-14,34.615,1986
Uruguay,URY,Children 0-14,34.615,1987
Uruguay,URY,Children 0-14,30.000,1988
Uruguay,URY,Children 0-14,31.538,1989
Uruguay,URY,Children 0-14,30.000,1990
Uruguay,URY,Children 0-14,39.231,1991
Uruguay,URY,Children 0-14,39.231,1992
Uruguay,URY,Children 0-14,39.231,1993
Uruguay,URY,Children 0-14,39.231,1994
Uruguay,URY,Children 0-14,39.231,1995
Uruguay,URY,Children 0-14,41.538,1996
Uruguay,URY,Children 0-14,39.231,1997
Uruguay,URY,Children 0-14,36.923,1998
Uruguay,URY,Children 0-14,40.000,1999
Uruguay,URY,Children 0-14,48.462,2000
Uruguay,URY,Children 0-14,36.923,2001
Uruguay,URY,Children 0-14,45.385,2002
Uruguay,URY,Children 0-14,45.385,2003
Uruguay,URY,Children 0-14,48.462,2004
Uruguay,URY,Children 0-14,41.538,2005
Uruguay,URY,Children 0-14,52.308,2006
Uruguay,URY,Children 0-14,51.538,2007
Uruguay,URY,Children 0-14,49.231,2008
Uruguay,URY,Children 0-14,48.462,2009
Uruguay,URY,Children 0-14,62.308,2010
Uruguay,URY,Children 0-14,53.846,2011
Uruguay,URY,Children 0-14,47.692,2012
Uruguay,URY,Children 0-14,62.308,2013
Uruguay,URY,Children 0-14,50.000,2014
Uruguay,URY,Children 0-14,60.769,2015
Uruguay,URY,Children 0-14,50.769,2016
Uruguay,URY,Children 0-14,43.846,2017
Uruguay,URY,Children 0-14,49.231,2018
Uruguay,URY,Children 0-14,50.769,2019
Uruguay,URY,Children 0-14,33.846,2020
Uruguay,URY,Children 0-14,35.385,2021
