Country Name,Country Code,Topic,% of available indicators,Year
United States,USA,Assets,0.000,1960
United States,USA,Assets,0.000,1961
United States,USA,Assets,0.000,1962
United States,USA,Assets,0.000,1963
United States,USA,Assets,0.000,1964
United States,USA,Assets,0.000,1965
United States,USA,Assets,0.000,1966
United States,USA,Assets,0.000,1967
United States,USA,Assets,0.000,1968
United States,USA,Assets,0.000,1969
United States,USA,Assets,2.208,1970
United States,USA,Assets,2.208,1971
United States,USA,Assets,2.208,1972
United States,USA,Assets,2.208,1973
United States,USA,Assets,2.208,1974
United States,USA,Assets,2.208,1975
United States,USA,Assets,2.208,1976
United States,USA,Assets,2.208,1977
United States,USA,Assets,2.208,1978
United States,USA,Assets,2.208,1979
United States,USA,Assets,2.208,1980
United States,USA,Assets,2.208,1981
United States,USA,Assets,2.208,1982
United States,USA,Assets,2.208,1983
United States,USA,Assets,2.208,1984
United States,USA,Assets,2.208,1985
United States,USA,Assets,2.208,1986
United States,USA,Assets,2.208,1987
United States,USA,Assets,2.208,1988
United States,USA,Assets,2.208,1989
United States,USA,Assets,2.208,1990
United States,USA,Assets,2.208,1991
United States,USA,Assets,2.208,1992
United States,USA,Assets,2.208,1993
United States,USA,Assets,2.208,1994
United States,USA,Assets,2.208,1995
United States,USA,Assets,2.208,1996
United States,USA,Assets,2.208,1997
United States,USA,Assets,2.208,1998
United States,USA,Assets,2.208,1999
United States,USA,Assets,2.208,2000
United States,USA,Assets,2.208,2001
United States,USA,Assets,2.208,2002
United States,USA,Assets,2.208,2003
United States,USA,Assets,2.208,2004
United States,USA,Assets,2.208,2005
United States,USA,Assets,2.208,2006
United States,USA,Assets,2.208,2007
United States,USA,Assets,2.208,2008
United States,USA,Assets,2.208,2009
United States,USA,Assets,2.208,2010
United States,USA,Assets,10.726,2011
United States,USA,Assets,2.208,2012
United States,USA,Assets,2.208,2013
United States,USA,Assets,24.921,2014
United States,USA,Assets,2.208,2015
United States,USA,Assets,2.208,2016
United States,USA,Assets,26.814,2017
United States,USA,Assets,2.208,2018
United States,USA,Assets,2.208,2019
United States,USA,Assets,2.208,2020
United States,USA,Assets,51.104,2021
United States,USA,Assets,2.208,2022
United States,USA,Assets,2.208,2023
United States,USA,Children 0-14,19.231,1960
United States,USA,Children 0-14,19.231,1961
United States,USA,Children 0-14,19.231,1962
United States,USA,Children 0-14,19.231,1963
United States,USA,Children 0-14,19.231,1964
United States,USA,Children 0-14,19.231,1965
United States,USA,Children 0-14,19.231,1966
United States,USA,Children 0-14,19.231,1967
United States,USA,Children 0-14,19.231,1968
United States,USA,Children 0-14,19.231,1969
United States,USA,Children 0-14,23.846,1970
United States,USA,Children 0-14,20.769,1971
United States,USA,Children 0-14,20.769,1972
United States,USA,Children 0-14,20.000,1973
United States,USA,Children 0-14,20.769,1974
United States,USA,Children 0-14,22.308,1975
