Country Name,Country Code,Topic,% of available indicators,Year
Uzbekistan,UZB,Assets,0.000,1960
Uzbekistan,UZB,Assets,0.000,1961
Uzbekistan,UZB,Assets,0.000,1962
Uzbekistan,UZB,Assets,0.000,1963
Uzbekistan,UZB,Assets,0.000,1964
Uzbekistan,UZB,Assets,0.000,1965
Uzbekistan,UZB,Assets,0.000,1966
Uzbekistan,UZB,Assets,0.000,1967
Uzbekistan,UZB,Assets,0.000,1968
Uzbekistan,UZB,Assets,0.000,1969
Uzbekistan,UZB,Assets,2.208,1970
Uzbekistan,UZB,Assets,2.208,1971
Uzbekistan,UZB,Assets,2.208,1972
Uzbekistan,UZB,Assets,2.208,1973
Uzbekistan,UZB,Assets,2.208,1974
Uzbekistan,UZB,Assets,2.208,1975
Uzbekistan,UZB,Assets,2.208,1976
Uzbekistan,UZB,Assets,2.208,1977
Uzbekistan,UZB,Assets,2.208,1978
Uzbekistan,UZB,Assets,2.208,1979
Uzbekistan,UZB,Assets,2.208,1980
Uzbekistan,UZB,Assets,2.208,1981
Uzbekistan,UZB,Assets,2.208,1982
Uzbekistan,UZB,Assets,2.208,1983
Uzbekistan,UZB,Assets,2.208,1984
Uzbekistan,UZB,Assets,2.208,1985
Uzbekistan,UZB,Assets,2.208,1986
Uzbekistan,UZB,Assets,2.208,1987
Uzbekistan,UZB,Assets,2.208,1988
Uzbekistan,UZB,Assets,2.208,1989
Uzbekistan,UZB,Assets,2.208,1990
Uzbekistan,UZB,Assets,2.208,1991
Uzbekistan,UZB,Assets,2.208,1992
Uzbekistan,UZB,Assets,2.208,1993
Uzbekistan,UZB,Assets,2.208,1994
Uzbekistan,UZB,Assets,2.208,1995
Uzbekistan,UZB,Assets,2.208,1996
Uzbekistan,UZB,Assets,2.208,1997
Uzbekistan,UZB,Assets,2.208,1998
Uzbekistan,UZB,Assets,2.208,1999
Uzbekistan,UZB,Assets,2.208,2000
Uzbekistan,UZB,Assets,2.208,2001
Uzbekistan,UZB,Assets,2.208,2002
Uzbekistan,UZB,Assets,2.208,2003
Uzbekistan,UZB,Assets,2.208,2004
Uzbekistan,UZB,Assets,2.208,2005
Uzbekistan,UZB,Assets,2.208,2006
Uzbekistan,UZB,Assets,2.208,2007
Uzbekistan,UZB,Assets,2.208,2008
Uzbekistan,UZB,Assets,2.208,2009
Uzbekistan,UZB,Assets,2.208,2010
Uzbekistan,UZB,Assets,11.672,2011
Uzbekistan,UZB,Assets,2.208,2012
Uzbekistan,UZB,Assets,2.208,2013
Uzbekistan,UZB,Assets,30.599,2014
Uzbekistan,UZB,Assets,2.208,2015
Uzbekistan,UZB,Assets,2.208,2016
Uzbekistan,UZB,Assets,33.123,2017
Uzbekistan,UZB,Assets,2.208,2018
Uzbekistan,UZB,Assets,2.208,2019
Uzbekistan,UZB,Assets,2.208,2020
Uzbekistan,UZB,Assets,61.199,2021
Uzbekistan,UZB,Assets,2.208,2022
Uzbekistan,UZB,Assets,2.208,2023
Uzbekistan,UZB,Children 0-14,10.769,1960
