Country Name,Country Code,Topic,% of available indicators,Year
St. Vincent and the Grenadines,VCT,Assets,0.000,1960
St. Vincent and the Grenadines,VCT,Assets,0.000,1961
St. Vincent and the Grenadines,VCT,Assets,0.000,1962
St. Vincent and the Grenadines,VCT,Assets,0.000,1963
St. Vincent and the Grenadines,VCT,Assets,0.000,1964
St. Vincent and the Grenadines,VCT,Assets,0.000,1965
St. Vincent and the Grenadines,VCT,Assets,0.000,1966
St. Vincent and the Grenadines,VCT,Assets,0.000,1967
St. Vincent and the Grenadines,VCT,Assets,0.000,1968
St. Vincent and the Grenadines,VCT,Assets,0.000,1969
St. Vincent and the Grenadines,VCT,Assets,2.208,1970
St. Vincent and the Grenadines,VCT,Assets,2.208,1971
St. Vincent and the Grenadines,VCT,Assets,2.208,1972
St. Vincent and the Grenadines,VCT,Assets,2.208,1973
St. Vincent and the Grenadines,VCT,Assets,2.208,1974
St. Vincent and the Grenadines,VCT,Assets,2.208,1975
St. Vincent and the Grenadines,VCT,Assets,2.208,1976
St. Vincent and the Grenadines,VCT,Assets,2.208,1977
St. Vincent and the Grenadines,VCT,Assets,2.208,1978
St. Vincent and the Grenadines,VCT,Assets,2.208,1979
St. Vincent and the Grenadines,VCT,Assets,2.208,1980
St. Vincent and the Grenadines,VCT,Assets,2.208,1981
St. Vincent and the Grenadines,VCT,Assets,2.208,1982
St. Vincent and the Grenadines,VCT,Assets,2.208,1983
St. Vincent and the Grenadines,VCT,Assets,2.208,1984
St. Vincent and the Grenadines,VCT,Assets,2.208,1985
St. Vincent and the Grenadines,VCT,Assets,2.208,1986
St. Vincent and the Grenadines,VCT,Assets,2.208,1987
St. Vincent and the Grenadines,VCT,Assets,2.208,1988
St. Vincent and the Grenadines,VCT,Assets,2.208,1989
St. Vincent and the Grenadines,VCT,Assets,2.208,1990
St. Vincent and the Grenadines,VCT,Assets,2.208,1991
St. Vincent and the Grenadines,VCT,Assets,2.208,1992
St. Vincent and the Grenadines,VCT,Assets,2.208,1993
St. Vincent and the Grenadines,VCT,Assets,2.208,1994
St. Vincent and the Grenadines,VCT,Assets,2.208,1995
St. Vincent and the Grenadines,VCT,Assets,2.208,1996
St. Vincent and the Grenadines,VCT,Assets,2.208,1997
St. Vincent and the Grenadines,VCT,Assets,2.208,1998
St. Vincent and the Grenadines,VCT,Assets,2.208,1999
St. Vincent and the Grenadines,VCT,Assets,2.208,2000
St. Vincent and the Grenadines,VCT,Assets,2.208,2001
St. Vincent and the Grenadines,VCT,Assets,2.208,2002
St. Vincent and the Grenadines,VCT,Assets,2.208,2003
St. Vincent and the Grenadines,VCT,Assets,2.208,2004
St. Vincent and the Grenadines,VCT,Assets,2.208,2005
St. Vincent and the Grenadines,VCT,Assets,2.208,2006
St. Vincent and the Grenadines,VCT,Assets,2.208,2007
St. Vincent and the Grenadines,VCT,Assets,2.208,2008
St. Vincent and the Grenadines,VCT,Assets,2.208,2009
St. Vincent and the Grenadines,VCT,Assets,2.208,2010
St. Vincent and the Grenadines,VCT,Assets,2.208,2011
St. Vincent and the Grenadines,VCT,Assets,2.208,2012
St. Vincent and the Grenadines,VCT,Assets,2.208,2013
St. Vincent and the Grenadines,VCT,Assets,2.208,2014
St. Vincent and the Grenadines,VCT,Assets,2.208,2015
St. Vincent and the Grenadines,VCT,Assets,2.208,2016
St. Vincent and the Grenadines,VCT,Assets,2.208,2017
St. Vincent and the Grenadines,VCT,Assets,2.208,2018
St. Vincent and the Grenadines,VCT,Assets,2.208,2019
St. Vincent and the Grenadines,VCT,Assets,2.208,2020
St. Vincent and the Grenadines,VCT,Assets,2.208,2021
St. Vincent and the Grenadines,VCT,Assets,2.208,2022
St. Vincent and the Grenadines,VCT,Assets,2.208,2023
St. Vincent and the Grenadines,VCT,Children 0-14,10.769,1960
St. Vincent and the Grenadines,VCT,Children 0-14,10.769,1961
St. Vincent and the Grenadines,VCT,Children 0-14,10.769,1962
St. Vincent and the Grenadines,VCT,Children 0-14,10.769,1963
St. Vincent and the Grenadines,VCT,Children 0-14,10.769,1964
St. Vincent and the Grenadines,VCT,Children 0-14,10.769,1965
St. Vincent and the Grenadines,VCT,Children 0-14,10.769,1966
St. Vincent and the Grenadines,VCT,Children 0-14,10.769,1967
St. Vincent and the Grenadines,VCT,Children 0-14,10.769,1968
St. Vincent and the Grenadines,VCT,Children 0-14,15.385,1969
St. Vincent and the Grenadines,VCT,Children 0-14,20.000,1970
St. Vincent and the Grenadines,VCT,Children 0-14,21.538,1971
St. Vincent and the Grenadines,VCT,Children 0-14,21.538,1972
St. Vincent and the Grenadines,VCT,Children 0-14,17.692,1973
St. Vincent and the Grenadines,VCT,Children 0-14,23.077,1974
St. Vincent and the Grenadines,VCT,Children 0-14,23.077,1975
St. Vincent and the Grenadines,VCT,Children 0-14,23.077,1976
St. Vincent and the Grenadines,VCT,Children 0-14,19.231,1977
St. Vincent and the Grenadines,VCT,Children 0-14,19.231,1978
St. Vincent and the Grenadines,VCT,Children 0-14,19.231,1979
St. Vincent and the Grenadines,VCT,Children 0-14,20.769,1980
St. Vincent and the Grenadines,VCT,Children 0-14,20.000,1981
St. Vincent and the Grenadines,VCT,Children 0-14,26.923,1982
St. Vincent and the Grenadines,VCT,Children 0-14,20.769,1983
St. Vincent and the Grenadines,VCT,Children 0-14,32.308,1984
St. Vincent and the Grenadines,VCT,Children 0-14,20.769,1985
St. Vincent and the Grenadines,VCT,Children 0-14,32.308,1986
St. Vincent and the Grenadines,VCT,Children 0-14,26.923,1987
St. Vincent and the Grenadines,VCT,Children 0-14,20.769,1988
St. Vincent and the Grenadines,VCT,Children 0-14,20.769,1989
St. Vincent and the Grenadines,VCT,Children 0-14,20.769,1990
St. Vincent and the Grenadines,VCT,Children 0-14,26.923,1991
St. Vincent and the Grenadines,VCT,Children 0-14,20.769,1992
St. Vincent and the Grenadines,VCT,Children 0-14,20.769,1993
St. Vincent and the Grenadines,VCT,Children 0-14,30.000,1994
St. Vincent and the Grenadines,VCT,Children 0-14,20.769,1995
St. Vincent and the Grenadines,VCT,Children 0-14,20.769,1996
St. Vincent and the Grenadines,VCT,Children 0-14,20.769,1997
St. Vincent and the Grenadines,VCT,Children 0-14,24.615,1998
St. Vincent and the Grenadines,VCT,Children 0-14,24.615,1999
St. Vincent and the Grenadines,VCT,Children 0-14,46.154,2000
St. Vincent and the Grenadines,VCT,Children 0-14,29.231,2001
St. Vincent and the Grenadines,VCT,Children 0-14,33.077,2002
St. Vincent and the Grenadines,VCT,Children 0-14,40.000,2003
St. Vincent and the Grenadines,VCT,Children 0-14,40.000,2004
St. Vincent and the Grenadines,VCT,Children 0-14,40.000,2005
St. Vincent and the Grenadines,VCT,Children 0-14,20.769,2006
St. Vincent and the Grenadines,VCT,Children 0-14,30.000,2007
