Country Name,Country Code,Topic,% of available indicators,Year
"Venezuela, RB",VEN,Assets,0.000,1960
"Venezuela, RB",VEN,Assets,0.000,1961
"Venezuela, RB",VEN,Assets,0.000,1962
"Venezuela, RB",VEN,Assets,0.000,1963
"Venezuela, RB",VEN,Assets,0.000,1964
"Venezuela, RB",VEN,Assets,0.000,1965
"Venezuela, RB",VEN,Assets,0.000,1966
"Venezuela, RB",VEN,Assets,0.000,1967
"Venezuela, RB",VEN,Assets,0.000,1968
"Venezuela, RB",VEN,Assets,0.000,1969
"Venezuela, RB",VEN,Assets,2.208,1970
"Venezuela, RB",VEN,Assets,2.208,1971
"Venezuela, RB",VEN,Assets,2.208,1972
"Venezuela, RB",VEN,Assets,2.208,1973
"Venezuela, RB",VEN,Assets,2.208,1974
"Venezuela, RB",VEN,Assets,2.208,1975
"Venezuela, RB",VEN,Assets,2.208,1976
"Venezuela, RB",VEN,Assets,2.208,1977
"Venezuela, RB",VEN,Assets,2.208,1978
"Venezuela, RB",VEN,Assets,2.208,1979
"Venezuela, RB",VEN,Assets,2.208,1980
"Venezuela, RB",VEN,Assets,2.208,1981
"Venezuela, RB",VEN,Assets,2.208,1982
"Venezuela, RB",VEN,Assets,2.208,1983
"Venezuela, RB",VEN,Assets,2.208,1984
"Venezuela, RB",VEN,Assets,2.208,1985
"Venezuela, RB",VEN,Assets,2.208,1986
"Venezuela, RB",VEN,Assets,2.208,1987
"Venezuela, RB",VEN,Assets,2.208,1988
"Venezuela, RB",VEN,Assets,2.208,1989
"Venezuela, RB",VEN,Assets,2.208,1990
"Venezuela, RB",VEN,Assets,2.208,1991
"Venezuela, RB",VEN,Assets,2.208,1992
"Venezuela, RB",VEN,Assets,2.208,1993
"Venezuela, RB",VEN,Assets,2.208,1994
"Venezuela, RB",VEN,Assets,2.208,1995
"Venezuela, RB",VEN,Assets,2.208,1996
"Venezuela, RB",VEN,Assets,2.208,1997
"Venezuela, RB",VEN,Assets,2.208,1998
"Venezuela, RB",VEN,Assets,2.208,1999
"Venezuela, RB",VEN,Assets,2.208,2000
"Venezuela, RB",VEN,Assets,2.208,2001
"Venezuela, RB",VEN,Assets,2.208,2002
"Venezuela, RB",VEN,Assets,2.208,2003
"Venezuela, RB",VEN,Assets,2.208,2004
"Venezuela, RB",VEN,Assets,2.208,2005
"Venezuela, RB",VEN,Assets,2.208,2006
"Venezuela, RB",VEN,Assets,2.208,2007
"Venezuela, RB",VEN,Assets,2.208,2008
"Venezuela, RB",VEN,Assets,2.208,2009
"Venezuela, RB",VEN,Assets,2.208,2010
"Venezuela, RB",VEN,Assets,11.672,2011
"Venezuela, RB",VEN,Assets,2.208,2012
"Venezuela, RB",VEN,Assets,2.208,2013
"Venezuela, RB",VEN,Assets,31.546,2014
"Venezuela, RB",VEN,Assets,2.208,2015
"Venezuela, RB",VEN,Assets,2.208,2016
"Venezuela, RB",VEN,Assets,34.069,2017
"Venezuela, RB",VEN,Assets,2.208,2018
"Venezuela, RB",VEN,Assets,2.208,2019
"Venezuela, RB",VEN,Assets,2.208,2020
"Venezuela, RB",VEN,Assets,63.091,2021
"Venezuela, RB",VEN,Assets,2.208,2022
"Venezuela, RB",VEN,Assets,2.208,2023
"Venezuela, RB",VEN,Children 0-14,19.231,1960
"Venezuela, RB",VEN,Children 0-14,19.231,1961
"Venezuela, RB",VEN,Children 0-14,19.231,1962
"Venezuela, RB",VEN,Children 0-14,19.231,1963
"Venezuela, RB",VEN,Children 0-14,19.231,1964
"Venezuela, RB",VEN,Children 0-14,19.231,1965
"Venezuela, RB",VEN,Children 0-14,19.231,1966
"Venezuela, RB",VEN,Children 0-14,19.231,1967
"Venezuela, RB",VEN,Children 0-14,19.231,1968
"Venezuela, RB",VEN,Children 0-14,19.231,1969
"Venezuela, RB",VEN,Children 0-14,19.231,1970
"Venezuela, RB",VEN,Children 0-14,32.308,1971
"Venezuela, RB",VEN,Children 0-14,32.308,1972
"Venezuela, RB",VEN,Children 0-14,32.308,1973
"Venezuela, RB",VEN,Children 0-14,32.308,1974
"Venezuela, RB",VEN,Children 0-14,32.308,1975
"Venezuela, RB",VEN,Children 0-14,32.308,1976
"Venezuela, RB",VEN,Children 0-14,30.769,1977
"Venezuela, RB",VEN,Children 0-14,30.769,1978
"Venezuela, RB",VEN,Children 0-14,32.308,1979
"Venezuela, RB",VEN,Children 0-14,29.231,1980
"Venezuela, RB",VEN,Children 0-14,26.923,1981
"Venezuela, RB",VEN,Children 0-14,26.154,1982
"Venezuela, RB",VEN,Children 0-14,29.231,1983
