Country Name,Country Code,Topic,% of available indicators,Year
British Virgin Islands,VGB,Assets,0.000,1960
British Virgin Islands,VGB,Assets,0.000,1961
British Virgin Islands,VGB,Assets,0.000,1962
British Virgin Islands,VGB,Assets,0.000,1963
British Virgin Islands,VGB,Assets,0.000,1964
British Virgin Islands,VGB,Assets,0.000,1965
British Virgin Islands,VGB,Assets,0.000,1966
British Virgin Islands,VGB,Assets,0.000,1967
British Virgin Islands,VGB,Assets,0.000,1968
British Virgin Islands,VGB,Assets,0.000,1969
British Virgin Islands,VGB,Assets,0.000,1970
British Virgin Islands,VGB,Assets,0.000,1971
British Virgin Islands,VGB,Assets,0.000,1972
British Virgin Islands,VGB,Assets,0.000,1973
British Virgin Islands,VGB,Assets,0.000,1974
British Virgin Islands,VGB,Assets,0.000,1975
British Virgin Islands,VGB,Assets,0.000,1976
British Virgin Islands,VGB,Assets,0.000,1977
British Virgin Islands,VGB,Assets,0.000,1978
British Virgin Islands,VGB,Assets,0.000,1979
British Virgin Islands,VGB,Assets,0.000,1980
British Virgin Islands,VGB,Assets,0.000,1981
British Virgin Islands,VGB,Assets,0.000,1982
British Virgin Islands,VGB,Assets,0.000,1983
British Virgin Islands,VGB,Assets,0.000,1984
British Virgin Islands,VGB,Assets,0.000,1985
British Virgin Islands,VGB,Assets,0.000,1986
British Virgin Islands,VGB,Assets,0.000,1987
British Virgin Islands,VGB,Assets,0.000,1988
British Virgin Islands,VGB,Assets,0.000,1989
British Virgin Islands,VGB,Assets,0.000,1990
British Virgin Islands,VGB,Assets,0.000,1991
British Virgin Islands,VGB,Assets,0.000,1992
British Virgin Islands,VGB,Assets,0.000,1993
British Virgin Islands,VGB,Assets,0.000,1994
British Virgin Islands,VGB,Assets,0.000,1995
British Virgin Islands,VGB,Assets,0.000,1996
British Virgin Islands,VGB,Assets,0.000,1997
British Virgin Islands,VGB,Assets,0.000,1998
British Virgin Islands,VGB,Assets,0.000,1999
British Virgin Islands,VGB,Assets,0.000,2000
British Virgin Islands,VGB,Assets,0.000,2001
British Virgin Islands,VGB,Assets,0.000,2002
British Virgin Islands,VGB,Assets,0.000,2003
British Virgin Islands,VGB,Assets,0.000,2004
British Virgin Islands,VGB,Assets,0.000,2005
British Virgin Islands,VGB,Assets,0.000,2006
British Virgin Islands,VGB,Assets,0.000,2007
British Virgin Islands,VGB,Assets,0.000,2008
British Virgin Islands,VGB,Assets,0.000,2009
British Virgin Islands,VGB,Assets,0.000,2010
British Virgin Islands,VGB,Assets,0.000,2011
British Virgin Islands,VGB,Assets,0.000,2012
British Virgin Islands,VGB,Assets,0.000,2013
