Country Name,Country Code,Topic,% of available indicators,Year
Viet Nam,VNM,Assets,0.000,1960
Viet Nam,VNM,Assets,0.000,1961
Viet Nam,VNM,Assets,0.000,1962
Viet Nam,VNM,Assets,0.000,1963
Viet Nam,VNM,Assets,0.000,1964
Viet Nam,VNM,Assets,0.000,1965
Viet Nam,VNM,Assets,0.000,1966
Viet Nam,VNM,Assets,0.000,1967
Viet Nam,VNM,Assets,0.000,1968
Viet Nam,VNM,Assets,0.000,1969
Viet Nam,VNM,Assets,2.208,1970
Viet Nam,VNM,Assets,2.208,1971
Viet Nam,VNM,Assets,2.208,1972
Viet Nam,VNM,Assets,2.208,1973
Viet Nam,VNM,Assets,2.208,1974
Viet Nam,VNM,Assets,2.208,1975
Viet Nam,VNM,Assets,2.208,1976
Viet Nam,VNM,Assets,2.208,1977
Viet Nam,VNM,Assets,2.208,1978
Viet Nam,VNM,Assets,2.208,1979
Viet Nam,VNM,Assets,2.208,1980
Viet Nam,VNM,Assets,2.208,1981
Viet Nam,VNM,Assets,2.208,1982
Viet Nam,VNM,Assets,2.208,1983
Viet Nam,VNM,Assets,2.208,1984
Viet Nam,VNM,Assets,2.208,1985
Viet Nam,VNM,Assets,2.208,1986
Viet Nam,VNM,Assets,2.208,1987
Viet Nam,VNM,Assets,2.208,1988
Viet Nam,VNM,Assets,2.208,1989
Viet Nam,VNM,Assets,2.208,1990
Viet Nam,VNM,Assets,2.208,1991
Viet Nam,VNM,Assets,2.208,1992
Viet Nam,VNM,Assets,2.208,1993
Viet Nam,VNM,Assets,2.208,1994
Viet Nam,VNM,Assets,2.208,1995
Viet Nam,VNM,Assets,2.208,1996
Viet Nam,VNM,Assets,2.208,1997
Viet Nam,VNM,Assets,2.208,1998
Viet Nam,VNM,Assets,2.208,1999
Viet Nam,VNM,Assets,2.208,2000
Viet Nam,VNM,Assets,2.208,2001
Viet Nam,VNM,Assets,2.208,2002
Viet Nam,VNM,Assets,2.208,2003
Viet Nam,VNM,Assets,2.208,2004
Viet Nam,VNM,Assets,2.208,2005
Viet Nam,VNM,Assets,2.208,2006
Viet Nam,VNM,Assets,2.208,2007
Viet Nam,VNM,Assets,2.208,2008
Viet Nam,VNM,Assets,2.208,2009
Viet Nam,VNM,Assets,2.208,2010
Viet Nam,VNM,Assets,11.672,2011
Viet Nam,VNM,Assets,2.208,2012
Viet Nam,VNM,Assets,2.208,2013
Viet Nam,VNM,Assets,31.546,2014
Viet Nam,VNM,Assets,2.208,2015
Viet Nam,VNM,Assets,2.208,2016
Viet Nam,VNM,Assets,34.069,2017
Viet Nam,VNM,Assets,2.208,2018
Viet Nam,VNM,Assets,2.208,2019
Viet Nam,VNM,Assets,2.208,2020
Viet Nam,VNM,Assets,2.839,2021
Viet Nam,VNM,Assets,62.461,2022
Viet Nam,VNM,Assets,2.208,2023
Viet Nam,VNM,Children 0-14,10.769,1960
Viet Nam,VNM,Children 0-14,10.769,1961
Viet Nam,VNM,Children 0-14,10.769,1962
Viet Nam,VNM,Children 0-14,10.769,1963
Viet Nam,VNM,Children 0-14,15.385,1964
Viet Nam,VNM,Children 0-14,17.692,1965
Viet Nam,VNM,Children 0-14,17.692,1966
Viet Nam,VNM,Children 0-14,17.692,1967
Viet Nam,VNM,Children 0-14,17.692,1968
Viet Nam,VNM,Children 0-14,19.231,1969
Viet Nam,VNM,Children 0-14,19.231,1970
Viet Nam,VNM,Children 0-14,19.231,1971
Viet Nam,VNM,Children 0-14,19.231,1972
Viet Nam,VNM,Children 0-14,19.231,1973
Viet Nam,VNM,Children 0-14,19.231,1974
Viet Nam,VNM,Children 0-14,19.231,1975
Viet Nam,VNM,Children 0-14,23.077,1976
Viet Nam,VNM,Children 0-14,26.923,1977
Viet Nam,VNM,Children 0-14,26.923,1978
Viet Nam,VNM,Children 0-14,30.000,1979
Viet Nam,VNM,Children 0-14,25.385,1980
Viet Nam,VNM,Children 0-14,28.462,1981
Viet Nam,VNM,Children 0-14,20.769,1982
Viet Nam,VNM,Children 0-14,22.308,1983
Viet Nam,VNM,Children 0-14,21.538,1984
Viet Nam,VNM,Children 0-14,30.000,1985
Viet Nam,VNM,Children 0-14,26.923,1986
Viet Nam,VNM,Children 0-14,22.308,1987
Viet Nam,VNM,Children 0-14,24.615,1988
Viet Nam,VNM,Children 0-14,24.615,1989
Viet Nam,VNM,Children 0-14,22.308,1990
Viet Nam,VNM,Children 0-14,25.385,1991
Viet Nam,VNM,Children 0-14,22.308,1992
Viet Nam,VNM,Children 0-14,33.846,1993
Viet Nam,VNM,Children 0-14,24.615,1994
Viet Nam,VNM,Children 0-14,25.385,1995
Viet Nam,VNM,Children 0-14,23.846,1996
Viet Nam,VNM,Children 0-14,23.846,1997
Viet Nam,VNM,Children 0-14,33.077,1998
Viet Nam,VNM,Children 0-14,46.923,1999
Viet Nam,VNM,Children 0-14,60.769,2000
Viet Nam,VNM,Children 0-14,35.385,2001
Viet Nam,VNM,Children 0-14,48.462,2002
Viet Nam,VNM,Children 0-14,41.538,2003
Viet Nam,VNM,Children 0-14,39.231,2004
Viet Nam,VNM,Children 0-14,46.923,2005
Viet Nam,VNM,Children 0-14,45.385,2006
Viet Nam,VNM,Children 0-14,38.462,2007
Viet Nam,VNM,Children 0-14,38.462,2008
Viet Nam,VNM,Children 0-14,42.308,2009
Viet Nam,VNM,Children 0-14,64.615,2010
Viet Nam,VNM,Children 0-14,43.846,2011
Viet Nam,VNM,Children 0-14,44.615,2012
Viet Nam,VNM,Children 0-14,41.538,2013
Viet Nam,VNM,Children 0-14,48.462,2014
Viet Nam,VNM,Children 0-14,58.462,2015
Viet Nam,VNM,Children 0-14,40.769,2016
