Country Name,Country Code,Topic,% of available indicators,Year
Samoa,WSM,Assets,0.000,1960
Samoa,WSM,Assets,0.000,1961
Samoa,WSM,Assets,0.000,1962
Samoa,WSM,Assets,0.000,1963
Samoa,WSM,Assets,0.000,1964
Samoa,WSM,Assets,0.000,1965
Samoa,WSM,Assets,0.000,1966
Samoa,WSM,Assets,0.000,1967
Samoa,WSM,Assets,0.000,1968
Samoa,WSM,Assets,0.000,1969
Samoa,WSM,Assets,2.208,1970
Samoa,WSM,Assets,2.208,1971
Samoa,WSM,Assets,2.208,1972
Samoa,WSM,Assets,2.208,1973
Samoa,WSM,Assets,2.208,1974
Samoa,WSM,Assets,2.208,1975
Samoa,WSM,Assets,2.208,1976
Samoa,WSM,Assets,2.208,1977
Samoa,WSM,Assets,2.208,1978
Samoa,WSM,Assets,2.208,1979
Samoa,WSM,Assets,2.208,1980
Samoa,WSM,Assets,2.208,1981
Samoa,WSM,Assets,2.208,1982
Samoa,WSM,Assets,2.208,1983
Samoa,WSM,Assets,2.208,1984
Samoa,WSM,Assets,2.208,1985
Samoa,WSM,Assets,2.208,1986
Samoa,WSM,Assets,2.208,1987
Samoa,WSM,Assets,2.208,1988
Samoa,WSM,Assets,2.208,1989
Samoa,WSM,Assets,2.208,1990
Samoa,WSM,Assets,2.208,1991
Samoa,WSM,Assets,2.208,1992
Samoa,WSM,Assets,2.208,1993
Samoa,WSM,Assets,2.208,1994
Samoa,WSM,Assets,2.208,1995
Samoa,WSM,Assets,2.208,1996
Samoa,WSM,Assets,2.208,1997
Samoa,WSM,Assets,2.208,1998
Samoa,WSM,Assets,2.208,1999
Samoa,WSM,Assets,2.208,2000
Samoa,WSM,Assets,2.208,2001
Samoa,WSM,Assets,2.208,2002
Samoa,WSM,Assets,2.208,2003
Samoa,WSM,Assets,2.208,2004
Samoa,WSM,Assets,2.208,2005
Samoa,WSM,Assets,2.208,2006
Samoa,WSM,Assets,2.208,2007
Samoa,WSM,Assets,2.208,2008
Samoa,WSM,Assets,2.208,2009
Samoa,WSM,Assets,2.208,2010
Samoa,WSM,Assets,2.208,2011
Samoa,WSM,Assets,2.208,2012
Samoa,WSM,Assets,2.208,2013
Samoa,WSM,Assets,2.208,2014
Samoa,WSM,Assets,2.208,2015
Samoa,WSM,Assets,2.208,2016
Samoa,WSM,Assets,2.208,2017
Samoa,WSM,Assets,2.208,2018
Samoa,WSM,Assets,2.208,2019
Samoa,WSM,Assets,2.208,2020
Samoa,WSM,Assets,2.208,2021
Samoa,WSM,Assets,2.208,2022
Samoa,WSM,Assets,2.208,2023
Samoa,WSM,Children 0-14,19.231,1960
Samoa,WSM,Children 0-14,19.231,1961
Samoa,WSM,Children 0-14,19.231,1962
Samoa,WSM,Children 0-14,19.231,1963
Samoa,WSM,Children 0-14,19.231,1964
Samoa,WSM,Children 0-14,19.231,1965
Samoa,WSM,Children 0-14,19.231,1966
Samoa,WSM,Children 0-14,19.231,1967
Samoa,WSM,Children 0-14,19.231,1968
Samoa,WSM,Children 0-14,19.231,1969
Samoa,WSM,Children 0-14,25.385,1970
Samoa,WSM,Children 0-14,25.385,1971
Samoa,WSM,Children 0-14,23.077,1972
Samoa,WSM,Children 0-14,25.385,1973
Samoa,WSM,Children 0-14,21.538,1974
Samoa,WSM,Children 0-14,25.385,1975
Samoa,WSM,Children 0-14,27.692,1976
Samoa,WSM,Children 0-14,23.077,1977
Samoa,WSM,Children 0-14,23.077,1978
Samoa,WSM,Children 0-14,23.077,1979
Samoa,WSM,Children 0-14,23.846,1980
Samoa,WSM,Children 0-14,28.462,1981
Samoa,WSM,Children 0-14,24.615,1982
Samoa,WSM,Children 0-14,24.615,1983
Samoa,WSM,Children 0-14,20.769,1984
Samoa,WSM,Children 0-14,20.769,1985
Samoa,WSM,Children 0-14,24.615,1986
Samoa,WSM,Children 0-14,20.769,1987
Samoa,WSM,Children 0-14,20.769,1988
Samoa,WSM,Children 0-14,20.769,1989
Samoa,WSM,Children 0-14,20.769,1990
Samoa,WSM,Children 0-14,20.769,1991
Samoa,WSM,Children 0-14,21.538,1992
Samoa,WSM,Children 0-14,20.769,1993
Samoa,WSM,Children 0-14,34.615,1994
Samoa,WSM,Children 0-14,27.692,1995
Samoa,WSM,Children 0-14,27.692,1996
Samoa,WSM,Children 0-14,26.923,1997
Samoa,WSM,Children 0-14,39.231,1998
Samoa,WSM,Children 0-14,43.077,1999
Samoa,WSM,Children 0-14,52.308,2000
Samoa,WSM,Children 0-14,39.231,2001
Samoa,WSM,Children 0-14,26.923,2002
Samoa,WSM,Children 0-14,26.923,2003
Samoa,WSM,Children 0-14,26.923,2004
Samoa,WSM,Children 0-14,26.923,2005
Samoa,WSM,Children 0-14,28.462,2006
Samoa,WSM,Children 0-14,35.385,2007
Samoa,WSM,Children 0-14,23.077,2008
Samoa,WSM,Children 0-14,40.000,2009
Samoa,WSM,Children 0-14,56.923,2010
Samoa,WSM,Children 0-14,40.769,2011
Samoa,WSM,Children 0-14,39.231,2012
Samoa,WSM,Children 0-14,23.846,2013
Samoa,WSM,Children 0-14,50.769,2014
Samoa,WSM,Children 0-14,53.077,2015
Samoa,WSM,Children 0-14,39.231,2016
Samoa,WSM,Children 0-14,41.538,2017
Samoa,WSM,Children 0-14,43.846,2018
Samoa,WSM,Children 0-14,65.385,2019
Samoa,WSM,Children 0-14,38.462,2020
Samoa,WSM,Children 0-14,32.308,2021
Samoa,WSM,Children 0-14,33.846,2022
Samoa,WSM,Children 0-14,19.231,2023
Samoa,WSM,Education,0.000,1960
Samoa,WSM,Education,0.000,1961
Samoa,WSM,Education,0.000,1962
Samoa,WSM,Education,0.000,1963
Samoa,WSM,Education,0.000,1964
Samoa,WSM,Education,0.000,1965
Samoa,WSM,Education,0.000,1966
Samoa,WSM,Education,0.000,1967
Samoa,WSM,Education,0.000,1968
Samoa,WSM,Education,0.000,1969
Samoa,WSM,Education,16.564,1970
Samoa,WSM,Education,11.043,1971
Samoa,WSM,Education,3.067,1972
Samoa,WSM,Education,7.975,1973
Samoa,WSM,Education,1.840,1974
Samoa,WSM,Education,16.564,1975
Samoa,WSM,Education,17.791,1976
Samoa,WSM,Education,15.337,1977
Samoa,WSM,Education,11.656,1978
Samoa,WSM,Education,10.429,1979
Samoa,WSM,Education,10.429,1980
Samoa,WSM,Education,15.337,1981
Samoa,WSM,Education,5.521,1982
Samoa,WSM,Education,6.135,1983
Samoa,WSM,Education,0.000,1984
Samoa,WSM,Education,0.000,1985
Samoa,WSM,Education,5.521,1986
Samoa,WSM,Education,0.000,1987
Samoa,WSM,Education,0.000,1988
Samoa,WSM,Education,0.000,1989
Samoa,WSM,Education,0.000,1990
Samoa,WSM,Education,6.748,1991
Samoa,WSM,Education,0.613,1992
Samoa,WSM,Education,0.000,1993
Samoa,WSM,Education,15.337,1994
Samoa,WSM,Education,15.337,1995
Samoa,WSM,Education,13.497,1996
Samoa,WSM,Education,9.202,1997
Samoa,WSM,Education,39.877,1998
Samoa,WSM,Education,43.558,1999
Samoa,WSM,Education,41.718,2000
Samoa,WSM,Education,30.675,2001
Samoa,WSM,Education,10.429,2002
Samoa,WSM,Education,9.202,2003
Samoa,WSM,Education,9.202,2004
Samoa,WSM,Education,9.202,2005
Samoa,WSM,Education,10.429,2006
Samoa,WSM,Education,15.337,2007
Samoa,WSM,Education,2.454,2008
Samoa,WSM,Education,23.313,2009
Samoa,WSM,Education,25.767,2010
Samoa,WSM,Education,35.583,2011
Samoa,WSM,Education,27.607,2012
Samoa,WSM,Education,3.067,2013
Samoa,WSM,Education,23.313,2014
Samoa,WSM,Education,23.926,2015
Samoa,WSM,Education,25.153,2016
Samoa,WSM,Education,29.448,2017
Samoa,WSM,Education,33.742,2018
Samoa,WSM,Education,28.834,2019
Samoa,WSM,Education,25.153,2020
Samoa,WSM,Education,19.018,2021
Samoa,WSM,Education,23.926,2022
Samoa,WSM,Education,12.270,2023
Samoa,WSM,Employment and Time Use,0.000,1960
Samoa,WSM,Employment and Time Use,5.109,1961
Samoa,WSM,Employment and Time Use,0.000,1962
Samoa,WSM,Employment and Time Use,0.000,1963
Samoa,WSM,Employment and Time Use,0.000,1964
Samoa,WSM,Employment and Time Use,0.000,1965
Samoa,WSM,Employment and Time Use,5.109,1966
Samoa,WSM,Employment and Time Use,0.000,1967
Samoa,WSM,Employment and Time Use,0.000,1968
Samoa,WSM,Employment and Time Use,0.000,1969
Samoa,WSM,Employment and Time Use,21.168,1970
Samoa,WSM,Employment and Time Use,26.277,1971
Samoa,WSM,Employment and Time Use,21.168,1972
Samoa,WSM,Employment and Time Use,21.168,1973
Samoa,WSM,Employment and Time Use,21.168,1974
