Country Name,Country Code,Topic,% of available indicators,Year
"Yemen, Rep.",YEM,Assets,0.000,1960
"Yemen, Rep.",YEM,Assets,0.000,1961
"Yemen, Rep.",YEM,Assets,0.000,1962
"Yemen, Rep.",YEM,Assets,0.000,1963
"Yemen, Rep.",YEM,Assets,0.000,1964
"Yemen, Rep.",YEM,Assets,0.000,1965
"Yemen, Rep.",YEM,Assets,0.000,1966
"Yemen, Rep.",YEM,Assets,0.000,1967
"Yemen, Rep.",YEM,Assets,0.000,1968
"Yemen, Rep.",YEM,Assets,0.000,1969
"Yemen, Rep.",YEM,Assets,2.208,1970
"Yemen, Rep.",YEM,Assets,2.208,1971
"Yemen, Rep.",YEM,Assets,2.208,1972
"Yemen, Rep.",YEM,Assets,2.208,1973
"Yemen, Rep.",YEM,Assets,2.208,1974
"Yemen, Rep.",YEM,Assets,2.208,1975
"Yemen, Rep.",YEM,Assets,2.208,1976
"Yemen, Rep.",YEM,Assets,2.208,1977
"Yemen, Rep.",YEM,Assets,2.208,1978
"Yemen, Rep.",YEM,Assets,2.208,1979
"Yemen, Rep.",YEM,Assets,2.208,1980
"Yemen, Rep.",YEM,Assets,2.208,1981
"Yemen, Rep.",YEM,Assets,2.208,1982
"Yemen, Rep.",YEM,Assets,2.208,1983
"Yemen, Rep.",YEM,Assets,2.208,1984
"Yemen, Rep.",YEM,Assets,2.208,1985
"Yemen, Rep.",YEM,Assets,2.208,1986
"Yemen, Rep.",YEM,Assets,2.208,1987
"Yemen, Rep.",YEM,Assets,2.208,1988
"Yemen, Rep.",YEM,Assets,2.208,1989
"Yemen, Rep.",YEM,Assets,2.208,1990
"Yemen, Rep.",YEM,Assets,2.208,1991
"Yemen, Rep.",YEM,Assets,2.208,1992
"Yemen, Rep.",YEM,Assets,2.208,1993
"Yemen, Rep.",YEM,Assets,2.208,1994
"Yemen, Rep.",YEM,Assets,2.208,1995
"Yemen, Rep.",YEM,Assets,2.208,1996
