Country Name,Country Code,Topic,% of available indicators,Year
South Africa,ZAF,Assets,0.000,1960
South Africa,ZAF,Assets,0.000,1961
South Africa,ZAF,Assets,0.000,1962
South Africa,ZAF,Assets,0.000,1963
South Africa,ZAF,Assets,0.000,1964
South Africa,ZAF,Assets,0.000,1965
South Africa,ZAF,Assets,0.000,1966
South Africa,ZAF,Assets,0.000,1967
South Africa,ZAF,Assets,0.000,1968
South Africa,ZAF,Assets,0.000,1969
South Africa,ZAF,Assets,2.208,1970
South Africa,ZAF,Assets,2.208,1971
South Africa,ZAF,Assets,2.208,1972
South Africa,ZAF,Assets,2.208,1973
South Africa,ZAF,Assets,2.208,1974
South Africa,ZAF,Assets,2.208,1975
South Africa,ZAF,Assets,2.208,1976
South Africa,ZAF,Assets,2.208,1977
South Africa,ZAF,Assets,2.208,1978
South Africa,ZAF,Assets,2.208,1979
South Africa,ZAF,Assets,2.208,1980
South Africa,ZAF,Assets,2.208,1981
South Africa,ZAF,Assets,2.208,1982
South Africa,ZAF,Assets,2.208,1983
South Africa,ZAF,Assets,2.208,1984
South Africa,ZAF,Assets,2.208,1985
South Africa,ZAF,Assets,2.208,1986
South Africa,ZAF,Assets,2.208,1987
South Africa,ZAF,Assets,2.208,1988
South Africa,ZAF,Assets,2.208,1989
South Africa,ZAF,Assets,2.208,1990
South Africa,ZAF,Assets,2.208,1991
South Africa,ZAF,Assets,2.208,1992
South Africa,ZAF,Assets,2.208,1993
South Africa,ZAF,Assets,2.208,1994
South Africa,ZAF,Assets,2.208,1995
South Africa,ZAF,Assets,2.208,1996
South Africa,ZAF,Assets,2.208,1997
South Africa,ZAF,Assets,2.208,1998
South Africa,ZAF,Assets,2.208,1999
South Africa,ZAF,Assets,2.208,2000
South Africa,ZAF,Assets,2.208,2001
South Africa,ZAF,Assets,2.208,2002
South Africa,ZAF,Assets,2.208,2003
South Africa,ZAF,Assets,2.208,2004
South Africa,ZAF,Assets,2.208,2005
South Africa,ZAF,Assets,2.208,2006
South Africa,ZAF,Assets,2.208,2007
South Africa,ZAF,Assets,2.208,2008
South Africa,ZAF,Assets,2.208,2009
South Africa,ZAF,Assets,2.208,2010
South Africa,ZAF,Assets,11.672,2011
South Africa,ZAF,Assets,2.208,2012
South Africa,ZAF,Assets,2.208,2013
South Africa,ZAF,Assets,31.546,2014
South Africa,ZAF,Assets,2.208,2015
South Africa,ZAF,Assets,17.350,2016
South Africa,ZAF,Assets,34.069,2017
South Africa,ZAF,Assets,2.208,2018
South Africa,ZAF,Assets,2.208,2019
South Africa,ZAF,Assets,2.208,2020
South Africa,ZAF,Assets,63.091,2021
South Africa,ZAF,Assets,2.208,2022
South Africa,ZAF,Assets,2.208,2023
South Africa,ZAF,Children 0-14,10.769,1960
South Africa,ZAF,Children 0-14,10.769,1961
South Africa,ZAF,Children 0-14,10.769,1962
South Africa,ZAF,Children 0-14,10.769,1963
South Africa,ZAF,Children 0-14,10.769,1964
South Africa,ZAF,Children 0-14,10.769,1965
South Africa,ZAF,Children 0-14,10.769,1966
South Africa,ZAF,Children 0-14,10.769,1967
South Africa,ZAF,Children 0-14,10.769,1968
South Africa,ZAF,Children 0-14,10.769,1969
South Africa,ZAF,Children 0-14,26.923,1970
South Africa,ZAF,Children 0-14,10.769,1971
South Africa,ZAF,Children 0-14,10.769,1972
South Africa,ZAF,Children 0-14,10.769,1973
South Africa,ZAF,Children 0-14,15.385,1974
South Africa,ZAF,Children 0-14,18.462,1975
South Africa,ZAF,Children 0-14,17.692,1976
South Africa,ZAF,Children 0-14,18.462,1977
South Africa,ZAF,Children 0-14,18.462,1978
South Africa,ZAF,Children 0-14,20.000,1979
South Africa,ZAF,Children 0-14,20.769,1980
South Africa,ZAF,Children 0-14,20.000,1981
South Africa,ZAF,Children 0-14,20.000,1982
South Africa,ZAF,Children 0-14,20.769,1983
South Africa,ZAF,Children 0-14,20.769,1984
South Africa,ZAF,Children 0-14,25.385,1985
South Africa,ZAF,Children 0-14,24.615,1986
South Africa,ZAF,Children 0-14,24.615,1987
South Africa,ZAF,Children 0-14,24.615,1988
South Africa,ZAF,Children 0-14,24.615,1989
South Africa,ZAF,Children 0-14,26.154,1990
South Africa,ZAF,Children 0-14,37.692,1991
South Africa,ZAF,Children 0-14,20.769,1992
South Africa,ZAF,Children 0-14,20.769,1993
South Africa,ZAF,Children 0-14,37.692,1994
South Africa,ZAF,Children 0-14,32.308,1995
South Africa,ZAF,Children 0-14,23.077,1996
South Africa,ZAF,Children 0-14,24.615,1997
South Africa,ZAF,Children 0-14,43.077,1998
South Africa,ZAF,Children 0-14,47.692,1999
South Africa,ZAF,Children 0-14,51.538,2000
South Africa,ZAF,Children 0-14,41.538,2001
South Africa,ZAF,Children 0-14,46.154,2002
South Africa,ZAF,Children 0-14,46.154,2003
South Africa,ZAF,Children 0-14,44.615,2004
South Africa,ZAF,Children 0-14,40.000,2005
South Africa,ZAF,Children 0-14,30.000,2006
South Africa,ZAF,Children 0-14,29.231,2007
South Africa,ZAF,Children 0-14,36.923,2008
South Africa,ZAF,Children 0-14,30.000,2009
South Africa,ZAF,Children 0-14,50.769,2010
South Africa,ZAF,Children 0-14,32.308,2011
South Africa,ZAF,Children 0-14,33.077,2012
South Africa,ZAF,Children 0-14,32.308,2013
South Africa,ZAF,Children 0-14,32.308,2014
South Africa,ZAF,Children 0-14,60.000,2015
South Africa,ZAF,Children 0-14,60.000,2016
South Africa,ZAF,Children 0-14,54.615,2017
South Africa,ZAF,Children 0-14,44.615,2018
South Africa,ZAF,Children 0-14,53.846,2019
South Africa,ZAF,Children 0-14,44.615,2020
South Africa,ZAF,Children 0-14,37.692,2021
South Africa,ZAF,Children 0-14,35.385,2022
South Africa,ZAF,Children 0-14,13.846,2023
South Africa,ZAF,Education,0.000,1960
South Africa,ZAF,Education,0.000,1961
South Africa,ZAF,Education,0.000,1962
South Africa,ZAF,Education,0.000,1963
South Africa,ZAF,Education,0.000,1964
South Africa,ZAF,Education,0.000,1965
South Africa,ZAF,Education,0.000,1966
South Africa,ZAF,Education,0.000,1967
South Africa,ZAF,Education,0.000,1968
South Africa,ZAF,Education,0.000,1969
South Africa,ZAF,Education,17.178,1970
South Africa,ZAF,Education,0.000,1971
South Africa,ZAF,Education,0.000,1972
South Africa,ZAF,Education,0.613,1973
South Africa,ZAF,Education,0.000,1974
South Africa,ZAF,Education,0.613,1975
South Africa,ZAF,Education,0.000,1976
South Africa,ZAF,Education,0.613,1977
South Africa,ZAF,Education,0.613,1978
South Africa,ZAF,Education,0.613,1979
South Africa,ZAF,Education,9.202,1980
South Africa,ZAF,Education,0.613,1981
South Africa,ZAF,Education,0.613,1982
South Africa,ZAF,Education,0.000,1983
South Africa,ZAF,Education,0.000,1984
South Africa,ZAF,Education,7.362,1985
South Africa,ZAF,Education,3.067,1986
South Africa,ZAF,Education,3.681,1987
South Africa,ZAF,Education,6.748,1988
South Africa,ZAF,Education,15.337,1989
South Africa,ZAF,Education,18.405,1990
South Africa,ZAF,Education,26.380,1991
South Africa,ZAF,Education,2.454,1992
South Africa,ZAF,Education,3.681,1993
South Africa,ZAF,Education,26.994,1994
South Africa,ZAF,Education,9.816,1995
South Africa,ZAF,Education,9.202,1996
South Africa,ZAF,Education,3.681,1997
South Africa,ZAF,Education,26.994,1998
South Africa,ZAF,Education,36.810,1999
South Africa,ZAF,Education,33.129,2000
South Africa,ZAF,Education,41.718,2001
South Africa,ZAF,Education,49.080,2002
South Africa,ZAF,Education,49.080,2003
South Africa,ZAF,Education,46.012,2004
South Africa,ZAF,Education,42.331,2005
South Africa,ZAF,Education,28.221,2006
South Africa,ZAF,Education,34.969,2007
South Africa,ZAF,Education,24.540,2008
South Africa,ZAF,Education,36.196,2009
South Africa,ZAF,Education,54.601,2010
South Africa,ZAF,Education,43.558,2011
South Africa,ZAF,Education,44.785,2012
