Country Name,Country Code,Topic,% of available indicators,Year
Zambia,ZMB,Assets,0.000,1960
Zambia,ZMB,Assets,0.000,1961
Zambia,ZMB,Assets,0.000,1962
Zambia,ZMB,Assets,0.000,1963
Zambia,ZMB,Assets,0.000,1964
Zambia,ZMB,Assets,0.000,1965
Zambia,ZMB,Assets,0.000,1966
Zambia,ZMB,Assets,0.000,1967
Zambia,ZMB,Assets,0.000,1968
Zambia,ZMB,Assets,0.000,1969
Zambia,ZMB,Assets,2.208,1970
Zambia,ZMB,Assets,2.208,1971
Zambia,ZMB,Assets,2.208,1972
Zambia,ZMB,Assets,2.208,1973
Zambia,ZMB,Assets,2.208,1974
Zambia,ZMB,Assets,2.208,1975
Zambia,ZMB,Assets,2.208,1976
Zambia,ZMB,Assets,2.208,1977
Zambia,ZMB,Assets,2.208,1978
Zambia,ZMB,Assets,2.208,1979
Zambia,ZMB,Assets,2.208,1980
Zambia,ZMB,Assets,2.208,1981
Zambia,ZMB,Assets,2.208,1982
Zambia,ZMB,Assets,2.208,1983
Zambia,ZMB,Assets,2.208,1984
Zambia,ZMB,Assets,2.208,1985
Zambia,ZMB,Assets,2.208,1986
Zambia,ZMB,Assets,2.208,1987
Zambia,ZMB,Assets,2.208,1988
Zambia,ZMB,Assets,2.208,1989
Zambia,ZMB,Assets,2.208,1990
Zambia,ZMB,Assets,2.208,1991
Zambia,ZMB,Assets,2.208,1992
Zambia,ZMB,Assets,2.208,1993
Zambia,ZMB,Assets,2.208,1994
Zambia,ZMB,Assets,2.208,1995
Zambia,ZMB,Assets,2.208,1996
Zambia,ZMB,Assets,2.208,1997
Zambia,ZMB,Assets,2.208,1998
Zambia,ZMB,Assets,2.208,1999
Zambia,ZMB,Assets,2.208,2000
Zambia,ZMB,Assets,2.208,2001
Zambia,ZMB,Assets,2.208,2002
Zambia,ZMB,Assets,2.208,2003
Zambia,ZMB,Assets,2.208,2004
Zambia,ZMB,Assets,2.208,2005
Zambia,ZMB,Assets,2.208,2006
Zambia,ZMB,Assets,2.208,2007
Zambia,ZMB,Assets,2.208,2008
Zambia,ZMB,Assets,2.208,2009
Zambia,ZMB,Assets,2.208,2010
Zambia,ZMB,Assets,11.672,2011
Zambia,ZMB,Assets,2.208,2012
Zambia,ZMB,Assets,2.208,2013
Zambia,ZMB,Assets,61.830,2014
Zambia,ZMB,Assets,2.208,2015
