Country Name,Country Code,Topic,% of available indicators,Year
Zimbabwe,ZWE,Assets,0.000,1960
Zimbabwe,ZWE,Assets,0.000,1961
Zimbabwe,ZWE,Assets,0.000,1962
Zimbabwe,ZWE,Assets,0.000,1963
Zimbabwe,ZWE,Assets,0.000,1964
Zimbabwe,ZWE,Assets,0.000,1965
Zimbabwe,ZWE,Assets,0.000,1966
Zimbabwe,ZWE,Assets,0.000,1967
Zimbabwe,ZWE,Assets,0.000,1968
Zimbabwe,ZWE,Assets,0.000,1969
Zimbabwe,ZWE,Assets,2.208,1970
Zimbabwe,ZWE,Assets,2.208,1971
Zimbabwe,ZWE,Assets,2.208,1972
Zimbabwe,ZWE,Assets,2.208,1973
Zimbabwe,ZWE,Assets,2.208,1974
Zimbabwe,ZWE,Assets,2.208,1975
Zimbabwe,ZWE,Assets,2.208,1976
Zimbabwe,ZWE,Assets,2.208,1977
Zimbabwe,ZWE,Assets,2.208,1978
Zimbabwe,ZWE,Assets,2.208,1979
Zimbabwe,ZWE,Assets,2.208,1980
Zimbabwe,ZWE,Assets,2.208,1981
Zimbabwe,ZWE,Assets,2.208,1982
Zimbabwe,ZWE,Assets,2.208,1983
Zimbabwe,ZWE,Assets,2.208,1984
Zimbabwe,ZWE,Assets,2.208,1985
Zimbabwe,ZWE,Assets,2.208,1986
Zimbabwe,ZWE,Assets,2.208,1987
Zimbabwe,ZWE,Assets,2.208,1988
Zimbabwe,ZWE,Assets,2.208,1989
Zimbabwe,ZWE,Assets,2.208,1990
Zimbabwe,ZWE,Assets,2.208,1991
Zimbabwe,ZWE,Assets,2.208,1992
Zimbabwe,ZWE,Assets,2.208,1993
Zimbabwe,ZWE,Assets,2.208,1994
Zimbabwe,ZWE,Assets,2.208,1995
Zimbabwe,ZWE,Assets,2.208,1996
Zimbabwe,ZWE,Assets,2.208,1997
Zimbabwe,ZWE,Assets,2.208,1998
Zimbabwe,ZWE,Assets,2.208,1999
Zimbabwe,ZWE,Assets,2.208,2000
Zimbabwe,ZWE,Assets,2.208,2001
Zimbabwe,ZWE,Assets,2.208,2002
Zimbabwe,ZWE,Assets,2.208,2003
Zimbabwe,ZWE,Assets,2.208,2004
Zimbabwe,ZWE,Assets,2.208,2005
Zimbabwe,ZWE,Assets,2.208,2006
Zimbabwe,ZWE,Assets,2.208,2007
Zimbabwe,ZWE,Assets,2.208,2008
Zimbabwe,ZWE,Assets,2.208,2009
Zimbabwe,ZWE,Assets,2.208,2010
Zimbabwe,ZWE,Assets,41.956,2011
Zimbabwe,ZWE,Assets,2.208,2012
Zimbabwe,ZWE,Assets,2.208,2013
Zimbabwe,ZWE,Assets,31.546,2014
Zimbabwe,ZWE,Assets,32.492,2015
Zimbabwe,ZWE,Assets,2.208,2016
Zimbabwe,ZWE,Assets,34.069,2017
Zimbabwe,ZWE,Assets,2.208,2018
Zimbabwe,ZWE,Assets,2.208,2019
Zimbabwe,ZWE,Assets,2.208,2020
Zimbabwe,ZWE,Assets,63.091,2021
Zimbabwe,ZWE,Assets,2.208,2022
Zimbabwe,ZWE,Assets,2.208,2023
Zimbabwe,ZWE,Children 0-14,19.231,1960
Zimbabwe,ZWE,Children 0-14,19.231,1961
Zimbabwe,ZWE,Children 0-14,19.231,1962
Zimbabwe,ZWE,Children 0-14,19.231,1963
Zimbabwe,ZWE,Children 0-14,19.231,1964
Zimbabwe,ZWE,Children 0-14,19.231,1965
Zimbabwe,ZWE,Children 0-14,19.231,1966
Zimbabwe,ZWE,Children 0-14,19.231,1967
Zimbabwe,ZWE,Children 0-14,19.231,1968
Zimbabwe,ZWE,Children 0-14,19.231,1969
Zimbabwe,ZWE,Children 0-14,23.077,1970
Zimbabwe,ZWE,Children 0-14,23.077,1971
Zimbabwe,ZWE,Children 0-14,23.077,1972
Zimbabwe,ZWE,Children 0-14,23.077,1973
Zimbabwe,ZWE,Children 0-14,23.077,1974
Zimbabwe,ZWE,Children 0-14,23.077,1975
Zimbabwe,ZWE,Children 0-14,23.077,1976
Zimbabwe,ZWE,Children 0-14,23.077,1977
Zimbabwe,ZWE,Children 0-14,23.077,1978
Zimbabwe,ZWE,Children 0-14,23.077,1979
Zimbabwe,ZWE,Children 0-14,20.000,1980
Zimbabwe,ZWE,Children 0-14,24.615,1981
Zimbabwe,ZWE,Children 0-14,27.692,1982
Zimbabwe,ZWE,Children 0-14,26.154,1983
Zimbabwe,ZWE,Children 0-14,33.077,1984
Zimbabwe,ZWE,Children 0-14,24.615,1985
Zimbabwe,ZWE,Children 0-14,27.692,1986
Zimbabwe,ZWE,Children 0-14,25.385,1987
Zimbabwe,ZWE,Children 0-14,36.154,1988
Zimbabwe,ZWE,Children 0-14,24.615,1989
Zimbabwe,ZWE,Children 0-14,24.615,1990
Zimbabwe,ZWE,Children 0-14,24.615,1991
Zimbabwe,ZWE,Children 0-14,27.692,1992
Zimbabwe,ZWE,Children 0-14,21.538,1993
Zimbabwe,ZWE,Children 0-14,30.769,1994
Zimbabwe,ZWE,Children 0-14,26.923,1995
Zimbabwe,ZWE,Children 0-14,24.615,1996
Zimbabwe,ZWE,Children 0-14,21.538,1997
Zimbabwe,ZWE,Children 0-14,34.615,1998
Zimbabwe,ZWE,Children 0-14,52.308,1999
Zimbabwe,ZWE,Children 0-14,51.538,2000
Zimbabwe,ZWE,Children 0-14,39.231,2001
Zimbabwe,ZWE,Children 0-14,46.154,2002
Zimbabwe,ZWE,Children 0-14,40.000,2003
Zimbabwe,ZWE,Children 0-14,20.769,2004
Zimbabwe,ZWE,Children 0-14,32.308,2005
Zimbabwe,ZWE,Children 0-14,28.462,2006
Zimbabwe,ZWE,Children 0-14,20.769,2007
Zimbabwe,ZWE,Children 0-14,20.769,2008
Zimbabwe,ZWE,Children 0-14,33.077,2009
Zimbabwe,ZWE,Children 0-14,50.769,2010
Zimbabwe,ZWE,Children 0-14,33.077,2011
Zimbabwe,ZWE,Children 0-14,45.385,2012
Zimbabwe,ZWE,Children 0-14,41.538,2013
Zimbabwe,ZWE,Children 0-14,50.769,2014
Zimbabwe,ZWE,Children 0-14,73.077,2015
Zimbabwe,ZWE,Children 0-14,35.385,2016
Zimbabwe,ZWE,Children 0-14,45.385,2017
Zimbabwe,ZWE,Children 0-14,40.000,2018
Zimbabwe,ZWE,Children 0-14,67.692,2019
Zimbabwe,ZWE,Children 0-14,38.462,2020
Zimbabwe,ZWE,Children 0-14,36.154,2021
Zimbabwe,ZWE,Children 0-14,30.769,2022
Zimbabwe,ZWE,Children 0-14,9.231,2023
Zimbabwe,ZWE,Education,0.000,1960
Zimbabwe,ZWE,Education,0.000,1961
Zimbabwe,ZWE,Education,0.000,1962
Zimbabwe,ZWE,Education,0.000,1963
Zimbabwe,ZWE,Education,0.000,1964
Zimbabwe,ZWE,Education,0.000,1965
Zimbabwe,ZWE,Education,0.000,1966
Zimbabwe,ZWE,Education,0.000,1967
Zimbabwe,ZWE,Education,0.000,1968
Zimbabwe,ZWE,Education,0.000,1969
Zimbabwe,ZWE,Education,9.816,1970
Zimbabwe,ZWE,Education,11.043,1971
Zimbabwe,ZWE,Education,11.043,1972
Zimbabwe,ZWE,Education,12.270,1973
Zimbabwe,ZWE,Education,12.270,1974
Zimbabwe,ZWE,Education,11.656,1975
Zimbabwe,ZWE,Education,12.270,1976
Zimbabwe,ZWE,Education,12.270,1977
Zimbabwe,ZWE,Education,12.270,1978
Zimbabwe,ZWE,Education,12.883,1979
Zimbabwe,ZWE,Education,5.521,1980
Zimbabwe,ZWE,Education,12.270,1981
Zimbabwe,ZWE,Education,20.859,1982
Zimbabwe,ZWE,Education,18.405,1983
Zimbabwe,ZWE,Education,22.086,1984
Zimbabwe,ZWE,Education,12.270,1985
Zimbabwe,ZWE,Education,17.791,1986
Zimbabwe,ZWE,Education,11.043,1987
Zimbabwe,ZWE,Education,11.043,1988
Zimbabwe,ZWE,Education,12.270,1989
Zimbabwe,ZWE,Education,11.656,1990
Zimbabwe,ZWE,Education,11.656,1991
Zimbabwe,ZWE,Education,26.380,1992
Zimbabwe,ZWE,Education,6.748,1993
Zimbabwe,ZWE,Education,6.748,1994
Zimbabwe,ZWE,Education,12.270,1995
Zimbabwe,ZWE,Education,10.429,1996
Zimbabwe,ZWE,Education,3.681,1997
Zimbabwe,ZWE,Education,11.043,1998
Zimbabwe,ZWE,Education,25.767,1999
Zimbabwe,ZWE,Education,25.767,2000
Zimbabwe,ZWE,Education,25.153,2001
Zimbabwe,ZWE,Education,38.037,2002
Zimbabwe,ZWE,Education,27.607,2003
Zimbabwe,ZWE,Education,0.000,2004
Zimbabwe,ZWE,Education,0.000,2005
Zimbabwe,ZWE,Education,0.000,2006
Zimbabwe,ZWE,Education,0.000,2007
Zimbabwe,ZWE,Education,0.000,2008
Zimbabwe,ZWE,Education,0.613,2009
Zimbabwe,ZWE,Education,21.472,2010
Zimbabwe,ZWE,Education,26.380,2011
Zimbabwe,ZWE,Education,46.626,2012
Zimbabwe,ZWE,Education,36.196,2013
Zimbabwe,ZWE,Education,31.288,2014
Zimbabwe,ZWE,Education,30.675,2015
Zimbabwe,ZWE,Education,14.724,2016
Zimbabwe,ZWE,Education,33.129,2017
Zimbabwe,ZWE,Education,20.245,2018
Zimbabwe,ZWE,Education,35.583,2019
Zimbabwe,ZWE,Education,18.405,2020
Zimbabwe,ZWE,Education,25.767,2021
Zimbabwe,ZWE,Education,25.767,2022
Zimbabwe,ZWE,Education,1.840,2023
Zimbabwe,ZWE,Employment and Time Use,0.000,1960
Zimbabwe,ZWE,Employment and Time Use,0.000,1961
Zimbabwe,ZWE,Employment and Time Use,0.000,1962
Zimbabwe,ZWE,Employment and Time Use,0.000,1963
Zimbabwe,ZWE,Employment and Time Use,0.000,1964
Zimbabwe,ZWE,Employment and Time Use,0.000,1965
Zimbabwe,ZWE,Employment and Time Use,0.000,1966
Zimbabwe,ZWE,Employment and Time Use,0.000,1967
Zimbabwe,ZWE,Employment and Time Use,0.000,1968
Zimbabwe,ZWE,Employment and Time Use,0.000,1969
Zimbabwe,ZWE,Employment and Time Use,21.168,1970
Zimbabwe,ZWE,Employment and Time Use,21.168,1971
Zimbabwe,ZWE,Employment and Time Use,21.168,1972
Zimbabwe,ZWE,Employment and Time Use,21.168,1973
Zimbabwe,ZWE,Employment and Time Use,21.168,1974
Zimbabwe,ZWE,Employment and Time Use,21.168,1975
Zimbabwe,ZWE,Employment and Time Use,21.168,1976
Zimbabwe,ZWE,Employment and Time Use,21.168,1977
Zimbabwe,ZWE,Employment and Time Use,21.168,1978
Zimbabwe,ZWE,Employment and Time Use,21.168,1979
Zimbabwe,ZWE,Employment and Time Use,21.168,1980
Zimbabwe,ZWE,Employment and Time Use,21.168,1981
Zimbabwe,ZWE,Employment and Time Use,28.467,1982
Zimbabwe,ZWE,Employment and Time Use,21.168,1983
Zimbabwe,ZWE,Employment and Time Use,21.168,1984
Zimbabwe,ZWE,Employment and Time Use,21.168,1985
Zimbabwe,ZWE,Employment and Time Use,23.358,1986
Zimbabwe,ZWE,Employment and Time Use,30.657,1987
Zimbabwe,ZWE,Employment and Time Use,21.168,1988
Zimbabwe,ZWE,Employment and Time Use,21.168,1989
Zimbabwe,ZWE,Employment and Time Use,31.387,1990
Zimbabwe,ZWE,Employment and Time Use,56.204,1991
Zimbabwe,ZWE,Employment and Time Use,56.204,1992
Zimbabwe,ZWE,Employment and Time Use,56.204,1993
Zimbabwe,ZWE,Employment and Time Use,58.394,1994
Zimbabwe,ZWE,Employment and Time Use,56.204,1995
Zimbabwe,ZWE,Employment and Time Use,56.204,1996
Zimbabwe,ZWE,Employment and Time Use,68.613,1997
Zimbabwe,ZWE,Employment and Time Use,56.204,1998
Zimbabwe,ZWE,Employment and Time Use,70.803,1999
Zimbabwe,ZWE,Employment and Time Use,56.204,2000
Zimbabwe,ZWE,Employment and Time Use,56.204,2001
Zimbabwe,ZWE,Employment and Time Use,56.204,2002
Zimbabwe,ZWE,Employment and Time Use,56.204,2003
Zimbabwe,ZWE,Employment and Time Use,70.803,2004
Zimbabwe,ZWE,Employment and Time Use,56.204,2005
